"﻿变量名",type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,title_tw,title_en,title_vn,title_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,jumpTo,languages
1014,1,3,3,50,,,10,{rmb=30;453=10},,2,Special Training,特別訓練,Special Training,Huấn Luyện Đặc Biệt,특별 훈련,Total privilege type point reaches level 50,特權屬性點累計等級達到50級,Total privilege type point reaches level 50,Mức tích lũy điểm thuộc tính đặc quyền đạt 50,특권 속성 포인트 누적 50레벨 달성,trainer,
1015,1,3,3,100,,,20,{rmb=50;453=10},,3,Advanced Training,進階訓練,Advanced Training,Huấn Luyện Tăng Bậc,진급 훈련,Total privilege type point reaches level 100,特權屬性點累計等級達到100級,Total privilege type point reaches level 100,Mức tích lũy điểm thuộc tính đặc quyền đạt 100,특권 속성 포인트 누적 100레벨 달성,trainer,
1016,1,3,3,300,,,30,{rmb=100;453=10},,4,Professional training,專業訓練,Professional training,Huấn Luyện Chuyên Nghiệp,전문 훈련,Total privilege type point reaches level 300,特權屬性點累計等級達到300級,Total privilege type point reaches level 300,Mức tích lũy điểm thuộc tính đặc quyền đạt 300,특권 속성 포인트 누적 300레벨 달성,trainer,
1017,1,4,401,60,1,,20,{rmb=20;talent_point=5},,1,Start from the basics,從基礎開始,Start from the basics,Bắt Đầu Từ Cơ Bản,기초 시작,Assign 60 talent points to base talent,基礎天賦投入60天賦點,Assign 60 talent points to base talent,Tài năng cơ bản được đầu tư 60 điểm tài năng,기초 특성 60특성 포인트 투입,talent,
1018,1,4,401,120,1,,20,{rmb=20;talent_point=5},,2,Start from the basics,從基礎開始,Start from the basics,Bắt Đầu Từ Cơ Bản,기초 시작,Assign 120 talent points to base talent,基礎天賦投入120天賦點,Assign 120 talent points to base talent,Tài năng cơ bản được đầu tư 120 điểm tài năng,기초 특성 120특성 포인트 투입,talent,
1019,1,4,401,240,1,,30,{rmb=20;talent_point=5},,3,Start from the basics,從基礎開始,Start from the basics,Bắt Đầu Từ Cơ Bản,기초 시작,Assign 240 talent points to base talent,基礎天賦投入240天賦點,Assign 240 talent points to base talent,Đầu tư tài năng cơ bản 240 điểm tài năng,기초 특성 240특성 포인트 투입,talent,
1020,1,4,402,100,2,,10,{rmb=20;talent_point=5},,1,The Proficient,駕輕就熟,The Proficient,Thành Thạo,숙련자,Assign 100 talent points to upgrade talent,進階天賦投入100天賦點,Assign 100 talent points to upgrade talent,Tài năng tiên tiến đầu tư 100 điểm tài năng,진급 특성 100특성 포인트 투입,talent,
1021,1,4,402,200,2,,20,{rmb=20;talent_point=5},,2,The Proficient,駕輕就熟,The Proficient,Thành Thạo,숙련자,Assign 200 talent points to upgrade talent,進階天賦投入200天賦點,Assign 200 talent points to upgrade talent,Tài năng tiên tiến đầu tư 200 điểm tài năng,진급 특성 200특성 포인트 투입,talent,
1022,1,4,402,400,2,,30,{rmb=20;talent_point=5},,3,The Proficient,駕輕就熟,The Proficient,Thành Thạo,숙련자,Assign 400 talent points to upgrade talent,進階天賦投入400天賦點,Assign 400 talent points to upgrade talent,Tài năng nâng cao đầu tư 400 điểm tài năng,진급 특성 400특성 포인트 투입,talent,
1023,1,4,403,100,3,,10,{rmb=30;talent_point=5},,1,Element ambassador,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Assign 100 talent points from the elemental talent,元素天賦投入100天賦點,Assign 100 talent points from the elemental talent,Tài năng nguyên tố đầu tư 100 điểm tài năng,원소 특성 100특성 포인트 투입,talent,
1024,1,4,403,200,3,,20,{rmb=30;talent_point=5},,2,Element ambassador,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Assign 200 talent points to the elemental talent,元素天賦投入200天賦點,Assign 200 talent points to the elemental talent,Tài năng nguyên tố đầu tư 200 điểm tài năng,원소 특성 200특성 포인트 투입,talent,
1025,1,4,403,400,3,,30,{rmb=30;talent_point=5},,3,Element ambassador,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Assign 400 talent points to the elemental talent,元素天賦投入400天賦點,Assign 400 talent points to the elemental talent,Tài năng nguyên tố đầu tư 400 điểm tài năng,원소 특성 400특성 포인트 투입,talent,
1026,1,4,403,800,3,,30,{rmb=50;talent_point=10},,4,Element ambassador,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Assign 800 talent points to the elemental talent,元素天賦投入800天賦點,Assign 800 talent points to the elemental talent,Tài năng nguyên tố đầu tư 800 điểm tài năng,원소 특성 800특성 포인트 투입,talent,
1027,1,4,403,1600,3,,30,{rmb=150;2501=1},FALSE,5,Element ambassador,元素大使,Element ambassador,Đại Sứ Nguyên Tố,엘리먼트 마스터,Assign 1600 talent points to the elemental talent,元素天賦投入1600天賦點,Assign 1600 talent points to the elemental talent,Tài năng nguyên tố đầu tư 1600 điểm tài năng,원소 특성 1600특성 포인트 투입,talent,
1028,1,5,5,200,,,20,{rmb=20;talent_point=5},,1,Talent Expert,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,"Assign 200 talent points from the total ",總天賦投入200天賦點,"Assign 200 talent points from the total ",Tổng tài năng đã đầu tư 200 điểm tài năng,총 특성 200특성 포인트 투입,talent,
1029,1,5,5,500,,,30,{rmb=30;talent_point=5},,2,Talent Expert,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,"Assign 500 talent points from the total ",總天賦投入500天賦點,"Assign 500 talent points from the total ",Tổng đầu tư tài năng 500 điểm tài năng,총 특성 500특성 포인트 투입,talent,
1030,1,5,5,1000,,,30,{rmb=50;talent_point=10},,3,Talent Expert,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,"Assign 1000 talent points from the total ",總天賦投入1000天賦點,"Assign 1000 talent points from the total ",Tổng đầu tư tài năng 1000 điểm tài năng,총 특성 1000특성 포인트 투입,talent,
1031,1,5,5,2000,,,50,{rmb=100;talent_point=10},,4,Talent Expert,天賦達人,Talent Expert,Master Thiên Phú,특성의 달인,"Assign 2000 talent points from the total ",總天賦投入2000天賦點,"Assign 2000 talent points from the total ",Tổng tài năng đầu tư 2000 điểm tài năng,총 특성 2000특성 포인트 투입,talent,
1032,1,6,6,3,,,10,{rmb=30;4000=30},,1,Mecha Rookie,機甲新手,Mecha Rookie,Tân Thủ Mecha,메카 루키,Activate 3 Explorer Device,啟動3個探險器,Activate 3 Explorer Device,Kích hoạt 3 trình khám phá,탐지기 3개 활성화,explorer,
1033,1,6,6,6,,,20,{rmb=30;4000=30},,2,Mecha Expert,機甲達人,Mecha Expert,Cao Thủ Mecha,메카의 달인,Activate 6 Explorer Device,啟動6個探險器,Activate 6 Explorer Device,Kích hoạt 6 trình khám phá,탐지기 6개 활성화,explorer,
1034,1,6,6,9,,,30,{rmb=30;4000=30},,3,Mecha Master,機甲大師,Mecha Master,Đại Sư Mecha,메카 마스터,Activate 9 Explorer Device,啟動9個探險器,Activate 9 Explorer Device,Kích hoạt 9 trình khám phá,탐지기 9개 활성화,explorer,
1035,1,6,6,12,,,30,{rmb=30;4000=30},FALSE,4,Device,探險器,Device,Thám hiểm khí,탐지기,Activate 12 Explorer Device,啟動12個探險器,Activate 12 Explorer Device,Kích hoạt 12 trình thám hiểm,탐지기 12개 활성화,explorer,
1036,1,7,706,1,6,,20,{rmb=100;4000=30},,1,Doduo's Scanner,嘟嘟探測器,Doduo's Scanner,Máy dò tiếng bíp,두두 스캐너,Activate Doduo's Scanner,啟動嘟嘟探測器,Activate Doduo's Scanner,Kích hoạt máy dò tiếng bíp,두두 스캐너 활성화,explorer,
1037,1,7,707,1,7,,20,{rmb=100;4000=30},,1,Poliwhirl Explorer Device,蚊香蛙探險器,Poliwhirl Explorer Device,Nhà thám hiểm ếch muỗi,슈륙챙이 탐지기,Activate Poliwhirl Explorer Device,啟動蚊香蛙探險器,Activate Poliwhirl Explorer Device,Kích hoạt Mosquito Frog Explorer,슈륙챙이 탐지기 활성화,explorer,
1038,1,7,708,1,8,,30,{rmb=200;4000=50},,1,Pseudo-legendary Aircraft,准神號飛船,Pseudo-legendary Aircraft,Quasi-God,유사전설호 비행선,Activate Pseudo-legendary Aircraft,啟動准神號飛船,Activate Pseudo-legendary Aircraft,Kích hoạt tàu vũ trụ Quasi-God,유사전설호 비행선 활성화,explorer,
1039,1,7,709,1,9,,30,{rmb=200;4000=50},,1,Volcanion Airship,波爾凱尼恩飛船,Volcanion Airship,Polkenyon,볼케니온 비행선,Activate Volcanion Airship,啟動波爾凱尼恩飛船,Activate Volcanion Airship,Kích hoạt tàu vũ trụ Bolkenien,볼케니온 비행선 활성화,explorer,
1040,1,8,8,3,,,15,{rmb=30;4000=50},,1,Rookie Assembler,菜鳥組裝師,Rookie Assembler,Nhà Lắp Ráp Tân Binh,신참 조립가,Attain level 3for any Explorer Device,任意探險器等級達到3級,Attain level 3for any Explorer Device,Đạt cấp độ 3 cho bất kỳ nhà thám hiểm nào,임의 탐지기 3레벨 달성,explorer,
1041,1,8,8,6,,,20,{rmb=50;4000=50},,2,Beginner Assembler,入門組裝師,Beginner Assembler,Nhà Lắp Ráp Nhập Môn,입문 조립가,Attain level 6for any Explorer Device,任意探險器等級達到6級,Attain level 6for any Explorer Device,Đạt cấp độ 6 cho bất kỳ nhà thám hiểm nào,임의 탐지기 6레벨 달성,explorer,
1042,1,8,8,9,,,20,{rmb=50;4000=50},,3,Senior Assembler,資深組裝師,Senior Assembler,Nhà Lắp Ráp Thâm Niên,베테랑 조립가,Attain level 9for any Explorer Device,任意探險器等級達到9級,Attain level 9for any Explorer Device,Đạt đến cấp 9 của bất kỳ nhà thám hiểm nào,임의 탐지기 9레벨 달성,explorer,
1043,1,8,8,12,,,30,{rmb=100;4000=100},,4,Advanced Assembler,高級組裝師,Advanced Assembler,Nhà Lắp Ráp Cao Cấp,고급 조립가,Attain level 12for any Explorer Device,任意探險器等級達到12級,Attain level 12for any Explorer Device,Đạt cấp 12 cho bất kỳ nhà thám hiểm nào,임의 탐지기 12레벨 달성,explorer,
1044,1,8,8,15,,,30,{rmb=100;4000=100},,5,Assembling Master,組裝大師,Assembling Master,Đại Sư Lắp Ráp,조립의 대가,Attain level 15for any Explorer Device,任意探險器等級達到15級,Attain level 15for any Explorer Device,Đạt đến cấp độ 15 cho bất kỳ nhà thám hiểm nào,임의 탐지기 15레벨 달성,explorer,
1045,1,8,8,20,,,30,{rmb=200;4000=200},FALSE,6,Explorer Device level,探險器等級,Explorer Device level,Cấp Bậc Explorer Device,탐지기 레벨,Attain level 20for any Explorer Device,任意探險器等級達到20級,Attain level 20for any Explorer Device,Đạt cấp 20 trên bất kỳ nhà thám hiểm nào,임의 탐지기 20레벨 달성,explorer,
1046,1,9,9,100000,,,20,{rmb=50;gold=20000},,1,Little Achiever,小有所成,Little Achiever,Thành Tựu,작은 성과,Trainer's combat power reaches 100000,訓練家戰力達到100000,Trainer's combat power reaches 100000,POWER HLV đạt 100000,트레이너 전투력 100000 달성,strengthen-1,
1047,1,9,9,200000,,,20,{rmb=50;gold=20000},,2,You have the ability to fight!,有能力一戰！,You have the ability to fight!,Trận Chiến Năng Lực!,일전의 힘,Trainer's combat power reaches 200000,訓練家戰力達到200000,Trainer's combat power reaches 200000,POWER HLV đạt 200000,트레이너 전투력 200000 달성,strengthen-1,
1048,1,9,9,500000,,,30,{rmb=50;gold=20000},,3,Try me if you're not convinced,不服來試試,Try me if you're not convinced,Không Phục Thử Tiếp,억울하면 덤벼,Trainer's combat power reaches 500000,訓練家戰力達到500000,Trainer's combat power reaches 500000,POWER HLV đạt 500000,트레이너 전투력 1000000 달성,strengthen-1,
1049,1,9,9,1000000,,,50,{rmb=100;gold=20000},,4,Anyone else,還有誰來試試,Anyone else,Còn Ai Muốn Thử,또 누구냐,Trainer's combat power reaches 1000000,訓練家戰力達到1000000,Trainer's combat power reaches 1000000,POWER HLV đạt 1000000,트레이너 전투력 1500000 달성,strengthen-1,
1050,1,9,9,1500000,,,50,{rmb=200;gold=20000},,5,Unbeatable loneliness,無敵的寂寞,Unbeatable loneliness,Cô Đơn Vô Địch,무적의 고독함,Trainer's combat power reaches 1500000,訓練家戰力達到1500000,Trainer's combat power reaches 1500000,POWER HLV đạt 1.5M,트레이너 전투력 1500000 달성,strengthen-1,
1051,1,9,9,2000000,,,50,{rmb=300;gold=20000},,6,The Informidable,獨孤求敗,The Informidable,Độc Cô Cầu Bại,독고구패,Trainer's combat power reaches 2000000,訓練家戰力達到2000000,Trainer's combat power reaches 2000000,POWER HLV đạt 2M,트레이너 전투력 2000000 달성,strengthen-1,
1052,1,10,10,3000000,,,10,{rmb=30;gold=20000},,1,Entrepreneur,白手起家,Entrepreneur,Tay Trắng Lập Nghiệp,자수성가,Own 3000000 coins in total,累計擁有金幣3000000,Own 3000000 coins in total,Tích luỹ Gold đạt 3M,누적 보유 3000000골드,gainGold,
1053,1,10,10,6000000,,,10,{rmb=30;gold=20000},,2,The First Bucket of Gold,第一桶金,The First Bucket of Gold,Thùng Vàng Đầu Tiên,목돈 마련,Own 6000000 coins in total,累計擁有金幣6000000,Own 6000000 coins in total,Tích luỹ Gold đạt 6M,누적 보유 6000000골드,gainGold,
1054,1,10,10,15000000,,,10,{rmb=30;gold=20000},,3,Financial Rookie,金融新秀,Financial Rookie,Tân Thủ Tài Chính,금융의 신예,Own 15000000 coins in total,累計擁有金幣15000000,Own 15000000 coins in total,Tích luỹ Gold đạt 15M,누적 보유 15000000골드,gainGold,
1055,1,10,10,30000000,,,20,{rmb=30;gold=20000},,4,Financial Leader,金融鉅子,Financial Leader,Đại Gia Tài Chính,금융의 거두,Own 30000000 coins in total,累計擁有金幣30000000,Own 30000000 coins in total,Tích luỹ Gold đạt 30M,누적 보유 30000000골드,gainGold,
1056,1,10,10,60000000,,,20,{rmb=30;gold=20000},,5,Money Saving Expert,斂財高手,Money Saving Expert,Bậc Thầy Vơ Vét,축재의 고수,Own 60000000 coins in total,累計擁有金幣60000000,Own 60000000 coins in total,Tích luỹ Gold đạt 60M,누적 보유 60000000골드,gainGold,
1057,1,10,10,150000000,,,30,{rmb=50;gold=20000},,6,Financial Giant,金融巨頭,Financial Giant,Bậc Thầy Tài Chính,금융계의 거성,Own 150000000 coins in total,累計擁有金幣150000000,Own 150000000 coins in total,Tích luỹ Gold đạt 150M,누적 보유 150000000골드,gainGold,
1058,1,10,10,300000000,,,50,{rmb=50;gold=20000},,7,Entering the Wealthy ranking,擠進富豪榜,Entering the Wealthy ranking,Chen Hàng Đại Gia,부자 순위 입성,Own 300000000 coins in total,累計擁有金幣300000000,Own 300000000 coins in total,Tích luỹ Gold đạt 300M,누적 보유 300000000골드,gainGold,
1059,1,10,10,600000000,,,50,{rmb=50;gold=20000},,8,World's Richest,世界首富,World's Richest,Giàu Nhất Thế Giới,세계 최고 부자,Own 600000000 coins in total,累計擁有金幣600000000,Own 600000000 coins in total,Tích luỹ Gold đạt 600M,누적 보유 600000000골드,gainGold,
1060,1,10,10,1500000000,,,50,{rmb=50;gold=20000},,9,Infinite amount of money,花不完的錢,Infinite amount of money,Tiền Tiêu Không Hết,끝없는 돈,Own 1500000000 coins in total,累計擁有金幣1500000000,Own 1500000000 coins in total,Tích luỹ Gold đạt 1.5B,누적 보유 1500000000골드,gainGold,
1061,1,11,11,3000000,,,10,{rmb=30;gold=20000},,1,Easy-peasy,灑灑水,Easy-peasy,Tưới Nước,콸콸콸,Spend 3000000 coins in total,累計消耗金幣3000000,Spend 3000000 coins in total,Tích luỹ tiêu hao Gold 3M,누적 소모 3000000골드,,
1062,1,11,11,6000000,,,10,{rmb=30;gold=20000},,2,Don't feel bad for spilling it,灑的不心疼,Don't feel bad for spilling it,Vung Không Xót Tay,아낌없이,Spend 6000000 coins in total,累計消耗金幣6000000,Spend 6000000 coins in total,Tích luỹ tiêu hao Gold 6M,누적 소모 6000000골드,,
1063,1,11,11,15000000,,,10,{rmb=30;gold=20000},,3,Few packets of money,幾個包的錢,Few packets of money,Vài Túi Tiền,돈가방 몇 개,Spend 15000000 coins in total,累計消耗金幣15000000,Spend 15000000 coins in total,Tích luỹ tiêu hao Gold 15M,누적 소모 15000000골드,,
1064,1,11,11,30000000,,,20,{rmb=50;gold=20000},,4,Take the Mercedes Sportscar for a spin,賓士小跑開起來,Take the Mercedes Sportscar for a spin,Chạy Xe Mercedes,스포츠카,Spend 30000000 coins in total,累計消耗金幣30000000,Spend 30000000 coins in total,Tích luỹ tiêu hao Gold 30M,누적 소모 30000000골드,,
1065,1,11,11,60000000,,,20,{rmb=50;gold=20000},,5,Live in bangalows and mansions,洋樓豪宅住起來,Live in bangalows and mansions,Sống Nhà Biệt Thự,호화 주택,Spend 60000000 coins in total,累計消耗金幣60000000,Spend 60000000 coins in total,Tích luỹ tiêu hao Gold 60M,누적 소모 60000000골드,,
1066,1,11,11,150000000,,,30,{rmb=50;gold=20000},,6,Buy yachtes and mansions,遊艇別墅買起來,Buy yachtes and mansions,Mua Du Thuyền,유람선 별장,Spend 150000000 coins in total,累計消耗金幣150000000,Spend 150000000 coins in total,Tích luỹ tiêu hao Gold 150M,누적 소모 150000000골드,,
1067,1,11,11,300000000,,,50,{rmb=100;gold=20000},,7,Not in short of money,不差錢,Not in short of money,Không Thiếu Tiền,돈걱정 없음,Spend 300000000 coins in total,累計消耗金幣300000000,Spend 300000000 coins in total,Tích luỹ tiêu hao Gold 300M,누적 소모 300000000골드,,
1068,1,11,11,600000000,,,50,{rmb=200;gold=20000},,8,Clumsy,大手大腳,Clumsy,Vung Tay Quá Trán,흥청망청,Spend 600000000 coins in total,累計消耗金幣600000000,Spend 600000000 coins in total,Tích luỹ tiêu hao Gold 600M,누적 소모 600000000골드,,
1069,1,11,11,1500000000,,,50,{rmb=200;gold=20000},,9,Spendthrift,花錢如流水,Spendthrift,Tiền Tiêu Như Nước,물 쓰듯 돈 쓰기,Spend 1500000000 coins in total,累計消耗金幣1500000000,Spend 1500000000 coins in total,Tích luỹ tiêu hao Gold 1.5B,누적 소모 1500000000 골드,,
1070,1,12,12,5000,,,20,{rmb=30;gold=20000},,1,Earn the nickels and dimes,小錢靠存,Earn the nickels and dimes,Tích Tiểu Thành Đại,작은 돈 저축,Owns diamond 5000in total,累計擁有鑽石5000,Owns diamond 5000in total,Tích luỹ Diamond đạt 5000,누적 보유 5000다이아,,
1071,1,12,12,10000,,,20,{rmb=30;gold=20000},,2,Earning big money,大錢得賺,Earning big money,Phi Thương Bất Phú,큰 돈 벌기,Owns diamond 10000in total,累計擁有鑽石10000,Owns diamond 10000in total,Tích luỹ Diamond đạt 10000,누적 보유 10000다이아,,
1072,1,12,12,20000,,,20,{rmb=30;gold=20000},,3,You're welcome,意思意思,You're welcome,Ý Nghĩa,성의 표시,Owns diamond 20000in total,累計擁有鑽石20000,Owns diamond 20000in total,Tích luỹ Diamond đạt 20000,누적 보유 20000다이아,,
1073,1,12,12,50000,,,30,{rmb=50;gold=20000},,4,Wise Investor,投資有道,Wise Investor,Đầu Tư Có Lời,투자의 길,Owns diamond 50000in total,累計擁有鑽石50000,Owns diamond 50000in total,Tích luỹ Diamond đạt 50000,누적 보유 50000다이아,,
1074,1,12,12,100000,,,30,{rmb=50;gold=20000},,5,Golden Pig,金豬霸,Golden Pig,Heo Vàng,황금돼지,Owns diamond 100000in total,累計擁有鑽石100000,Owns diamond 100000in total,Tích luỹ Diamond đạt 100000,누적 보유 100000다이아,,
1075,1,12,12,200000,,,30,{rmb=50;gold=20000},,6,Wealthy Butterfly,壕主蝶,Wealthy Butterfly,Hào Chủ Điệp,부의 나비,Owns diamond 200000in total,累計擁有鑽石200000,Owns diamond 200000in total,Tích luỹ Diamond đạt 200000,누적 보유 200000다이아,,
1076,1,12,12,500000,,,50,{rmb=50;gold=20000},,7,Tycoon,大富豪,Tycoon,Đại Phú Hào,대부호,Owns diamond 500000in total,累計擁有鑽石500000,Owns diamond 500000in total,Tích luỹ Diamond đạt 500000,누적 보유 500000다이아,,
1077,1,12,12,1000000,,,50,{rmb=100;gold=20000},,8,Tycoon,大富豪,Tycoon,Đại Phú Hào,대부호,Owns diamond 1000000in total,累計擁有鑽石1000000,Owns diamond 1000000in total,Tích luỹ Diamond đạt 1000000,누적 보유 1000000다이아,,
1078,1,12,12,5000000,,,50,{rmb=100;gold=20000},,9,Tycoon,大富豪,Tycoon,Đại Phú Hào,대부호,Owns diamond 5000000in total,累計擁有鑽石5000000,Owns diamond 5000000in total,Tích luỹ Diamond đạt 5000000,누적 보유 5000000다이아,,
1079,1,13,13,5000,,,20,{rmb=30;gold=20000},,1,Eat and drink well,吃好喝好,Eat and drink well,Ăn Tốt Uống Tốt,먹고 마시고,Spends 5000 diamonds in total,累計消耗鑽石5000,Spends 5000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 5000,누적 소모 5000다이아,,
1080,1,13,13,10000,,,20,{rmb=30;gold=20000},,2,Buy whatever you feel like buying,想買什麼買什麼,Buy whatever you feel like buying,Muốn Gì Mua Đó,뭐든 살 수 있어,Spends 10000 diamonds in total,累計消耗鑽石10000,Spends 10000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 10000,누적 소모 10000다이아,,
1081,1,13,13,20000,,,20,{rmb=50;gold=20000},,3,Blind Shopping,閉眼購物,Blind Shopping,Mua Không Nhìn Giá,눈 감고 물건 사기,Spends 20000 diamonds in total,累計消耗鑽石20000,Spends 20000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 20000,누적 소모 20000다이아,,
1082,1,13,13,50000,,,30,{rmb=50;gold=20000},,4,Only choose what you like,只挑喜歡的,Only choose what you like,Chỉ Chọn Cái Thích,좋은 것만 골라요,Spends 50000 diamonds in total,累計消耗鑽石50000,Spends 50000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 50000,누적 소모 50000다이아,,
1083,1,13,13,100000,,,30,{rmb=50;gold=20000},,5,Only choose the most expensive,只選最貴的,Only choose the most expensive,Chỉ Chọn Đắt Nhất,비싼 것만 골라요,Spends 100000 diamonds in total,累計消耗鑽石100000,Spends 100000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 100000,누적 소모 100000다이아,,
1084,1,13,13,200000,,,30,{rmb=100;gold=20000},,6,"Do anything you want, you're rich",壕主隨意,"Do anything you want, you're rich",Tuỳ Ý Hào Chủ,제멋대로,Spends 200000 diamonds in total,累計消耗鑽石200000,Spends 200000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 200000,누적 소모 200000다이아,,
1085,1,13,13,500000,,,50,{rmb=100;gold=20000},,7,Mysterious Rich Man,神秘土豪,Mysterious Rich Man,Đại Gia Bí Ẩn,신비의 재벌,Spends 500000 diamonds in total,累計消耗鑽石500000,Spends 500000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 500000,누적 소모 500000다이아,,
1086,1,13,13,1000000,,,50,{rmb=200;gold=20000},,8,Mysterious Rich Man,神秘土豪,Mysterious Rich Man,Đại Gia Bí Ẩn,신비의 재벌,Spends 1000000 diamonds in total,累計消耗鑽石1000000,Spends 1000000 diamonds in total,Tích luỹ tiêu hao Diamond đạt 1000000,누적 소모 1000000다이아,,
