变量名,rankMax,award,award_kr,award_en,award_tw,version
16,20,{gold=3750000;coin12=280000;rmb=740},{gold=3000000;coin12=260000;rmb=540},{gold=3000000;coin12=260000;rmb=540},{gold=3000000;coin12=260000;rmb=540},
21,30,{gold=3500000;coin12=270000;rmb=720},{gold=2800000;coin12=250000;rmb=520},{gold=2800000;coin12=250000;rmb=520},{gold=2800000;coin12=250000;rmb=520},
31,40,{gold=3250000;coin12=260000;rmb=700},{gold=2600000;coin12=240000;rmb=500},{gold=2600000;coin12=240000;rmb=500},{gold=2600000;coin12=240000;rmb=500},
41,50,{gold=3000000;coin12=250000;rmb=680},{gold=2400000;coin12=230000;rmb=480},{gold=2400000;coin12=230000;rmb=480},{gold=2400000;coin12=230000;rmb=480},
51,70,{gold=2750000;coin12=240000;rmb=660},{gold=2200000;coin12=220000;rmb=460},{gold=2200000;coin12=220000;rmb=460},{gold=2200000;coin12=220000;rmb=460},
71,100,{gold=2500000;coin12=230000;rmb=640},{gold=2000000;coin12=210000;rmb=440},{gold=2000000;coin12=210000;rmb=440},{gold=2000000;coin12=210000;rmb=440},
101,150,{gold=2375000;coin12=220000;rmb=620},{gold=1900000;coin12=200000;rmb=420},{gold=1900000;coin12=200000;rmb=420},{gold=1900000;coin12=200000;rmb=420},
151,200,{gold=2250000;coin12=210000;rmb=600},{gold=1800000;coin12=190000;rmb=400},{gold=1800000;coin12=190000;rmb=400},{gold=1800000;coin12=190000;rmb=400},
201,300,{gold=2125000;coin12=200000;rmb=580},{gold=1700000;coin12=180000;rmb=380},{gold=1700000;coin12=180000;rmb=380},{gold=1700000;coin12=180000;rmb=380},
301,400,{gold=2000000;coin12=190000;rmb=560},{gold=1600000;coin12=170000;rmb=360},{gold=1600000;coin12=170000;rmb=360},{gold=1600000;coin12=170000;rmb=360},
401,500,{gold=1875000;coin12=180000;rmb=540},{gold=1500000;coin12=160000;rmb=340},{gold=1500000;coin12=160000;rmb=340},{gold=1500000;coin12=160000;rmb=340},
501,700,{gold=1750000;coin12=170000;rmb=520},{gold=1400000;coin12=150000;rmb=320},{gold=1400000;coin12=150000;rmb=320},{gold=1400000;coin12=150000;rmb=320},
701,1000,{gold=1625000;coin12=160000;rmb=500},{gold=1300000;coin12=140000;rmb=300},{gold=1300000;coin12=140000;rmb=300},{gold=1300000;coin12=140000;rmb=300},
1001,2000,{gold=1500000;coin12=150000;rmb=480},{gold=1200000;coin12=130000;rmb=290},{gold=1200000;coin12=130000;rmb=290},{gold=1200000;coin12=130000;rmb=290},
2001,3000,{gold=1375000;coin12=140000;rmb=460},{gold=1100000;coin12=120000;rmb=280},{gold=1100000;coin12=120000;rmb=280},{gold=1100000;coin12=120000;rmb=280},
3001,5000,{gold=1250000;coin12=130000;rmb=440},{gold=1000000;coin12=110000;rmb=270},{gold=1000000;coin12=110000;rmb=270},{gold=1000000;coin12=110000;rmb=270},
5001,10000,{gold=1125000;coin12=120000;rmb=420},{gold=900000;coin12=100000;rmb=260},{gold=900000;coin12=100000;rmb=260},{gold=900000;coin12=100000;rmb=260},
10001,999999,{gold=1000000;coin12=110000;rmb=400},{gold=800000;coin12=90000;rmb=250},{gold=800000;coin12=90000;rmb=250},{gold=800000;coin12=90000;rmb=250},
