变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
22,264,1000,0,0,0,0,222,222,25,25,0,0,33,,,,,,,,,,,,,,,,,,,,,,
23,279,1000,0,0,0,0,230,230,26,26,0,0,34,,,,,,,,,,,,,,,,,,,,,,
24,295,1000,0,0,0,0,237,237,27,27,0,0,36,,,,,,,,,,,,,,,,,,,,,,
25,310,1000,0,0,0,0,245,245,28,28,0,0,37,,,,,,,,,,,,,,,,,,,,,,
26,326,1000,0,0,0,0,253,253,29,29,0,0,38,,,,,,,,,,,,,,,,,,,,,,
27,344,1000,0,0,0,0,261,261,30,30,0,0,39,,,,,,,,,,,,,,,,,,,,,,
28,362,1000,0,0,0,0,269,269,31,31,0,0,40,,,,,,,,,,,,,,,,,,,,,,
29,379,1000,0,0,0,0,278,278,31,31,0,0,42,,,,,,,,,,,,,,,,,,,,,,
30,397,1000,0,0,0,0,286,286,32,32,0,0,43,,,,,,,,,,,,,,,,,,,,,,
31,415,1000,0,0,0,0,294,294,33,33,0,0,44,,,,,,,,,,,,,,,,,,,,,,
32,435,1000,0,0,0,0,302,302,34,34,0,0,45,,,,,,,,,,,,,,,,,,,,,,
33,455,1000,0,0,0,0,311,311,35,35,0,0,46,,,,,,,,,,,,,,,,,,,,,,
34,475,1000,0,0,0,0,319,319,36,36,0,0,48,,,,,,,,,,,,,,,,,,,,,,
35,495,1000,0,0,0,0,328,328,37,37,0,0,49,,,,,,,,,,,,,,,,,,,,,,
36,515,1000,0,0,0,0,336,336,38,38,0,0,50,,,,,,,,,,,,,,,,,,,,,,
37,538,1000,0,0,0,0,345,345,39,39,0,0,51,,,,,,,,,,,,,,,,,,,,,,
38,560,1000,0,0,0,0,354,354,40,40,0,0,53,,,,,,,,,,,,,,,,,,,,,,
39,583,1000,0,0,0,0,363,363,41,41,0,0,54,,,,,,,,,,,,,,,,,,,,,,
40,605,1000,0,0,0,0,372,372,42,42,0,0,56,,,,,,,,,,,,,,,,,,,,,,
41,628,1000,0,0,0,0,381,381,43,43,0,0,57,,,,,,,,,,,,,,,,,,,,,,
42,653,1000,0,0,0,0,390,390,44,44,0,0,58,,,,,,,,,,,,,,,,,,,,,,
43,678,1000,0,0,0,0,400,400,45,45,0,0,60,,,,,,,,,,,,,,,,,,,,,,
44,704,1000,0,0,0,0,409,409,46,46,0,0,61,,,,,,,,,,,,,,,,,,,,,,
45,729,1000,0,0,0,0,419,419,47,47,0,0,63,,,,,,,,,,,,,,,,,,,,,,
46,754,1000,0,0,0,0,428,428,48,48,0,0,64,,,,,,,,,,,,,,,,,,,,,,
47,782,1000,0,0,0,0,438,438,49,49,0,0,66,,,,,,,,,,,,,,,,,,,,,,
48,810,1000,0,0,0,0,448,448,50,50,0,0,67,,,,,,,,,,,,,,,,,,,,,,
49,838,1000,0,0,0,0,458,458,52,52,0,0,69,,,,,,,,,,,,,,,,,,,,,,
50,866,1000,0,0,0,0,468,468,53,53,0,0,70,,,,,,,,,,,,,,,,,,,,,,
51,894,1000,0,0,0,0,478,478,54,54,0,0,72,,,,,,,,,,,,,,,,,,,,,,
52,925,1000,0,0,0,0,488,488,55,55,0,0,74,,,,,,,,,,,,,,,,,,,,,,
53,956,1000,0,0,0,0,499,499,56,56,0,0,75,,,,,,,,,,,,,,,,,,,,,,
54,986,1000,0,0,0,0,509,509,58,58,0,0,77,,,,,,,,,,,,,,,,,,,,,,
55,1017,1000,0,0,0,0,520,520,59,59,0,0,78,,,,,,,,,,,,,,,,,,,,,,
56,1048,1000,0,0,0,0,530,530,60,60,0,0,80,,,,,,,,,,,,,,,,,,,,,,
57,1082,1000,0,0,0,0,541,541,61,61,0,0,82,,,,,,,,,,,,,,,,,,,,,,
58,1116,1000,0,0,0,0,552,552,62,62,0,0,83,,,,,,,,,,,,,,,,,,,,,,
59,1150,1000,0,0,0,0,564,564,64,64,0,0,85,,,,,,,,,,,,,,,,,,,,,,
60,1184,1000,0,0,0,0,575,575,65,65,0,0,86,,,,,,,,,,,,,,,,,,,,,,
61,1218,1000,0,0,0,0,586,586,66,66,0,0,88,,,,,,,,,,,,,,,,,,,,,,
62,1255,1000,0,0,0,0,598,598,67,67,0,0,90,,,,,,,,,,,,,,,,,,,,,,
63,1293,1000,0,0,0,0,610,610,69,69,0,0,92,,,,,,,,,,,,,,,,,,,,,,
64,1330,1000,0,0,0,0,621,621,70,70,0,0,93,,,,,,,,,,,,,,,,,,,,,,
65,1368,1000,0,0,0,0,633,633,72,72,0,0,95,,,,,,,,,,,,,,,,,,,,,,
66,1405,1000,0,0,0,0,645,645,73,73,0,0,97,,,,,,,,,,,,,,,,,,,,,,
67,1446,1000,0,0,0,0,657,657,74,74,0,0,99,,,,,,,,,,,,,,,,,,,,,,
68,1487,1000,0,0,0,0,670,670,76,76,0,0,101,,,,,,,,,,,,,,,,,,,,,,
69,1527,1000,0,0,0,0,682,682,77,77,0,0,102,,,,,,,,,,,,,,,,,,,,,,
70,1568,1000,0,0,0,0,695,695,79,79,0,0,104,,,,,,,,,,,,,,,,,,,,,,
71,1609,1000,0,0,0,0,707,707,80,80,0,0,106,,,,,,,,,,,,,,,,,,,,,,
72,1653,1000,0,0,0,0,720,720,81,81,0,0,108,,,,,,,,,,,,,,,,,,,,,,
73,1697,1000,0,0,0,0,733,733,83,83,0,0,110,,,,,,,,,,,,,,,,,,,,,,
74,1742,1000,0,0,0,0,747,747,84,84,0,0,112,,,,,,,,,,,,,,,,,,,,,,
75,1786,1000,0,0,0,0,760,760,86,86,0,0,114,,,,,,,,,,,,,,,,,,,,,,
76,1830,1000,0,0,0,0,773,773,87,87,0,0,116,,,,,,,,,,,,,,,,,,,,,,
77,1878,1000,0,0,0,0,787,787,89,89,0,0,118,,,,,,,,,,,,,,,,,,,,,,
78,1926,1000,0,0,0,0,801,801,90,90,0,0,120,,,,,,,,,,,,,,,,,,,,,,
79,1975,1000,0,0,0,0,815,815,92,92,0,0,122,,,,,,,,,,,,,,,,,,,,,,
80,2023,1000,0,0,0,0,829,829,93,93,0,0,124,,,,,,,,,,,,,,,,,,,,,,
81,2071,1000,0,0,0,0,843,843,95,95,0,0,126,,,,,,,,,,,,,,,,,,,,,,
82,2123,1000,0,0,0,0,858,858,97,97,0,0,128,,,,,,,,,,,,,,,,,,,,,,
83,2175,1000,0,0,0,0,873,873,98,98,0,0,131,,,,,,,,,,,,,,,,,,,,,,
84,2227,1000,0,0,0,0,887,887,100,100,0,0,133,,,,,,,,,,,,,,,,,,,,,,
85,2279,1000,0,0,0,0,902,902,101,101,0,0,136,,,,,,,,,,,,,,,,,,,,,,
86,2331,1000,0,0,0,0,917,917,103,103,0,0,138,,,,,,,,,,,,,,,,,,,,,,
87,2387,1000,0,0,0,0,933,933,105,105,0,0,140,,,,,,,,,,,,,,,,,,,,,,
88,2443,1000,0,0,0,0,949,949,107,107,0,0,142,,,,,,,,,,,,,,,,,,,,,,
89,2500,1000,0,0,0,0,964,964,108,108,0,0,145,,,,,,,,,,,,,,,,,,,,,,
90,2556,1000,0,0,0,0,980,980,110,110,0,0,147,,,,,,,,,,,,,,,,,,,,,,
91,2612,1000,0,0,0,0,996,996,112,112,0,0,149,,,,,,,,,,,,,,,,,,,,,,
92,2672,1000,0,0,0,0,1013,1013,114,114,0,0,152,,,,,,,,,,,,,,,,,,,,,,
93,2733,1000,0,0,0,0,1029,1029,116,116,0,0,154,,,,,,,,,,,,,,,,,,,,,,
94,2793,1000,0,0,0,0,1046,1046,118,118,0,0,157,,,,,,,,,,,,,,,,,,,,,,
95,2854,1000,0,0,0,0,1062,1062,120,120,0,0,159,,,,,,,,,,,,,,,,,,,,,,
96,2914,1000,0,0,0,0,1079,1079,122,122,0,0,162,,,,,,,,,,,,,,,,,,,,,,
97,2979,1000,0,0,0,0,1097,1097,124,124,0,0,165,,,,,,,,,,,,,,,,,,,,,,
98,3044,1000,0,0,0,0,1114,1114,126,126,0,0,167,,,,,,,,,,,,,,,,,,,,,,
99,3108,1000,0,0,0,0,1132,1132,127,127,0,0,170,,,,,,,,,,,,,,,,,,,,,,
100,3173,1000,0,0,0,0,1149,1149,129,129,0,0,172,,,,,,,,,,,,,,,,,,,,,,
101,3238,1000,0,0,0,0,1167,1167,131,131,0,0,175,,,,,,,,,,,,,,,,,,,,,,
102,3307,1000,0,0,0,0,1186,1186,133,133,0,0,178,,,,,,,,,,,,,,,,,,,,,,
103,3376,1000,0,0,0,0,1204,1204,135,135,0,0,181,,,,,,,,,,,,,,,,,,,,,,
104,3446,1000,0,0,0,0,1223,1223,138,138,0,0,183,,,,,,,,,,,,,,,,,,,,,,
105,3515,1000,0,0,0,0,1241,1241,140,140,0,0,186,,,,,,,,,,,,,,,,,,,,,,
106,3584,1000,0,0,0,0,1260,1260,142,142,0,0,189,,,,,,,,,,,,,,,,,,,,,,
107,3658,1000,0,0,0,0,1280,1280,144,144,0,0,192,,,,,,,,,,,,,,,,,,,,,,
108,3732,1000,0,0,0,0,1299,1299,146,146,0,0,195,,,,,,,,,,,,,,,,,,,,,,
109,3807,1000,0,0,0,0,1319,1319,149,149,0,0,198,,,,,,,,,,,,,,,,,,,,,,
110,3881,1000,0,0,0,0,1338,1338,151,151,0,0,201,,,,,,,,,,,,,,,,,,,,,,
111,3955,1000,0,0,0,0,1358,1358,153,153,0,0,204,,,,,,,,,,,,,,,,,,,,,,
112,4034,1000,0,0,0,0,1379,1379,155,155,0,0,207,,,,,,,,,,,,,,,,,,,,,,
113,4113,1000,0,0,0,0,1400,1400,157,157,0,0,210,,,,,,,,,,,,,,,,,,,,,,
114,4192,1000,0,0,0,0,1420,1420,160,160,0,0,213,,,,,,,,,,,,,,,,,,,,,,
115,4271,1000,0,0,0,0,1441,1441,162,162,0,0,216,,,,,,,,,,,,,,,,,,,,,,
116,4350,1000,0,0,0,0,1462,1462,164,164,0,0,219,,,,,,,,,,,,,,,,,,,,,,
117,4434,1000,0,0,0,0,1484,1484,167,167,0,0,222,,,,,,,,,,,,,,,,,,,,,,
118,4518,1000,0,0,0,0,1506,1506,169,169,0,0,226,,,,,,,,,,,,,,,,,,,,,,
119,4602,1000,0,0,0,0,1528,1528,172,172,0,0,229,,,,,,,,,,,,,,,,,,,,,,
120,4686,1000,0,0,0,0,1550,1550,174,174,0,0,233,,,,,,,,,,,,,,,,,,,,,,
121,4770,1000,0,0,0,0,1572,1572,177,177,0,0,236,,,,,,,,,,,,,,,,,,,,,,
122,4859,1000,0,0,0,0,1595,1595,180,180,0,0,239,,,,,,,,,,,,,,,,,,,,,,
123,4948,1000,0,0,0,0,1618,1618,182,182,0,0,243,,,,,,,,,,,,,,,,,,,,,,
124,5038,1000,0,0,0,0,1641,1641,185,185,0,0,246,,,,,,,,,,,,,,,,,,,,,,
125,5127,1000,0,0,0,0,1664,1664,187,187,0,0,250,,,,,,,,,,,,,,,,,,,,,,
126,5216,1000,0,0,0,0,1687,1687,190,190,0,0,253,,,,,,,,,,,,,,,,,,,,,,
127,5311,1000,0,0,0,0,1711,1711,193,193,0,0,257,,,,,,,,,,,,,,,,,,,,,,
128,5406,1000,0,0,0,0,1736,1736,195,195,0,0,260,,,,,,,,,,,,,,,,,,,,,,
129,5500,1000,0,0,0,0,1760,1760,198,198,0,0,264,,,,,,,,,,,,,,,,,,,,,,
130,5595,1000,0,0,0,0,1785,1785,200,200,0,0,267,,,,,,,,,,,,,,,,,,,,,,
131,5690,1000,0,0,0,0,1809,1809,203,203,0,0,271,,,,,,,,,,,,,,,,,,,,,,
132,5790,1000,0,0,0,0,1835,1835,206,206,0,0,275,,,,,,,,,,,,,,,,,,,,,,
133,5890,1000,0,0,0,0,1860,1860,209,209,0,0,279,,,,,,,,,,,,,,,,,,,,,,
134,5991,1000,0,0,0,0,1886,1886,212,212,0,0,283,,,,,,,,,,,,,,,,,,,,,,
135,6091,1000,0,0,0,0,1911,1911,215,215,0,0,287,,,,,,,,,,,,,,,,,,,,,,
136,6191,1000,0,0,0,0,1937,1937,218,218,0,0,291,,,,,,,,,,,,,,,,,,,,,,
137,6297,1000,0,0,0,0,1964,1964,221,221,0,0,295,,,,,,,,,,,,,,,,,,,,,,
138,6403,1000,0,0,0,0,1991,1991,224,224,0,0,299,,,,,,,,,,,,,,,,,,,,,,
139,6508,1000,0,0,0,0,2018,2018,227,227,0,0,303,,,,,,,,,,,,,,,,,,,,,,
140,6614,1000,0,0,0,0,2045,2045,230,230,0,0,307,,,,,,,,,,,,,,,,,,,,,,
141,6720,1000,0,0,0,0,2072,2072,233,233,0,0,311,,,,,,,,,,,,,,,,,,,,,,
142,6832,1000,0,0,0,0,2100,2100,236,236,0,0,315,,,,,,,,,,,,,,,,,,,,,,
143,6944,1000,0,0,0,0,2129,2129,239,239,0,0,319,,,,,,,,,,,,,,,,,,,,,,
144,7055,1000,0,0,0,0,2157,2157,243,243,0,0,324,,,,,,,,,,,,,,,,,,,,,,
145,7167,1000,0,0,0,0,2186,2186,246,246,0,0,328,,,,,,,,,,,,,,,,,,,,,,
146,7279,1000,0,0,0,0,2214,2214,249,249,0,0,332,,,,,,,,,,,,,,,,,,,,,,
147,7397,1000,0,0,0,0,2244,2244,252,252,0,0,336,,,,,,,,,,,,,,,,,,,,,,
148,7515,1000,0,0,0,0,2273,2273,256,256,0,0,341,,,,,,,,,,,,,,,,,,,,,,
149,7632,1000,0,0,0,0,2303,2303,259,259,0,0,345,,,,,,,,,,,,,,,,,,,,,,
150,7750,1000,0,0,0,0,2332,2332,263,263,0,0,350,,,,,,,,,,,,,,,,,,,,,,
151,7868,1000,0,0,0,0,2362,2362,266,266,0,0,354,,,,,,,,,,,,,,,,,,,,,,
152,7992,1000,0,0,0,0,2393,2393,269,269,0,0,359,,,,,,,,,,,,,,,,,,,,,,
153,8116,1000,0,0,0,0,2424,2424,273,273,0,0,364,,,,,,,,,,,,,,,,,,,,,,
154,8240,1000,0,0,0,0,2456,2456,276,276,0,0,368,,,,,,,,,,,,,,,,,,,,,,
155,8364,1000,0,0,0,0,2487,2487,280,280,0,0,373,,,,,,,,,,,,,,,,,,,,,,
156,8488,1000,0,0,0,0,2518,2518,283,283,0,0,378,,,,,,,,,,,,,,,,,,,,,,
157,8618,1000,0,0,0,0,2551,2551,287,287,0,0,383,,,,,,,,,,,,,,,,,,,,,,
158,8748,1000,0,0,0,0,2584,2584,291,291,0,0,388,,,,,,,,,,,,,,,,,,,,,,
159,8879,1000,0,0,0,0,2616,2616,294,294,0,0,392,,,,,,,,,,,,,,,,,,,,,,
160,9009,1000,0,0,0,0,2649,2649,298,298,0,0,397,,,,,,,,,,,,,,,,,,,,,,
161,9139,1000,0,0,0,0,2682,2682,302,302,0,0,402,,,,,,,,,,,,,,,,,,,,,,
162,9276,1000,0,0,0,0,2716,2716,306,306,0,0,407,,,,,,,,,,,,,,,,,,,,,,
163,9413,1000,0,0,0,0,2750,2750,310,310,0,0,412,,,,,,,,,,,,,,,,,,,,,,
164,9550,1000,0,0,0,0,2785,2785,313,313,0,0,418,,,,,,,,,,,,,,,,,,,,,,
165,9687,1000,0,0,0,0,2819,2819,317,317,0,0,423,,,,,,,,,,,,,,,,,,,,,,
166,9824,1000,0,0,0,0,2853,2853,321,321,0,0,428,,,,,,,,,,,,,,,,,,,,,,
167,9967,1000,0,0,0,0,2889,2889,325,325,0,0,433,,,,,,,,,,,,,,,,,,,,,,
168,10111,1000,0,0,0,0,2925,2925,329,329,0,0,439,,,,,,,,,,,,,,,,,,,,,,
169,10254,1000,0,0,0,0,2960,2960,333,333,0,0,444,,,,,,,,,,,,,,,,,,,,,,
170,10398,1000,0,0,0,0,2996,2996,337,337,0,0,450,,,,,,,,,,,,,,,,,,,,,,
171,10541,1000,0,0,0,0,3032,3032,341,341,0,0,455,,,,,,,,,,,,,,,,,,,,,,
172,10691,1000,0,0,0,0,3069,3069,345,345,0,0,461,,,,,,,,,,,,,,,,,,,,,,
173,10842,1000,0,0,0,0,3107,3107,349,349,0,0,466,,,,,,,,,,,,,,,,,,,,,,
174,10992,1000,0,0,0,0,3144,3144,354,354,0,0,472,,,,,,,,,,,,,,,,,,,,,,
175,11143,1000,0,0,0,0,3182,3182,358,358,0,0,477,,,,,,,,,,,,,,,,,,,,,,
176,11293,1000,0,0,0,0,3219,3219,362,362,0,0,483,,,,,,,,,,,,,,,,,,,,,,
177,11450,1000,0,0,0,0,3258,3258,366,366,0,0,489,,,,,,,,,,,,,,,,,,,,,,
178,11608,1000,0,0,0,0,3297,3297,371,371,0,0,495,,,,,,,,,,,,,,,,,,,,,,
179,11765,1000,0,0,0,0,3337,3337,375,375,0,0,500,,,,,,,,,,,,,,,,,,,,,,
180,11923,1000,0,0,0,0,3376,3376,380,380,0,0,506,,,,,,,,,,,,,,,,,,,,,,
181,12080,1000,0,0,0,0,3415,3415,384,384,0,0,512,,,,,,,,,,,,,,,,,,,,,,
182,12245,1000,0,0,0,0,3456,3456,389,389,0,0,518,,,,,,,,,,,,,,,,,,,,,,
183,12409,1000,0,0,0,0,3497,3497,393,393,0,0,524,,,,,,,,,,,,,,,,,,,,,,
184,12574,1000,0,0,0,0,3537,3537,398,398,0,0,531,,,,,,,,,,,,,,,,,,,,,,
185,12738,1000,0,0,0,0,3578,3578,402,402,0,0,537,,,,,,,,,,,,,,,,,,,,,,
186,12903,1000,0,0,0,0,3619,3619,407,407,0,0,543,,,,,,,,,,,,,,,,,,,,,,
187,13075,1000,0,0,0,0,3662,3662,412,412,0,0,549,,,,,,,,,,,,,,,,,,,,,,
188,13247,1000,0,0,0,0,3705,3705,417,417,0,0,556,,,,,,,,,,,,,,,,,,,,,,
189,13418,1000,0,0,0,0,3747,3747,421,421,0,0,562,,,,,,,,,,,,,,,,,,,,,,
190,13590,1000,0,0,0,0,3790,3790,426,426,0,0,569,,,,,,,,,,,,,,,,,,,,,,
191,13762,1000,0,0,0,0,3833,3833,431,431,0,0,575,,,,,,,,,,,,,,,,,,,,,,
192,13941,1000,0,0,0,0,3877,3877,436,436,0,0,582,,,,,,,,,,,,,,,,,,,,,,
193,14121,1000,0,0,0,0,3922,3922,441,441,0,0,588,,,,,,,,,,,,,,,,,,,,,,
194,14300,1000,0,0,0,0,3966,3966,446,446,0,0,595,,,,,,,,,,,,,,,,,,,,,,
195,14480,1000,0,0,0,0,4011,4011,451,451,0,0,601,,,,,,,,,,,,,,,,,,,,,,
196,14659,1000,0,0,0,0,4055,4055,456,456,0,0,608,,,,,,,,,,,,,,,,,,,,,,
197,14846,1000,0,0,0,0,4101,4101,461,461,0,0,615,,,,,,,,,,,,,,,,,,,,,,
198,15033,1000,0,0,0,0,4147,4147,466,466,0,0,622,,,,,,,,,,,,,,,,,,,,,,
199,15220,1000,0,0,0,0,4194,4194,472,472,0,0,629,,,,,,,,,,,,,,,,,,,,,,
200,15407,1000,0,0,0,0,4240,4240,477,477,0,0,636,,,,,,,,,,,,,,,,,,,,,,
201,15594,1000,0,0,0,0,4286,4286,482,482,0,0,643,,,,,,,,,,,,,,,,,,,,,,
202,15789,1000,0,0,0,0,4334,4334,487,487,0,0,650,,,,,,,,,,,,,,,,,,,,,,
203,15984,1000,0,0,0,0,4382,4382,493,493,0,0,657,,,,,,,,,,,,,,,,,,,,,,
204,16178,1000,0,0,0,0,4431,4431,498,498,0,0,665,,,,,,,,,,,,,,,,,,,,,,
205,16373,1000,0,0,0,0,4479,4479,504,504,0,0,672,,,,,,,,,,,,,,,,,,,,,,
206,16568,1000,0,0,0,0,4527,4527,509,509,0,0,679,,,,,,,,,,,,,,,,,,,,,,
207,16771,1000,0,0,0,0,4577,4577,515,515,0,0,687,,,,,,,,,,,,,,,,,,,,,,
208,16974,1000,0,0,0,0,4627,4627,521,521,0,0,694,,,,,,,,,,,,,,,,,,,,,,
209,17176,1000,0,0,0,0,4678,4678,526,526,0,0,702,,,,,,,,,,,,,,,,,,,,,,
210,17379,1000,0,0,0,0,4728,4728,532,532,0,0,709,,,,,,,,,,,,,,,,,,,,,,
211,17582,1000,0,0,0,0,4778,4778,538,538,0,0,717,,,,,,,,,,,,,,,,,,,,,,
212,17793,1000,0,0,0,0,4830,4830,544,544,0,0,725,,,,,,,,,,,,,,,,,,,,,,
213,18004,1000,0,0,0,0,4882,4882,550,550,0,0,733,,,,,,,,,,,,,,,,,,,,,,
214,18214,1000,0,0,0,0,4935,4935,555,555,0,0,740,,,,,,,,,,,,,,,,,,,,,,
215,18425,1000,0,0,0,0,4987,4987,561,561,0,0,748,,,,,,,,,,,,,,,,,,,,,,
216,18636,1000,0,0,0,0,5039,5039,567,567,0,0,756,,,,,,,,,,,,,,,,,,,,,,
217,18855,1000,0,0,0,0,5093,5093,573,573,0,0,764,,,,,,,,,,,,,,,,,,,,,,
218,19075,1000,0,0,0,0,5147,5147,579,579,0,0,772,,,,,,,,,,,,,,,,,,,,,,
219,19294,1000,0,0,0,0,5202,5202,585,585,0,0,781,,,,,,,,,,,,,,,,,,,,,,
220,19514,1000,0,0,0,0,5256,5256,591,591,0,0,789,,,,,,,,,,,,,,,,,,,,,,
221,19733,1000,0,0,0,0,5310,5310,597,597,0,0,797,,,,,,,,,,,,,,,,,,,,,,
222,19961,1000,0,0,0,0,5366,5366,603,603,0,0,805,,,,,,,,,,,,,,,,,,,,,,
223,20188,1000,0,0,0,0,5423,5423,610,610,0,0,814,,,,,,,,,,,,,,,,,,,,,,
224,20416,1000,0,0,0,0,5479,5479,616,616,0,0,822,,,,,,,,,,,,,,,,,,,,,,
225,20643,1000,0,0,0,0,5536,5536,623,623,0,0,831,,,,,,,,,,,,,,,,,,,,,,
226,20871,1000,0,0,0,0,5592,5592,629,629,0,0,839,,,,,,,,,,,,,,,,,,,,,,
227,21107,1000,0,0,0,0,5650,5650,636,636,0,0,848,,,,,,,,,,,,,,,,,,,,,,
228,21343,1000,0,0,0,0,5709,5709,642,642,0,0,857,,,,,,,,,,,,,,,,,,,,,,
229,21580,1000,0,0,0,0,5767,5767,649,649,0,0,865,,,,,,,,,,,,,,,,,,,,,,
230,21816,1000,0,0,0,0,5826,5826,655,655,0,0,874,,,,,,,,,,,,,,,,,,,,,,
231,22052,1000,0,0,0,0,5884,5884,662,662,0,0,883,,,,,,,,,,,,,,,,,,,,,,
232,22297,1000,0,0,0,0,5945,5945,669,669,0,0,892,,,,,,,,,,,,,,,,,,,,,,
233,22542,1000,0,0,0,0,6005,6005,676,676,0,0,901,,,,,,,,,,,,,,,,,,,,,,
234,22788,1000,0,0,0,0,6066,6066,682,682,0,0,910,,,,,,,,,,,,,,,,,,,,,,
235,23033,1000,0,0,0,0,6126,6126,689,689,0,0,919,,,,,,,,,,,,,,,,,,,,,,
236,23278,1000,0,0,0,0,6187,6187,696,696,0,0,928,,,,,,,,,,,,,,,,,,,,,,
237,23532,1000,0,0,0,0,6250,6250,703,703,0,0,937,,,,,,,,,,,,,,,,,,,,,,
238,23786,1000,0,0,0,0,6313,6313,710,710,0,0,947,,,,,,,,,,,,,,,,,,,,,,
239,24040,1000,0,0,0,0,6375,6375,717,717,0,0,956,,,,,,,,,,,,,,,,,,,,,,
240,24294,1000,0,0,0,0,6438,6438,724,724,0,0,966,,,,,,,,,,,,,,,,,,,,,,
241,24548,1000,0,0,0,0,6501,6501,731,731,0,0,975,,,,,,,,,,,,,,,,,,,,,,
242,24811,1000,0,0,0,0,6566,6566,738,738,0,0,985,,,,,,,,,,,,,,,,,,,,,,
243,25074,1000,0,0,0,0,6631,6631,746,746,0,0,995,,,,,,,,,,,,,,,,,,,,,,
244,25338,1000,0,0,0,0,6696,6696,753,753,0,0,1004,,,,,,,,,,,,,,,,,,,,,,
245,25601,1000,0,0,0,0,6761,6761,761,761,0,0,1014,,,,,,,,,,,,,,,,,,,,,,
246,25864,1000,0,0,0,0,6826,6826,768,768,0,0,1024,,,,,,,,,,,,,,,,,,,,,,
247,26136,1000,0,0,0,0,6893,6893,776,776,0,0,1034,,,,,,,,,,,,,,,,,,,,,,
248,26409,1000,0,0,0,0,6961,6961,783,783,0,0,1044,,,,,,,,,,,,,,,,,,,,,,
249,26681,1000,0,0,0,0,7028,7028,791,791,0,0,1054,,,,,,,,,,,,,,,,,,,,,,
250,26954,1000,0,0,0,0,7096,7096,798,798,0,0,1064,,,,,,,,,,,,,,,,,,,,,,
