"﻿变量名",name,_beizhu,name_tw,name_en,name_vn,name_kr,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
106,墨海马,,Horsea,Horsea,404404,쏘드라,,config/big_hero/standby/img_116_mhm@.png,config/portrait/jinglingtouxiang/img_116_mhm@.png,"Can move swiftly by using the dorsal fin on the back, facing forward and moving in all directions. Once it detects danger, it will spit out ink and escape.",能靈活地靠背上的背鰭移動，面朝前地向四面八方移動。一旦察覺危險時就會吐出墨汁逃跑。,"Can move swiftly by using the dorsal fin on the back, facing forward and moving in all directions. Once it detects danger, it will spit out ink and escape.",,등지느러미로 빠르게 움직일 수 있고 앞을 보고 사방팔방으로 이동한다. 위험을 감지하면 먹물을 분출하여 도망을 치다.,1,,0.5,300,<40;60>,55,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<608;612;622>},,,<3;999>,,80,118,,,,,,,2,12,8,<30;36>,0,<8;12>,1,12,9,<33;69>
107,霓虹鱼,,Lumineon,Lumineon,404404,네오라이트,,config/big_hero/standby/img_457_nhy@.png,config/portrait/jinglingtouxiang/img_457_nhy@.png,"When rainbow appears, it will use its body to reflect rainbow, and it often decorates the sea very beautifully.",彩虹出現時它會用身體與彩虹輝映，經常把海面裝點的格外漂亮。,"When rainbow appears, it will use its body to reflect rainbow, and it often decorates the sea very beautifully.",,무지개가 나타날 때는 그의 몸으로 무지개와 어울려 비추어 바다를 아름답게 꾸미곤 한다.,1,,0.5,300,<110;130>,125,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<608;612;622>},,,<3>,,80,,,,,,,,2,13,9,<33;39>,0,<8;12>,1,13,10,<37;76>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,吼吼鲸,,Wailmer,Wailmer,404404,고래왕자,,config/big_hero/standby/img_320_hhj@.png,config/portrait/jinglingtouxiang/img_320_hhj@.png,"Although it usually live in the sea, it can live on land for a short time. If its body is dry, it will become very weak.",雖然平時是住在海裡的寶可夢，不過只是短時間的話也可以在陸地生活。如果身體乾燥的話就會很沒有精神。,"Although it usually live in the sea, it can live on land for a short time. If its body is dry, it will become very weak.",,평소 바닷속에 사는 포켓몬이지만 짧은 시간이라면 육지에서 활동할 수 있다. 몸이 건조하면 기운이 없어진다.,1,,0.6,1000,<190;220>,215,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<603;613;623>},,,<1;999>,,30,100,,,,,,,3,12,9,<57;67>,0,<10;15>,1,12,10,<42;82>
202,古空棘鱼,,Relicanth,Relicanth,404404,시라칸,,config/big_hero/standby/img_369_gkjy@.png,config/portrait/jinglingtouxiang/img_369_gkjy@.png,"Its appearance has not changed much in 100 million years. It is a living fossil among Pokémons, mainly eating microorganisms.",一億年來外形都沒大的改變，是精靈中的活化石，以吃微生物為主。,"Its appearance has not changed much in 100 million years. It is a living fossil among Pokémons, mainly eating microorganisms.",,1억 년 동안 외형은 크게 변하지 않으니 포켓몬의 살아있는 화석이다. 미생물을 주로 먹는다.,1,,0.6,1000,<90;110>,105,<<2;11;0.5>;<11;14;0.2>;<14;19;0.1>>,{libs=<603;613;623>},,,<1>,,30,,,,,,,,3,7,5,<32;37>,0,<10;15>,1,7,6,<46;74>
203,鲶鱼王,,Whiscash,Whiscash,404404,메깅,,config/big_hero/standby/img_340_nyw@.png,config/portrait/jinglingtouxiang/img_340_nyw@.png,"It can cause earthquakes within 5km of the surrounding area, and it also has the magical power to predict the real earthquake.",可以引發周圍五公里範圍內的地震，同時它也有著能預知真正地震的神奇力量。,"It can cause earthquakes within 5km of the surrounding area, and it also has the magical power to predict the real earthquake.",,5km 근방의 지진을 유발하는 동시에 실제 지진을 예측할 수 있는 신기한 힘을 갖고 있다.,1,,0.54,1000,<80;120>,110,<<2;10;0.5>;<10;13;0.2>;<13;18;0.1>>,{libs=<606;616;623>},,,<2;999>,,30,100,,,,,,,3,8,7,<43;75>,0,<10;15>,1,8,8,<41;80>
204,鳃鱼海兽,,,,,어치르돈 ,,config/big_hero/standby/img_883_syhs@.png,config/portrait/jinglingtouxiang/img_883_syhs@.png,"It will freeze the surroundings to catch prey by releasing cold air, and the skin of its face will not be injured no matter what attack it receives.",會通過釋放冷氣來凍結四周捕捉獵物，面部的皮膚無論受到什麼攻擊都不會受傷。,"It will freeze the surroundings to catch prey by releasing cold air, and the skin of its face will not be injured no matter what attack it receives.",,냉기를 내보내 주위를 얼려서 사냥감을 포획하며 얼굴의 피부는 어떤 공격을 받더라도 다치지 않는다.,1,,0.54,1000,<190;220>,215,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<606;616;623>},,,<2>,,30,,,,,,,,3,11,9,<54;80>,0,<10;15>,1,11,10,<47;85>
205,玛瑙水母,,Tentacool,Tentacool,404404,왕눈해,,config/big_hero/standby/img_72_mnsm@.png,config/portrait/jinglingtouxiang/img_72_mnsm@.png,The water in the body refracts sunlight and converts it into beam energy. Emitted from the eyes that looked like crystals.,用身體內的水折射太陽光，將其轉化成光束的能量。從像是水晶的眼睛中發射出來。,The water in the body refracts sunlight and converts it into beam energy. Emitted from the eyes that looked like crystals.,,몸 안의 물로 태양빛을 굴절시켜 빔의 에너지로 전환해 수정처럼 보이는 눈에서 발사한다.,1,,0.5,1000,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<609;613;623>},,,<3>,,30,,,,,,,,3,10,8,<46;54>,0,<10;15>,1,10,9,<46;87>
206,章鱼桶,,Octillery,Octillery,404404,대포무노,,config/big_hero/standby/img_224_zyt@.png,config/portrait/jinglingtouxiang/img_224_zyt@.png,Has the habit of drilling holes. Will snatch other Pokémon's lair and sleep in it.,有著愛鑽洞的習性。會搶奪別人的巢穴，在裡面睡覺。,Has the habit of drilling holes. Will snatch other Pokémon's lair and sleep in it.,,구멍 뚫는 습성이 있다. 남의 둥지를 빼앗아 그 안에서 잔다.,1,,0.5,1000,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<609;613;623>},,,<3;999>,,30,100,,,,,,,3,10,8,<46;54>,0,<10;15>,1,10,9,<46;87>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,铁臂枪虾,Iron arm gun shrimp - one-time trigger - about 30 times,Clauncher,Clauncher,404404,완철포,spine,koudai_tiebiqiangxia/hero_tiebiqiangxia.skel,config/portrait/speedranktouxiang/img_692_tbqx@.png,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,從巨大的鉗子裡壓縮的水能像槍彈一樣擊出並且擊落飛行中的獵物,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,,"커다란 집게발로 압축한 물을 총알처럼 쏘아, 날고 있는 사냥감을 떨어뜨린다.",3.2,2,0.7,100,,,,{card={id=3471}},,,<1;2;3>,2,-1,,0.001,0.0123,3,1,1,3,2,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1012,铁臂枪虾,Iron arm gun shrimp - about 150 times,Clauncher,Clauncher,404404,완철포,spine,koudai_tiebiqiangxia/hero_tiebiqiangxia.skel,config/portrait/speedranktouxiang/img_692_tbqx@.png,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,從巨大的鉗子裡壓縮的水能像槍彈一樣擊出並且擊落飛行中的獵物,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,,"커다란 집게발로 압축한 물을 총알처럼 쏘아, 날고 있는 사냥감을 떨어뜨린다.",3.2,2,0.7,100,,,,{card={id=3471}},,,<1;2;3>,2,-1,,0.02,0.0066,2,1,,3,2,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1021,稀有角金鱼,Rare horned goldfish - trigger once - about 10 times,Rare Goldeen,Rare Goldeen,,드문 콘치,spine,koudai_jiaojinyu/hero_jiaojinyu.skel,config/portrait/jinglingtouxiang/img_118_jjy@.png,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",,물탱크에 넣으면 아주 두꺼운 유리라도 뿔로 부딪혀 부수고 도망한다.,3.2,2,0.7,300,,,,{card={id=541}},,,<1;2;3>,2,-1,,0.01,0.19,3,1,1,3,1,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1022,稀有角金鱼,Rare horned goldfish - around 100 times,Rare Goldeen,Rare Goldeen,,드문 콘치,spine,koudai_jiaojinyu/hero_jiaojinyu.skel,config/portrait/jinglingtouxiang/img_118_jjy@.png,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",,물탱크에 넣으면 아주 두꺼운 유리라도 뿔로 부딪혀 부수고 도망한다.,3.2,2,0.7,300,,,,{card={id=541}},,,<1;2;3>,2,-1,,0.001,0.019,2,1,,3,1,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1031,暴鲤龙,Gyarados - one-time trigger - about 150 times,Gyarados,Gyarados,404404,갸라도스,spine,koudai_baolilong/hero_baolilong.skel,config/portrait/jinglingtouxiang/img_130_bll@.png,It seems like to have a low chance to get Pokémon on hook,好像有極低概率直接釣到精靈哦,It seems like to have a low chance to get Pokémon on hook,,극도로 낮은 확률로 포켓몬을 낚을 수 있다.,3.2,2,0.7,1000,,,,{card={id=631}},,,<1;2;3>,2,-1,,0.00333,0.01,2,3,1,3,3,11,5,<0;100>,1,<10;15>,0,11,6,<0;0>
1032,暴鲤龙,Gyarados - about 500 times,Gyarados,Gyarados,404404,갸라도스,spine,koudai_baolilong/hero_baolilong.skel,config/portrait/jinglingtouxiang/img_130_bll@.png,It seems like to have a low chance to get Pokémon on hook,好像有極低概率直接釣到精靈哦,It seems like to have a low chance to get Pokémon on hook,,극도로 낮은 확률로 포켓몬을 낚을 수 있다.,3.2,2,0.7,1000,,,,{card={id=631}},,,<1;2;3>,2,-1,,0.0005,0.0035,1,3,,3,3,11,5,<0;100>,1,<10;15>,0,11,6,<0;0>
1041,水跃鱼,Water Leaping Fish - one-time trigger - about 250 times,Mudkip,Mudkip,404404,물짱이,spine,koudai_shuiyueyu/hero_shuiyueyu.skel,config/portrait/jinglingtouxiang/img_258_syy@.png,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",在水中依靠臉頰的腮呼吸，遇險時發揮的力量足以粉碎比自己還大的岩石。 頭上的鰭有雷達的作用，可以判別周圍的狀況,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",,물속에서 뺨의 아가미로 호흡을 하고고 조난을 당했을 때 발휘하는 힘은 자신보다 큰 바위를 분쇄하기도 한다. 머리 위의 지느러미는 레이더같은 역할을 하여 주위 상황을 판별할 수 있다.,3.2,2,0.7,1000,,,,{card={id=1311}},,,<1;2;3>,2,-1,,0.002,0.006,2,3,1,3,3,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1042,水跃鱼,Water jump fish - about 600 times,Mudkip,Mudkip,404404,물짱이,spine,koudai_shuiyueyu/hero_shuiyueyu.skel,config/portrait/jinglingtouxiang/img_258_syy@.png,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",在水中依靠臉頰的腮呼吸，遇險時發揮的力量足以粉碎比自己還大的岩石。 頭上的鰭有雷達的作用，可以判別周圍的狀況,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",,물속에서 뺨의 아가미로 호흡을 하고고 조난을 당했을 때 발휘하는 힘은 자신보다 큰 바위를 분쇄하기도 한다. 머리 위의 지느러미는 레이더같은 역할을 하여 주위 상황을 판별할 수 있다.,3.2,2,0.7,1000,,,,{card={id=1311}},,,<1;2;3>,2,-1,,0.0004,0.0028,1,3,,3,3,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,暴鲤龙碎片,Gyarados Shard,Gyarados Shard,Gyarados Shard,,갸라도스 조각,,config/big_hero/standby/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,아쉽게도 그는 조각밖에 없다.,1.3,,0.7,500,,,,{20631=1},,,,,15,,,,,,,,3,11,5,<0;100>,1,<15;20>,0,11,6,<0;0>
1102,暴鲤龙碎片,Gyarados Shard,Gyarados Shard,Gyarados Shard,,갸라도스 조각,,config/big_hero/standby/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,아쉽게도 그는 조각밖에 없다.,1.3,,0.7,500,,,,{20631=2},,,,,15,,,,,,,,3,11,5,<0;100>,1,<15;20>,0,11,6,<0;0>
1111,水跃鱼碎片,Water Leap Fish Fragments,Mudkip Shard,Mudkip Shard,,물짱이 조각,,config/big_hero/standby/img_258_syy@.png,config/portrait/jinglingtouxiang/img_258_syy@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,아쉽게도 그는 조각밖에 없다.,1.6,,0.7,500,,,,{21311=1},,,,,15,,,,,,,,3,11,5,<19;24>,1,<15;20>,0,11,6,<27;44>
1112,水跃鱼碎片,Water Leap Fish Fragments,Mudkip Shard,Mudkip Shard,,물짱이 조각,,config/big_hero/standby/img_258_syy@.png,config/portrait/jinglingtouxiang/img_258_syy@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,아쉽게도 그는 조각밖에 없다.,1.6,,0.7,500,,,,{21311=2},,,,,15,,,,,,,,3,11,5,<19;24>,1,<15;20>,0,11,6,<27;44>
