"﻿变量名",treeID,depth,name,name_tw,name_en,name_vn,name_kr,icon,iconRate,preTalentIDs,preLevel,costID,levelUp,effectType,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,desc,desc_tw,desc_en,desc_vn,desc_kr
108,1,4,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj2.png,,<104;105>,3,4,5,1,,18,<3000;4000;5000;6000;8000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase Block Break rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s破抵禦率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase Block Break rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 저항 무시율 %s 증가
109,1,4,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj3.png,,<105;106>,3,4,5,1,,11,<10%;16%;22%;28%;34%>,12,<10%;16%;22%;28%;34%>,,,"In the battle between non-players in this server gym, all the Pokémon on the battlefield increase P. &Sp. DEF ignorance by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙防忽視,"In the battle between non-players in this server gym, all the Pokémon on the battlefield increase P. &Sp. DEF ignorance by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 방어력 무시 %s 증가
110,1,4,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj4.png,,<106>,3,4,5,1,,29,<2000;2500;3000;3500;5000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s屬性克制,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 타입 상성 피해 %s 증가
111,1,5,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj.png,,<107;108>,3,5,5,2,63001,,,,,,,"The first Ultimate Skill must be a critical attack, and Crit damage increase by $(20+skilllevel*4)$% temporarily",首次必殺技必然暴擊，暴擊傷害臨時提升$(20+skilllevel*4)$%,"The first Ultimate Skill must be a critical attack, and Crit damage increase by $(20+skilllevel*4)$% temporarily",404,"첫 필살기 발동시 반드시 치명타, 치명타 피해량 잠시 $(20+skilllevel*4)$% 증가"
112,1,5,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj.png,,<108;109>,3,5,5,2,63002,,,,,,,"At the first round of the battle, get an extra $(250+skilllevel*70)$ anger",戰鬥首回合開始，額外獲得$(250+skilllevel*70)$點怒氣,"At the first round of the battle, get an extra $(250+skilllevel*70)$ anger",404,전투 시작 시 분노치 $(250+skilllevel*70)$ 추가로 획득
113,1,5,Damage bonus,輸出加成,Damage bonus,404,공격력 버프,config/card_ability/icon_gj.png,,<109;110>,3,5,5,2,63003,,,,,,,"Damage increased by $(5+skilllevel*2)$% for each attack permanently , which can be stacked for 15 times",每次攻擊傷害永久提升$(5+skilllevel*2)$%，可疊加15層,"Damage increased by $(5+skilllevel*2)$% for each attack permanently , which can be stacked for 15 times",404,공격할 때마다 $(5+skilllevel*2)$%씩 증가한다. 최대 중첩 수: 15
,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,1,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy_1.png,,,,1,5,1,,9,<4%;8%;12%;16%;20%>,10,<4%;8%;12%;16%;20%>,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s P. & Sp.DEF",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙防,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s P. & Sp.DEF",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 방어력 %s 증가
202,2,2,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy1.png,,<201>,2,2,5,1,,1,<3%;6%;9%;12%;15%>,,,,,"In the battle between non-players in this service hall, all Pokémon on the battlefield increase the HP upper limit by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s生命值上限,"In the battle between non-players in this service hall, all Pokémon on the battlefield increase the HP upper limit by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 최대 HP %s 증가
203,2,2,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy2.png,,<201>,2,2,5,1,,23,<300;600;900;1200;1500>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s damage reduction",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s傷害減免,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s damage reduction",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 피해 감소 %s 증가
204,2,3,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy1.png,,<202>,2,3,5,1,,17,<400;800;1200;1600;2000>,,,,,"In the battle between non-playersin this server gym, all Pokémon on the battlefield increase their Block rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s抵禦率,"In the battle between non-playersin this server gym, all Pokémon on the battlefield increase their Block rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 저항률 %s 증가
205,2,3,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy2.png,,<202;203>,2,3,5,1,,27,<400;800;1200;1600;2000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their DMG reflection rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s反彈率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their DMG reflection rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 반사율 %s 증가
206,2,3,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy3.png,,<203>,2,3,5,1,,25,<400;800;1200;1600;2000>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the Ult Skill DMG resistance by %s.",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s必殺傷害抗性,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the Ult Skill DMG resistance by %s.",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 필사기 피해 저항 %s 증가
207,2,4,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy1.png,,<204>,3,4,5,1,,17,<800;1400;2000;2600;3200>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Block Intensity by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s抵禦強度,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Block Intensity by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 저항 강도 %s 증가
208,2,4,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy2.png,,<204;205>,3,4,5,1,,9,<8%;14%;20%;26%;32%>,10,<8%;14%;20%;26%;32%>,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s P. & Sp.DEF",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙防,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s P. & Sp.DEF",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 방어력 %s 증가
209,2,4,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy3.png,,<205;206>,3,4,5,1,,1,<6%;10%;14%;18%;22%>,,,,,"In the battle between non-players in this service hall, all Pokémon on the battlefield increase the HP upper limit by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s生命值上限,"In the battle between non-players in this service hall, all Pokémon on the battlefield increase the HP upper limit by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 최대 HP %s 증가
210,2,4,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy1.png,,<206>,3,4,5,1,,16,<1000;1600;2200;2800;3400>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased their Crit resistance by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊抗性,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased their Crit resistance by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치명타 내성 %s 증가
211,2,5,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy.png,,<207;208>,3,5,5,2,63011,,,,,,,Get a shield at the start of battle for the amount of  $(30+skilllevel*5)$% HP limit for 2 rounds,開局獲得血量上限$(30+skilllevel*5)$%護盾2回合,Get a shield at the start of battle for the amount of  $(30+skilllevel*5)$% HP limit for 2 rounds,404,"전투 시작 시 최대 HP $(30+skilllevel*5)$% 획득, 실드 지속 시간: 2턴"
212,2,5,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy.png,,<208;209>,3,5,5,2,63012,,,,,,,"At the end of each big round, heal all allies by $(15+skilllevel*3)$% of lost HP",每個大回合結束恢復己方全體已損失生命值$(15+skilllevel*3)$%生命,"At the end of each big round, heal all allies by $(15+skilllevel*3)$% of lost HP",404,라운드 종료마다 아군 전체가 손실한 HP의 HP$(15+skilllevel*3)$%를 회복한다
213,2,5,Defense bonus,防守加成,Defense bonus,404,방어력 버프,config/card_ability/icon_fy.png,,<209;210>,3,5,5,2,63013,,,,,,,"Each time being attacked, restores an additional $(30+skilllevel*6)$ anger",每次受到攻擊額外恢復自身$(30+skilllevel*6)$點怒氣,"Each time being attacked, restores an additional $(30+skilllevel*6)$ anger",404,공격을 받을 따마다 분노치 $(30+skilllevel*6)$를 추가로 회복한다
,,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,1,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_ty.png,,,,1,5,1,,5,<300;600;900;1200;1500>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their rage recovery speed by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s回怒速度,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their rage recovery speed by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 분노 회복 속도 %s 증가
302,3,2,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_kz1.png,,<301>,2,2,5,2,63024,,,,,,,"In the battle between non-players in this server gym, the speed of the first round of the battle is increased by $(8+skilllevel*8)$%",本服道館非玩家間的戰鬥中，戰鬥開局首回合提升$(8+skilllevel*8)$%速度,"In the battle between non-players in this server gym, the speed of the first round of the battle is increased by $(8+skilllevel*8)$%",404,본 서버 체육관의 비 유저간의 전투 중 첫 턴에 $(8+skilllevel*8)$% 스피드 증가
303,3,2,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_kz1.png,,<301>,2,2,5,1,,13,<3%;6%;9%;12%;15%>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their speed by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s速度,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their speed by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 스피드 %s 증가
304,3,3,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_kz2.png,,<302>,2,3,5,1,,95,<300;600;900;1200;1500>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their dodge rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s閃避率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their dodge rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 회피율 %s 증가
305,3,3,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_ty.png,,<302;303>,2,3,5,1,,91,<300;600;900;1200;1500>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their control resist rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s免控率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their control resist rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 면역률 %s 증가
306,3,3,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_hf2.png,,<303>,2,3,5,1,,90,<300;600;900;1200;1500>,,,,,"In the battle between non-playersin this server gym, all the Pokémon in the battle will increase their control rate by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s控制率,"In the battle between non-playersin this server gym, all the Pokémon in the battle will increase their control rate by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 제어율 %s 증가
307,3,4,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_kz1.png,,<304>,3,4,5,2,63025,,,,,,,There is a $(2+skilllevel*2)$% chance of avoiding death once in the battle between non-players in this service gym.,本服道館非玩家間的戰鬥中，戰鬥中有$(2+skilllevel*2)$%概率免死1次,There is a $(2+skilllevel*2)$% chance of avoiding death once in the battle between non-players in this service gym.,404,본 서버 체육관의 비 유저간의 전투 중 $(2+skilllevel*2)$%의 확률로 1회 죽음 면역
308,3,4,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_hf3.png,,<304;305>,3,4,5,1,,26,<600;1000;1400;1800;2200>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s lifesteal",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s吸血,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s lifesteal",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 흡혈 %s 증가
309,3,4,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_kz3.png,,<305;306>,3,4,5,1,,28,<600;1000;1400;1800;2200>,,,,,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their healing effect by %s",本服道館非玩家間的戰鬥中，所有上陣精靈提升%s治療率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their healing effect by %s",404,본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치료율 %s 증가
310,3,4,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_hf3.png,,<306>,3,4,5,2,63026,,,,,,,"In the battle between non-players of this service gym, increase the negative resistance by $(4+skilllevel*4)$%",本服道館非玩家間的戰鬥中，提升$(4+skilllevel*4)$%的負面抗性,"In the battle between non-players of this service gym, increase the negative resistance by $(4+skilllevel*4)$%",404,본 서버 체육관의 비 유저간의 전투 중 디버프 저항 $(4+skilllevel*4)$% 증가
311,3,5,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_kz.png,,<307;308>,3,5,5,2,63021,,,,,,,"When ally Pokémon receive a control effect, $(50+skilllevel*10)$% chance to immediately dispel 1 control effect, and only trigger 5 times in the entire battle",己方任何精靈受到控制效果時$(50+skilllevel*10)$%概率立即驅散1個控制效果，全場僅觸發5次,"When ally Pokémon receive a control effect, $(50+skilllevel*10)$% chance to immediately dispel 1 control effect, and only trigger 5 times in the entire battle",404,"아군 포켓콘이 제어 효과를 받을 시 $(50+skilllevel*10)$% 확률로 즉시 1개의 제어 효과를 제거하며, 전장에서 단 5회만 발동한다."
312,3,5,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_hf.png,,<308;309>,3,5,5,2,63022,,,,,,,"Each attack comes with a permanent reduction of the target's healing effect by $(20+skilllevel*3)$% (unable to dispel), which can be stacked for 6 times",每次攻擊附帶永久降低目標$(20+skilllevel*3)$%的治療效果（不可驅散），可疊加6層,"Each attack comes with a permanent reduction of the target's healing effect by $(20+skilllevel*3)$% (unable to dispel), which can be stacked for 6 times",404,"공격할 때마다 목표 $(20+skilllevel*3)$%의 치료 효과 영구적으로 감소한다 (디스펠 불가), 최대 중첩 수: 6회"
313,3,5,Skill bonus,技巧加成,Skill bonus,404,기술 버프,config/card_ability/icon_hf.png,,<309;310>,3,5,5,2,63023,,,,,,,"Increase speed by $(10+skilllevel*2)$% for 2 rounds. Before the start of the round, you will lost your current HP to regenerate anger. If the HP is lower than a certain value, it will not trigger",提升$(10+skilllevel*2)$%速度2回合，回合開始前損失自身當前血量給自身回怒，血量低於一定值不觸發,"Increase speed by $(10+skilllevel*2)$% for 2 rounds. Before the start of the round, you will lost your current HP to regenerate anger. If the HP is lower than a certain value, it will not trigger",404,"2턴 간 $(10+skilllevel*2)$% 스피드 증가, 턴이 시작되기 전에 자신의 HP를 손실하여 분노치를 회복하며 HP가 일정한 수치 이하 시 발동되지 않는다"
