"﻿变量名",_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,palce,palce_tw,palce_en,palce_vn,palce_kr,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr
80041,Bankira + Gulardo,,1,5,1,1,,,,3,2,1,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",,,,,,,,,,,<<<9;13>;1;0;10%>;<<9>;23;0;1000>;<<10>;22;0;6000>>,,,,,
80042,Gulardo,,1,5,2,1,,,,3,2,4,,,,,,,,,,,,,,,,,Groudon hates Flying type Pokémon in particular! \nGroudon hates Flying type Pokémon in particular! ! \nGroudon hates Flying type Pokémon in particular! ！！,固拉多特別仇視飛行系精靈！\n固拉多特別仇視飛行系精靈！！\n固拉多特別仇視飛行系精靈！！！,Groudon hates Flying type Pokémon in particular! \nGroudon hates Flying type Pokémon in particular! ! \nGroudon hates Flying type Pokémon in particular! ！！,404,그란돈은 비행 타입 포켓몬이 싫다!\n그란돈은 비행 타입 포켓몬이 아주 싫다!!\n그란돈은 비행 타입 포켓몬이 아주 아주 싫다!!!
80043,Crystal Rock Snake,,1,5,1,1,,,,3,2,8,,,,,,,,,,,,,,,,<<<13;9>;1;0;10%>;<<13;9>;17;0;10000>;>,"The Crystal Onix is immune to control, negative effects and water type damage, and any attack to Crystal Onix’s ally will leads to a counterattack.\nGigalith Petrify itself for 10 rounds at start, and its Block Power is increased by 60%.\nSmall tip: The Crystal Onix is not afraid of water , then what is it afraid of?",水晶大巖蛇免疫控制、負面效果和水屬性傷害，且任何友方受到攻擊水晶大巖蛇都會進行反擊\n龐巖怪開場石化10回合，抵禦強度提升60%\n小提示：水晶大巖蛇不怕水，那怕什麽呢？,"The Crystal Onix is immune to control, negative effects and water type damage, and any attack to Crystal Onix’s ally will leads to a counterattack.\nGigalith Petrify itself for 10 rounds at start, and its Block Power is increased by 60%.\nSmall tip: The Crystal Onix is not afraid of water , then what is it afraid of?",404,"크리스털 롱스톤은 제어, 디버프 효과와 물 타입 피해에 면역된다. 어군 포켓몬이 공격받으면 크리스털 롱스톤은 반격한다\n기가이어스는 전투 시작 후 1턴 간 석화 상태로 되어 저항 강도 6% 증가한다\n팁: 크리스털 롱스톤은 물을 무서워하지 않는데 무엇을 무서워할 수 있을까?"
80044,Godzilla vs King Kong,,1,5,1,1,,,,3,2,9,,,,,,,,,,,,,,,,,#L10#Godzilla vs. Kong#L0#\n\nHow small are human beings are in front of the ultimate monster,#L10#哥斯拉大戰金剛#L0#\n\n在究極巨獸面前，人類是多麽的渺小,#L10#Godzilla vs. Kong#L0#\n\nHow small are human beings are in front of the ultimate monster,404,#L10#고질라와 금강의 대결#L0#\n\n큰 몬스터 앞에서 인간은 얼마나 작을까
80045,,,1,5,0,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
80046,,,1,5,0,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
80051,owner of rock,TRUE,1,,100,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101,Water system to send points,,2,11,1,1,,,,,,1,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)",,,,,,,,,,,<<<3>;1;0;5%>;<<2>;22;1;2000>>,,,,,
80102,Ice system to send points,,2,11,1,1,,,,,,2,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),,,,,,,,,,,<<<6>;1;0;5%>>,,,,,
80103,water ice delivery,,2,11,1,1,,,,,,7,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)",,,,,,,,,,,<<<3;6>;1;0;5%>>,,,,,
80104,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80105,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80106,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80111,Water System Yusanjia,,2,12,1,1,,,,,,1,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)",,,,,,,,,,,<<<3>;1;0;6%>>,\n Ultimate Evolution,\n進化の奧義,\n Ultimate Evolution,404,\n진화의 오의
80112,Lu Lili,,2,12,1,1,,,,,,2,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)",,,,,,,,,,,,\nThe name of dragon slayer is well earned,\n屠龍勇士絕非浪得虛名,\nThe name of dragon slayer is well earned,404,\n용을 잡아죽인 용사라는 것이 장난 아니야
80113,up to duck,,2,12,1,1,,,,,,6,,,,,,,,,,,,,,,,,"Ducky don't know anything, it no ducky business\n#C0xFFDEAD#Ducky is to free score",鴨鴨什麽都不知道，不關鴨鴨的事情\n#C0xFFDEAD#鴨鴨真的是來送分的,"Ducky don't know anything, it no ducky business\n#C0xFFDEAD#Ducky is to free score",404,"골덕은 아무것도 몰라요! 골덕은 아무 상관이 없어요!\n#C0xFFDEAD#골덕은 정말 점수를 먹이러 왔어요 "
80114,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80115,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80116,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80121,,,2,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
80122,retaliation,,2,13,1,1,,,,,,1,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)",,,,,,,,,,,,The damage reflection effect of all enemy Pokémons has been greatly increased\nThe damage of all allies Ultimate Skill has been greatly increased,敵方全體精靈反傷效果大幅提升\n我方全體必殺技傷害大幅提升,The damage reflection effect of all enemy Pokémons has been greatly increased\nThe damage of all allies Ultimate Skill has been greatly increased,404,적 전체 포켓몬 반사 피해 효과 대푹 증가\n아군 전체 필살기 피해 대푹 증가
80123,Snow Fairy,,2,13,1,1,,,,,,3,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),,,,,,,,,,,<<<6>;1;0;7%>>,"\nFroslass loves and protects the things they love and trust, especially their child Snorunt",\n雪妖女非常關愛和保護它們所愛和信任的東西，尤其是它們的小孩雪童子,"\nFroslass loves and protects the things they love and trust, especially their child Snorunt",404,\n눈여아는 사랑하고 믿은 것을 많이 소중하게 여긴다. 특히 그들의 아이 눈꼬마를 단단히 지켜준다
80124,Snow Fairy Minas,,2,13,1,1,,,,,,12,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)",,,,,,,,,,,,Froslass stealth in snow\n Milotic Dodge greatly increase in Rainy,雪妖女雪天持續隱身\n美納斯雨天閃避大幅提升,Froslass stealth in snow\n Milotic Dodge greatly increase in Rainy,,
80125,,,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80126,,,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80131,Snowflake+Marua,,2,14,1,1,,,,12,,1,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),,,,,,,,,,,,The speed of all enemy Pokémon has been greatly increased\nSneasel’s P.ATK in first round has been greatly increased,敵方全體精靈速度大幅提升\n瑪狃拉首回合物攻大幅提升,The speed of all enemy Pokémon has been greatly increased\nSneasel’s P.ATK in first round has been greatly increased,404,적 전체 포켓몬 스피드 대푹 증가\n포푸니라 첫 턴에 물리 공격 대푹 증가
80132,Riding Dragon + Water Dragon,,2,14,1,1,,,,12,,2,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)",,,,,,,,,,,<<<3>;1;0;6%>>,,,,,
80133,6 Gyarados,,2,14,1,1,,,,12,,5,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)",,,,,,,,,,,<<<3>;14;0;4000>;<<3>;15;0;5000>;<<3>;5;0;5000>;<<3>;24;0;2000>>,,,,,
80134,Red Gyarados,,2,14,1,1,,,,12,,8,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)",,,,,,,,,,,<<<3>;15;0;5000>;<<3>;24;0;2000>>,"The Red Gyarados is usually incompetent, but if you provokes it...",紅色暴鯉龍平時與世無爭，但如果激怒了它……,"The Red Gyarados is usually incompetent, but if you provokes it...",404,빨간 갸라도스는 보통 때 세상일에 무관심하지만 화가 나면…
80135,,,2,14,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
80136,,,2,14,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
80141,Water main lineup,,2,15,1,1,,,,13,12,1,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",404,"[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)",,,,,,,,,,,<<<3>;1;0;10%>;<<3>;16;0;3000>>,,,,,
