"﻿变量名",name,languages,name_tw,name_en,name_vn,name_kr,_beizhu,_rare,cardID,type,gate,gatePos,group,weight,cd,time,limitPos,exp,rate1,rate2,rate3,weightFix1,weightFix2,weightFix3,sceneTimes,totalTimes
1012,Doduo,,嘟嘟,Doduo,404404,두두,,B,351,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1013,Cubone,,卡拉卡拉,Cubone,404404,탕구리,,B,451,2,10408,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1014,Goldeen,,角金魚,Goldeen,404404,콘치,,B,541,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1015,Azurill,,露力麗,Azurill,404404,루리리,,B,891,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1016,Lotad,,蓮葉童子,Lotad,404404,연꽃몬,,B,1351,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1017,Phantump,,小木靈,Phantump,404404,나목령,,B,3561,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1018,Bulbasaur,,妙蛙種子,Bulbasaur,Diệu con ếch hạt giống,이상해씨,,A,1,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1019,Charmander,,小火龍,Charmander,Tiểu hỏa long,파이리,,A,11,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1020,Squirtle,,傑尼龜,Squirtle,404404,꼬부기,,A,21,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1021,Pidgey,,波波,Pidgey,404404,구구,,A,51,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1022,Pichu,,皮丘,Pichu,404404,피츄,,A,91,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1023,Cleffa,,皮寶寶,Cleffa,404404,삐,,A,131,2,10810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1024,Machop,,腕力,Machop,404404,알통몬,,A,271,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1025,Bellsprout,,喇叭芽,Bellsprout,404404,모다피,,A,281,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1026,Geodude,,小拳石,Geodude,404404,꼬마돌,,A,301,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1027,Grimer,,臭泥,Grimer,404404,질퍽이,,A,371,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1028,Tyrogue,,無畏小子,Tyrogue,404404,배루키,,A,461,2,10910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1029,Lickitung,,大舌頭,Lickitung,404404,내루미,,A,471,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1030,Koffing,,瓦斯彈,Koffing,404404,또가스,,A,481,2,11310,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1031,Staryu,,海星星,Staryu,404404,별가사리,,A,551,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1032,Kabuto,,化石盔,Kabuto,404404,투구,,A,691,2,11410,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1033,Chikorita,,菊草葉,Chikorita,404404,치코리타,,A,781,2,10306,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1034,Cyndaquil,,火球鼠,Cyndaquil,Hỏa cầu chuột,브케인,,A,791,2,10306,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1035,Totodile,,小鋸鱷,Totodile,404404,리아코,,A,801,2,11210,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1036,Igglybuff,<cn>,寶寶丁,Igglybuff,404404,푸푸린,,A,151,2,11410,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1037,Whismur,,咕妞妞,Whismur,404404,소곤룡,,A,1441,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1038,Numel,,呆火駝,Numel,404404,둔타,,A,1611,2,10408,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1039,Spheal,,海豹球,Spheal,404404,대굴레오,,A,1861,2,11110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1040,Turtwig,,草苗龜,Turtwig,404404,모부기,,A,2011,2,10510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1041,Shinx,,小貓怪,Shinx,404404,꼬링크,,A,2071,2,10510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1042,Croagunk,,不良蛙,Croagunk,404404,삐딱구리,,A,2271,2,10710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1043,Snover,,雪笠怪,Snover,404404,눈쓰개,,A,2301,2,11510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1044,Tepig,,暖暖豬,Tepig,404404,뚜꾸리,,A,2481,2,10408,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1045,Roggenrola,,石丸子,Roggenrola,404404,단굴,,A,2591,2,11610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1046,Drilbur,,螺釘地鼠,Drilbur,404404,두더류,,A,2611,2,11710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1047,Timburr,,搬運小匠,Timburr,404404,으랏차,,A,2631,2,10810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1048,Venipede,,百足蜈蚣,Venipede,404404,마디네,,A,2681,2,11210,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1049,Vanillite,,迷你冰,Vanillite,404404,바닐프티,,A,2871,2,11610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1050,Emolga,,電飛鼠,Emolga,404404,에몽가,,A,2891,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1051,Frillish - Female,,輕飄飄·雌,Frillish - Female,404404,탱그릴: 암컷,,A,2921,2,10610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1052,Frillish - Male,,輕飄飄·雄,Frillish - Male,404404,탱그릴: 수컷,,A,2922,2,10610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1053,Klink,,齒輪兒,Klink,404404,기어르,,A,2961,2,11510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1054,Cubchoo,,噴嚏熊,Cubchoo,404404,코고미,,A,3011,2,10910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1055,Chespin,,哈力栗,Chespin,404404,도치마론,,A,3281,2,11710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1056,Fennekin,,火狐狸,Fennekin,404404,푸호꼬,,A,3291,2,10710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1057,Litleo,,小獅獅,Litleo,404404,레오꼬,,A,3341,2,11010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1058,Swirlix,,綿綿泡芙,Swirlix,404404,나룸퍼프,,A,3431,2,11010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1059,Clauncher,,鐵臂槍蝦,Clauncher,404404,완철포,,A,3471,2,11110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1060,Amaura,,冰雪龍,Amaura,404404,아마루스,,A,3501,2,11310,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1061,Hawlucha,,摔角鷹人,Hawlucha,404404,루차불,,A,3511,2,11810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1062,Abra,,凱西,Abra,404404,캐이시,,S,261,2,11110,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1063,Magnemite,,小磁怪,Magnemite,404404,코일,,S,331,2,11410,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1064,Gastly,,鬼斯,Gastly,404404,고오스,,S,391,2,,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1065,Rhyhorn,,獨角犀牛,Rhyhorn,404404,뿔카노,,S,491,2,11710,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1066,Mareep,,咩利羊,Mareep,404404,메리프,,S,881,2,10510,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1067,Heracross,,赫拉克羅斯,Heracross,404404,헤라크로스,,S,1071,2,11210,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1068,Houndour,,戴魯比,Houndour,404404,델빌,,S,1171,2,10610,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1069,Treecko,,木守宮,Treecko,404404,나무지기,,S,1291,2,10710,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1070,Lapras,,拉魯拉絲,Lapras,404404,랄토스,,S,1391,2,10810,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1071,Duskull,,夜巡靈,Duskull,404404,해골몽,,S,1811,2,11510,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1072,Absol,,阿勃梭魯,Absol,404404,앱솔,,S,1841,2,11310,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1073,Sandile,,黑眼鱷,Sandile,404404,깜눈크,,S,2721,2,12010,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1074,Axew,,牙牙,Axew,404404,터검니,,S,3001,2,,{},3,0,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1075,Cryogonal,,幾何雪花,Cryogonal,404404,프리지오,,S,3021,2,11610,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1076,Deino,,單首龍,Deino,404404,모노두,,S,3141,2,11010,{},3,60,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1077,Flabébé,,花蓓蓓,Flabébé,404404,플라베베,,S,3351,2,,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1078,Honedge,,獨劍鞘,Honedge,404404,단칼빙,,S,3411,2,10910,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1079,Scyther,,飛天螳螂,Scyther,404404,스라크,,S,571,2,11810,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1080,Gothita,<cn;kr>,哥德寶寶,Gothita,404404,고디탱,,A,2841,2,11810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1081,Elekid,,電擊怪,Elekid,404404,에레키드,,S,591,2,11910,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1082,Psyduck,<cn>,可達鴨,Psyduck,404404,고라파덕,,A,221,2,11910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1083,Snorunt,,雪童子,Snorunt,404404,눈꼬마,,A,1851,2,11910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1084,Onix,,大岩蛇,Onix,404404,롱스톤,,S,401,2,12110,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1085,Farfetch'd,<cn>,大蔥鴨,Farfetch'd,404404,파오리,,A,341,2,12010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1086,Shuppet,<cn>,怨影娃娃,Shuppet,404404,어둠대신,,A,1801,2,12110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1087,Sneasel,,狃拉,Sneasel,404,404,,S,1081,2,12210,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
