变量名,huodongID,level,damage,award,boxRes
115,1002,15,126430000,{513=16;514=5;900=8;901=5;902=3;2102=3},config/world_boss/box/icon_lh_3_5.png
116,1002,16,165670000,{513=17;514=5;900=8;901=5;902=3;2102=3},config/world_boss/box/icon_lh_4_1.png
117,1002,17,214080000,{513=18;514=6;900=9;901=6;902=3;2102=4},config/world_boss/box/icon_lh_4_2.png
118,1002,18,273200000,{513=19;514=6;900=9;901=6;902=3;2102=4},config/world_boss/box/icon_lh_4_3.png
119,1002,19,344760000,{513=20;514=6;900=10;901=6;902=3;2102=5},config/world_boss/box/icon_lh_4_4.png
120,1002,20,430670000,{513=21;514=7;900=10;901=7;902=4;2102=5},config/world_boss/box/icon_lh_4_5.png
,,,,,
201,1003,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
202,1003,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
203,1003,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
204,1003,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
205,1003,5,1880000,{513=6;514=2;900=3;901=2;902=1;850=20},config/world_boss/box/icon_lh_1_5.png
206,1003,6,3580000,{513=7;514=2;900=3;901=2;902=1;850=20},config/world_boss/box/icon_lh_2_1.png
207,1003,7,6290000,{513=8;514=2;900=4;901=2;902=1;850=20},config/world_boss/box/icon_lh_2_2.png
208,1003,8,10380000,{513=9;514=3;900=4;901=3;902=1;850=20},config/world_boss/box/icon_lh_2_3.png
209,1003,9,16280000,{513=10;514=3;900=5;901=3;902=1;850=40},config/world_boss/box/icon_lh_2_4.png
210,1003,10,24530000,{513=11;514=3;900=5;901=3;902=2;850=40},config/world_boss/box/icon_lh_2_5.png
211,1003,11,35740000,{513=12;514=4;900=6;901=4;902=2;850=40},config/world_boss/box/icon_lh_3_1.png
212,1003,12,50640000,{513=13;514=4;900=6;901=4;902=2;850=40},config/world_boss/box/icon_lh_3_2.png
213,1003,13,70070000,{513=14;514=4;900=7;901=4;902=2;850=60},config/world_boss/box/icon_lh_3_3.png
214,1003,14,94970000,{513=15;514=5;900=7;901=5;902=2;850=60},config/world_boss/box/icon_lh_3_4.png
215,1003,15,126430000,{513=16;514=5;900=8;901=5;902=3;850=60},config/world_boss/box/icon_lh_3_5.png
216,1003,16,165670000,{513=17;514=5;900=8;901=5;902=3;850=60},config/world_boss/box/icon_lh_4_1.png
217,1003,17,214080000,{513=18;514=6;900=9;901=6;902=3;850=80},config/world_boss/box/icon_lh_4_2.png
218,1003,18,273200000,{513=19;514=6;900=9;901=6;902=3;850=80},config/world_boss/box/icon_lh_4_3.png
219,1003,19,344760000,{513=20;514=6;900=10;901=6;902=3;850=100},config/world_boss/box/icon_lh_4_4.png
220,1003,20,430670000,{513=21;514=7;900=10;901=7;902=4;850=100},config/world_boss/box/icon_lh_4_5.png
,,,,,
301,1004,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
302,1004,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
303,1004,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
304,1004,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
305,1004,5,1880000,{513=6;514=2;900=3;901=2;902=1;451=6},config/world_boss/box/icon_lh_1_5.png
306,1004,6,3580000,{513=7;514=2;900=3;901=2;902=1;451=6},config/world_boss/box/icon_lh_2_1.png
307,1004,7,6290000,{513=8;514=2;900=4;901=2;902=1;451=6},config/world_boss/box/icon_lh_2_2.png
308,1004,8,10380000,{513=9;514=3;900=4;901=3;902=1;451=6},config/world_boss/box/icon_lh_2_3.png
309,1004,9,16280000,{513=10;514=3;900=5;901=3;902=1;451=12},config/world_boss/box/icon_lh_2_4.png
310,1004,10,24530000,{513=11;514=3;900=5;901=3;902=2;451=12},config/world_boss/box/icon_lh_2_5.png
311,1004,11,35740000,{513=12;514=4;900=6;901=4;902=2;451=12},config/world_boss/box/icon_lh_3_1.png
312,1004,12,50640000,{513=13;514=4;900=6;901=4;902=2;451=12},config/world_boss/box/icon_lh_3_2.png
313,1004,13,70070000,{513=14;514=4;900=7;901=4;902=2;451=18},config/world_boss/box/icon_lh_3_3.png
314,1004,14,94970000,{513=15;514=5;900=7;901=5;902=2;451=18},config/world_boss/box/icon_lh_3_4.png
315,1004,15,126430000,{513=16;514=5;900=8;901=5;902=3;451=18},config/world_boss/box/icon_lh_3_5.png
316,1004,16,165670000,{513=17;514=5;900=8;901=5;902=3;451=18},config/world_boss/box/icon_lh_4_1.png
317,1004,17,214080000,{513=18;514=6;900=9;901=6;902=3;451=24},config/world_boss/box/icon_lh_4_2.png
318,1004,18,273200000,{513=19;514=6;900=9;901=6;902=3;451=24},config/world_boss/box/icon_lh_4_3.png
319,1004,19,344760000,{513=20;514=6;900=10;901=6;902=3;451=30},config/world_boss/box/icon_lh_4_4.png
320,1004,20,430670000,{513=21;514=7;900=10;901=7;902=4;451=30},config/world_boss/box/icon_lh_4_5.png
,,,,,
401,1005,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
402,1005,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
403,1005,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
404,1005,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
405,1005,5,1880000,{513=6;514=2;900=3;901=2;902=1},config/world_boss/box/icon_lh_1_5.png
406,1005,6,3580000,{513=7;514=2;900=3;901=2;902=1},config/world_boss/box/icon_lh_2_1.png
407,1005,7,6290000,{513=8;514=2;900=4;901=2;902=1},config/world_boss/box/icon_lh_2_2.png
408,1005,8,10380000,{513=9;514=3;900=4;901=3;902=1},config/world_boss/box/icon_lh_2_3.png
409,1005,9,16280000,{513=10;514=3;900=5;901=3;902=1},config/world_boss/box/icon_lh_2_4.png
410,1005,10,24530000,{513=11;514=3;900=5;901=3;902=2;talent_point=1},config/world_boss/box/icon_lh_2_5.png
411,1005,11,35740000,{513=12;514=4;900=6;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_1.png
412,1005,12,50640000,{513=13;514=4;900=6;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_2.png
413,1005,13,70070000,{513=14;514=4;900=7;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_3.png
414,1005,14,94970000,{513=15;514=5;900=7;901=5;902=2;talent_point=1},config/world_boss/box/icon_lh_3_4.png
415,1005,15,126430000,{513=16;514=5;900=8;901=5;902=3;talent_point=1},config/world_boss/box/icon_lh_3_5.png
416,1005,16,165670000,{513=17;514=5;900=8;901=5;902=3;talent_point=1},config/world_boss/box/icon_lh_4_1.png
417,1005,17,214080000,{513=18;514=6;900=9;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_2.png
418,1005,18,273200000,{513=19;514=6;900=9;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_3.png
419,1005,19,344760000,{513=20;514=6;900=10;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_4.png
420,1005,20,430670000,{513=21;514=7;900=10;901=7;902=4;talent_point=1},config/world_boss/box/icon_lh_4_5.png
,,,,,
501,1006,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
502,1006,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
503,1006,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
504,1006,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
505,1006,5,1880000,{513=6;514=2;900=3;901=2;902=1;2102=1},config/world_boss/box/icon_lh_1_5.png
506,1006,6,3580000,{513=7;514=2;900=3;901=2;902=1;2102=1},config/world_boss/box/icon_lh_2_1.png
507,1006,7,6290000,{513=8;514=2;900=4;901=2;902=1;2102=1},config/world_boss/box/icon_lh_2_2.png
508,1006,8,10380000,{513=9;514=3;900=4;901=3;902=1;2102=1},config/world_boss/box/icon_lh_2_3.png
509,1006,9,16280000,{513=10;514=3;900=5;901=3;902=1;2102=2},config/world_boss/box/icon_lh_2_4.png
510,1006,10,24530000,{513=11;514=3;900=5;901=3;902=2;2102=2},config/world_boss/box/icon_lh_2_5.png
511,1006,11,35740000,{513=12;514=4;900=6;901=4;902=2;2102=2},config/world_boss/box/icon_lh_3_1.png
512,1006,12,50640000,{513=13;514=4;900=6;901=4;902=2;2102=2},config/world_boss/box/icon_lh_3_2.png
513,1006,13,70070000,{513=14;514=4;900=7;901=4;902=2;2102=3},config/world_boss/box/icon_lh_3_3.png
514,1006,14,94970000,{513=15;514=5;900=7;901=5;902=2;2102=3},config/world_boss/box/icon_lh_3_4.png
515,1006,15,126430000,{513=16;514=5;900=8;901=5;902=3;2102=3},config/world_boss/box/icon_lh_3_5.png
516,1006,16,165670000,{513=17;514=5;900=8;901=5;902=3;2102=3},config/world_boss/box/icon_lh_4_1.png
517,1006,17,214080000,{513=18;514=6;900=9;901=6;902=3;2102=4},config/world_boss/box/icon_lh_4_2.png
518,1006,18,273200000,{513=19;514=6;900=9;901=6;902=3;2102=4},config/world_boss/box/icon_lh_4_3.png
519,1006,19,344760000,{513=20;514=6;900=10;901=6;902=3;2102=5},config/world_boss/box/icon_lh_4_4.png
520,1006,20,430670000,{513=21;514=7;900=10;901=7;902=4;2102=5},config/world_boss/box/icon_lh_4_5.png
,,,,,
601,1007,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
602,1007,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
603,1007,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
604,1007,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
605,1007,5,1880000,{513=6;514=2;900=3;901=2;902=1;850=20},config/world_boss/box/icon_lh_1_5.png
606,1007,6,3580000,{513=7;514=2;900=3;901=2;902=1;850=20},config/world_boss/box/icon_lh_2_1.png
607,1007,7,6290000,{513=8;514=2;900=4;901=2;902=1;850=20},config/world_boss/box/icon_lh_2_2.png
608,1007,8,10380000,{513=9;514=3;900=4;901=3;902=1;850=20},config/world_boss/box/icon_lh_2_3.png
609,1007,9,16280000,{513=10;514=3;900=5;901=3;902=1;850=40},config/world_boss/box/icon_lh_2_4.png
610,1007,10,24530000,{513=11;514=3;900=5;901=3;902=2;850=40},config/world_boss/box/icon_lh_2_5.png
611,1007,11,35740000,{513=12;514=4;900=6;901=4;902=2;850=40},config/world_boss/box/icon_lh_3_1.png
612,1007,12,50640000,{513=13;514=4;900=6;901=4;902=2;850=40},config/world_boss/box/icon_lh_3_2.png
613,1007,13,70070000,{513=14;514=4;900=7;901=4;902=2;850=60},config/world_boss/box/icon_lh_3_3.png
614,1007,14,94970000,{513=15;514=5;900=7;901=5;902=2;850=60},config/world_boss/box/icon_lh_3_4.png
615,1007,15,126430000,{513=16;514=5;900=8;901=5;902=3;850=60},config/world_boss/box/icon_lh_3_5.png
616,1007,16,165670000,{513=17;514=5;900=8;901=5;902=3;850=60},config/world_boss/box/icon_lh_4_1.png
617,1007,17,214080000,{513=18;514=6;900=9;901=6;902=3;850=80},config/world_boss/box/icon_lh_4_2.png
618,1007,18,273200000,{513=19;514=6;900=9;901=6;902=3;850=80},config/world_boss/box/icon_lh_4_3.png
619,1007,19,344760000,{513=20;514=6;900=10;901=6;902=3;850=100},config/world_boss/box/icon_lh_4_4.png
620,1007,20,430670000,{513=21;514=7;900=10;901=7;902=4;850=100},config/world_boss/box/icon_lh_4_5.png
,,,,,
701,1008,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
702,1008,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
703,1008,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
704,1008,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
705,1008,5,1880000,{513=6;514=2;900=3;901=2;902=1;451=6},config/world_boss/box/icon_lh_1_5.png
706,1008,6,3580000,{513=7;514=2;900=3;901=2;902=1;451=6},config/world_boss/box/icon_lh_2_1.png
707,1008,7,6290000,{513=8;514=2;900=4;901=2;902=1;451=6},config/world_boss/box/icon_lh_2_2.png
708,1008,8,10380000,{513=9;514=3;900=4;901=3;902=1;451=6},config/world_boss/box/icon_lh_2_3.png
709,1008,9,16280000,{513=10;514=3;900=5;901=3;902=1;451=12},config/world_boss/box/icon_lh_2_4.png
710,1008,10,24530000,{513=11;514=3;900=5;901=3;902=2;451=12},config/world_boss/box/icon_lh_2_5.png
711,1008,11,35740000,{513=12;514=4;900=6;901=4;902=2;451=12},config/world_boss/box/icon_lh_3_1.png
712,1008,12,50640000,{513=13;514=4;900=6;901=4;902=2;451=12},config/world_boss/box/icon_lh_3_2.png
713,1008,13,70070000,{513=14;514=4;900=7;901=4;902=2;451=18},config/world_boss/box/icon_lh_3_3.png
714,1008,14,94970000,{513=15;514=5;900=7;901=5;902=2;451=18},config/world_boss/box/icon_lh_3_4.png
715,1008,15,126430000,{513=16;514=5;900=8;901=5;902=3;451=18},config/world_boss/box/icon_lh_3_5.png
716,1008,16,165670000,{513=17;514=5;900=8;901=5;902=3;451=18},config/world_boss/box/icon_lh_4_1.png
717,1008,17,214080000,{513=18;514=6;900=9;901=6;902=3;451=24},config/world_boss/box/icon_lh_4_2.png
718,1008,18,273200000,{513=19;514=6;900=9;901=6;902=3;451=24},config/world_boss/box/icon_lh_4_3.png
719,1008,19,344760000,{513=20;514=6;900=10;901=6;902=3;451=30},config/world_boss/box/icon_lh_4_4.png
720,1008,20,430670000,{513=21;514=7;900=10;901=7;902=4;451=30},config/world_boss/box/icon_lh_4_5.png
,,,,,
801,1009,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
802,1009,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
803,1009,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
804,1009,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
805,1009,5,1880000,{513=6;514=2;900=3;901=2;902=1},config/world_boss/box/icon_lh_1_5.png
806,1009,6,3580000,{513=7;514=2;900=3;901=2;902=1},config/world_boss/box/icon_lh_2_1.png
807,1009,7,6290000,{513=8;514=2;900=4;901=2;902=1},config/world_boss/box/icon_lh_2_2.png
808,1009,8,10380000,{513=9;514=3;900=4;901=3;902=1},config/world_boss/box/icon_lh_2_3.png
809,1009,9,16280000,{513=10;514=3;900=5;901=3;902=1},config/world_boss/box/icon_lh_2_4.png
810,1009,10,24530000,{513=11;514=3;900=5;901=3;902=2;talent_point=1},config/world_boss/box/icon_lh_2_5.png
811,1009,11,35740000,{513=12;514=4;900=6;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_1.png
812,1009,12,50640000,{513=13;514=4;900=6;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_2.png
813,1009,13,70070000,{513=14;514=4;900=7;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_3.png
814,1009,14,94970000,{513=15;514=5;900=7;901=5;902=2;talent_point=1},config/world_boss/box/icon_lh_3_4.png
815,1009,15,126430000,{513=16;514=5;900=8;901=5;902=3;talent_point=1},config/world_boss/box/icon_lh_3_5.png
816,1009,16,165670000,{513=17;514=5;900=8;901=5;902=3;talent_point=1},config/world_boss/box/icon_lh_4_1.png
817,1009,17,214080000,{513=18;514=6;900=9;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_2.png
818,1009,18,273200000,{513=19;514=6;900=9;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_3.png
819,1009,19,344760000,{513=20;514=6;900=10;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_4.png
820,1009,20,430670000,{513=21;514=7;900=10;901=7;902=4;talent_point=1},config/world_boss/box/icon_lh_4_5.png
,,,,,
901,1010,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
902,1010,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
903,1010,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
904,1010,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
905,1010,5,1880000,{513=6;514=2;900=3;901=2;902=1;2102=1},config/world_boss/box/icon_lh_1_5.png
906,1010,6,3580000,{513=7;514=2;900=3;901=2;902=1;2102=1},config/world_boss/box/icon_lh_2_1.png
907,1010,7,6290000,{513=8;514=2;900=4;901=2;902=1;2102=1},config/world_boss/box/icon_lh_2_2.png
908,1010,8,10380000,{513=9;514=3;900=4;901=3;902=1;2102=1},config/world_boss/box/icon_lh_2_3.png
909,1010,9,16280000,{513=10;514=3;900=5;901=3;902=1;2102=2},config/world_boss/box/icon_lh_2_4.png
910,1010,10,24530000,{513=11;514=3;900=5;901=3;902=2;2102=2},config/world_boss/box/icon_lh_2_5.png
911,1010,11,35740000,{513=12;514=4;900=6;901=4;902=2;2102=2},config/world_boss/box/icon_lh_3_1.png
912,1010,12,50640000,{513=13;514=4;900=6;901=4;902=2;2102=2},config/world_boss/box/icon_lh_3_2.png
913,1010,13,70070000,{513=14;514=4;900=7;901=4;902=2;2102=3},config/world_boss/box/icon_lh_3_3.png
914,1010,14,94970000,{513=15;514=5;900=7;901=5;902=2;2102=3},config/world_boss/box/icon_lh_3_4.png
915,1010,15,126430000,{513=16;514=5;900=8;901=5;902=3;2102=3},config/world_boss/box/icon_lh_3_5.png
916,1010,16,165670000,{513=17;514=5;900=8;901=5;902=3;2102=3},config/world_boss/box/icon_lh_4_1.png
917,1010,17,214080000,{513=18;514=6;900=9;901=6;902=3;2102=4},config/world_boss/box/icon_lh_4_2.png
918,1010,18,273200000,{513=19;514=6;900=9;901=6;902=3;2102=4},config/world_boss/box/icon_lh_4_3.png
919,1010,19,344760000,{513=20;514=6;900=10;901=6;902=3;2102=5},config/world_boss/box/icon_lh_4_4.png
920,1010,20,430670000,{513=21;514=7;900=10;901=7;902=4;2102=5},config/world_boss/box/icon_lh_4_5.png
,,,,,
1001,1011,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
1002,1011,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
1003,1011,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
1004,1011,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
1005,1011,5,1880000,{513=6;514=2;900=3;901=2;902=1;850=20},config/world_boss/box/icon_lh_1_5.png
1006,1011,6,3580000,{513=7;514=2;900=3;901=2;902=1;850=20},config/world_boss/box/icon_lh_2_1.png
1007,1011,7,6290000,{513=8;514=2;900=4;901=2;902=1;850=20},config/world_boss/box/icon_lh_2_2.png
1008,1011,8,10380000,{513=9;514=3;900=4;901=3;902=1;850=20},config/world_boss/box/icon_lh_2_3.png
1009,1011,9,16280000,{513=10;514=3;900=5;901=3;902=1;850=40},config/world_boss/box/icon_lh_2_4.png
1010,1011,10,24530000,{513=11;514=3;900=5;901=3;902=2;850=40},config/world_boss/box/icon_lh_2_5.png
1011,1011,11,35740000,{513=12;514=4;900=6;901=4;902=2;850=40},config/world_boss/box/icon_lh_3_1.png
1012,1011,12,50640000,{513=13;514=4;900=6;901=4;902=2;850=40},config/world_boss/box/icon_lh_3_2.png
1013,1011,13,70070000,{513=14;514=4;900=7;901=4;902=2;850=60},config/world_boss/box/icon_lh_3_3.png
1014,1011,14,94970000,{513=15;514=5;900=7;901=5;902=2;850=60},config/world_boss/box/icon_lh_3_4.png
1015,1011,15,126430000,{513=16;514=5;900=8;901=5;902=3;850=60},config/world_boss/box/icon_lh_3_5.png
1016,1011,16,165670000,{513=17;514=5;900=8;901=5;902=3;850=60},config/world_boss/box/icon_lh_4_1.png
1017,1011,17,214080000,{513=18;514=6;900=9;901=6;902=3;850=80},config/world_boss/box/icon_lh_4_2.png
1018,1011,18,273200000,{513=19;514=6;900=9;901=6;902=3;850=80},config/world_boss/box/icon_lh_4_3.png
1019,1011,19,344760000,{513=20;514=6;900=10;901=6;902=3;850=100},config/world_boss/box/icon_lh_4_4.png
1020,1011,20,430670000,{513=21;514=7;900=10;901=7;902=4;850=100},config/world_boss/box/icon_lh_4_5.png
,,,,,
1101,1012,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
1102,1012,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
1103,1012,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
1104,1012,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
1105,1012,5,1880000,{513=6;514=2;900=3;901=2;902=1;451=6},config/world_boss/box/icon_lh_1_5.png
1106,1012,6,3580000,{513=7;514=2;900=3;901=2;902=1;451=6},config/world_boss/box/icon_lh_2_1.png
1107,1012,7,6290000,{513=8;514=2;900=4;901=2;902=1;451=6},config/world_boss/box/icon_lh_2_2.png
1108,1012,8,10380000,{513=9;514=3;900=4;901=3;902=1;451=6},config/world_boss/box/icon_lh_2_3.png
1109,1012,9,16280000,{513=10;514=3;900=5;901=3;902=1;451=12},config/world_boss/box/icon_lh_2_4.png
1110,1012,10,24530000,{513=11;514=3;900=5;901=3;902=2;451=12},config/world_boss/box/icon_lh_2_5.png
1111,1012,11,35740000,{513=12;514=4;900=6;901=4;902=2;451=12},config/world_boss/box/icon_lh_3_1.png
1112,1012,12,50640000,{513=13;514=4;900=6;901=4;902=2;451=12},config/world_boss/box/icon_lh_3_2.png
1113,1012,13,70070000,{513=14;514=4;900=7;901=4;902=2;451=18},config/world_boss/box/icon_lh_3_3.png
1114,1012,14,94970000,{513=15;514=5;900=7;901=5;902=2;451=18},config/world_boss/box/icon_lh_3_4.png
1115,1012,15,126430000,{513=16;514=5;900=8;901=5;902=3;451=18},config/world_boss/box/icon_lh_3_5.png
1116,1012,16,165670000,{513=17;514=5;900=8;901=5;902=3;451=18},config/world_boss/box/icon_lh_4_1.png
1117,1012,17,214080000,{513=18;514=6;900=9;901=6;902=3;451=24},config/world_boss/box/icon_lh_4_2.png
1118,1012,18,273200000,{513=19;514=6;900=9;901=6;902=3;451=24},config/world_boss/box/icon_lh_4_3.png
1119,1012,19,344760000,{513=20;514=6;900=10;901=6;902=3;451=30},config/world_boss/box/icon_lh_4_4.png
1120,1012,20,430670000,{513=21;514=7;900=10;901=7;902=4;451=30},config/world_boss/box/icon_lh_4_5.png
