变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
102,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,8,<200;200>,,,
103,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,8,<200;200>,,,
104,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,8,<200;200>,,,
105,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,8,<200;200>,,,
106,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,8,<200;200>,,,
107,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,8,<200;200>,,,
108,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,8,<200;200>,,,
109,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,8,<200;200>,,,
110,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,8,<200;200>,,,
111,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,8,<200;200>,,,
112,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,8,<200;200>,,,
113,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,8,<200;200>,,,
114,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,8,<200;200>,,,
115,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,8,<200;200>,,,
116,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,8,<200;200>,,,
117,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,8,<200;200>,,,
118,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,8,<200;200>,,,
119,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,8,<200;200>,,,
120,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,8,<200;200>,,,
121,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,8,<200;200>,,,
122,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,8,<200;200>,,,
,,,,,,,,,,,,,
201,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,7,<200;200>,,,
202,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,7,<200;200>,,,
203,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,7,<200;200>,,,
204,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,7,<200;200>,,,
205,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,7,<200;200>,,,
206,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,7,<200;200>,,,
207,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,7,<200;200>,,,
208,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,7,<200;200>,,,
209,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,7,<200;200>,,,
210,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,7,<200;200>,,,
211,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,7,<200;200>,,,
212,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,7,<200;200>,,,
213,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,7,<200;200>,,,
214,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,7,<200;200>,,,
215,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,7,<200;200>,,,
216,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,7,<200;200>,,,
217,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,7,<200;200>,,,
218,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,7,<200;200>,,,
219,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,7,<200;200>,,,
220,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,7,<200;200>,,,
221,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,7,<200;200>,,,
222,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,7,<200;200>,,,
,,,,,,,,,,,,,
301,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,9,<200;200>,,,
302,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,9,<200;200>,,,
303,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,9,<200;200>,,,
304,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,9,<200;200>,,,
305,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,9,<200;200>,,,
306,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,9,<200;200>,,,
307,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,9,<200;200>,,,
308,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,9,<200;200>,,,
309,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,9,<200;200>,,,
310,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,9,<200;200>,,,
311,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,9,<200;200>,,,
312,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,9,<200;200>,,,
313,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,9,<200;200>,,,
314,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,9,<200;200>,,,
315,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,9,<200;200>,,,
316,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,9,<200;200>,,,
317,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,9,<200;200>,,,
318,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,9,<200;200>,,,
319,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,9,<200;200>,,,
320,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,9,<200;200>,,,
321,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,9,<200;200>,,,
322,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,9,<200;200>,,,
,,,,,,,,,,,,,
401,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,11,<200;200>,,,
402,gem 21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,11,<200;200>,,,
403,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,11,<200;200>,,,
404,gem 22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,11,<200;200>,,,
405,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,11,<200;200>,,,
406,gem 31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,11,<200;200>,,,
407,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,11,<200;200>,,,
408,gem 32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,11,<200;200>,,,
409,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,11,<200;200>,,,
410,gem 33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,11,<200;200>,,,
411,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,11,<200;200>,,,
412,gem 41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,11,<200;200>,,,
413,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,11,<200;200>,,,
414,gem 42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,11,<200;200>,,,
415,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,11,<200;200>,,,
416,gem 51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,11,<200;200>,,,
417,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,11,<200;200>,,,
418,gem 52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,11,<200;200>,,,
419,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,11,<200;200>,,,
420,gem 53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,11,<200;200>,,,
421,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,11,<200;200>,,,
422,gem 54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,11,<200;200>,,,
