"﻿变量名",room,_roomType,_beizhu,icon,weight,group,name,name_tw,name_en,name_vn,name_kr,monsterType,type,desc,desc_tw,desc_en,desc_vn,desc_kr,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
78,14,Rumble,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
79,15,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,-1,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10079,15,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10080,15,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10081,15,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
80,15,Mixed solid supplement,supply,city/adventure/random_tower/icon/icon_wz.png,-1,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
81,15,Mixed solid supplement,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
82,15,Mixed solid supplement,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;40>>,,,,,,
10082,15,Mixed solid supplement,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;40>>,,,,,,
83,15,Mixed solid supplement,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
84,15,Mixed solid supplement,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
