变量名,level,fightStart,fightEnd,advanceStart,advanceEnd,starStart,starEnd,skillLevel,hpC,damageC,defenceC
84,86,2120000,2331999,17,18,5,6,1,0.88,0.86,0.88
85,87,2332000,2565199,17,18,5,6,1,0.87,0.86,0.87
86,88,2565200,2821719,17,18,5,6,1,0.87,0.85,0.87
87,89,2821720,3103891,17,18,5,6,1,0.86,0.85,0.86
88,90,3103892,3414280,18,19,5,6,1,0.86,0.84,0.86
89,91,3414281,3755708,18,19,5,6,1,0.86,0.84,0.86
90,92,3755709,4131279,18,19,5,6,1,0.86,0.84,0.86
91,93,4131280,4544407,18,19,5,6,1,0.86,0.84,0.86
92,94,4544408,4998848,18,19,5,6,1,0.86,0.84,0.86
93,95,4998849,5498733,18,19,5,6,1,0.86,0.84,0.86
94,96,5498734,6048606,18,19,5,6,1,0.86,0.84,0.86
95,97,6048607,6653467,18,19,5,6,1,0.86,0.84,0.86
96,98,6653468,7318814,18,19,5,6,1,0.86,0.84,0.86
97,99,7318814,8050695,18,19,5,6,1,0.86,0.84,0.86
98,100,8050696,999999999,18,19,6,7,1,0.86,0.84,0.86
