变量名,needPoint,award,version
默认值,,{},0
ID,需要积分,奖励,奖励版本
99,560000,{20591=1;4000=30;12=10;gold=50000},
100,570000,{20591=1;4000=30;12=10;gold=50000},
101,580000,{20591=1;4000=30;12=10;gold=50000},
102,590000,{20591=1;4000=30;12=10;gold=50000},
103,600000,{20591=1;4000=30;12=10;gold=50000},
104,610000,{20591=1;4000=30;12=10;gold=50000},
105,620000,{20591=1;4000=30;12=10;gold=50000},
106,630000,{20591=1;4000=30;12=10;gold=50000},
107,640000,{20591=1;4000=30;12=10;gold=50000},
108,650000,{20591=1;4000=30;12=10;gold=50000},
109,660000,{20591=1;4000=30;12=10;gold=50000},
110,670000,{20591=1;4000=30;12=10;gold=50000},
111,680000,{20591=1;4000=30;12=10;gold=50000},
112,690000,{20591=1;4000=30;12=10;gold=50000},
113,700000,{20591=1;4000=30;12=10;gold=50000},
114,710000,{20591=1;4000=30;12=10;gold=50000},
115,720000,{20591=1;4000=30;12=10;gold=50000},
116,730000,{20591=1;4000=30;12=10;gold=50000},
117,740000,{20591=1;4000=30;12=10;gold=50000},
118,750000,{20591=1;4000=30;12=10;gold=50000},
119,760000,{20591=1;4000=30;12=10;gold=50000},
120,770000,{20591=1;4000=30;12=10;gold=50000},
121,780000,{20591=1;4000=30;12=10;gold=50000},
122,790000,{20591=1;4000=30;12=10;gold=50000},
123,800000,{20591=1;4000=30;12=10;gold=50000},
124,810000,{20591=1;4000=30;12=10;gold=50000},
125,820000,{20591=1;4000=30;12=10;gold=50000},
126,830000,{20591=1;4000=30;12=10;gold=50000},
127,840000,{20591=1;4000=30;12=10;gold=50000},
128,850000,{20591=1;4000=30;12=10;gold=50000},
129,860000,{20591=1;4000=30;12=10;gold=50000},
130,870000,{20591=1;4000=30;12=10;gold=50000},
131,880000,{20591=1;4000=30;12=10;gold=50000},
132,890000,{20591=1;4000=30;12=10;gold=50000},
133,900000,{20591=1;4000=30;12=10;gold=50000},
134,910000,{20591=1;4000=30;12=10;gold=50000},
135,920000,{20591=1;4000=30;12=10;gold=50000},
136,930000,{20591=1;4000=30;12=10;gold=50000},
137,940000,{20591=1;4000=30;12=10;gold=50000},
138,950000,{20591=1;4000=30;12=10;gold=50000},
139,960000,{20591=1;4000=30;12=10;gold=50000},
140,970000,{20591=1;4000=30;12=10;gold=50000},
141,980000,{20591=1;4000=30;12=10;gold=50000},
142,990000,{20591=1;4000=30;12=10;gold=50000},
143,1000000,{20591=1;4000=30;12=10;gold=50000},
144,1010000,{20591=1;4000=30;12=10;gold=50000},
145,1020000,{20591=1;4000=30;12=10;gold=50000},
146,1030000,{20591=1;4000=30;12=10;gold=50000},
147,1040000,{20591=1;4000=30;12=10;gold=50000},
148,1050000,{20591=1;4000=30;12=10;gold=50000},
149,1060000,{20591=1;4000=30;12=10;gold=50000},
150,1070000,{20591=1;4000=30;12=10;gold=50000},
151,1080000,{20591=1;4000=30;12=10;gold=50000},
152,1090000,{20591=1;4000=30;12=10;gold=50000},
153,1100000,{20591=1;4000=30;12=10;gold=50000},
154,1110000,{20591=1;4000=30;12=10;gold=50000},
155,1120000,{20591=1;4000=30;12=10;gold=50000},
156,1130000,{20591=1;4000=30;12=10;gold=50000},
157,1140000,{20591=1;4000=30;12=10;gold=50000},
158,1150000,{20591=1;4000=30;12=10;gold=50000},
159,1160000,{20591=1;4000=30;12=10;gold=50000},
160,1170000,{20591=1;4000=30;12=10;gold=50000},
161,1180000,{20591=1;4000=30;12=10;gold=50000},
162,1190000,{20591=1;4000=30;12=10;gold=50000},
163,1200000,{20591=1;4000=30;12=10;gold=50000},
164,1210000,{20591=1;4000=30;12=10;gold=50000},
165,1220000,{20591=1;4000=30;12=10;gold=50000},
166,1230000,{20591=1;4000=30;12=10;gold=50000},
167,1240000,{20591=1;4000=30;12=10;gold=50000},
168,1250000,{20591=1;4000=30;12=10;gold=50000},
169,1260000,{20591=1;4000=30;12=10;gold=50000},
170,1270000,{20591=1;4000=30;12=10;gold=50000},
171,1280000,{20591=1;4000=30;12=10;gold=50000},
172,1290000,{20591=1;4000=30;12=10;gold=50000},
173,1300000,{20591=1;4000=30;12=10;gold=50000},
174,1310000,{20591=1;4000=30;12=10;gold=50000},
175,1320000,{20591=1;4000=30;12=10;gold=50000},
176,1330000,{20591=1;4000=30;12=10;gold=50000},
177,1340000,{20591=1;4000=30;12=10;gold=50000},
178,1350000,{20591=1;4000=30;12=10;gold=50000},
179,1360000,{20591=1;4000=30;12=10;gold=50000},
180,1370000,{20591=1;4000=30;12=10;gold=50000},
181,1380000,{20591=1;4000=30;12=10;gold=50000},
182,1390000,{20591=1;4000=30;12=10;gold=50000},
183,1400000,{20591=1;4000=30;12=10;gold=50000},
184,1410000,{20591=1;4000=30;12=10;gold=50000},
185,1420000,{20591=1;4000=30;12=10;gold=50000},
186,1430000,{20591=1;4000=30;12=10;gold=50000},
187,1440000,{20591=1;4000=30;12=10;gold=50000},
188,1450000,{20591=1;4000=30;12=10;gold=50000},
189,1460000,{20591=1;4000=30;12=10;gold=50000},
190,1470000,{20591=1;4000=30;12=10;gold=50000},
191,1480000,{20591=1;4000=30;12=10;gold=50000},
192,1490000,{20591=1;4000=30;12=10;gold=50000},
193,1500000,{20591=1;4000=30;12=10;gold=50000},
194,1510000,{20591=1;4000=30;12=10;gold=50000},
195,1520000,{20591=1;4000=30;12=10;gold=50000},
196,1530000,{20591=1;4000=30;12=10;gold=50000},
197,1540000,{20591=1;4000=30;12=10;gold=50000},
198,1550000,{20591=1;4000=30;12=10;gold=50000},
199,1560000,{20591=1;4000=30;12=10;gold=50000},
200,1570000,{20591=1;4000=30;12=10;gold=50000},
,,,
1001,100,{6201=1;4000=5;12=10;gold=2000},1
1002,300,{6201=1;4000=5;12=10;gold=3000},1
1003,600,{6201=1;4000=5;12=10;gold=4000},1
1004,1000,{6201=1;4000=5;12=10;gold=5000},1
1005,2000,{6201=1;4000=5;12=10;gold=6000},1
1006,3000,{6201=1;4000=5;12=10;gold=7000},1
1007,4000,{6201=1;4000=5;12=10;gold=8000},1
1008,5000,{6201=1;4000=5;12=10;gold=9000},1
1009,7000,{6201=1;4000=5;12=10;gold=10000},1
1010,9000,{6201=1;4000=5;12=10;gold=11000},1
1011,11000,{6201=1;4000=10;12=10;gold=12000},1
1012,13000,{6201=1;4000=10;12=10;gold=13000},1
1013,15000,{6201=1;4000=10;12=10;gold=14000},1
1014,18000,{6201=1;4000=10;12=10;gold=15000},1
1015,21000,{6201=1;4000=10;12=10;gold=16000},1
1016,24000,{6201=1;4000=10;12=10;gold=17000},1
1017,27000,{6201=1;4000=10;12=10;gold=18000},1
1018,30000,{6201=1;4000=10;12=10;gold=19000},1
1019,33000,{6201=1;4000=10;12=10;gold=20000},1
1020,36000,{6201=1;4000=10;12=10;gold=21000},1
1021,39000,{6201=1;4000=15;12=10;gold=22000},1
1022,42000,{6201=1;4000=15;12=10;gold=23000},1
1023,45000,{6201=1;4000=15;12=10;gold=24000},1
1024,48000,{6201=1;4000=15;12=10;gold=25000},1
1025,51000,{6201=1;4000=15;12=10;gold=26000},1
1026,54000,{6201=1;4000=15;12=10;gold=27000},1
1027,57000,{6201=1;4000=15;12=10;gold=28000},1
1028,60000,{6201=1;4000=15;12=10;gold=29000},1
1029,63000,{6201=1;4000=15;12=10;gold=30000},1
1030,66000,{6201=1;4000=15;12=10;gold=31000},1
1031,69000,{6201=1;4000=20;12=10;gold=32000},1
1032,72000,{6201=1;4000=20;12=10;gold=33000},1
1033,75000,{6201=1;4000=20;12=10;gold=34000},1
1034,78000,{6201=1;4000=20;12=10;gold=35000},1
1035,81000,{6201=1;4000=20;12=10;gold=36000},1
1036,84000,{6201=1;4000=20;12=10;gold=37000},1
1037,87000,{6201=1;4000=20;12=10;gold=38000},1
1038,90000,{6201=1;4000=20;12=10;gold=39000},1
1039,93000,{6201=1;4000=20;12=10;gold=40000},1
1040,96000,{6201=1;4000=20;12=10;gold=41000},1
1041,99000,{6201=1;4000=25;12=10;gold=42000},1
1042,102000,{6201=1;4000=25;12=10;gold=43000},1
1043,105000,{6201=1;4000=25;12=10;gold=44000},1
1044,108000,{6201=1;4000=25;12=10;gold=45000},1
1045,111000,{6201=1;4000=25;12=10;gold=46000},1
1046,114000,{6201=1;4000=25;12=10;gold=47000},1
1047,117000,{6201=1;4000=25;12=10;gold=48000},1
1048,120000,{6201=1;4000=25;12=10;gold=49000},1
1049,123000,{6201=1;4000=25;12=10;gold=50000},1
1050,126000,{6201=1;4000=25;12=10;gold=50000},1
1051,129000,{6201=1;4000=30;12=10;gold=50000},1
1052,132000,{6201=1;4000=30;12=10;gold=50000},1
1053,135000,{6201=1;4000=30;12=10;gold=50000},1
1054,138000,{6201=1;4000=30;12=10;gold=50000},1
1055,141000,{6201=1;4000=30;12=10;gold=50000},1
1056,144000,{6201=1;4000=30;12=10;gold=50000},1
1057,147000,{6201=1;4000=30;12=10;gold=50000},1
1058,150000,{6201=1;4000=30;12=10;gold=50000},1
1059,155000,{6201=1;4000=30;12=10;gold=50000},1
1060,160000,{6201=1;4000=30;12=10;gold=50000},1
1061,165000,{6201=1;4000=30;12=10;gold=50000},1
1062,170000,{6201=1;4000=30;12=10;gold=50000},1
1063,175000,{6201=1;4000=30;12=10;gold=50000},1
1064,180000,{6201=1;4000=30;12=10;gold=50000},1
1065,185000,{6201=1;4000=30;12=10;gold=50000},1
1066,190000,{6201=1;4000=30;12=10;gold=50000},1
1067,195000,{6201=1;4000=30;12=10;gold=50000},1
1068,200000,{6201=1;4000=30;12=10;gold=50000},1
1069,208000,{6201=1;4000=30;12=10;gold=50000},1
1070,216000,{6201=1;4000=30;12=10;gold=50000},1
1071,224000,{6201=1;4000=30;12=10;gold=50000},1
1072,232000,{6201=1;4000=30;12=10;gold=50000},1
1073,240000,{6201=1;4000=30;12=10;gold=50000},1
1074,248000,{6201=1;4000=30;12=10;gold=50000},1
1075,256000,{6201=1;4000=30;12=10;gold=50000},1
1076,264000,{6201=1;4000=30;12=10;gold=50000},1
1077,272000,{6201=1;4000=30;12=10;gold=50000},1
1078,280000,{6201=1;4000=30;12=10;gold=50000},1
1079,288000,{6201=1;4000=30;12=10;gold=50000},1
1080,296000,{6201=1;4000=30;12=10;gold=50000},1
1081,304000,{6201=1;4000=30;12=10;gold=50000},1
1082,312000,{6201=1;4000=30;12=10;gold=50000},1
1083,320000,{6201=1;4000=30;12=10;gold=50000},1
1084,328000,{6201=1;4000=30;12=10;gold=50000},1
1085,336000,{6201=1;4000=30;12=10;gold=50000},1
1086,344000,{6201=1;4000=30;12=10;gold=50000},1
1087,352000,{6201=1;4000=30;12=10;gold=50000},1
1088,360000,{6201=1;4000=30;12=10;gold=50000},1
1089,368000,{6201=1;4000=30;12=10;gold=50000},1
1090,376000,{6201=1;4000=30;12=10;gold=50000},1
1091,384000,{6201=1;4000=30;12=10;gold=50000},1
1092,392000,{6201=1;4000=30;12=10;gold=50000},1
1093,400000,{6201=1;4000=30;12=10;gold=50000},1
1094,410000,{6201=1;4000=30;12=10;gold=50000},1
1095,420000,{6201=1;4000=30;12=10;gold=50000},1
1096,430000,{6201=1;4000=30;12=10;gold=50000},1
1097,440000,{6201=1;4000=30;12=10;gold=50000},1
1098,450000,{6201=1;4000=30;12=10;gold=50000},1
1099,460000,{6201=1;4000=30;12=10;gold=50000},1
1100,470000,{6201=1;4000=30;12=10;gold=50000},1
1101,480000,{502=1;4000=30;12=10;gold=50000},1
1102,490000,{502=1;4000=30;12=10;gold=50000},1
1103,500000,{502=1;4000=30;12=10;gold=50000},1
1104,510000,{502=1;4000=30;12=10;gold=50000},1
1105,520000,{502=1;4000=30;12=10;gold=50000},1
1106,530000,{502=1;4000=30;12=10;gold=50000},1
1107,540000,{502=1;4000=30;12=10;gold=50000},1
1108,550000,{502=1;4000=30;12=10;gold=50000},1
1109,560000,{502=1;4000=30;12=10;gold=50000},1
1110,570000,{502=1;4000=30;12=10;gold=50000},1
1111,580000,{502=1;4000=30;12=10;gold=50000},1
1112,590000,{502=1;4000=30;12=10;gold=50000},1
1113,600000,{502=1;4000=30;12=10;gold=50000},1
1114,610000,{502=1;4000=30;12=10;gold=50000},1
1115,620000,{502=1;4000=30;12=10;gold=50000},1
1116,630000,{502=1;4000=30;12=10;gold=50000},1
1117,640000,{502=1;4000=30;12=10;gold=50000},1
1118,650000,{502=1;4000=30;12=10;gold=50000},1
1119,660000,{502=1;4000=30;12=10;gold=50000},1
1120,670000,{502=1;4000=30;12=10;gold=50000},1
1121,680000,{502=1;4000=30;12=10;gold=50000},1
1122,690000,{502=1;4000=30;12=10;gold=50000},1
1123,700000,{502=1;4000=30;12=10;gold=50000},1
1124,710000,{502=1;4000=30;12=10;gold=50000},1
1125,720000,{502=1;4000=30;12=10;gold=50000},1
1126,730000,{502=1;4000=30;12=10;gold=50000},1
1127,740000,{502=1;4000=30;12=10;gold=50000},1
1128,750000,{502=1;4000=30;12=10;gold=50000},1
1129,760000,{502=1;4000=30;12=10;gold=50000},1
1130,770000,{502=1;4000=30;12=10;gold=50000},1
1131,780000,{502=1;4000=30;12=10;gold=50000},1
1132,790000,{502=1;4000=30;12=10;gold=50000},1
1133,800000,{502=1;4000=30;12=10;gold=50000},1
1134,810000,{502=1;4000=30;12=10;gold=50000},1
1135,820000,{502=1;4000=30;12=10;gold=50000},1
1136,830000,{502=1;4000=30;12=10;gold=50000},1
1137,840000,{502=1;4000=30;12=10;gold=50000},1
1138,850000,{502=1;4000=30;12=10;gold=50000},1
1139,860000,{502=1;4000=30;12=10;gold=50000},1
1140,870000,{502=1;4000=30;12=10;gold=50000},1
1141,880000,{502=1;4000=30;12=10;gold=50000},1
1142,890000,{502=1;4000=30;12=10;gold=50000},1
1143,900000,{502=1;4000=30;12=10;gold=50000},1
1144,910000,{502=1;4000=30;12=10;gold=50000},1
1145,920000,{502=1;4000=30;12=10;gold=50000},1
1146,930000,{502=1;4000=30;12=10;gold=50000},1
1147,940000,{502=1;4000=30;12=10;gold=50000},1
1148,950000,{502=1;4000=30;12=10;gold=50000},1
1149,960000,{502=1;4000=30;12=10;gold=50000},1
1150,970000,{502=1;4000=30;12=10;gold=50000},1
1151,980000,{502=1;4000=30;12=10;gold=50000},1
1152,990000,{502=1;4000=30;12=10;gold=50000},1
1153,1000000,{502=1;4000=30;12=10;gold=50000},1
1154,1010000,{502=1;4000=30;12=10;gold=50000},1
1155,1020000,{502=1;4000=30;12=10;gold=50000},1
1156,1030000,{502=1;4000=30;12=10;gold=50000},1
1157,1040000,{502=1;4000=30;12=10;gold=50000},1
1158,1050000,{502=1;4000=30;12=10;gold=50000},1
1159,1060000,{502=1;4000=30;12=10;gold=50000},1
1160,1070000,{502=1;4000=30;12=10;gold=50000},1
1161,1080000,{502=1;4000=30;12=10;gold=50000},1
1162,1090000,{502=1;4000=30;12=10;gold=50000},1
1163,1100000,{502=1;4000=30;12=10;gold=50000},1
1164,1110000,{502=1;4000=30;12=10;gold=50000},1
1165,1120000,{502=1;4000=30;12=10;gold=50000},1
1166,1130000,{502=1;4000=30;12=10;gold=50000},1
1167,1140000,{502=1;4000=30;12=10;gold=50000},1
1168,1150000,{502=1;4000=30;12=10;gold=50000},1
1169,1160000,{502=1;4000=30;12=10;gold=50000},1
1170,1170000,{502=1;4000=30;12=10;gold=50000},1
1171,1180000,{502=1;4000=30;12=10;gold=50000},1
1172,1190000,{502=1;4000=30;12=10;gold=50000},1
1173,1200000,{502=1;4000=30;12=10;gold=50000},1
1174,1210000,{502=1;4000=30;12=10;gold=50000},1
1175,1220000,{502=1;4000=30;12=10;gold=50000},1
1176,1230000,{502=1;4000=30;12=10;gold=50000},1
1177,1240000,{502=1;4000=30;12=10;gold=50000},1
1178,1250000,{502=1;4000=30;12=10;gold=50000},1
1179,1260000,{502=1;4000=30;12=10;gold=50000},1
1180,1270000,{502=1;4000=30;12=10;gold=50000},1
1181,1280000,{502=1;4000=30;12=10;gold=50000},1
1182,1290000,{502=1;4000=30;12=10;gold=50000},1
1183,1300000,{502=1;4000=30;12=10;gold=50000},1
1184,1310000,{502=1;4000=30;12=10;gold=50000},1
1185,1320000,{502=1;4000=30;12=10;gold=50000},1
1186,1330000,{502=1;4000=30;12=10;gold=50000},1
1187,1340000,{502=1;4000=30;12=10;gold=50000},1
1188,1350000,{502=1;4000=30;12=10;gold=50000},1
1189,1360000,{502=1;4000=30;12=10;gold=50000},1
1190,1370000,{502=1;4000=30;12=10;gold=50000},1
1191,1380000,{502=1;4000=30;12=10;gold=50000},1
1192,1390000,{502=1;4000=30;12=10;gold=50000},1
1193,1400000,{502=1;4000=30;12=10;gold=50000},1
1194,1410000,{502=1;4000=30;12=10;gold=50000},1
1195,1420000,{502=1;4000=30;12=10;gold=50000},1
1196,1430000,{502=1;4000=30;12=10;gold=50000},1
1197,1440000,{502=1;4000=30;12=10;gold=50000},1
1198,1450000,{502=1;4000=30;12=10;gold=50000},1
1199,1460000,{502=1;4000=30;12=10;gold=50000},1
1200,1470000,{502=1;4000=30;12=10;gold=50000},1
