变量名,floor,boards,limit1,limit2,limit3,canPass,lowestFight,fightC,pointC,markType1,markBoards1,boardGroups1,markType2,markBoards2,boardGroups2,markType3,markBoards3,boardGroups3
44,5,{3=50},,,,30,<43346;43346;43346;43346>,<0.9959;1.0896;1.195;1.195>,<2.6;3.64;5.2;7.8>,2,,<245;246;247;10247>,2,,<245;246;247;10247>,2,,<245;246;247;10247>
45,5,{3=50;4=200},,,,31,<43346;43346;43346;43346>,<0.9959;1.0896;1.195;1.195>,<2.6;3.64;5.2;7.8>,1,253,,1,253,,1,253,
46,5,{3=50;4=200},,,,33,<45200;45200;45200;45200>,<1.0447;1.1431;1.2537;1.2537>,<2.65;3.71;5.3;7.95>,2,,<254;257>,4,259,,2,,<254;256;257>
47,5,{3=50;4=200},,,,33,<45200;45200;45200;45200>,<1.0447;1.1431;1.2537;1.2537>,<2.65;3.71;5.3;7.95>,1,273,,2,,<264;266;267>,2,,<264;266;267>
48,5,{3=50;4=200},,,,33,<47054;47054;47054;47054>,<1.0944;1.1974;1.3133;1.3133>,<2.7;3.78;5.4;8.1>,2,,<274;276;277>,2,,<274;276;277>,3,280,
49,5,{3=50;4=200},,,,34,<47054;47054;47054;47054>,<1.0944;1.1974;1.3133;1.3133>,<2.7;3.78;5.4;8.1>,1,291,,3,290,,1,293,
50,5,{3=50;4=200},,,,35,<48908;48908;48908;48908>,<1.1448;1.2525;1.3737;1.3737>,<2.75;3.85;5.5;8.25>,1,299,,1,299,,1,299,
51,5,{3=50;4=200},,,,35,<48908;48908;48908;48908>,<1.2361;1.3525;1.4833;1.4833>,<2.75;3.85;5.5;8.25>,4,305,,2,,<301;303;304>,2,,<301;302;304>
52,5,{2=100},,,,36,<50762;50762;50762;50762>,<1.2361;1.3525;1.4833;1.4833>,<2.9;4.06;5.8;8.7>,1,306,,1,306,,1,306,
53,5,{1=100},,,,37,<50762;50762;50762;50762>,<1.2361;1.3525;1.4833;1.4833>,<2.9;4.06;5.8;8.7>,3,308,,3,308,,3,308,
54,6,,,,,38,<52616;52616;52616;52616>,<1.2073;1.321;1.4488;1.4488>,<3;4.2;6;9>,,,,,,,,,
55,6,{3=50;4=200},,,,39,<52616;52616;52616;52616>,<1.2073;1.321;1.4488;1.4488>,<3;4.2;6;9>,1,310,,1,310,,1,310,
56,6,{3=50;4=200},,,,39,<52616;52616;52616;52616>,<1.2073;1.321;1.4488;1.4488>,<3;4.2;6;9>,1,320,,1,320,,1,320,
57,6,{3=50;4=200},,,,40,<54470;54470;54470;54470>,<1.3006;1.423;1.5607;1.5607>,<3.05;4.27;6.1;9.15>,2,,<321;323;324;10324>,2,,<321;323;324;10324>,2,,<321;323;324;10324>
58,6,{3=50;4=200},,,,41,<54470;54470;54470;54470>,<1.3006;1.423;1.5607;1.5607>,<3.05;4.27;6.1;9.15>,4,335,,4,336,,4,336,
59,6,{3=50;4=200},,,,41,<56324;56324;56324;56324>,<1.3954;1.5267;1.6744;1.6744>,<3.1;4.34;6.2;9.3>,3,347,,3,347,,3,347,
60,6,{3=50;4=200},,,,42,<56324;56324;56324;56324>,<1.3954;1.5267;1.6744;1.6744>,<3.1;4.34;6.2;9.3>,3,357,,1,358,,4,356,
61,6,{3=50;4=200},,,,44,<58178;58178;58178;58178>,<1.4917;1.6321;1.79;1.79>,<3.15;4.41;6.3;9.45>,1,361,,1,365,,1,363,
62,6,{3=50;4=200},,,,44,<58178;58178;58178;58178>,<1.6737;1.8312;2.0084;2.0084>,<3.15;4.41;6.3;9.45>,2,,<368;369;371;10371>,4,372,,2,,<368;369;371;10371>
63,6,{2=100},,,,44,<60032;60032;60032;60032>,<1.6737;1.8312;2.0084;2.0084>,<3.3;4.62;6.6;9.9>,1,373,,1,373,,1,373,
64,6,{1=100},,,,45,<60032;60032;60032;60032>,<1.6737;1.8312;2.0084;2.0084>,<3.3;4.62;6.6;9.9>,3,375,,3,375,,3,375,
65,7,,,,,45,<61886;61886;61886;61886>,<1.6464;1.8014;1.9757;1.9757>,<3.4;4.76;6.8;10.2>,,,,,,,,,
66,7,{3=50;4=200},,,,45,<61886;61886;61886;61886>,<1.6464;1.8014;1.9757;1.9757>,<3.4;4.76;6.8;10.2>,1,377,,1,377,,1,377,
67,7,{3=50;4=200},,,,46,<61886;61886;61886;61886>,<1.6464;1.8014;1.9757;1.9757>,<3.4;4.76;6.8;10.2>,1,386,,1,386,,1,386,
68,7,{3=50;4=200},,,,46,<63740;63740;63740;63740>,<1.7469;1.9113;2.0963;2.0963>,<3.45;4.83;6.9;10.35>,3,393,,3,393,,4,391,
69,7,{3=50;4=200},,,,47,<63740;63740;63740;63740>,<1.7469;1.9113;2.0963;2.0963>,<3.45;4.83;6.9;10.35>,1,404,,3,403,,1,405,
70,7,{3=50;4=200},,,,47,<65594;65594;65594;65594>,<1.849;2.023;2.2188;2.2188>,<3.5;4.9;7;10.5>,2,,<407;410;10416>,2,,<407;409;410;10416>,2,,<407;409;410;10416>
71,7,{3=50;4=200},,,,48,<65594;65594;65594;65594>,<1.849;2.023;2.2188;2.2188>,<3.5;4.9;7;10.5>,1,424,,1,425,,1,426,
72,7,{3=50;4=200},,,,48,<67448;67448;67448;67448>,<1.9525;2.1363;2.343;2.343>,<3.55;4.97;7.1;10.65>,1,432,,1,428,,1,427,
73,7,{3=50;4=200},,,,49,<67448;67448;67448;67448>,<2.1456;2.3476;2.5747;2.5747>,<3.55;4.97;7.1;10.65>,2,,<434;436;437;10437>,2,,<434;436;437;10437>,2,,<435;436;437;10437>
74,7,{2=100},,,,49,<69302;69302;69302;69302>,<2.1456;2.3476;2.5747;2.5747>,<3.7;5.18;7.4;11.1>,1,439,,1,439,,1,439,
75,7,{1=100},,,,50,<69302;69302;69302;69302>,<2.1456;2.3476;2.5747;2.5747>,<3.7;5.18;7.4;11.1>,3,441,,3,441,,3,441,
