"﻿变量名",group,desc,desc_tw,desc_en,desc_kr,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
9,3,P. ATK and SP.ATK of allied Pokémons +15%,我方精靈物攻和特攻+15%,P. ATK and SP.ATK of allied Pokémons +15%,아군 포켓몬 물리&특수 공격+15%,150,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,15%,7,15%,,,,,,,,,,,,,2,,,
10,1,Allied Pokémons damage bonus +5%,我方精靈傷害加成+5%,Allied Pokémons damage bonus +5%,아군 포켓몬 피해 보너스+5%,100,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,22,500,,,,,,,,,,,,,,,,,,
11,2,Allied Pokémons damage bonus +10%,我方精靈傷害加成+10%,Allied Pokémons damage bonus +10%,아군 포켓몬 피해 보너스+10%,120,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,22,1000,,,,,,,,,,,,,,,3,,,
12,3,Allied Pokémons damage bonus +15%,我方精靈傷害加成+15%,Allied Pokémons damage bonus +15%,아군 포켓몬 피해 보너스+15%,150,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,22,1500,,,,,,,,,,,,,,TRUE,1,,,
13,1,Critical hit rate of allied Pokémons +5%,我方精靈暴擊率+5%,Critical hit rate of allied Pokémons +5%,아군 포켓몬 치명타율+5%,100,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,500,,,,,,,,,,,,,,,,,,
14,2,Critical hit rate of allied Pokémons +10%,我方精靈暴擊率+10%,Critical hit rate of allied Pokémons +10%,아군 포켓몬 치명타율+10%,120,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,1000,,,,,,,,,,,,,,,3,,,
15,3,Critical hit rate of allied Pokémons +15%,我方精靈暴擊率+15%,Critical hit rate of allied Pokémons +15%,아군 포켓몬 치명타율+15%,150,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,1500,,,,,,,,,,,,,,TRUE,1,,,
16,1,Critical hit damage of allied Pokémons +10%,我方精靈暴擊傷害+10%,Critical hit damage of allied Pokémons +10%,아군 포켓몬 치명타 피해+10%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,1000,,,,,,,,,,,,,,,,,,
17,2,Critical hit damage of allied Pokémons +15%,我方精靈暴擊傷害+15%,Critical hit damage of allied Pokémons +15%,아군 포켓몬 치명타 피해+15%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,1500,,,,,,,,,,,,,,,3,,,
18,3,Critical hit damage of allied Pokémons +20%,我方精靈暴擊傷害+20%,Critical hit damage of allied Pokémons +20%,아군 포켓몬 치명타 피해+20%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,2000,,,,,,,,,,,,,,TRUE,1,,,
19,1111,Allied Pokémons P.DEF +15%,我方精靈物理防禦力+15%,Allied Pokémons P.DEF +15%,아군 포켓몬 물리 방어력+15%,20,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,15%,,,,,,,,,,,,,,,,,,
20,1111,Allied Pokémons P.DEF +20%,我方精靈物理防禦力+20%,Allied Pokémons P.DEF +20%,아군 포켓몬 물리 방어력+20%,50,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,20%,,,,,,,,,,,,,,,3,,,
21,1111,Allied Pokémons P.DEF +25%,我方精靈物理防禦力+25%,Allied Pokémons P.DEF +25%,아군 포켓몬 물리 방어력+25%,10,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,25%,,,,,,,,,,,,,,TRUE,1,,,
22,1111,Allied Pokémons SP.DEF +15%,我方精靈特殊防禦力+15%,Allied Pokémons SP.DEF +15%,아군 포켓몬 특수 방어력+15%,20,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,15%,,,,,,,,,,,,,,,,,,
23,1111,Allied Pokémons SP.DEF +20%,我方精靈特殊防禦力+20%,Allied Pokémons SP.DEF +20%,아군 포켓몬 특수 방어력+20%,50,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,20%,,,,,,,,,,,,,,,3,,,
24,1111,Allied Pokémons SP.DEF +25%,我方精靈特殊防禦力+25%,Allied Pokémons SP.DEF +25%,아군 포켓몬 특수 방어력+25%,10,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,25%,,,,,,,,,,,,,,TRUE,1,,,
25,1,Allied Pokémons P.DEF and SP.DEF +10%,我方精靈物理和特殊防禦力+10%,Allied Pokémons P.DEF and SP.DEF +10%,아군 포켓몬 물리와 특수 방어력+10%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,10%,9,10%,,,,,,,,,,,,,,,,
26,2,Allied Pokémons P.DEF and SP.DEF +15%,我方精靈物理和特殊防禦力+15%,Allied Pokémons P.DEF and SP.DEF +15%,아군 포켓몬 물리와 특수 방어력+15%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,15%,9,15%,,,,,,,,,,,,,3,,,
27,3,Allied Pokémons P.DEF and SP.DEF +20%,我方精靈物理和特殊防禦力+20%,Allied Pokémons P.DEF and SP.DEF +20%,아군 포켓몬 물리와 특수 방어력+20%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,20%,9,20%,,,,,,,,,,,,,2,,,
28,1,Allied Pokémons damage reduction +5%,我方精靈傷害減免+5%,Allied Pokémons damage reduction +5%,아군 포켓몬 피해 감소+5%,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,500,,,,,,,,,,,,,,,,,,
29,2,Allied Pokémons damage reduction +10%,我方精靈傷害減免+10%,Allied Pokémons damage reduction +10%,아군 포켓몬 피해 감소+10%,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,1000,,,,,,,,,,,,,,,3,,,
30,3,Allied Pokémons damage reduction +15%,我方精靈傷害減免+15%,Allied Pokémons damage reduction +15%,아군 포켓몬 피해 감소+15%,50,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,1500,,,,,,,,,,,,,,TRUE,1,,,
31,1,Allied Pokémons DEF +10%,我方精靈抵禦+10%,Allied Pokémons DEF +10%,아군 포켓몬 저항+10%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,17,1000,,,,,,,,,,,,,,,,,,
32,2,Allied Pokémons DEF +15%,我方精靈抵禦+15%,Allied Pokémons DEF +15%,아군 포켓몬 저항+15%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,17,1500,,,,,,,,,,,,,,,,,,
33,3,Allied Pokémons DEF +20%,我方精靈抵禦+20%,Allied Pokémons DEF +20%,아군 포켓몬 저항+20%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,17,2000,,,,,,,,,,,,,,,,,,
34,1,Allied Pokémons life steal +4%,我方精靈吸血+4%,Allied Pokémons life steal +4%,아군 포켓몬 흡혈+4%,50,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,,26,400,,,,,,,,,,,,,,,,,,
35,2,Allied Pokémons life steal +8%,我方精靈吸血+8%,Allied Pokémons life steal +8%,아군 포켓몬 흡혈+8%,40,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,,26,800,,,,,,,,,,,,,,,,,,
36,3,Allied Pokémons life steal +10%,我方精靈吸血+10%,Allied Pokémons life steal +10%,아군 포켓몬 흡혈+10%,30,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,,26,1000,,,,,,,,,,,,,,,,,,
37,4,Recover 25% HP for 1 Pokémon,回復一隻精靈25%生命值,Recover 25% HP for 1 Pokémon,포켓몬 1마리의 HP를 25% 회복한다,20,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,25,,,,,,,,,,1
38,5,Recover 50% HP for 1 Pokémon,回復一隻精靈50%生命值,Recover 50% HP for 1 Pokémon,포켓몬 1마리의 HP를 50% 회복한다,50,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,50,,,,,,,,,,1
39,5,Recover 100% HP for 1 Pokémon,回復一隻精靈100%生命值,Recover 100% HP for 1 Pokémon,포켓몬 1마리의 HP를 100% 회복한다,10,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,100,,,,,,,,,,1
40,4,Recover 25% HP for 1 Pokémon,回復一隻精靈25%生命值,Recover 25% HP for 1 Pokémon,포켓몬 1마리의 HP를 25% 회복한다,1,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,25,,,,,,,,,,1
41,4,Recover 200 rage points for 1 Pokémon,回復一隻精靈200怒氣值,Recover 200 rage points for 1 Pokémon,포켓몬 1마리의 분노치를 200 회복한다,20,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,25,,,,,,,,,,2
42,5,Recover 500 rage points for 1 Pokémon,回復一隻精靈500怒氣值,Recover 500 rage points for 1 Pokémon,포켓몬 1마리의 분노치를 500 회복한다,50,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,50,,,,,,,,,,2
43,5,Recover 1000 rage points for 1 Pokémon,回復一隻精靈1000怒氣值,Recover 1000 rage points for 1 Pokémon,포켓몬 1마리의 분노치를 1000 회복한다,10,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,100,,,,,,,,,,2
44,5,Recover 1000 rage points for 1 Pokémon,回復一隻精靈1000怒氣值,Recover 1000 rage points for 1 Pokémon,포켓몬 1마리의 분노치를 1000 회복한다,1,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,100,,,,,,,,,,2
45,4,Revive one Pokémon,復活一隻精靈,Revive one Pokémon,포켓몬을 1마리 부활시킨다,20,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
46,5,Revive one Pokémon,復活一隻精靈,Revive one Pokémon,포켓몬을 1마리 부활시킨다,20,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
47,4,Revive one Pokémon,復活一隻精靈,Revive one Pokémon,포켓몬을 1마리 부활시킨다,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
48,5,Revive one Pokémon,復活一隻精靈,Revive one Pokémon,포켓몬을 1마리 부활시킨다,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
49,6,HP of allied Pokémons fully recovers,上陣精靈血量全回復,HP of allied Pokémons fully recovers,포켓몬의 HP를 전부 회복한다,20,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,2,100,,,,,,,,,,1
50,6,Rage of all Pokémons in battle fully recovers,上陣精靈怒氣全回復,Rage of all Pokémons in battle fully recovers,포켓몬의 분노치를 전부 회복한다,20,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,2,100,,,,,,,,,,2
51,6,Revive one Pokémon,復活一隻精靈,Revive one Pokémon,포켓몬을 1마리 부활시킨다,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
52,99,"At the end of the battle, you can get an additional points of remaining rounds x2",戰鬥結束時可以額外獲得剩餘回合數*2的積分,"At the end of the battle, you can get an additional points of remaining rounds x2",전투 종료 시 추가로 남은 턴*2의 포인트를 획득한다,,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,1,2,,,,TRUE,,,,
53,99,"At the end of the battle, you can get an additional ponits of surviving Pokémons x1",戰鬥結束時可以額外獲得存活精靈數*1的積分,"At the end of the battle, you can get an additional ponits of surviving Pokémons x1",전투 종료 시 추가로 존재한 포켓몬*1의 포인트를 획득한다,10,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,2,1,,,,TRUE,,,,
54,99,"At the end of the battle, you can get an additional ponits of surviving Pokémons x2",戰鬥結束時可以額外獲得存活精靈數*2的積分,"At the end of the battle, you can get an additional ponits of surviving Pokémons x2",전투 종료 시 추가로 존재한 포켓몬*2의 포인트를 획득한다,,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,2,2,,,,TRUE,,,,
55,99,"At the end of the battle, you can get an additional points of the current floor level x2",戰鬥結束時可以額外獲得當前層數*2的積分,"At the end of the battle, you can get an additional points of the current floor level x2",전투 종료 시 추가로 현재 층수*2의 포인트를 획득한다,,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,3,2,,,,TRUE,,,,
56,99,P. ATK and SP.ATK of allied Pokémons +5%,我方精靈物攻和特攻+5%,P. ATK and SP.ATK of allied Pokémons +5%,아군 포켓몬 물리&특수 공격+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,21,P. ATK of allied Pokémons +20%,我方精靈物攻+20%,P. ATK of allied Pokémons +20%,아군 포켓몬 물리 공격+20%,,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,7,20%,,,,,,,,,,,,,,TRUE,1,,,
102,21,SP.ATK of allied Pokémons +20%,我方精靈特攻+20%,SP.ATK of allied Pokémons +20%,아군 포켓몬 특수 공격+20%,,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,,8,20%,,,,,,,,,,,,,,TRUE,1,,,
103,21,P. ATK and SP.ATK of allied Pokémons +15%,我方精靈物攻和特攻+15%,P. ATK and SP.ATK of allied Pokémons +15%,아군 포켓몬 물리&특수 공격+15%,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,15%,7,15%,,,,,,,,,,,,,2,,,
104,21,Allied Pokémons damage bonus +20%,我方精靈傷害加成+20%,Allied Pokémons damage bonus +20%,아군 포켓몬 피해 보너스+20%,,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,22,2000,,,,,,,,,,,,,,TRUE,1,,,
105,21,Critical hit rate of allied Pokémons +20%,我方精靈暴擊率+20%,Critical hit rate of allied Pokémons +20%,아군 포켓몬 치명타율+20%,,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,2000,,,,,,,,,,,,,,TRUE,1,,,
106,21,Critical hit damage of allied Pokémons +30%,我方精靈暴擊傷害+30%,Critical hit damage of allied Pokémons +30%,아군 포켓몬 치명타 피해+30%,,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,30%,,,,,,,,,,,,,,TRUE,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,22,Allied Pokémons P.DEF +30%,我方精靈物理防禦力+30%,Allied Pokémons P.DEF +30%,아군 포켓몬 물리 방어력+30%,,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,30%,,,,,,,,,,,,,,TRUE,1,,,
122,22,Allied Pokémons SP.DEF +30%,我方精靈特殊防禦力+30%,Allied Pokémons SP.DEF +30%,아군 포켓몬 특수 방어력+30%,,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,30%,,,,,,,,,,,,,,TRUE,1,,,
123,22,Allied Pokémons P.DEF and SP.DEF +25%,我方精靈物理和特殊防禦力+25%,Allied Pokémons P.DEF and SP.DEF +25%,아군 포켓몬 물리와 특수 방어력+25%,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,25%,9,25%,,,,,,,,,,,,,2,,,
124,22,Allied Pokémons damage reduction +20%,我方精靈傷害減免+20%,Allied Pokémons damage reduction +20%,아군 포켓몬 피해 감소+20%,,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,2000,,,,,,,,,,,,,,TRUE,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1111,Reduce current HP by 10%,當前生命值減少10%,Reduce current HP by 10%,현재 HP-10%,,,,,2,,,,,,,,,4,2,10,,,,,,,,,,
201,1111,Reduce current HP by 20%,當前生命值減少20%,Reduce current HP by 20%,현재 HP-20%,,,,,2,,,,,,,,,4,2,20,,,,,,,,,,
202,1111,Reduce current HP by 30%,當前生命值減少30%,Reduce current HP by 30%,현재 HP-30%,,,,,2,,,,,,,,,4,2,30,,,,,,,,,,
203,1111,Current rage value reduces by 200,當前怒氣值減少200,Current rage value reduces by 200,현재 분노치-200,,,,,2,,,,,,,,,5,2,20,,,,,,,,,,
204,1111,Current rage value reduces by 500,當前怒氣值減少500,Current rage value reduces by 500,현재 분노치-500,,,,,2,,,,,,,,,5,2,50,,,,,,,,,,
205,1111,Current rage value reduces by 1000,當前怒氣值減少1000,Current rage value reduces by 1000,현재 분노치-1000,,,,,2,,,,,,,,,5,2,100,,,,,,,,,,
206,1111,Increases current rage value by 500,當前怒氣值增加500,Increases current rage value by 500,현재 분노치+500,,,,,2,,,,,,,,,2,2,50,,,,,,,,,,
207,1111,Speed of allied Pokémons -20%,我方精靈速度-20%,Speed of allied Pokémons -20%,아군 포켓몬 스피드-20%,,city/adventure/random_tower/icon/icon_wf.png,,effect_lan,1,,13,-20%,,,,,,,,,,,,,,,,,,
208,1111,Speed of allied Pokémons -40%,我方精靈速度-40%,Speed of allied Pokémons -40%,아군 포켓몬 스피드-40%,,city/adventure/random_tower/icon/icon_wf.png,,effect_lan,1,,13,-40%,,,,,,,,,,,,,,,,,,
210,1111,HP of allied Pokémons fully recovers,上陣精靈血量全回復,HP of allied Pokémons fully recovers,포켓몬의 HP를 전부 회복한다,,,,,2,,,,,,,,,1,2,100,,,,,,,,,,
211,1111,Rage of all Pokémons in battle fully recovers,上陣精靈怒氣全回復,Rage of all Pokémons in battle fully recovers,포켓몬의 분노치를 전부 회복한다,,,,,2,,,,,,,,,2,2,100,,,,,,,,,,
212,1111,P. ATK of allied Pokémons -5%,我方精靈物攻-5%,P. ATK of allied Pokémons -5%,아군 포켓몬 물리 공격-5%,,city/adventure/random_tower/icon/icon_tg.png,,effect,1,,7,-5%,,,,,,,,,,,,,,,,,,
213,1111,SP.ATK of allied Pokémons -5%,我方精靈特攻-5%,SP.ATK of allied Pokémons -5%,아군 포켓몬 특수 공격-5%,,city/adventure/random_tower/icon/icon_tg.png,,effect,1,,8,-5%,,,,,,,,,,,,,,,,,,
214,1111,Allied Pokémons recovers 20% HP,上陣精靈血量回復20%,Allied Pokémons recovers 20% HP,출전한 포켓몬의 HP를 20% 회복한다.,,,,,2,,,,,,,,,1,2,20,,,,,,,,,,
215,1111,Rage of all Pokémons in battle increases by 200,上陣精靈怒氣增加200,Rage of all Pokémons in battle increases by 200,출전한 포켓몬의 분노치가 200 증가한다.,,,,,2,,,,,,,,,2,2,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,103,"When the HP of allied Pokémons falls below 40%, damage increases by 10% per attack (stackable)",我方精靈生命值小於40%時，每次攻擊傷害提升10%（可疊加）,"When the HP of allied Pokémons falls below 40%, damage increases by 10% per attack (stackable)",아군 포켓몬 HP가 40% 미만일 때 공격할 때마다 10%씩 증가한다(중첩 가능),,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80001,,,TRUE,1,5,,
1002,200,"For every 10% HP lost, the damage of allied Pokémons increases by 8%",我方精靈每損失10%生命值，傷害提升8%,"For every 10% HP lost, the damage of allied Pokémons increases by 8%",아군 포켓몬이 HP를 10% 손실할 때마다 피해가 8%씩 증가한다.,,city/adventure/random_tower/icon/icon_cxsh.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80002,,,TRUE,,,5,
1003,200,"Each time it hits the enemy, it will receive an additional 8% of HP lost as true damage.",每次對敵方造成傷害時額外附加當前自身損失生命值的8%的真實傷害,"Each time it hits the enemy, it will receive an additional 8% of HP lost as true damage.",적에게 피해를 가할 때마다 현재 자신이 잃은 HP의 8%에 해당하는 고정 피해를 추가로 입힌다.,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80003,,,TRUE,,,5,
1004,200,"Each time it hits the enemy, it will deal an additional 5% of enemy's HP lost as true damage.",每次對敵方造成傷害時額外附加敵方已損失生命值的5%的真實傷害,"Each time it hits the enemy, it will deal an additional 5% of enemy's HP lost as true damage.",적에게 피해를 가할 때마다 적이 잃은 HP의 5%에 해당하는 고정 피해를 추가로 입힌다.,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80004,,,TRUE,,,2,
1005,101,Increases attack damage equivalent to 30% current DEF value,自身攻擊力提升，提升的值為當前防禦力的30%,Increases attack damage equivalent to 30% current DEF value,자신의 공격력이 현재 방어력의 30%만큼 증가한다.,,city/adventure/random_tower/icon/icon_qs.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80005,,,TRUE,1,7,,
1006,999,"An additional 50% critical strike rate bonus will be given for the ultimate move is used for the first time in the battle ",進入戰鬥首次使用大招時，額外獲得50%暴擊率加成,"An additional 50% critical strike rate bonus will be given for the ultimate move is used for the first time in the battle ",전투 진입 후 필살기를 처음 사용 시 치명타율이 추가로 50% 증가한다.,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80006,1,,TRUE,,,,
1007,200,"Each time an ultimate move is casted, the damage of the move increases by 10% and lasts until the end of the battle.",每使用一次大招，額外提升10%傷害加成，效果持續到戰鬥結束,"Each time an ultimate move is casted, the damage of the move increases by 10% and lasts until the end of the battle.",필살기를 사용할 때마다 피해 보너스가 추가로 10% 증가한다. 효과는 전투가 종료되기 전까지 지속된다.,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80007,,,TRUE,,,2,
