变量名,date,hp1,hp2,hp3,hp4,hp5,hp6,hp7,damage1,damage2,damage3,damage4,damage5,damage6,damage7
51,20221207,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
52,20221208,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
,,,,,,,,,,,,,,,
53,20221211,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
54,20221212,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
,,,,,,,,,,,,,,,
55,20221214,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
56,20221215,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
,,,,,,,,,,,,,,,
57,20221218,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
58,20221219,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,,,,,,,,,,,,
59,20221221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,20221222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
