变量名,zawakeID,awakeSeqID,level,costItemMap,exp,attrAddType,natureType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,extraScene,extraAttrs,skillID,viceHeldItem,activeReq
101502,1,5,2,{gold=620000;50001=9;59001=9},100,1,0,1,1034,7,205,8,205,9,144,10,144,,,,,
101503,1,5,3,{gold=720000;50001=10;59001=10},100,1,0,1,1044,7,207,8,207,9,146,10,146,,,,,
101504,1,5,4,{gold=810000;50001=10;59001=10},100,1,0,1,1054,7,209,8,209,9,147,10,147,<6;10>,{14=500;16=500},,,
101505,1,5,5,{gold=930000;50001=11;59001=11;502=1;501=1},100,1,0,1,1064,7,211,8,211,9,149,10,149,,,,,
101506,1,5,6,{gold=1020000;50001=11;59001=11;502=1;501=1},100,1,0,1,1075,7,213,8,213,9,150,10,150,,,,,
101507,1,5,7,{gold=1130000;50001=12;59001=12;502=1;501=1},100,1,0,1,1085,7,215,8,215,9,151,10,151,,,,,
101508,1,5,8,{gold=1220000;50001=12;59001=12;502=1;501=1;200=1},100,1,0,1,1095,7,217,8,217,9,153,10,153,<0>,{22=300;23=300},,,
101601,1,6,1,{gold=800000;50001=10;59001=10},125,1,0,1,1097,7,218,8,218,9,153,10,153,,,,,
101602,1,6,2,{gold=930000;50001=10;59001=10},125,1,0,1,1107,7,220,8,220,9,155,10,155,,,,,
101603,1,6,3,{gold=1080000;50001=11;59001=11;502=1;501=1},125,1,0,1,1118,7,222,8,222,9,156,10,156,,,,,
101604,1,6,4,{gold=1220000;50001=11;59001=11;502=1;501=1},125,1,0,1,1129,7,224,8,224,9,158,10,158,<13>,{22=800;23=800},,,
101605,1,6,5,{gold=1400000;50001=12;59001=12;502=1;501=1},125,1,0,1,1140,7,226,8,226,9,159,10,159,,,,,
101606,1,6,6,{gold=1530000;50001=12;59001=12;502=1;501=1},125,1,0,1,1151,7,228,8,228,9,161,10,161,,,,,
101607,1,6,7,{gold=1700000;50001=13;59001=13;502=2;501=2;200=1},125,1,0,1,1162,7,231,8,231,9,162,10,162,,,,,
101608,1,6,8,{gold=1830000;50001=13;59001=13;502=2;501=2;2152=1},125,1,0,1,1173,7,233,8,233,9,164,10,164,,,79003,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508}
101701,1,7,1,{gold=1200000;50001=11;59001=11},150,1,0,1,1170,7,232,8,232,9,163,10,163,,,,,
101702,1,7,2,{gold=1400000;50001=11;59001=11},150,1,0,1,1181,7,234,8,234,9,165,10,165,,,,,
101703,1,7,3,{gold=1620000;50001=12;59001=12},150,1,0,1,1193,7,237,8,237,9,166,10,166,,,,,
101704,1,7,4,{gold=1830000;50001=12;59001=12},150,1,0,1,1205,7,239,8,239,9,168,10,168,,,,,
101705,1,7,5,{gold=2100000;50001=13;59001=13},150,1,0,1,1216,7,241,8,241,9,170,10,170,,,,,
101706,1,7,6,{gold=2300000;50001=13;59001=13},150,1,0,1,1228,7,244,8,244,9,171,10,171,,,,,
101707,1,7,7,{gold=2550000;50001=14;59001=14},150,1,0,1,1240,7,246,8,246,9,173,10,173,,,,,
101708,1,7,8,{gold=2750000;50001=14;59001=14},150,1,0,1,1251,7,248,8,248,9,175,10,175,,,,,
101801,1,8,1,{gold=1800000;50001=12;59001=12},200,1,0,1,1243,7,247,8,247,9,173,10,173,,,,,
101802,1,8,2,{gold=2100000;50001=12;59001=12},200,1,0,1,1255,7,249,8,249,9,175,10,175,,,,,
101803,1,8,3,{gold=2430000;50001=13;59001=13},200,1,0,1,1268,7,251,8,251,9,177,10,177,,,,,
101804,1,8,4,{gold=2750000;50001=13;59001=13},200,1,0,1,1280,7,254,8,254,9,179,10,179,,,,,
101805,1,8,5,{gold=3150000;50001=14;59001=14},200,1,0,1,1292,7,256,8,256,9,180,10,180,,,,,
101806,1,8,6,{gold=3450000;50001=14;59001=14},200,1,0,1,1305,7,259,8,259,9,182,10,182,,,,,
101807,1,8,7,{gold=3830000;50001=15;59001=15},200,1,0,1,1317,7,261,8,261,9,184,10,184,,,,,
101808,1,8,8,{gold=4130000;50001=15;59001=15},200,1,0,1,1330,7,264,8,264,9,186,10,186,,,,,
102101,2,1,1,{gold=150000;50001=4;59002=4},75,1,0,1,853,7,169,8,169,9,119,10,119,,,,,
102102,2,1,2,{gold=180000;50001=4;59002=4},75,1,0,1,862,7,171,8,171,9,120,10,120,,,,,
102103,2,1,3,{gold=210000;50001=5;59002=5},75,1,0,1,870,7,172,8,172,9,121,10,121,,,,,
102104,2,1,4,{gold=240000;50001=5;59002=5},75,1,0,1,879,7,174,8,174,9,123,10,123,,,,,
102105,2,1,5,{gold=270000;50001=6;59002=6},75,1,0,1,887,7,176,8,176,9,124,10,124,,,,,
102106,2,1,6,{gold=300000;50001=6;59002=6},75,1,0,1,896,7,177,8,177,9,125,10,125,,,,,
102107,2,1,7,{gold=330000;50001=7;59002=7;501=1},75,1,0,1,904,7,179,8,179,9,126,10,126,,,,,
102108,2,1,8,{gold=360000;50001=7;59002=7;501=1},75,1,0,1,913,7,181,8,181,9,127,10,127,<0>,{24=300;25=300},,,
102201,2,2,1,{gold=230000;50001=6;59002=6},90,1,0,1,938,7,186,8,186,9,131,10,131,,,,,
102202,2,2,2,{gold=270000;50001=6;59002=6},90,1,0,1,948,7,188,8,188,9,132,10,132,,,,,
102203,2,2,3,{gold=320000;50001=7;59002=7},90,1,0,1,957,7,190,8,190,9,134,10,134,,,,,
102204,2,2,4,{gold=360000;50001=7;59002=7},90,1,0,1,966,7,191,8,191,9,135,10,135,,,,,
102205,2,2,5,{gold=410000;50001=8;59002=8;501=1},90,1,0,1,976,7,193,8,193,9,136,10,136,,,,,
102206,2,2,6,{gold=450000;50001=8;59002=8;501=1},90,1,0,1,985,7,195,8,195,9,137,10,137,,,,,
102207,2,2,7,{gold=500000;50001=9;59002=9;501=1},90,1,0,1,995,7,197,8,197,9,139,10,139,,,,,
102208,2,2,8,{gold=540000;50001=9;59002=9;501=1},90,1,0,1,1004,7,199,8,199,9,140,10,140,,,79001,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108}
102301,2,3,1,{gold=350000;50001=7;59002=7},105,1,0,1,1024,7,203,8,203,9,143,10,143,,,,,
102302,2,3,2,{gold=410000;50001=7;59002=7},105,1,0,1,1034,7,205,8,205,9,144,10,144,,,,,
102303,2,3,3,{gold=480000;50001=8;59002=8;501=1},105,1,0,1,1044,7,207,8,207,9,146,10,146,,,,,
102304,2,3,4,{gold=540000;50001=8;59002=8;501=1},105,1,0,1,1054,7,209,8,209,9,147,10,147,<2;12>,{24=500;25=500},,,
102305,2,3,5,{gold=620000;50001=9;59002=9;501=1},105,1,0,1,1065,7,211,8,211,9,149,10,149,,,,,
102306,2,3,6,{gold=680000;50001=9;59002=9;501=1},105,1,0,1,1075,7,213,8,213,9,150,10,150,,,,,
102307,2,3,7,{gold=750000;50001=10;59002=10;501=1},105,1,0,1,1085,7,215,8,215,9,151,10,151,,,,,
102308,2,3,8,{gold=810000;50001=10;59002=10;501=1;220=1},105,1,0,1,1095,7,217,8,217,9,153,10,153,,,79002,,{advance=15;goodFeel=160;star=9;zawakeStage=208}
102401,2,4,1,{gold=530000;50001=9;59002=9},120,1,0,1,1109,7,220,8,220,9,155,10,155,,,,,
102402,2,4,2,{gold=620000;50001=9;59002=9},120,1,0,1,1120,7,222,8,222,9,156,10,156,,,,,
102403,2,4,3,{gold=720000;50001=10;59002=10;501=1},120,1,0,1,1131,7,224,8,224,9,158,10,158,,,,,
102404,2,4,4,{gold=810000;50001=10;59002=10;501=1},120,1,0,1,1142,7,226,8,226,9,159,10,159,<0>,{14=300;16=300},,,
102405,2,4,5,{gold=930000;50001=11;59002=11;501=2},120,1,0,1,1153,7,228,8,228,9,161,10,161,,,,,
102406,2,4,6,{gold=1020000;50001=11;59002=11;501=2},120,1,0,1,1164,7,231,8,231,9,162,10,162,,,,,
102407,2,4,7,{gold=1130000;50001=12;59002=12;501=2;230=1},120,1,0,1,1175,7,233,8,233,9,164,10,164,,,,,
102408,2,4,8,{gold=1220000;50001=12;59002=12;501=2;2152=1},120,1,0,1,1187,7,235,8,235,9,166,10,166,,,79004,,{effort=9;nvalueSum=140;equipStarSum=9;zawakeStage=308}
102501,2,5,1,{gold=800000;50001=10;59002=10;502=2},150,1,0,1,1194,7,237,8,237,9,167,10,167,,,,,
102502,2,5,2,{gold=930000;50001=10;59002=10;502=2},150,1,0,1,1206,7,239,8,239,9,168,10,168,,,,,
102503,2,5,3,{gold=1080000;50001=11;59002=11;502=2;501=1},150,1,0,1,1218,7,241,8,241,9,170,10,170,,,,,
102504,2,5,4,{gold=1220000;50001=11;59002=11;502=2;501=2},150,1,0,1,1230,7,244,8,244,9,172,10,172,<6;10>,{14=500;16=500},,,
102505,2,5,5,{gold=1400000;50001=12;59002=12;502=2;501=2},150,1,0,1,1242,7,246,8,246,9,173,10,173,,,,,
102506,2,5,6,{gold=1530000;50001=12;59002=12;502=3;501=2},150,1,0,1,1254,7,248,8,248,9,175,10,175,,,,,
102507,2,5,7,{gold=1700000;50001=13;59002=13;502=3;501=2},150,1,0,1,1266,7,251,8,251,9,177,10,177,,,,,
102508,2,5,8,{gold=1830000;50001=13;59002=13;200=1;210=1},150,1,0,1,1278,7,253,8,253,9,178,10,178,<0>,{22=300;23=300},,,
102601,2,6,1,{gold=1200000;50001=11;59002=11;502=2},188,1,0,1,1280,7,254,8,254,9,179,10,179,,,,,
102602,2,6,2,{gold=1400000;50001=11;59002=11;502=2},188,1,0,1,1292,7,256,8,256,9,180,10,180,,,,,
102603,2,6,3,{gold=1620000;50001=12;59002=12;502=3;501=2},188,1,0,1,1305,7,259,8,259,9,182,10,182,,,,,
102604,2,6,4,{gold=1830000;50001=12;59002=12;502=3;501=2},188,1,0,1,1318,7,261,8,261,9,184,10,184,<13>,{22=800;23=800},,,
102605,2,6,5,{gold=2100000;50001=13;59002=13;502=3;501=3},188,1,0,1,1331,7,264,8,264,9,186,10,186,,,,,
102606,2,6,6,{gold=2300000;50001=13;59002=13;502=3;501=3},188,1,0,1,1343,7,266,8,266,9,187,10,187,,,,,
102607,2,6,7,{gold=2550000;50001=14;59002=14;502=4;501=3;2152=1},188,1,0,1,1356,7,269,8,269,9,189,10,189,,,,,
102608,2,6,8,{gold=2750000;50001=14;59002=14;502=4;501=3;2152=1},188,1,0,1,1369,7,271,8,271,9,191,10,191,,,79003,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508}
102701,2,7,1,{gold=1800000;50001=12;59002=12},225,1,0,1,1365,7,270,8,270,9,190,10,190,,,,,
102702,2,7,2,{gold=2100000;50001=12;59002=12},225,1,0,1,1378,7,273,8,273,9,192,10,192,,,,,
102703,2,7,3,{gold=2430000;50001=13;59002=13},225,1,0,1,1392,7,276,8,276,9,194,10,194,,,,,
102704,2,7,4,{gold=2750000;50001=13;59002=13},225,1,0,1,1406,7,279,8,279,9,196,10,196,,,,,
102705,2,7,5,{gold=3150000;50001=14;59002=14},225,1,0,1,1419,7,281,8,281,9,198,10,198,,,,,
102706,2,7,6,{gold=3450000;50001=14;59002=14},225,1,0,1,1433,7,284,8,284,9,200,10,200,,,,,
102707,2,7,7,{gold=3830000;50001=15;59002=15},225,1,0,1,1447,7,287,8,287,9,202,10,202,,,,,
102708,2,7,8,{gold=4130000;50001=15;59002=15},225,1,0,1,1460,7,289,8,289,9,204,10,204,,,,,
102801,2,8,1,{gold=2700000;50001=13;59002=13},300,1,0,1,1450,7,287,8,287,9,202,10,202,,,,,
102802,2,8,2,{gold=3150000;50001=13;59002=13},300,1,0,1,1465,7,290,8,290,9,204,10,204,,,,,
102803,2,8,3,{gold=3650000;50001=14;59002=14},300,1,0,1,1479,7,293,8,293,9,206,10,206,,,,,
102804,2,8,4,{gold=4130000;50001=14;59002=14},300,1,0,1,1494,7,296,8,296,9,208,10,208,,,,,
102805,2,8,5,{gold=4730000;50001=15;59002=15},300,1,0,1,1508,7,299,8,299,9,210,10,210,,,,,
102806,2,8,6,{gold=5180000;50001=15;59002=15},300,1,0,1,1523,7,302,8,302,9,212,10,212,,,,,
102807,2,8,7,{gold=5750000;50001=16;59002=16},300,1,0,1,1537,7,305,8,305,9,214,10,214,,,,,
102808,2,8,8,{gold=6200000;50001=16;59002=16},300,1,0,1,1552,7,307,8,307,9,216,10,216,,,,,
111101,11,1,1,{gold=100000;50011=3;59001=3},50,1,0,1,731,7,145,8,145,9,102,10,102,,,,,
111102,11,1,2,{gold=120000;50011=3;59001=3},50,1,0,1,738,7,146,8,146,9,103,10,103,,,,,
111103,11,1,3,{gold=140000;50011=4;59001=4},50,1,0,1,746,7,148,8,148,9,104,10,104,,,,,
111104,11,1,4,{gold=160000;50011=4;59001=4},50,1,0,1,753,7,149,8,149,9,105,10,105,,,,,
111105,11,1,5,{gold=180000;50011=5;59001=5},50,1,0,1,760,7,151,8,151,9,106,10,106,,,,,
111106,11,1,6,{gold=200000;50011=5;59001=5},50,1,0,1,768,7,152,8,152,9,107,10,107,,,,,
111107,11,1,7,{gold=220000;50011=6;59001=6},50,1,0,1,775,7,154,8,154,9,108,10,108,,,,,
111108,11,1,8,{gold=240000;50011=6;59001=6;501=1},50,1,0,1,782,7,155,8,155,9,109,10,109,<0>,{24=300;25=300},,,
111201,11,2,1,{gold=150000;50011=5;59001=5},60,1,0,1,804,7,160,8,160,9,112,10,112,,,,,
111202,11,2,2,{gold=180000;50011=5;59001=5},60,1,0,1,812,7,161,8,161,9,113,10,113,,,,,
111203,11,2,3,{gold=210000;50011=6;59001=6},60,1,0,1,820,7,163,8,163,9,114,10,114,,,,,
111204,11,2,4,{gold=240000;50011=6;59001=6},60,1,0,1,828,7,164,8,164,9,116,10,116,,,,,
111205,11,2,5,{gold=270000;50011=7;59001=7},60,1,0,1,836,7,166,8,166,9,117,10,117,,,,,
111206,11,2,6,{gold=300000;50011=7;59001=7},60,1,0,1,844,7,167,8,167,9,118,10,118,,,,,
111207,11,2,7,{gold=330000;50011=8;59001=8;501=1},60,1,0,1,852,7,169,8,169,9,119,10,119,,,,,
111208,11,2,8,{gold=360000;50011=8;59001=8;501=1},60,1,0,1,860,7,171,8,171,9,120,10,120,,,79001,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108}
111301,11,3,1,{gold=230000;50011=6;59001=6},70,1,0,1,877,7,174,8,174,9,122,10,122,,,,,
111302,11,3,2,{gold=270000;50011=6;59001=6},70,1,0,1,886,7,176,8,176,9,124,10,124,,,,,
111303,11,3,3,{gold=320000;50011=7;59001=7},70,1,0,1,895,7,177,8,177,9,125,10,125,,,,,
111304,11,3,4,{gold=360000;50011=7;59001=7},70,1,0,1,904,7,179,8,179,9,126,10,126,<2;12>,{24=500;25=500},,,
111305,11,3,5,{gold=410000;50011=8;59001=8},70,1,0,1,912,7,181,8,181,9,127,10,127,,,,,
111306,11,3,6,{gold=450000;50011=8;59001=8;501=1},70,1,0,1,921,7,183,8,183,9,129,10,129,,,,,
111307,11,3,7,{gold=500000;50011=9;59001=9;501=1},70,1,0,1,930,7,184,8,184,9,130,10,130,,,,,
111308,11,3,8,{gold=540000;50011=9;59001=9;501=1;223=1},70,1,0,1,939,7,186,8,186,9,131,10,131,,,79002,,{advance=14;goodFeel=150;star=9;zawakeStage=208}
111401,11,4,1,{gold=350000;50011=8;59001=8},80,1,0,1,950,7,189,8,189,9,133,10,133,,,,,
111402,11,4,2,{gold=410000;50011=8;59001=8},80,1,0,1,960,7,190,8,190,9,134,10,134,,,,,
111403,11,4,3,{gold=480000;50011=9;59001=9},80,1,0,1,969,7,192,8,192,9,135,10,135,,,,,
111404,11,4,4,{gold=540000;50011=9;59001=9},80,1,0,1,979,7,194,8,194,9,137,10,137,<0>,{14=300;16=300},,,
111405,11,4,5,{gold=620000;50011=10;59001=10},80,1,0,1,988,7,196,8,196,9,138,10,138,,,,,
111406,11,4,6,{gold=680000;50011=10;59001=10;501=1},80,1,0,1,998,7,198,8,198,9,139,10,139,,,,,
111407,11,4,7,{gold=750000;50011=11;59001=11;501=1},80,1,0,1,1007,7,200,8,200,9,141,10,141,,,,,
111408,11,4,8,{gold=810000;50011=11;59001=11;501=1;233=1},80,1,0,1,1017,7,202,8,202,9,142,10,142,,,79004,,{effort=9;nvalueSum=140;equipStarSum=8;zawakeStage=308}
111501,11,5,1,{gold=530000;50011=9;59001=9},100,1,0,1,1023,7,203,8,203,9,143,10,143,,,,,
111502,11,5,2,{gold=620000;50011=9;59001=9},100,1,0,1,1034,7,205,8,205,9,144,10,144,,,,,
111503,11,5,3,{gold=720000;50011=10;59001=10},100,1,0,1,1044,7,207,8,207,9,146,10,146,,,,,
111504,11,5,4,{gold=810000;50011=10;59001=10},100,1,0,1,1054,7,209,8,209,9,147,10,147,<6;10>,{14=500;16=500},,,
111505,11,5,5,{gold=930000;50011=11;59001=11;502=1;501=1},100,1,0,1,1064,7,211,8,211,9,149,10,149,,,,,
111506,11,5,6,{gold=1020000;50011=11;59001=11;502=1;501=1},100,1,0,1,1075,7,213,8,213,9,150,10,150,,,,,
111507,11,5,7,{gold=1130000;50011=12;59001=12;502=1;501=1},100,1,0,1,1085,7,215,8,215,9,151,10,151,,,,,
111508,11,5,8,{gold=1220000;50011=12;59001=12;502=1;501=1;203=1},100,1,0,1,1095,7,217,8,217,9,153,10,153,<0>,{22=300;23=300},,,
111601,11,6,1,{gold=800000;50011=10;59001=10},125,1,0,1,1097,7,218,8,218,9,153,10,153,,,,,
111602,11,6,2,{gold=930000;50011=10;59001=10},125,1,0,1,1107,7,220,8,220,9,155,10,155,,,,,
111603,11,6,3,{gold=1080000;50011=11;59001=11;502=1;501=1},125,1,0,1,1118,7,222,8,222,9,156,10,156,,,,,
111604,11,6,4,{gold=1220000;50011=11;59001=11;502=1;501=1},125,1,0,1,1129,7,224,8,224,9,158,10,158,<13>,{22=800;23=800},,,
111605,11,6,5,{gold=1400000;50011=12;59001=12;502=1;501=1},125,1,0,1,1140,7,226,8,226,9,159,10,159,,,,,
111606,11,6,6,{gold=1530000;50011=12;59001=12;502=1;501=1},125,1,0,1,1151,7,228,8,228,9,161,10,161,,,,,
111607,11,6,7,{gold=1700000;50011=13;59001=13;502=2;501=2;203=1},125,1,0,1,1162,7,231,8,231,9,162,10,162,,,,,
111608,11,6,8,{gold=1830000;50011=13;59001=13;502=2;501=2;2152=1},125,1,0,1,1173,7,233,8,233,9,164,10,164,,,79003,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508}
111701,11,7,1,{gold=1200000;50011=11;59001=11},150,1,0,1,1170,7,232,8,232,9,163,10,163,,,,,
111702,11,7,2,{gold=1400000;50011=11;59001=11},150,1,0,1,1181,7,234,8,234,9,165,10,165,,,,,
111703,11,7,3,{gold=1620000;50011=12;59001=12},150,1,0,1,1193,7,237,8,237,9,166,10,166,,,,,
111704,11,7,4,{gold=1830000;50011=12;59001=12},150,1,0,1,1205,7,239,8,239,9,168,10,168,,,,,
111705,11,7,5,{gold=2100000;50011=13;59001=13},150,1,0,1,1216,7,241,8,241,9,170,10,170,,,,,
111706,11,7,6,{gold=2300000;50011=13;59001=13},150,1,0,1,1228,7,244,8,244,9,171,10,171,,,,,
111707,11,7,7,{gold=2550000;50011=14;59001=14},150,1,0,1,1240,7,246,8,246,9,173,10,173,,,,,
111708,11,7,8,{gold=2750000;50011=14;59001=14},150,1,0,1,1251,7,248,8,248,9,175,10,175,,,,,
111801,11,8,1,{gold=1800000;50011=12;59001=12},200,1,0,1,1243,7,247,8,247,9,173,10,173,,,,,
111802,11,8,2,{gold=2100000;50011=12;59001=12},200,1,0,1,1255,7,249,8,249,9,175,10,175,,,,,
111803,11,8,3,{gold=2430000;50011=13;59001=13},200,1,0,1,1268,7,251,8,251,9,177,10,177,,,,,
111804,11,8,4,{gold=2750000;50011=13;59001=13},200,1,0,1,1280,7,254,8,254,9,179,10,179,,,,,
111805,11,8,5,{gold=3150000;50011=14;59001=14},200,1,0,1,1292,7,256,8,256,9,180,10,180,,,,,
111806,11,8,6,{gold=3450000;50011=14;59001=14},200,1,0,1,1305,7,259,8,259,9,182,10,182,,,,,
111807,11,8,7,{gold=3830000;50011=15;59001=15},200,1,0,1,1317,7,261,8,261,9,184,10,184,,,,,
111808,11,8,8,{gold=4130000;50011=15;59001=15},200,1,0,1,1330,7,264,8,264,9,186,10,186,,,,,
112101,12,1,1,{gold=150000;50011=4;59002=4},75,1,0,1,853,7,169,8,169,9,119,10,119,,,,,
112102,12,1,2,{gold=180000;50011=4;59002=4},75,1,0,1,862,7,171,8,171,9,120,10,120,,,,,
112103,12,1,3,{gold=210000;50011=5;59002=5},75,1,0,1,870,7,172,8,172,9,121,10,121,,,,,
112104,12,1,4,{gold=240000;50011=5;59002=5},75,1,0,1,879,7,174,8,174,9,123,10,123,,,,,
112105,12,1,5,{gold=270000;50011=6;59002=6},75,1,0,1,887,7,176,8,176,9,124,10,124,,,,,
112106,12,1,6,{gold=300000;50011=6;59002=6},75,1,0,1,896,7,177,8,177,9,125,10,125,,,,,
112107,12,1,7,{gold=330000;50011=7;59002=7;501=1},75,1,0,1,904,7,179,8,179,9,126,10,126,,,,,
112108,12,1,8,{gold=360000;50011=7;59002=7;501=1},75,1,0,1,913,7,181,8,181,9,127,10,127,<0>,{24=300;25=300},,,
112201,12,2,1,{gold=230000;50011=6;59002=6},90,1,0,1,938,7,186,8,186,9,131,10,131,,,,,
112202,12,2,2,{gold=270000;50011=6;59002=6},90,1,0,1,948,7,188,8,188,9,132,10,132,,,,,
112203,12,2,3,{gold=320000;50011=7;59002=7},90,1,0,1,957,7,190,8,190,9,134,10,134,,,,,
112204,12,2,4,{gold=360000;50011=7;59002=7},90,1,0,1,966,7,191,8,191,9,135,10,135,,,,,
112205,12,2,5,{gold=410000;50011=8;59002=8;501=1},90,1,0,1,976,7,193,8,193,9,136,10,136,,,,,
112206,12,2,6,{gold=450000;50011=8;59002=8;501=1},90,1,0,1,985,7,195,8,195,9,137,10,137,,,,,
