变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum
51911,Reggie Rock S,2,,<<21911;1>>,{gold=15000},,<1911;9002>,{gold=750000},50
51921,Regis S,2,,<<21921;1>>,{gold=15000},,<1921;9002>,{gold=750000},50
51931,Regis Chilloo S,2,,<<21931;1>>,{gold=15000},,<1931;9002>,{gold=750000},50
51941,Latias S,2,,<<21941;1>>,{gold=15000},,<1941;9002>,{gold=750000},50
51951,Latios S,2,,<<21951;1>>,{gold=15000},,<1951;9002>,{gold=750000},50
51961,Kyoka S+,2,,<<21961;1>>,{gold=20000},,<1961;9003>,{gold=1600000},80
51971,Gulardo S+,2,,<<21971;1>>,{gold=20000},,<1971;9003>,{gold=1600000},80
51981,Split Seat S+,2,,<<21981;1>>,{gold=20000},,<1981;9003>,{gold=1600000},80
51991,Kiraqi S+,2,,<<21991;1>>,{gold=20000},,<1991;9003>,{gold=1600000},80
52011,Terra Turtle A,2,,<<22011;1>>,{gold=10000},,<2011;9001>,{gold=300000},30
52031,Imperial Napoleon S,2,,<<22031;1>>,{gold=15000},,<2031;9002>,{gold=750000},50
52071,Roentgen Cat A,2,,<<22071;1>>,{gold=10000},,<2071;9001>,{gold=300000},30
52231,Bite Land Shark S,2,,<<22231;1>>,{gold=15000},,<2231;9002>,{gold=750000},50
52241,Lucario S,2,,<<22241;1>>,{gold=15000},,<2241;9002>,{gold=750000},50
52271,Poison Skull Frog A,2,,<<22271;1>>,{gold=10000},,<2271;9001>,{gold=300000},30
52301,Blizzard King A,2,,<<22301;1>>,{gold=10000},,<2301;9001>,{gold=300000},30
52351,Dialga S+,2,,<<22351;1>>,{gold=20000},,<2351;9003>,{gold=1600000},80
52361,Palkia S+,2,,<<22361;1>>,{gold=20000},,<2361;9003>,{gold=1600000},80
52381,Regichkas S+,2,,<<22381;1>>,{gold=20000},,<2381;9003>,{gold=1600000},80
52391,Giratina S+,2,,<<22391;1>>,{gold=20000},,<2391;9003>,{gold=1600000},80
52401,Cresselia S,2,,<<22401;1>>,{gold=15000},,<2401;9002>,{gold=750000},50
52431,Darkley S+,2,,<<22431;1>>,{gold=20000},,<2431;9003>,{gold=1600000},80
52441,Xie Mi S+,2,,<<22441;1>>,{gold=20000},,<2441;9003>,{gold=1600000},80
52471,Monarch Snake,2,,<<22471;1>>,{gold=15000},,<2471;9002>,{gold=750000},50
52481,King Yanwu A,2,,<<22481;1>>,{gold=10000},,<2481;9001>,{gold=300000},30
52591,Pang Yan Monster A,2,,<<22591;1>>,{gold=10000},,<2591;9001>,{gold=300000},30
52611,Leading Gopher A,2,,<<22611;1>>,{gold=10000},,<2611;9001>,{gold=300000},30
52631,build old craftsman A,2,,<<22631;1>>,{gold=10000},,<2631;9001>,{gold=300000},30
52681,Centipede King A,2,,<<22681;1>>,{gold=10000},,<2681;9001>,{gold=300000},30
52721,Rogue Crocodile S,2,,<<22721;1>>,{gold=15000},,<2721;9002>,{gold=750000},50
52821,Zoroak S,2,,<<22821;1>>,{gold=15000},,<2821;9002>,{gold=750000},50
52841,Miss Goth A,2,,<<22841;1>>,{gold=10000},,<2841;9001>,{gold=300000},30
52871,Double Doubt Ice A,2,,<<22871;1>>,{gold=10000},,<2871;9001>,{gold=300000},30
52891,Electric flying mouse A,2,,<<22891;1>>,{gold=10000},,<2891;9001>,{gold=300000},30
52921,Chubby Female A,2,,<<22921;1>>,{gold=10000},,<2921;9001>,{gold=300000},30
52922,Chubby Male A,2,,<<22922;1>>,{gold=10000},,<2922;9001>,{gold=300000},30
52961,Gear Monster A,2,,<<22961;1>>,{gold=10000},,<2961;9001>,{gold=300000},30
52991,Crystal Lantern Fire Spirit S,2,,<<22991;1>>,{gold=15000},,<2991;9002>,{gold=750000},50
53001,Double Ax War Dragon S,2,,<<23001;1>>,{gold=15000},,<3001;9002>,{gold=750000},50
53011,Tundra Bear A,2,,<<23011;1>>,{gold=10000},,<3011;9001>,{gold=300000},30
53021,Geometric Snowflake S,2,,<<23021;1>>,{gold=15000},,<3021;9002>,{gold=750000},50
53141,Three Dragons S,2,,<<23141;1>>,{gold=15000},,<3141;9002>,{gold=750000},50
53151,Vulcan moth S,2,,<<23151;1>>,{gold=15000},,<3151;9002>,{gold=750000},50
53161,Coppalion S,2,,<<23161;1>>,{gold=15000},,<3161;9002>,{gold=750000},50
53171,Delakion S,2,,<<23171;1>>,{gold=15000},,<3171;9002>,{gold=750000},50
53181,Billion S,2,,<<23181;1>>,{gold=15000},,<3181;9002>,{gold=750000},50
53211,Rashiram S+,2,,<<23211;1>>,{gold=20000},,<3211;9003>,{gold=1600000},80
53221,Czech Rom S+,2,,<<23221;1>>,{gold=20000},,<3221;9003>,{gold=1600000},80
53241,Kyurem S+,2,,<<23241;1>>,{gold=20000},,<3241;9003>,{gold=1600000},80
53251,Keldeo S,2,,<<23251;1>>,{gold=15000},,<3251;9002>,{gold=750000},50
53261,Meloetta Song Form S+,2,,<<23261;1>>,{gold=20000},,<3261;9003>,{gold=1600000},80
53281,Bricaron A,2,,<<23281;1>>,{gold=10000},,<3281;9001>,{gold=300000},30
53291,Demon fire red fox A,2,,<<23291;1>>,{gold=10000},,<3291;9001>,{gold=300000},30
53301,Koga Ninja S,2,,<<23301;1>>,{gold=15000},,<3301;9002>,{gold=750000},50
53341,Flame Lion A,2,,<<23341;1>>,{gold=10000},,<3341;9001>,{gold=300000},30
53351,Mrs. Huajie S,2,,<<23351;1>>,{gold=15000},,<3351;9002>,{gold=750000},50
53411,Shield Sword Monster Shield S,2,,<<23411;1>>,{gold=15000},,<3411;9002>,{gold=750000},50
53431,Fat Sweetie A,2,,<<23431;1>>,{gold=10000},,<3431;9001>,{gold=300000},30
53471,Steel cannon arm shrimp A,2,,<<23471;1>>,{gold=10000},,<3471;9001>,{gold=300000},30
53501,Ice Dragon A,2,,<<23501;1>>,{gold=10000},,<3501;9001>,{gold=300000},30
53511,Wrestling Hawkman A,2,,<<23511;1>>,{gold=10000},,<3511;9001>,{gold=300000},30
53541,Slimy Dragon S,2,,<<23541;1>>,{gold=15000},,<3541;9002>,{gold=750000},50
53561,Dead wood demon B,2,,<<23561;1>>,{gold=10000},,<3561;>,{gold=200000},20
53591,Sonic Dragon S,2,,<<23591;1>>,{gold=15000},,<3591;9002>,{gold=750000},50
53611,Yveltal S+,2,,<<23611;1>>,{gold=20000},,<3611;9003>,{gold=1600000},80
53631,Tianxi S+,2,,<<23631;1>>,{gold=20000},,<3631;9003>,{gold=1600000},80
53641,Liberate Hoopa S+,2,,<<23641;1>>,{gold=20000},,<3641;9003>,{gold=1600000},80
53661,Sniper Tree Owl S,2,,<<23661;1>>,{gold=15000},,<3661;9002>,{gold=750000},50
53771,Super Bad Star S,2,,<<23771;1>>,{gold=15000},,<3771;9002>,{gold=750000},50
53841,Sweet and cool after S,2,,<<23841;1>>,{gold=15000},,<3841;9002>,{gold=750000},50
54131,Tetragnathus S,2,,<<24131;1>>,{gold=15000},,<4131;9002>,{gold=750000},50
54171,Meltan S+,2,,<<24171;1>>,{gold=20000},,<4171;9003>,{gold=1600000},80
57001,Ash version of Pikachu S,2,,<<27001;1>>,{gold=15000},,<7001;9002>,{gold=750000},50
