"﻿变量名",name,name_tw,name_en,name_vn,name_kr,languages,cardID,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
50081,Squirtle·Z Awake Shard,阿柏蛇·Z覺醒碎片,Squirtle·Z Awake Shard,,,,81,config/portrait/jinglingtouxiang/img_23_abs@.png,Z Awakening Cultivation Used to Improve Arbor Snake,,,,Z Awakening Cultivation Used to Improve Arbor Snake,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50091,Pichu·Z Awake Shard,皮丘·Z覺醒碎片,Pichu·Z Awake Shard,,,,91,config/portrait/jinglingtouxiang/img_172_pq@.png,Z Awakening cultivation for raising Pichu,,,,Z Awakening cultivation for raising Pichu,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50101,Squirtle·Z Awake Shard,穿山鼠·Z覺醒碎片,Squirtle·Z Awake Shard,,,,101,config/portrait/jinglingtouxiang/img_27_css@.png,Z Awakening cultivation used to improve the pangolin,,,,Z Awakening cultivation used to improve the pangolin,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50111,Nidoran♀·Z Awake Shard,尼多蘭·Z覺醒碎片,Nidoran♀·Z Awake Shard,,,,111,config/portrait/jinglingtouxiang/img_29_ndl@.png,Z Awakening Cultivation for Raising Nidoran,,,,Z Awakening Cultivation for Raising Nidoran,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50121,Squirtle·Z Awake Shard,尼多朗·Z覺醒碎片,Squirtle·Z Awake Shard,,,,121,config/portrait/jinglingtouxiang/img_32_ndl@.png,Z Awakening Cultivation for Raising Nidoran,,,,Z Awakening Cultivation for Raising Nidoran,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50131,Cleffa·Z Awake Shard,皮寶寶·Z覺醒碎片,Cleffa·Z Awake Shard,,,,131,config/portrait/jinglingtouxiang/img_173_pbb@.png,It is used to improve the development of Z awakening of Pi Baobao,,,,It is used to improve the development of Z awakening of Pi Baobao,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,六尾·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Six Tails,,,,Z Awakening Cultivation for Raising Six Tails,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50151,Igglybuff·Z Awake Shard,寶寶丁·Z覺醒碎片,Igglybuff·Z Awake Shard,,,,151,config/portrait/jinglingtouxiang/img_174_bbd@.png,Z Awakening Cultivation for Raising Baby Ding,,,,Z Awakening Cultivation for Raising Baby Ding,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50161,Squirtle·Z Awake Shard,超音蝠·Z覺醒碎片,Squirtle·Z Awake Shard,,,,161,config/portrait/jinglingtouxiang/img_41_cyf@.png,It is used to improve the Z awakening cultivation of supersonic bats,,,,It is used to improve the Z awakening cultivation of supersonic bats,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50171,Oddish·Z Awake Shard,走路草·Z覺醒碎片,Oddish·Z Awake Shard,,,,171,config/portrait/jinglingtouxiang/img_43_zlc@.png,Z Awakening cultivation for improving walking grass,,,,Z Awakening cultivation for improving walking grass,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,派拉斯·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Paras,,,,Z Awakening Cultivation for Raising Paras,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50191,Venonat·Z Awake Shard,毛球·Z覺醒碎片,Venonat·Z Awake Shard,,,,191,config/portrait/jinglingtouxiang/img_48_mq@.png,Z Awakening Cultivation for Raising Hair Balls,,,,Z Awakening Cultivation for Raising Hair Balls,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,地鼠·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening cultivation for raising gophers,,,,Z Awakening cultivation for raising gophers,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Meowth·Z Awake Shard,喵喵·Z覺醒碎片,Meowth·Z Awake Shard,,,,,config/portrait/jinglingtouxiang/img_52_mm@.png,Used to improve Meow Meow's Z Awakening Cultivation,,,,Used to improve Meow Meow's Z Awakening Cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50221,Squirtle·Z Awake Shard,可達鴨·Z覺醒碎片,Squirtle·Z Awake Shard,,,,221,config/portrait/jinglingtouxiang/img_54_kdy@.png,Z Awakening Brought Up for Upgrading the Duck,,,,Z Awakening Brought Up for Upgrading the Duck,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50231,Mankey·Z Awake Shard,猴怪·Z覺醒碎片,Mankey·Z Awake Shard,,,,231,config/portrait/jinglingtouxiang/img_56_hg@.png,Z Awakening Cultivation for Raising Monkey Monster,,,,Z Awakening Cultivation for Raising Monkey Monster,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50241,Squirtle·Z Awake Shard,卡蒂狗·Z覺醒碎片,Squirtle·Z Awake Shard,,,,241,config/portrait/jinglingtouxiang/img_58_kdg@.png,Z Awakening Cultivation for Raising Katie Dog,,,,Z Awakening Cultivation for Raising Katie Dog,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Poliwag·Z Awake Shard,蚊香蝌蚪·Z覺醒碎片,Poliwag·Z Awake Shard,,,,,,Z Awakening nurturing for raising Mosquito Coil tadpoles,,,,Z Awakening nurturing for raising Mosquito Coil tadpoles,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50261,Squirtle·Z Awake Shard,凱西·Z覺醒碎片,Squirtle·Z Awake Shard,,,,261,config/portrait/jinglingtouxiang/img_63_kx@.png,Used to improve Casey's Z Awakening cultivation,,,,Used to improve Casey's Z Awakening cultivation,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50271,Machop·Z Awake Shard,腕力·Z覺醒碎片,Machop·Z Awake Shard,,,,271,config/portrait/jinglingtouxiang/img_66_wl@.png,Z Awakening Cultivation for Improving Wrist Strength,,,,Z Awakening Cultivation for Improving Wrist Strength,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50281,Squirtle·Z Awake Shard,喇叭芽·Z覺醒碎片,Squirtle·Z Awake Shard,,,,281,config/portrait/jinglingtouxiang/img_69_lby@.png,Z Awakening Cultivation for Raising Trumpet Buds,,,,Z Awakening Cultivation for Raising Trumpet Buds,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Tentacool·Z Awake Shard,瑪瑙水母·Z覺醒碎片,Tentacool·Z Awake Shard,,,,,,Z Awakening nurturing for raising the Onyx jellyfish,,,,Z Awakening nurturing for raising the Onyx jellyfish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50301,Squirtle·Z Awake Shard,小拳石·Z覺醒碎片,Squirtle·Z Awake Shard,,,,301,config/portrait/jinglingtouxiang/img_74_xqs@.png,Z Awakening Cultivation Used to Improve Small Fist Stone,,,,Z Awakening Cultivation Used to Improve Small Fist Stone,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Ponyta·Z Awake Shard,小火馬·Z覺醒碎片,Ponyta·Z Awake Shard,,,,,,The Z Awakening cultivation used to improve the little fire horse,,,,The Z Awakening cultivation used to improve the little fire horse,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,呆呆獸·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Slowpoke,,,,Z Awakening Cultivation for Improving Slowpoke,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50331,Magnemite·Z Awake Shard,小磁怪·Z覺醒碎片,Magnemite·Z Awake Shard,,,,331,config/portrait/jinglingtouxiang/img_81_xcg@.png,Z Awakening Cultivation for Raising Magneto,,,,Z Awakening Cultivation for Raising Magneto,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50341,Squirtle·Z Awake Shard,大蔥鴨·Z覺醒碎片,Squirtle·Z Awake Shard,,,,341,config/portrait/jinglingtouxiang/img_83_dcy@.png,It is used to improve the Z-awakening cultivation of Scallion Duck,,,,It is used to improve the Z-awakening cultivation of Scallion Duck,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50351,Doduo·Z Awake Shard,嘟嘟·Z覺醒碎片,Doduo·Z Awake Shard,,,,351,config/portrait/jinglingtouxiang/img_84_dd@.png,Z Awakening Cultivation for Raising Dudu,,,,Z Awakening Cultivation for Raising Dudu,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,小海獅·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Sea Lions,,,,Z Awakening Cultivation for Raising Sea Lions,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50371,Grimer·Z Awake Shard,臭泥·Z覺醒碎片,Grimer·Z Awake Shard,,,,371,config/portrait/jinglingtouxiang/img_88_cn@.png,The Z Awakening cultivation used to improve the smelly slime,,,,The Z Awakening cultivation used to improve the smelly slime,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50381,Squirtle·Z Awake Shard,大舌貝·Z覺醒碎片,Squirtle·Z Awake Shard,,,,381,config/portrait/jinglingtouxiang/img_90_dsb@.png,Z Awakening Cultivation Used to Improve Big Tongue,,,,Z Awakening Cultivation Used to Improve Big Tongue,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50391,Gastly·Z Awake Shard,鬼斯·Z覺醒碎片,Gastly·Z Awake Shard,,,,391,config/portrait/jinglingtouxiang/img_92_gs@.png,Z Awakening Cultivation for Raising Guisi,,,,Z Awakening Cultivation for Raising Guisi,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50401,Squirtle·Z Awake Shard,大岩蛇·Z覺醒碎片,Squirtle·Z Awake Shard,,,,401,config/portrait/jinglingtouxiang/img_95_dys@.png,The Z Awakening cultivation used to improve the Rock Serpent,,,,The Z Awakening cultivation used to improve the Rock Serpent,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Drowzee·Z Awake Shard,催眠貘·Z覺醒碎片,Drowzee·Z Awake Shard,,,,,,Z Awakening cultivation for improving Hypnotic Tapir,,,,Z Awakening cultivation for improving Hypnotic Tapir,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,大鉗蟹·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising Claw Crab,,,,Z Awakening Brought Up for Raising Claw Crab,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Voltorb·Z Awake Shard,霹靂電球·Z覺醒碎片,Voltorb·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Thunderbolt Ball,,,,Z Awakening Cultivation for Raising Thunderbolt Ball,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,蛋蛋·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Eggs,,,,Z Awakening Cultivation for Raising Eggs,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50451,Cubone·Z Awake Shard,卡拉卡拉·Z覺醒碎片,Cubone·Z Awake Shard,,,,451,config/portrait/jinglingtouxiang/img_104_klkl@.png,Z Awakening Cultivation for Raising Caracalla,,,,Z Awakening Cultivation for Raising Caracalla,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50461,Squirtle·Z Awake Shard,無畏小子·Z覺醒碎片,Squirtle·Z Awake Shard,,,,461,config/portrait/jinglingtouxiang/img_236_wwxz@.png,Z Awakening Cultivation for Raising Dauntless Boys,,,,Z Awakening Cultivation for Raising Dauntless Boys,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50471,Lickitung·Z Awake Shard,大舌頭·Z覺醒碎片,Lickitung·Z Awake Shard,,,,471,config/portrait/jinglingtouxiang/img_108_dst@.png,Z Awakening Cultivation for Raising Big Tongue,,,,Z Awakening Cultivation for Raising Big Tongue,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50481,Squirtle·Z Awake Shard,瓦斯彈·Z覺醒碎片,Squirtle·Z Awake Shard,,,,481,config/portrait/jinglingtouxiang/img_109_wsd@.png,Z Awakening cultivation for upgrading gas bombs,,,,Z Awakening cultivation for upgrading gas bombs,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50491,Rhyhorn·Z Awake Shard,獨角犀牛·Z覺醒碎片,Rhyhorn·Z Awake Shard,,,,491,config/portrait/jinglingtouxiang/img_111_djxn@.png,The Z Awakening cultivation used to improve the one-horned rhino,,,,The Z Awakening cultivation used to improve the one-horned rhino,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,小福蛋·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,config/portrait/jinglingtouxiang/img_440_xfd@.png,Z Awakening Cultivation for Raising Little Fudan,,,,Z Awakening Cultivation for Raising Little Fudan,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Tangela·Z Awake Shard,蔓藤怪·Z覺醒碎片,Tangela·Z Awake Shard,,,,,,The Z Awakening cultivation used to improve the vine monster,,,,The Z Awakening cultivation used to improve the vine monster,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,袋獸·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening cultivation for raising marsupials,,,,Z Awakening cultivation for raising marsupials,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Horsea·Z Awake Shard,墨海馬·Z覺醒碎片,Horsea·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Mohaima,,,,Z Awakening Cultivation for Improving Mohaima,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50541,Squirtle·Z Awake Shard,角金魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,541,config/portrait/jinglingtouxiang/img_118_jjy@.png,Z Awakening cultivation for raising horned goldfish,,,,Z Awakening cultivation for raising horned goldfish,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50551,Staryu·Z Awake Shard,海星星·Z覺醒碎片,Staryu·Z Awake Shard,,,,551,config/portrait/jinglingtouxiang/img_120_hxx@.png,Z Awakening Cultivation for Raising Sea Stars,,,,Z Awakening Cultivation for Raising Sea Stars,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,魔尼尼·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Used to improve Manini's Z Awakening cultivation,,,,Used to improve Manini's Z Awakening cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50571,Scyther·Z Awake Shard,飛天螳螂·Z覺醒碎片,Scyther·Z Awake Shard,,,,571,config/portrait/jinglingtouxiang/img_123_fttl@.png,The Z Awakening cultivation used to improve the Flying Mantis,,,,The Z Awakening cultivation used to improve the Flying Mantis,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,迷唇娃·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z-awakening development of Milip Baby,,,,It is used to improve the Z-awakening development of Milip Baby,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50591,Elekid·Z Awake Shard,電擊怪·Z覺醒碎片,Elekid·Z Awake Shard,,,,591,config/portrait/jinglingtouxiang/img_239_djg@.png,Z Awakening Cultivation for Raising Electric Shock Monsters,,,,Z Awakening Cultivation for Raising Electric Shock Monsters,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50601,Squirtle·Z Awake Shard,鴨嘴寶寶·Z覺醒碎片,Squirtle·Z Awake Shard,,,,601,config/portrait/jinglingtouxiang/img_240_yzbb@.png,It is used to improve the Z awakening development of duckbill babies,,,,It is used to improve the Z awakening development of duckbill babies,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Pinsir·Z Awake Shard,凱羅斯·Z覺醒碎片,Pinsir·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Kairos,,,,Z Awakening Cultivation for Raising Kairos,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,肯泰羅·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Kentaro,,,,Z Awakening Cultivation for Raising Kentaro,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50631,Gyarados·Z Awake Shard,暴鯉龍·Z覺醒碎片,Gyarados·Z Awake Shard,,,,631,config/portrait/jinglingtouxiang/img_130_bll@.png,Z Awakening cultivation for improving Gyarados,,,,Z Awakening cultivation for improving Gyarados,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50641,Squirtle·Z Awake Shard,拉普拉斯·Z覺醒碎片,Squirtle·Z Awake Shard,,,,641,config/portrait/jinglingtouxiang/img_131_lpls@.png,Z Awakening Cultivation for Raising Laplace,,,,Z Awakening Cultivation for Raising Laplace,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Ditto·Z Awake Shard,百變怪·Z覺醒碎片,Ditto·Z Awake Shard,,,,,,Z Awakening cultivation for improving Ditto,,,,Z Awakening cultivation for improving Ditto,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,伊布·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Eevee,,,,Z Awakening Cultivation for Improving Eevee,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Vaporeon·Z Awake Shard,水伊布·Z覺醒碎片,Vaporeon·Z Awake Shard,,,,,,Z Awakening Cultivation Used to Raise Mizuev,,,,Z Awakening Cultivation Used to Raise Mizuev,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,多邊獸·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening cultivation for raising polygonal beasts,,,,Z Awakening cultivation for raising polygonal beasts,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Omanyte·Z Awake Shard,菊石獸·Z覺醒碎片,Omanyte·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Ammonite Beasts,,,,Z Awakening Cultivation for Raising Ammonite Beasts,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50691,Squirtle·Z Awake Shard,化石盔·Z覺醒碎片,Squirtle·Z Awake Shard,,,,691,config/portrait/jinglingtouxiang/img_140_hsk@.png,Z Awakening cultivation for upgrading Fossil Helm,,,,Z Awakening cultivation for upgrading Fossil Helm,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50701,Aerodactyl·Z Awake Shard,化石翼龍·Z覺醒碎片,Aerodactyl·Z Awake Shard,,,,701,config/portrait/jinglingtouxiang/img_142_hsyl@.png,Z Awakening cultivation for raising Fossil Pterosaurs,,,,Z Awakening cultivation for raising Fossil Pterosaurs,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50711,Squirtle·Z Awake Shard,小卡比獸·Z覺醒碎片,Squirtle·Z Awake Shard,,,,711,config/portrait/jinglingtouxiang/img_446_xkbs@.png,Z Awakening Cultivation for Raising Snorkellings,,,,Z Awakening Cultivation for Raising Snorkellings,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50721,Articuno·Z Awake Shard,急凍鳥·Z覺醒碎片,Articuno·Z Awake Shard,,,,721,config/portrait/jinglingtouxiang/img_144_jdn@.png,Z Awakening Cultivation for Improving Frozen Bird,,,,Z Awakening Cultivation for Improving Frozen Bird,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50731,Squirtle·Z Awake Shard,閃電鳥·Z覺醒碎片,Squirtle·Z Awake Shard,,,,731,config/portrait/jinglingtouxiang/img_145_sdn@.png,The Z Awakening cultivation used to upgrade the Lightning Bird,,,,The Z Awakening cultivation used to upgrade the Lightning Bird,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50741,Moltres·Z Awake Shard,火焰鳥·Z覺醒碎片,Moltres·Z Awake Shard,,,,741,config/portrait/jinglingtouxiang/img_146_hyn@.png,Z Awakening Cultivation for Improving the Flame Bird,,,,Z Awakening Cultivation for Improving the Flame Bird,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50751,Squirtle·Z Awake Shard,迷你龍·Z覺醒碎片,Squirtle·Z Awake Shard,,,,751,config/portrait/jinglingtouxiang/img_147_mnl@.png,Z Awakening cultivation for raising miniature dragons,,,,Z Awakening cultivation for raising miniature dragons,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50761,Mewtwo·Z Awake Shard,超夢·Z覺醒碎片,Mewtwo·Z Awake Shard,,,,761,config/portrait/jinglingtouxiang/img_150_cm@.png,Z Awakening Cultivation for Improving Mewtwo,,,,Z Awakening Cultivation for Improving Mewtwo,,,,6,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50771,Squirtle·Z Awake Shard,夢幻·Z覺醒碎片,Squirtle·Z Awake Shard,,,,771,config/portrait/jinglingtouxiang/img_151_mh@.png,Z Awakening Cultivation for Improving Dreams,,,,Z Awakening Cultivation for Improving Dreams,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50781,Chikorita·Z Awake Shard,菊草葉·Z覺醒碎片,Chikorita·Z Awake Shard,,,,781,config/portrait/jinglingtouxiang/img_152_jcy@.png,Z Awakening Cultivation for Raising Chrysanthemum Leaves,,,,Z Awakening Cultivation for Raising Chrysanthemum Leaves,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50791,Squirtle·Z Awake Shard,火球鼠·Z覺醒碎片,Squirtle·Z Awake Shard,,,,791,config/portrait/jinglingtouxiang/img_155_hqs@.png,Z Awakening cultivation for improving Fireball Rat,,,,Z Awakening cultivation for improving Fireball Rat,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50801,Totodile·Z Awake Shard,小鋸鱷·Z覺醒碎片,Totodile·Z Awake Shard,,,,801,config/portrait/jinglingtouxiang/img_158_xje@.png,It is used to improve the Z-awakening development of the small saw crocodile,,,,It is used to improve the Z-awakening development of the small saw crocodile,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,尾立·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Taichi,,,,Z Awakening Cultivation for Raising Taichi,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Hoothoot·Z Awake Shard,咕咕·Z覺醒碎片,Hoothoot·Z Awake Shard,,,,,,Z Awakening Cultivation Used to Improve Gu Gu,,,,Z Awakening Cultivation Used to Improve Gu Gu,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,芭瓢蟲·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Ladybug,,,,Z Awakening Cultivation for Raising Ladybug,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
