变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{151=5;gold=50000},{151=14;gold=50000},{151=18;gold=50000},{151=22;gold=50000},{151=26;gold=50000},{151=30;gold=50000},{151=35;gold=50000},{151=40;gold=50000}
15,{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000}
16,{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000}
17,{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000}
18,{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000}
19,{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000}
20,{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000}
21,{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000}
22,{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000}
23,{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000}
24,{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000}
25,{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000}
26,{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000}
27,{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000}
28,{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000}
29,{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000}
30,{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000}
31,{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000}
32,{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000}
33,{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000}
34,{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000}
35,{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000}
36,{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000}
37,{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000}
38,{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000}
39,{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000}
40,{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000}
41,{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000}
42,{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000}
43,{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000}
44,{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000}
45,{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000}
46,{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000}
47,{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000}
48,{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000}
49,{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000}
50,{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000}
51,{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000}
52,{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000}
53,{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000}
54,{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000}
55,{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000}
56,{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000}
57,{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000}
58,{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000}
59,{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000}
60,{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000}
61,{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000}
62,{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000}
63,{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000}
64,{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000}
65,{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000}
66,{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000}
67,{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000}
68,{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000}
69,{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000}
70,{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000}
71,{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000}
72,{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000}
73,{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000}
74,{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000}
75,{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000}
76,{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000}
77,{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000}
78,{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000}
79,{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000}
80,{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000}
81,{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000}
82,{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000}
83,{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000}
84,{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000}
85,{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000}
86,{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000}
87,{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000}
88,{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000}
89,{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000}
90,{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000}
91,{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000}
92,{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000}
93,{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000}
94,{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000}
95,{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000}
96,{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000}
97,{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000}
98,{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000}
99,{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000}
100,{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000}
