"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,costSeqID,attrType1,attrNum1,attrType2,attrNum2
22,Strong heart,烈心,Strong heart,404,열심,,2,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>
23,Cohesion,凝聚,Cohesion,404,응집,,2,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
24,Calm,寧神,Calm,404,진정,,2,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
25,Toughness,韌性,Toughness,404,근성,,2,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
26,Luck,運氣,Luck,404,행운,,2,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
31,Fearless,無畏,Fearless,404,무외,,3,1,<44;87;131;174;218;261;305;348;392;435;479;522;566;609;653;696;740;783;827;870;974;1021;1067;1114;1160;1206;1253;1299;1346;1392;1438;1485;1531;1578;1624;1670;1717;1763;1810;1856;2021;2071;2120;2169;2219;2268;2317;2366;2416;2465;2662;2714;2767;2819;2871;2923;2975;3028;3080;3132;3361;3416;3471;3526;3582;3637;3692;3747;3802;3857;4118;4176;4234;4292;4350;4408;4466;4524;4582;4640;4933;4994;5055;5116;5177;5237;5298;5359;5420;5481;5806;5870;5933;5997;6061;6125;6189;6252;6316;6380;>,,
32,Strong heart,烈心,Strong heart,404,열심,,3,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>
33,Cohesion,凝聚,Cohesion,404,응집,,3,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
34,Calm,寧神,Calm,404,진정,,3,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
35,Toughness,韌性,Toughness,404,근성,,3,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
36,Luck,運氣,Luck,404,행운,,3,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
41,Fearless,無畏,Fearless,404,무외,,4,1,<44;87;131;174;218;261;305;348;392;435;479;522;566;609;653;696;740;783;827;870;974;1021;1067;1114;1160;1206;1253;1299;1346;1392;1438;1485;1531;1578;1624;1670;1717;1763;1810;1856;2021;2071;2120;2169;2219;2268;2317;2366;2416;2465;2662;2714;2767;2819;2871;2923;2975;3028;3080;3132;3361;3416;3471;3526;3582;3637;3692;3747;3802;3857;4118;4176;4234;4292;4350;4408;4466;4524;4582;4640;4933;4994;5055;5116;5177;5237;5298;5359;5420;5481;5806;5870;5933;5997;6061;6125;6189;6252;6316;6380;>,,
42,Strong heart,烈心,Strong heart,404,열심,,4,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>
43,Cohesion,凝聚,Cohesion,404,응집,,4,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
44,Calm,寧神,Calm,404,진정,,4,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
45,Toughness,韌性,Toughness,404,근성,,4,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
46,Luck,運氣,Luck,404,행운,,4,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
51,Fearless,無畏,Fearless,404,무외,,5,1,<44;87;131;174;218;261;305;348;392;435;479;522;566;609;653;696;740;783;827;870;974;1021;1067;1114;1160;1206;1253;1299;1346;1392;1438;1485;1531;1578;1624;1670;1717;1763;1810;1856;2021;2071;2120;2169;2219;2268;2317;2366;2416;2465;2662;2714;2767;2819;2871;2923;2975;3028;3080;3132;3361;3416;3471;3526;3582;3637;3692;3747;3802;3857;4118;4176;4234;4292;4350;4408;4466;4524;4582;4640;4933;4994;5055;5116;5177;5237;5298;5359;5420;5481;5806;5870;5933;5997;6061;6125;6189;6252;6316;6380;>,,
52,Strong heart,烈心,Strong heart,404,열심,,5,7,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>,8,<12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;269;282;294;307;320;333;346;358;371;384;397;410;422;435;448;461;474;486;499;512;558;571;585;598;612;626;639;653;666;680;734;749;763;778;792;806;821;835;850;864;927;942;958;973;988;1003;1018;1034;1049;1064;1136;1152;1168;1184;1200;1216;1232;1248;1264;1280;1361;1378;1394;1411;1428;1445;1462;1478;1495;1512;1602;1619;1637;1654;1672;1690;1707;1725;1742;1760;>
53,Cohesion,凝聚,Cohesion,404,응집,,5,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,9,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
54,Calm,寧神,Calm,404,진정,,5,1,<22;43.5;65.5;87;109;130.5;152.5;174;196;217.5;239.5;261;283;304.5;326.5;348;370;391.5;413.5;435;487;510.5;533.5;557;580;603;626.5;649.5;673;696;719;742.5;765.5;789;812;835;858.5;881.5;905;928;1010.5;1035.5;1060;1084.5;1109.5;1134;1158.5;1183;1208;1232.5;1331;1357;1383.5;1409.5;1435.5;1461.5;1487.5;1514;1540;1566;1680.5;1708;1735.5;1763;1791;1818.5;1846;1873.5;1901;1928.5;2059;2088;2117;2146;2175;2204;2233;2262;2291;2320;2466.5;2497;2527.5;2558;2588.5;2618.5;2649;2679.5;2710;2740.5;2903;2935;2966.5;2998.5;3030.5;3062.5;3094.5;3126;3158;3190;>,10,<5;9;14;18;23;27;32;36;41;45;50;54;59;63;68;72;77;81;86;90;101;106;110;115;120;125;130;134;139;144;149;154;158;163;168;173;178;182;187;192;209;214;219;224;230;235;240;245;250;255;275;281;286;292;297;302;308;313;319;324;348;353;359;365;371;376;382;388;393;399;426;432;438;444;450;456;462;468;474;480;510;517;523;529;536;542;548;554;561;567;601;607;614;620;627;634;640;647;653;660;>
