变量名,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
17,4062,{x=200;y=219},2,{flip=2;x=520;y=232},550,<>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,7,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,20
18,4063,{x=1503;y=703},3,{flip=3;x=1300;y=668},270,<>,8,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,10,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,21
19,4064,{x=1503;y=234},4,{flip=1;x=1309;y=268},260,<>,1,<405;729;1053;1424;1795;2220;2645;3131;3617;4174;4731;5368;6005;6735;7465;8300;9135;10092;11049;12144>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,8,<92;165;238;322;406;502;598;709;819;945;1071;1216;1360;1526;1692;1881;2071;2287;2504;2752>,,,22
20,4071,{x=199;y=709},1,{flip=4;x=377;y=681},220,<>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,9,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,10,<35;63;91;123;156;192;229;270;312;360;407;462;518;581;643;716;788;870;953;1047>,,,24
21,4072,{x=210;y=324},2,{flip=2;x=470;y=350},400,<>,1,<344;620;895;1210;1526;1887;2248;2661;3074;3548;4021;4563;5104;5725;6345;7055;7765;8578;9392;10322>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,8,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,,,25
22,4073,{x=1492;y=549},3,{flip=1;x=1294;y=573},300,<>,7,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,26
23,4074,{x=1486;y=236},4,{flip=1;x=1213;y=253},420,<>,1,<466;838;1211;1638;2064;2553;3042;3601;4160;4800;5441;6173;6906;7745;8585;9545;10505;11606;12706;13966>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,10,<35;63;91;123;156;192;229;270;312;360;407;462;518;581;643;716;788;870;953;1047>,,,27
24,4081,{x=52;y=567},1,{flip=2;x=261;y=590},275,<>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209>,,,29
25,4082,{x=132;y=318},2,{flip=2;x=297;y=310},200,<>,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,30
26,4083,{x=1417;y=785},3,{flip=3;x=1252;y=731},220,<>,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,10,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,31
27,4084,{x=1578;y=503},4,{flip=1;x=1392;y=522},240,<>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,32
28,4085,{x=1417;y=232},5,{flip=1;x=1242;y=269},230,<>,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,33
29,4092,{x=68;y=521},1,{flip=4;x=410;y=490},560,<>,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,36
30,4093,{x=251;y=306},2,{flip=4;x=425;y=275},220,<>,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,7,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,37
31,4094,{x=1535;y=848},3,{flip=3;x=1224;y=819},505,<>,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,38
32,4095,{x=1535;y=582},4,{flip=3;x=1274;y=550},400,<>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,39
33,4096,{x=1533;y=308},5,{flip=1;x=1389;y=313},160,<>,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,40
,,,,,,,,,,,,,,,
,以下旧数据，暂没用,,,,,,,,,,,,,,
34,4034,{x=183;y=791},4,{flip=4;x=410;y=760},330,<>,1,<251;451;651;872;1093;1336;1580;1849;2118;2415;2712;3038;3365;3725;4085>,7,<49;88;128;171;214;262;309;362;415;473;532;597;661;732;802>,8,<58;104;150;201;252;308;364;426;488;557;626;702;778;861;944>,,,10
35,4044,{x=1539;y=349},4,{flip=3;x=1325;y=315},290,<>,9,<25;46;67;89;110;135;159;186;214;244;274;307;340;377;414>,10,<19;34;49;65;82;99;117;138;158;180;202;227;252;279;306>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41>,,,14
36,4054,{x=198;y=503},4,{flip=4;x=471;y=472},460,<>,1,<204;367;530;711;891;1089;1287;1505;1724;1965;2207;2473;2739;3032;3325>,7,<74;132;191;255;320;391;462;542;621;708;796;891;987;1093;1198>,8,<74;132;191;255;320;391;462;542;621;708;796;891;987;1093;1198>,,,15
37,4055,{x=198;y=248},5,{flip=2;x=463;y=271},390,<>,8,<54;98;141;189;236;289;342;400;459;524;588;659;729;808;886>,15,<50;75;100;130;160;195;230;270;310;355;400;450;500;555;610>,13,<6;8;11;13;16;18;21;24;26;29;31;34;36;39;41>,,,16
38,4065,{x=1503;y=465},5,{flip=3;x=1187;y=437},500,<>,7,<74;132;191;255;320;391;462;542;621;708;796;891;987;1093;1198>,9,<24;43;62;83;104;127;150;176;202;230;258;289;320;354;388>,10,<20;37;53;71;88;108;128;150;172;196;219;246;272;301;330>,,,24
39,4075,{x=1489;y=799},5,{flip=3;x=1267;y=776},350,<>,8,<64;115;166;222;278;340;402;471;540;616;692;775;858;950;1042>,10,<28;49;71;95;120;146;173;202;232;265;297;332;368;407;446>,13,<7;10;13;16;19;22;25;28;31;34;37;40;43;46;49>,,,29
40,4086,{x=58;y=775},6,{flip=4;x=440;y=750},650,<>,7,<81;145;209;281;352;430;508;595;681;776;872;976;1081;1197;1313>,9,<22;40;58;77;97;118;139;163;187;213;240;269;298;329;360>,8,<70;126;182;244;306;374;442;517;592;675;758;849;940;1041;1142>,10,<26;47;68;91;114;139;164;192;220;251;282;316;350;387;424>,35
41,4091,{x=252;y=732},6,{flip=4;x=541;y=707},450,<>,1,<224;404;583;781;979;1198;1416;1657;1897;2162;2428;2720;3012;3335;3657>,8,<60;107;155;207;260;318;376;439;503;574;644;722;799;885;971>,9,<30;54;78;105;131;160;189;221;253;289;324;363;403;445;488>,10,<30;54;78;105;131;160;189;221;253;289;324;363;403;445;488>,36
