"﻿变量名",effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr
7,1,<>,,7,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%;>,8,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%;>,,,,,,,,,"#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s","#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s","#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가"
8,1,<>,,1,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,13,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,7,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,8,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,9,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,10,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
9,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,"#C0x5B545B##F40# Activate at+3:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+3:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가"
10,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,"#C0x5B545B##F40# Activate at+6:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+6:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가"
11,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,"#C0x5B545B##F40# Activate at+9:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+9:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가"
12,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;>,,,,,,,,,"#C0x5B545B##F40# Activate at+12:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+12:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가"
,,,,,,,,,,,,,,,,,,,,
13,1,<>,,32,<250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;>,,,,,,,,,,,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
14,1,<>,,1,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,13,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,7,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,8,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,9,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,10,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
15,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
16,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
17,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
18,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
19,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
20,1,<>,,34,<250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;>,,,,,,,,,,,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
21,1,<>,,1,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,13,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,7,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,8,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,9,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,10,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
22,1,<>,,34,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
23,1,<>,,34,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
24,1,<>,,34,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
25,1,<>,,34,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
26,1,<>,,34,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
27,1,<>,,23,<250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;>,,,,,,,,,,,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
28,1,<>,,1,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,13,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,7,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,8,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,9,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,10,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
29,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
