变量名,gateID,extraVersion,_beizhu,itemMap,count,probability,probability_tw,probability_kr,itemCount
48,10701,2,(Random drop from normal levels in mobile games) (Normal 7-01) (Normal levels),{6349=100},1,30,30,30,
49,10702,2,(Random drop from normal levels in mobile games) (Normal 7-02) (Normal levels),{6349=100},1,30,30,30,
50,10703,2,(Random drop from normal levels in mobile games) (Normal 7-03) (Normal levels),{6349=100},1,30,30,30,
51,10704,2,(Random drop from normal levels in mobile games) (Normal 7-04) (Normal levels),{6349=100},1,30,30,30,
52,10705,2,(Random drop from normal levels in mobile games) (Normal 7-05) (Normal levels),{6349=100},1,30,30,30,
53,10706,2,(Random drop from normal levels in mobile games) (Normal 7-06) (Normal levels),{6349=100},1,30,30,30,
54,10707,2,(Random drop from common levels in mobile games) (Normal 7-07) (Normal levels),{6349=100},1,30,30,30,
55,10708,2,(Random drop from ordinary levels in mobile games) (Normal 7-08) (Normal levels),{6349=100},1,30,30,30,
56,10709,2,(Random drop from common levels in mobile games) (Normal 7-09) (Normal levels),{6349=100},1,30,30,30,
57,10710,2,(Random drop from ordinary levels in mobile games) (Normal 7-10) (Normal levels),{6349=100},1,30,30,30,
58,10801,2,(Normal level of mobile game drops randomly) (Normal 8-01) (Normal level),{6349=100},1,30,30,30,
59,10802,2,(Normal levels of mobile games drop randomly) (Normal 8-02) (Normal levels),{6349=100},1,30,30,30,
60,10803,2,(Normal level of mobile game drops randomly) (Normal 8-03) (Normal level),{6349=100},1,30,30,30,
61,10804,2,(Normal levels of mobile games drop randomly) (Normal 8-04) (Normal levels),{6349=100},1,30,30,30,
62,10805,2,(Random drop from normal levels in mobile games) (Normal 8-05) (Normal levels),{6349=100},1,30,30,30,
63,10806,2,(Random drop from normal levels in mobile games) (Normal 8-06) (Normal levels),{6349=100},1,30,30,30,
64,10807,2,(Random drop from normal levels in mobile games) (Normal 8-07) (Normal levels),{6349=100},1,30,30,30,
65,10808,2,(Normal levels of mobile games drop randomly) (Normal 8-08) (Normal levels),{6349=100},1,30,30,30,
66,10809,2,(Normal levels of mobile games drop randomly) (Normal 8-09) (Normal levels),{6349=100},1,30,30,30,
67,10810,2,(Random drop from ordinary levels in mobile games) (Normal 8-10) (Normal levels),{6349=100},1,30,30,30,
68,10901,2,(Random drop from normal levels in mobile games) (Normal 9-01) (Normal levels),{6349=100},1,30,30,30,
69,10902,2,(Random drop from normal levels in mobile games) (Normal 9-02) (Normal levels),{6349=100},1,30,30,30,
70,10903,2,(Normal level of mobile game drops randomly) (Normal 9-03) (Normal level),{6349=100},1,30,30,30,
71,10904,2,(Normal level of mobile game drops randomly) (Normal 9-04) (Normal level),{6349=100},1,30,30,30,
72,10905,2,(Random drop from normal levels in mobile games) (Normal 9-05) (Normal levels),{6349=100},1,30,30,30,
73,10906,2,(Random drop from common levels in mobile games) (Normal 9-06) (Normal levels),{6349=100},1,30,30,30,
74,10907,2,(Random drop from normal levels in mobile games) (Normal 9-07) (Normal levels),{6349=100},1,30,30,30,
75,10908,2,(Random drop from normal levels in mobile games) (Normal 9-08) (Normal levels),{6349=100},1,30,30,30,
76,10909,2,(Random drop from ordinary levels in mobile games) (Normal 9-09) (Normal levels),{6349=100},1,30,30,30,
77,10910,2,(Normal level of mobile game drops randomly) (Normal 9-10) (Normal level),{6349=100},1,30,30,30,
78,11001,2,(Normal level of mobile game drops randomly) (Normal 10-01) (Normal level),{6349=100},1,30,30,30,
79,11002,2,(Random drop from common levels in mobile games) (Normal 10-02) (Normal levels),{6349=100},1,30,30,30,
80,11003,2,(Random drop from normal levels in mobile games) (Normal 10-03) (Normal levels),{6349=100},1,30,30,30,
81,11004,2,(Random drop from normal levels in mobile games) (Normal 10-04) (Normal levels),{6349=100},1,30,30,30,
82,11005,2,(Random drop from common levels in mobile games) (Normal 10-05) (Normal levels),{6349=100},1,30,30,30,
83,11006,2,(Random drop from common levels in mobile games) (Normal 10-06) (Normal levels),{6349=100},1,30,30,30,
84,11007,2,(Random drop from common levels in mobile games) (Normal 10-07) (Normal levels),{6349=100},1,30,30,30,
85,11008,2,(Random drop from common levels in mobile games) (Normal 10-08) (Normal levels),{6349=100},1,30,30,30,
86,11009,2,(Random drop from ordinary levels in mobile games) (Normal 10-09) (Normal levels),{6349=100},1,30,30,30,
87,11010,2,(Random drop from common levels in mobile games) (Normal 10-10) (Normal levels),{6349=100},1,30,30,30,
88,11101,2,(Random drop from common levels in mobile games) (Normal 11-01) (Normal levels),{6349=100},1,30,30,30,
89,11102,2,(Random drop from common levels in mobile games) (Normal 11-02) (Normal levels),{6349=100},1,30,30,30,
90,11103,2,(Random drop from common levels in mobile games) (Normal 11-03) (Normal levels),{6349=100},1,30,30,30,
91,11104,2,(Random drop from common levels in mobile games) (Normal 11-04) (Normal levels),{6349=100},1,30,30,30,
92,11105,2,(Random drop from normal levels in mobile games) (Normal 11-05) (Normal levels),{6349=100},1,30,30,30,
93,11106,2,(Random drop from common levels in mobile games) (Normal 11-06) (Normal levels),{6349=100},1,30,30,30,
94,11107,2,(Random drop from common levels in mobile games) (Normal 11-07) (Normal levels),{6349=100},1,30,30,30,
95,11108,2,(Normal levels of mobile games drop randomly) (Normal 11-08) (Normal levels),{6349=100},1,30,30,30,
96,11109,2,(Random drop from common levels in mobile games) (Normal 11-09) (Normal levels),{6349=100},1,30,30,30,
97,11110,2,(Random drop from normal levels in mobile games) (Normal 11-10) (Normal levels),{6349=100},1,30,30,30,
98,11201,2,(Normal levels of mobile games drop randomly) (Normal 12-01) (Normal levels),{6349=100},1,30,30,30,
99,11202,2,(Random drop from normal levels in mobile games) (Normal 12-02) (Normal levels),{6349=100},1,30,30,30,
100,11203,2,(Random drop from ordinary levels in mobile games) (Normal 12-03) (Normal levels),{6349=100},1,30,30,30,
101,11204,2,(Random drop from normal levels in mobile games) (Normal 12-04) (Normal levels),{6349=100},1,30,30,30,
102,11205,2,(Random drop from normal levels in mobile games) (Normal 12-05) (Normal levels),{6349=100},1,30,30,30,
103,11206,2,(Random drop from common levels in mobile games) (Normal 12-06) (Normal levels),{6349=100},1,30,30,30,
104,11207,2,(Random drop from common levels in mobile games) (Normal 12-07) (Normal levels),{6349=100},1,30,30,30,
105,11208,2,(Random drop from common levels in mobile games) (Normal 12-08) (Normal levels),{6349=100},1,30,30,30,
106,11209,2,(Random drop from common levels in mobile games) (Normal 12-09) (Normal levels),{6349=100},1,30,30,30,
107,11210,2,(Normal levels of mobile games drop randomly) (Normal 12-10) (Normal levels),{6349=100},1,30,30,30,
108,11301,2,(Random drop from common levels in mobile games) (Normal 13-01) (Normal levels),{6349=100},1,30,30,30,
109,11302,2,(Random drop from ordinary levels in mobile games) (Normal 13-02) (Normal levels),{6349=100},1,30,30,30,
110,11303,2,(Random drop from ordinary levels in mobile games) (Normal 13-03) (Normal levels),{6349=100},1,30,30,30,
111,11304,2,(Random drop from common levels in mobile games) (Normal 13-04) (Normal levels),{6349=100},1,30,30,30,
112,11305,2,(Random drop from common levels in mobile games) (Normal 13-05) (Normal levels),{6349=100},1,30,30,30,
113,11306,2,(Random drop from common levels in mobile games) (Normal 13-06) (Normal levels),{6349=100},1,30,30,30,
114,11307,2,(Random drop from common levels in mobile games) (Normal 13-07) (Normal levels),{6349=100},1,30,30,30,
115,11308,2,(Random drop from ordinary levels in mobile games) (Normal 13-08) (Normal levels),{6349=100},1,30,30,30,
116,11309,2,(Random drop from normal levels in mobile games) (Normal 13-09) (Normal levels),{6349=100},1,30,30,30,
117,11310,2,(Random drop from ordinary levels in mobile games) (Normal 13-10) (Normal levels),{6349=100},1,30,30,30,
118,11401,2,(Random drop from common levels in mobile games) (Normal 14-01) (Normal levels),{6349=100},1,30,30,30,
119,11402,2,(Random drop from normal levels in mobile games) (Normal 14-02) (Normal levels),{6349=100},1,30,30,30,
120,11403,2,(Random drop from ordinary levels in mobile games) (Normal 14-03) (Normal levels),{6349=100},1,30,30,30,
121,11404,2,(Random drop from common levels in mobile games) (Normal 14-04) (Normal levels),{6349=100},1,30,30,30,
122,11405,2,(Random drop from normal levels in mobile games) (Normal 14-05) (Normal levels),{6349=100},1,30,30,30,
123,11406,2,(Random drop from common levels in mobile games) (Normal 14-06) (Normal levels),{6349=100},1,30,30,30,
124,11407,2,(Random drop from common levels in mobile games) (Normal 14-07) (Normal levels),{6349=100},1,30,30,30,
125,11408,2,(Random drop from common levels in mobile games) (Normal 14-08) (Normal levels),{6349=100},1,30,30,30,
126,11409,2,(Random drop from normal levels in mobile games) (Normal 14-09) (Normal levels),{6349=100},1,30,30,30,
127,11410,2,(Random drop from ordinary levels in mobile games) (Normal 14-10) (Normal levels),{6349=100},1,30,30,30,
128,11501,2,(Random drop from normal levels in mobile games) (Normal 15-01) (Normal levels),{6349=100},1,30,30,30,
129,11502,2,(Random drop from common levels in mobile games) (Normal 15-02) (Normal levels),{6349=100},1,30,30,30,
130,11503,2,(Random drop from common levels in mobile games) (Normal 15-03) (Normal levels),{6349=100},1,30,30,30,
131,11504,2,(Random drop from common levels in mobile games) (Normal 15-04) (Normal levels),{6349=100},1,30,30,30,
132,11505,2,(Random drop from normal levels in mobile games) (Normal 15-05) (Normal levels),{6349=100},1,30,30,30,
133,11506,2,(Random drop from common levels in mobile games) (Normal 15-06) (Normal levels),{6349=100},1,30,30,30,
134,11507,2,(Random drop from normal levels in mobile games) (Normal 15-07) (Normal levels),{6349=100},1,30,30,30,
135,11508,2,(Random drop from ordinary levels in mobile games) (Normal 15-08) (Normal levels),{6349=100},1,30,30,30,
136,11509,2,(Random drop from normal levels in mobile games) (Normal 15-09) (Normal levels),{6349=100},1,30,30,30,
137,11510,2,(Random drop from normal levels in mobile games) (Normal 15-10) (Normal levels),{6349=100},1,30,30,30,
138,11601,2,(Random drop from common levels in mobile games) (Normal 16-01) (Normal levels),{6349=100},1,30,30,30,
139,11602,2,(Random drop from common levels in mobile games) (Normal 16-02) (Normal levels),{6349=100},1,30,30,30,
140,11603,2,(Random drop from common levels in mobile games) (Normal 16-03) (Normal levels),{6349=100},1,30,30,30,
141,11604,2,(Random drop from normal levels in mobile games) (Normal 16-04) (Normal levels),{6349=100},1,30,30,30,
142,11605,2,(Random drop from normal levels in mobile games) (Normal 16-05) (Normal levels),{6349=100},1,30,30,30,
143,11606,2,(Random drop from common levels in mobile games) (Normal 16-06) (Normal levels),{6349=100},1,30,30,30,
144,11607,2,(Random drop from ordinary levels in mobile games) (Normal 16-07) (Normal levels),{6349=100},1,30,30,30,
145,11608,2,(Random drop from normal levels in mobile games) (Normal 16-08) (Normal levels),{6349=100},1,30,30,30,
146,11609,2,(Random drop from common levels in mobile games) (Normal 16-09) (Normal levels),{6349=100},1,30,30,30,
147,11610,2,(Random drop from ordinary levels in mobile games) (Normal 16-10) (Normal levels),{6349=100},1,30,30,30,
148,11701,2,(Normal level of mobile game drops randomly) (Normal 17-01) (Normal level),{6349=100},1,30,30,30,
149,11702,2,(Random drop from normal levels in mobile games) (Normal 17-02) (Normal levels),{6349=100},1,30,30,30,
150,11703,2,(Random drop from normal levels in mobile games) (Normal 17-03) (Normal levels),{6349=100},1,30,30,30,
151,11704,2,(Random drop from ordinary levels in mobile games) (Normal 17-04) (Normal levels),{6349=100},1,30,30,30,
152,11705,2,(Random drop from ordinary levels in mobile games) (Normal 17-05) (Normal levels),{6349=100},1,30,30,30,
153,11706,2,(Random drop from normal levels in mobile games) (Normal 17-06) (Normal levels),{6349=100},1,30,30,30,
154,11707,2,(Random drop from common levels in mobile games) (Normal 17-07) (Normal levels),{6349=100},1,30,30,30,
155,11708,2,(Random drop from common levels in mobile games) (Normal 17-08) (Normal levels),{6349=100},1,30,30,30,
156,11709,2,(Random drop from common levels in mobile games) (Normal 17-09) (Normal levels),{6349=100},1,30,30,30,
157,11710,2,(Random drop from normal levels in mobile games) (Normal 17-10) (Normal levels),{6349=100},1,30,30,30,
158,11801,2,(Random drop from normal levels in mobile games) (Normal 18-01) (Normal levels),{6349=100},1,30,30,30,
159,11802,2,(Random drop from normal levels in mobile games) (Normal 18-02) (Normal levels),{6349=100},1,30,30,30,
160,11803,2,(Random drop from common levels in mobile games) (Normal 18-03) (Normal levels),{6349=100},1,30,30,30,
161,11804,2,(Random drop from normal levels in mobile games) (Normal 18-04) (Normal levels),{6349=100},1,30,30,30,
162,11805,2,(Random drop from common levels in mobile games) (Normal 18-05) (Normal levels),{6349=100},1,30,30,30,
163,11806,2,(Random drop from ordinary levels in mobile games) (Normal 18-06) (Normal levels),{6349=100},1,30,30,30,
164,11807,2,(Random drop from normal levels in mobile games) (Normal 18-07) (Normal levels),{6349=100},1,30,30,30,
165,11808,2,(Random drop from common levels in mobile games) (Normal 18-08) (Normal levels),{6349=100},1,30,30,30,
166,11809,2,(Random drop from ordinary levels in mobile games) (Normal 18-09) (Normal levels),{6349=100},1,30,30,30,
167,11810,2,(Random drop from ordinary levels in mobile games) (Normal 18-10) (Normal levels),{6349=100},1,30,30,30,
168,11901,2,(手游普通关卡随机掉落)(普通19-01)(普通关卡),{6349=100},1,30,30,30,
169,11902,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-02) ( Normal levels ),{6349=100},1,30,30,30,
170,11903,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-03) ( Normal levels ),{6349=100},1,30,30,30,
171,11904,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-04) ( Normal levels ),{6349=100},1,30,30,30,
172,11905,2,( Random drop from common levels in mobile games ) ( Normal 19-05) ( Normal levels ),{6349=100},1,30,30,30,
173,11906,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-06) ( Normal levels ),{6349=100},1,30,30,30,
174,11907,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-07) ( Normal levels ),{6349=100},1,30,30,30,
175,11908,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-08) ( Normal levels ),{6349=100},1,30,30,30,
176,11909,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-09) ( Normal levels ),{6349=100},1,30,30,30,
177,11910,2,( Random drop from ordinary levels in mobile games ) ( Normal 19-10) ( Normal levels ),{6349=100},1,30,30,30,
178,12001,2,( Random drop from normal levels in mobile games ) ( Normal 20-01) ( Normal levels ),{6349=100},1,30,30,30,
179,12002,2,( Normal levels of mobile games drop randomly ) ( Normal 20-02) ( Normal levels ),{6349=100},1,30,30,30,
180,12003,2,( Random drop from normal levels in mobile games ) ( Normal 20-03) ( Normal levels ),{6349=100},1,30,30,30,
181,12004,2,( Random drop from ordinary levels in mobile games ) ( Normal 20-04) ( Normal levels ),{6349=100},1,30,30,30,
182,12005,2,( Random drop from ordinary levels in mobile games ) ( Normal 20-05) ( Normal levels ),{6349=100},1,30,30,30,
183,12006,2,( Normal levels of mobile games drop randomly ) ( Normal 20-06) ( Normal levels ),{6349=100},1,30,30,30,
184,12007,2,( Random drop from normal levels in mobile games ) ( Normal 20-07) ( Normal levels ),{6349=100},1,30,30,30,
185,12008,2,( Random drop from ordinary levels in mobile games ) ( Normal 20-08) ( Normal levels ),{6349=100},1,30,30,30,
186,12009,2,( Random drop from normal levels in mobile games ) ( Normal 20-09) ( Normal levels ),{6349=100},1,30,30,30,
187,12010,2,( Random drop from ordinary levels in mobile games ) ( Normal 20-10) ( Normal levels ),{6349=100},1,30,30,30,
188,12101,2,( Normal level of mobile game drops randomly ) ( Normal 21-01) ( Normal level ),{6349=100},1,30,30,30,
189,12102,2,( Random drop from normal levels in mobile games ) ( Normal 21-02) ( Normal levels ),{6349=100},1,30,30,30,
190,12103,2,( Normal levels of mobile games drop randomly ) ( Normal 21-03) ( Normal levels ),{6349=100},1,30,30,30,
191,12104,2,( Random drop from normal levels in mobile games ) ( Normal 21-04) ( Normal levels ),{6349=100},1,30,30,30,
192,12105,2,( Random drop from ordinary levels in mobile games ) ( Normal 21-05) ( Normal levels ),{6349=100},1,30,30,30,
193,12106,2,( Random drop from ordinary levels in mobile games ) ( Normal 21-06) ( Normal levels ),{6349=100},1,30,30,30,
194,12107,2,( Random drop from normal levels in mobile games ) ( Normal 21-07) ( Normal levels ),{6349=100},1,30,30,30,
195,12108,2,( Random drop from common levels in mobile games ) ( Normal 21-08) ( Normal levels ),{6349=100},1,30,30,30,
196,12109,2,( Random drop from normal levels in mobile games ) ( Normal 21-09) ( Normal levels ),{6349=100},1,30,30,30,
197,12110,2,( Random drop from ordinary levels in mobile games ) ( Normal 21-10) ( Normal levels ),{6349=100},1,30,30,30,
198,12201,2,( Random drop from common levels in mobile games ) ( Normal 22-01) ( Normal levels ),{6349=100},1,30,30,30,
199,12202,2,( Random drop from normal levels in mobile games ) ( Normal 22-02) ( Normal levels ),{6349=100},1,30,30,30,
200,12203,2,( Random drop from common levels in mobile games ) ( Normal 22-03) ( Normal levels ),{6349=100},1,30,30,30,
201,12204,2,( Random drop from common levels in mobile games ) ( Normal 22-04) ( Normal levels ),{6349=100},1,30,30,30,
202,12205,2,( Random drop from ordinary levels in mobile games ) ( Normal 22-05) ( Normal levels ),{6349=100},1,30,30,30,
203,12206,2,( Random drop from common levels in mobile games ) ( Normal 22-06) ( Normal levels ),{6349=100},1,30,30,30,
204,12207,2,( Random drop from common levels in mobile games ) ( Normal 22-07) ( Normal levels ),{6349=100},1,30,30,30,
205,12208,2,( Random drop from normal levels in mobile games ) ( Normal 22-08) ( Normal levels ),{6349=100},1,30,30,30,
206,12209,2,( Random drop from common levels in mobile games ) ( Normal 22-09) ( Normal levels ),{6349=100},1,30,30,30,
207,12210,2,( Random drop from normal levels in mobile games ) ( Normal 22-10) ( Normal levels ),{6349=100},1,30,30,30,
208,12301,2,( Normal level of mobile game drops randomly ) ( Normal 23-01) ( Normal level ),{6349=100},1,30,30,30,
209,12302,2,( Random drop from common levels in mobile games ) ( Normal 23-02) ( Normal levels ),{6349=100},1,30,30,30,
210,12303,2,( Random drop from common levels in mobile games ) ( Normal 23-03) ( Normal levels ),{6349=100},1,30,30,30,
211,12304,2,( Random drop from normal levels in mobile games ) ( Normal 23-04) ( Normal levels ),{6349=100},1,30,30,30,
212,12305,2,( Random drop from ordinary levels in mobile games ) ( Normal 23-05) ( Normal levels ),{6349=100},1,30,30,30,
213,12306,2,( Random drop from common levels in mobile games ) ( Normal 23-06) ( Normal levels ),{6349=100},1,30,30,30,
214,12307,2,( Random drop from ordinary levels in mobile games ) ( Normal 23-07) ( Normal levels ),{6349=100},1,30,30,30,
215,12308,2,( Random drop from normal levels in mobile games ) ( Normal 23-08) ( Normal levels ),{6349=100},1,30,30,30,
216,12309,2,( Random drop from ordinary levels in mobile games ) ( Normal 23-09) ( Normal levels ),{6349=100},1,30,30,30,
217,12310,2,( Random drop from ordinary levels in mobile games ) ( Normal 23-10) ( Normal levels ),{6349=100},1,30,30,30,
218,12401,2,( Random drop from common levels in mobile games ) ( Normal 24-01) ( Normal levels ),{6349=100},1,30,30,30,
219,12402,2,( Random drop from ordinary levels in mobile games ) ( Normal 24-02) ( Normal levels ),{6349=100},1,30,30,30,
220,12403,2,( Random drop from normal levels in mobile games ) ( Normal 24-03) ( Normal levels ),{6349=100},1,30,30,30,
221,12404,2,( Random drop from normal levels in mobile games ) ( Normal 24-04) ( Normal levels ),{6349=100},1,30,30,30,
222,12405,2,( Random drop from ordinary levels in mobile games ) ( Normal 24-05) ( Normal levels ),{6349=100},1,30,30,30,
223,12406,2,( Random drop from normal levels in mobile games ) ( Normal 24-06) ( Normal levels ),{6349=100},1,30,30,30,
224,12407,2,( Random drop from ordinary levels in mobile games ) ( Normal 24-07) ( Normal levels ),{6349=100},1,30,30,30,
225,12408,2,( Random drop from ordinary levels in mobile games ) ( Normal 24-08) ( Normal levels ),{6349=100},1,30,30,30,
226,12409,2,( Random drop from common levels in mobile games ) ( Normal 24-09) ( Normal levels ),{6349=100},1,30,30,30,
227,12410,2,( Random drop from ordinary levels in mobile games ) ( Normal 24-10) ( Normal levels ),{6349=100},1,30,30,30,
228,12501,2,( Random drop from normal levels in mobile games ) ( Normal 25-01) ( Normal levels ),{6349=100},1,30,30,30,
229,12502,2,( Random drop from ordinary levels in mobile games ) ( Normal 25-02) ( Normal levels ),{6349=100},1,30,30,30,
230,12503,2,( Random drop from ordinary levels in mobile games ) ( Normal 25-03) ( Normal levels ),{6349=100},1,30,30,30,
231,12504,2,( Random drop from common levels in mobile games ) ( Normal 25-04) ( Normal levels ),{6349=100},1,30,30,30,
232,12505,2,( Random drop from ordinary levels in mobile games ) ( Normal 25-05) ( Normal levels ),{6349=100},1,30,30,30,
233,12506,2,( Random drop from normal levels in mobile games ) ( Normal 25-06) ( Normal levels ),{6349=100},1,30,30,30,
234,12507,2,( Random drop from ordinary levels in mobile games ) ( Normal 25-07) ( Normal levels ),{6349=100},1,30,30,30,
235,12508,2,( Random drop from common levels in mobile games ) ( Normal 25-08) ( Normal levels ),{6349=100},1,30,30,30,
236,12509,2,( Random drop from ordinary levels in mobile games ) ( Normal 25-09) ( Normal levels ),{6349=100},1,30,30,30,
237,12510,2,( Random drop from ordinary levels in mobile games ) ( Normal 25-10) ( Normal levels ),{6349=100},1,30,30,30,
238,20101,2,( Random drops from mobile game elite level ) ( Elite 1-01) ( Elite level ),{6349=100},1,60,60,60,
239,20102,2,( Random drops from mobile game elite level ) ( Elite 1-02) ( Elite level ),{6349=100},1,60,60,60,
240,20103,2,( Random drops from mobile game elite level ) ( Elite 1-03) ( Elite level ),{6349=100},1,60,60,60,
241,20201,2,( Random drops from mobile game elite level ) ( Elite 2-01) ( Elite level ),{6349=100},1,60,60,60,
242,20202,2,( Random drops from mobile game elite level ) ( Elite 2-02) ( Elite level ),{6349=100},1,60,60,60,
243,20203,2,( Random drops from mobile game elite level ) ( Elite 2-03) ( Elite level ),{6349=100},1,60,60,60,
244,20301,2,( Random drops from mobile game elite level ) ( Elite 3-01) ( Elite level ),{6349=100},1,60,60,60,
245,20302,2,( Random drops from mobile game elite level ) ( Elite 3-02) ( Elite level ),{6349=100},1,60,60,60,
246,20303,2,( Random drops from mobile game elite level ) ( Elite 3-03) ( Elite level ),{6349=100},1,60,60,60,
247,20304,2,( Random drops from mobile game elite level ) ( Elite 3-04) ( Elite level ),{6349=100},1,60,60,60,
248,20401,2,( Random drops from mobile game elite level ) ( Elite 4-01) ( Elite level ),{6349=100},1,60,60,60,
249,20402,2,( Random drops from mobile game elite level ) ( Elite 4-02) ( Elite level ),{6349=100},1,60,60,60,
