"﻿变量名",name,name_tw,name_en,name_kr,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_kr
默认值,"""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称_韩,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍_韩
11,Articuno,急凍鳥,Articuno,프리져,1010,{19=2;932=50;5000=50},{951=1;932=20;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Articuno seems to have gotten more powerful,急凍鳥似乎獲得了更強的能力,Articuno seems to have gotten more powerful,프리져가 더 강한 능력을 획득한 것 같다.
12,Zapdos,閃電鳥,Zapdos,썬더,1011,{519=1;932=50;5000=50},{951=1;932=20;gold=140000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Zapdos seems to have gotten more powerful,閃電鳥似乎獲得了更強的能力,Zapdos seems to have gotten more powerful,썬더가 더 강한 능력을 획득한 것 같다.
13,Moltres,火焰鳥,Moltres,파이어,1012,{502=1;932=50;5000=50},{951=1;932=20;gold=150000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Moltres seems to have gotten more powerful,火焰鳥似乎獲得了更強的能力,Moltres seems to have gotten more powerful,파이어가 더 강한 능력을 획득한 것 같다.
14,Sceptile,蜥蜴王,Sceptile,나무킹,1013,{rmb=100;932=60;5000=60},{951=1;932=20;gold=160000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Sceptile seems to have gotten more powerful,蜥蜴王似乎獲得了更強的能力,Sceptile seems to have gotten more powerful,나무킹이 더 강한 능력을 획득한 것 같다.
15,Slaking,請假王,Slaking,게을킹,1014,{501=1;932=60;5000=60},{951=1;932=25;gold=170000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Slaking seems to have gotten more powerful,請假王似乎獲得了更強的能力,Slaking seems to have gotten more powerful,게을킹이 더 강한 능력을 획득한 것 같다.
16,Emboar,炎武王,Emboar,염무왕,1015,{19=2;932=60;5000=60},{951=2;932=25;gold=180000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Emboar seems to have gotten more powerful,炎武王似乎獲得了更強的能力,Emboar seems to have gotten more powerful,염무왕이 더 강한 능력을 획득한 것 같다.
17,Raikou,雷公,Raikou,라이코,1016,{519=1;932=70;5000=70},{951=2;932=25;gold=190000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Raikou seems to have gotten more powerful,雷公似乎獲得了更強的能力,Raikou seems to have gotten more powerful,라이코가 더 강한 능력을 획득한 것 같다.
18,Entei,炎帝,Entei,앤테이,1017,{501=1;932=70;5000=70},{951=2;932=25;gold=200000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Entei seems to have gotten more powerful,炎帝似乎獲得了更強的能力,Entei seems to have gotten more powerful,앤테이가 더 강한 능력을 획득한 것 같다.
19,Suicune,水君,Suicune,스이쿤,1018,{rmb=100;932=70;5000=70},{951=2;932=30;gold=210000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Suicune seems to have gotten more powerful,水君似乎獲得了更強的能力,Suicune seems to have gotten more powerful,스이쿤이 더 강한 능력을 획득한 것 같다.
20,Mew,夢幻,Mew,뮤,1019,{501=1;932=80;5000=80},{951=2;932=30;gold=220000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Mew seems to have gotten more powerful,夢幻似乎獲得了更強的能力,Mew seems to have gotten more powerful,뮤가 더 강한 능력을 획득한 것 같다.
21,Mewtwo,超夢,Mewtwo,뮤츠,1020,{19=2;932=80;5000=80},{951=2;932=30;gold=230000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Mewtwo seems to have gotten more powerful,超夢似乎獲得了更強的能力,Mewtwo seems to have gotten more powerful,뮤츠가 더 강한 능력을 획득한 것 같다.
22,Magnezone,自爆磁怪,Magnezone,자포코일,1021,{519=1;932=80;5000=80},{951=2;932=35;gold=240000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Magnezone seems to have gotten more powerful,自爆磁怪似乎獲得了更強的能力,Magnezone seems to have gotten more powerful,자포코일이 더 강한 능력을 획득한 것 같다.
23,Rhyperior,超甲狂犀,Rhyperior,거대코뿌리,1022,{501=1;932=90;5000=90},{951=2;932=35;gold=250000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Rhyperior seems to have gotten more powerful,超甲狂犀似乎獲得了更強的能力,Rhyperior seems to have gotten more powerful,거대코뿌리가 더 강한 능력을 획득한 것 같다.
24,Scizor,巨鉗螳螂,Scizor,핫삼,1023,{rmb=100;932=90;5000=90},{951=2;932=35;gold=260000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Scizor seems to have gotten more powerful,巨鉗螳螂似乎獲得了更強的能力,Scizor seems to have gotten more powerful,핫삼이 더 강한 능력을 획득한 것 같다.
25,Magmortar,鴨嘴炎獸,Magmortar,마그마번,1024,{501=1;932=90;5000=90},{951=2;932=40;gold=270000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Magmortar seems to have gotten more powerful,鴨嘴炎獸似乎獲得了更強的能力,Magmortar seems to have gotten more powerful,마그마번이 더 강한 능력을 획득한 것 같다.
26,Ampharos,電龍,Ampharos,전룡,1025,{19=2;932=100;5000=100},{951=2;932=40;gold=280000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Ampharos seems to have gotten more powerful,電龍似乎獲得了更強的能力,Ampharos seems to have gotten more powerful,전룡이 더 강한 능력을 획득한 것 같다.
27,Heracross,赫拉克羅斯,Heracross,헤라크로스,1026,{519=1;932=100;5000=100},{951=2;932=40;gold=290000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Heracross seems to have gotten more powerful,赫拉克羅斯似乎獲得了更強的能力,Heracross seems to have gotten more powerful,헤라크로스가 더 강한 능력을 획득한 것 같다.
28,Weavile,瑪狃拉,Weavile,포푸니라,1027,{501=1;932=110;5000=110},{951=2;932=40;gold=300000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Weavile seems to have gotten more powerful,瑪狃拉似乎獲得了更強的能力,Weavile seems to have gotten more powerful,포푸니라가 더 강한 능력을 획득한 것 같다.
29,Houndoom,黑魯加,Houndoom,헬가,1028,{rmb=100;932=110;5000=110},{951=2;932=40;gold=310000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Houndoom seems to have gotten more powerful,黑魯加似乎獲得了更強的能力,Houndoom seems to have gotten more powerful,헬가가 더 강한 능력을 획득한 것 같다.
30,Tyranitar,班基拉斯,Tyranitar,마기라스,1029,{501=1;932=110;5000=110},{951=2;932=40;gold=320000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Tyranitar seems to have gotten more powerful,班基拉斯似乎獲得了更強的能力,Tyranitar seems to have gotten more powerful,마기라스가 더 강한 능력을 획득한 것 같다.
31,Reggie Locke,雷吉洛克,,레지락,1030,{19=2;932=120;5000=120},{951=3;932=45;gold=330000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Reggie Locke seems to be getting stronger abilities,404,,레지락이 더 강한 능력을 획득한 것 같다.
32,Regis,雷吉艾斯,,레지아이스,1031,{519=1;932=120;5000=120},{951=3;932=45;gold=340000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Reggiece seems to have gained a stronger ability,404,,레지아이스가 더 강한 능력을 획득한 것 같다.
33,Regis Chilloo,雷吉斯奇鲁,,레지스틸,1032,{501=1;932=120;5000=120},{951=3;932=45;gold=350000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Registeel seems to have gained stronger abilities,404,,레지스틸이 더 강한 능력을 획득한 것 같다.
34,Big Steel Snake,大钢蛇,,강철톤,1033,{rmb=100;932=130;5000=130},{951=3;932=45;gold=360000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},The steel snake seems to have gained more power,404,,강철톤이 더 강한 능력을 획득한 것 같다.
35,Metagros,巨金怪,,메타그로스,1034,{501=1;932=130;5000=130},{951=3;932=45;gold=370000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Metagros seems to be getting stronger abilities,404,,메타그로스가 더 강한 능력을 획득한 것 같다.
36,Double Ax War Dragon,双斧战龙,,액스라이즈,1035,{19=2;932=140;5000=140},{951=3;932=50;gold=380000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},The Double Ax War Dragon seems to have gained a stronger ability,404,,액스라이즈가 더 강한 능력을 획득한 것 같다.
37,Lucarlio,路卡利欧,,루카리오,1036,{519=1;932=140;5000=140},{951=3;932=50;gold=390000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Lucario seems to have acquired stronger abilities,404,,루카리오가 더 강한 능력을 획득한 것 같다.
38,Gayoka,盖欧卡,,가이오가,1037,{501=1;932=140;5000=140},{951=3;932=50;gold=400000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Kyoka seems to have acquired stronger abilities,404,,가이오가가 더 강한 능력을 획득한 것 같다.
39,Gulardo,固拉多,,그란돈,1038,{rmb=100;932=150;5000=150},{951=3;932=50;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Groudon seems to have gained stronger abilities,404,,그란돈이 더 강한 능력을 획득한 것 같다.
40,Rift seat,裂空座,,레쿠쟈,1039,{501=1;932=150;5000=150},{951=3;932=50;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Rikakuza seems to have gained a stronger ability,404,,레쿠쟈가 더 강한 능력을 획득한 것 같다.
