变量名,fightingPointC,type,isBuff,buffType,drops,dropsView,hpC,damageC,specialDamageC,defenceC,specialDefenceC,speedC,backGround,recoverMp
101014,0.93,2,1,<301>,{coin14=200;gold=50000;libs=<22103;22107;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;7203=0;122=0;123=0;124=0},1.07,1.07,1.07,1.07,1.07,,stage/green.csv,
16,,,,,,,,,,,,,stage/green.csv,
101021,1.05,3,,,{coin14=350;gold=75000;libs=<22103;22107;22116;22116>},{coin14=0;gold=0;7201=0;7202=0;7203=0;122=0;123=0;124=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/green.csv,
,,,,,,,,,,,,,,
102001,0.44,,1,<101;1101>,{coin14=150;gold=45000;},{coin14=0;gold=0;},,,,,,,stage/night.csv,
102002,0.55,,,,{coin14=150;gold=45000;},{coin14=0;gold=0;},,,,,,,stage/night.csv,
102011,0.61,2,1,<101;1101;201;1201;1001>,{coin14=300;gold=65000;libs=<22101;22106;22115;22115>},{coin14=0;gold=0;7201=0;122=0;123=0},1.07,1.07,1.07,1.07,1.07,,stage/night.csv,
102003,0.66,,,,{coin14=150;gold=45000;},{coin14=0;gold=0;},,,,,,,stage/night.csv,
21,,,,,,,,,,,,,stage/night.csv,
102004,0.61,,,,{coin14=150;gold=45000;libs=<22102>},{coin14=0;gold=0;7201=0;7202=0},,,,,,,stage/night.csv,
102012,0.66,2,1,<101;1101;201;1201;1001>,{coin14=300;gold=65000;libs=<22102;22106;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;122=0;123=0},1.07,1.07,1.07,1.07,1.07,,stage/night.csv,
102005,0.72,,,,{coin14=150;gold=45000;},{coin14=0;gold=0;},,,,,,,stage/night.csv,
22,,,,,,,,,,,,,stage/night.csv,
23,,,,,,,,,,,,,stage/night.csv,
102006,0.75,1,1,<201;1201;301;1301;1001>,{coin14=300;gold=65000;libs=<22104;22107;22116;22116>},{coin14=0;gold=0;7201=0;7202=0;7203=0;7204=0;122=0;123=0;124=0},1.07,1.07,1.07,1.07,1.07,,stage/night.csv,
102013,0.83,2,1,<201;1201;301;1301;1001>,{coin14=500;gold=120000;libs=<22104;22107;22116;22116>},{coin14=0;gold=0;7201=0;7202=0;7203=0;7204=0;122=0;123=0;124=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/night.csv,
102014,0.91,2,1,<201;1201;301;1301;1001>,{coin14=300;gold=65000;libs=<22103;22106;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;7203=0;122=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/night.csv,
102007,0.99,2,1,<301;1301;1001>,{coin14=300;gold=65000;libs=<22102;22106;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;122=0;123=0},1.13,1.13,1.13,1.13,1.13,1.05,stage/night.csv,
24,,,,,,,,,,,,,stage/night.csv,
102021,1.07,2,1,<301;1301;1001>,{coin14=300;gold=65000;libs=<22104;22107;22116;22117>},{coin14=0;gold=0;7201=0;7202=0;7203=0;7204=0;122=0;123=0;124=0},1.15,1.15,1.15,1.15,1.15,1.05,stage/night.csv,
25,,,,,,,,,,,,,stage/night.csv,
102022,1.16,3,,,{coin14=500;gold=120000;libs=<22104;22107;22117;22117>},{coin14=0;gold=0;7201=0;7202=0;7203=0;7204=0;122=0;123=0;124=0},1.18,1.18,1.18,1.18,1.18,1.1,stage/night.csv,
