"﻿变量名",name,name_tw,name_en,name_vn,name_kr,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr
26,Light Shield I,光盾I,Light Shield I,404,404,1101,9,300,3,city/adventure/random_tower/icon/icon_fy.png,,81026,"Before entering the arena, all elves of one's own party will get a shield of 10% of their maximum health. #L0##C0xFF3D3D# (When other effects of the same series are used, the shield coefficient will be increased by 5%)#L0##C0xFF3D3D#",己方全體精靈入場前獲得10%自身最大生命值的的護盾#L0##C0xFF3D3D#（擁有其他相同系列的效果時，護盾係數提升5%）#L0##C0xFF3D3D#,404,404,404
27,Light Shield II,光盾II,Light Shield II,404,404,301,9,200,3,city/adventure/random_tower/icon/icon_fy.png,,81027,"At the beginning of the battle, the unit with the lowest HP will get a shield of 15% of its maximum HP #L0##C0xFF3D3D# (When it has other effects of the same series, the effect will be doubled)#L0##C0xFF3D3D#",戰鬥開始己方血量最低的單位獲得自身15%最大生命值的護盾#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,404,404,404
28,Erosion I,侵蝕I,Erosion I,404,404,1201,10,300,6,city/develop/talent/icon_bsjc.png,,81028,"The double attack of all enemies is reduced by 15%, and lasts for the entire field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect is doubled) #L0##C0xFF3D3D#",敵方全體雙攻降低15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,404,404,404
29,Erosion II,侵蝕II,Erosion II,404,404,301,10,200,6,city/develop/talent/icon_bsjc.png,,81029,"The enemy's double defense is reduced by 20%, and lasts for the entire field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect is doubled)#L0##C0xFF3D3D#",敵方雙防降低20%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,404,404,404
30,Control I,掌控I,Control I,404,404,1201,11,200,5,city/develop/talent/icon_ysg.png,,81030,"The control rate of all spirits in one's own party is increased by 10%, and lasts for the whole field #L0##C0xFF3D3D# (When you have other effects of the same series, the effect is doubled)#L0##C0xFF3D3D#","己方全體精靈控制率提升10%,持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#",404,404,404
31,Control II,掌控II,Control II,404,404,1301,11,200,5,city/develop/talent/icon_ysg.png,,81031,"When all the spirits of the party attack, there is a 10% chance to stun the target for 1 round #L0##C0xFF3D3D# (when it has other effects of the same series, the control probability is doubled) #L0##C0xFF3D3D#",己方全體精靈攻擊時有10%概率眩暈目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,404,404,404
32,Control III,掌控III,Control III,404,404,1301,11,100,5,city/develop/talent/icon_ysg.png,,81032,"When all the elves attack, there is a 10% chance to confuse the target for 1 turn #L0##C0xFF3D3D# (When you have other effects of the same series, the control probability is doubled) #L0##C0xFF3D3D#",己方全體精靈攻擊時有10%概率混亂目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,404,404,404
33,Control IV,掌控IV,Control IV,404,404,1301,11,100,5,city/develop/talent/icon_ysg.png,,81033,"When all the elves attack, there is a 15% chance to silence the target for 1 turn #L0##C0xFF3D3D# (When you have other effects of the same series, the control probability is doubled) #L0##C0xFF3D3D#",己方全體精靈攻擊時有15%概率沉默目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,404,404,404
,,,,,,,,,,,,,,,,,
101,Warriors MAX,無雙MAX,Warriors MAX,404,404,301,1,50,7,city/adventure/random_tower/icon/icon_gj.png,0,81101,All of your side ignores the target 100% double defense and injury free#L0##C0xFF3D3D# (only one badge of the same series can be activated)#L0##C0xFF3D3D#,404,404,404,404
102,Cold Blood MAX,冷血MAX,Cold Blood MAX,404,404,301,2,50,4,city/adventure/random_tower/icon/icon_bj.png,0,81102,"All the allies will gain 60% crit rate and crit damage increase at the beginning of the game, and the effect will be attenuated by 20% at the end of each round #L0##C0xFF3D3D# (Activate with at least one badge of the same series) #L0##C0xFF3D3D#",404,404,404,404
103,Bloodthirsty MAX,嗜血MAX,Bloodthirsty MAX,404,404,1301,3,50,7,city/adventure/random_tower/icon/icon_xx.png,0,81103,The blood sucking rate and anger recovery rate of the whole party are increased by 20% #L0##C0xFF3D3D# (only one badge of the same series can be activated) #L0##C0xFF3D3D#,404,404,404,404
104,Edge MAX,鋒芒MAX,Edge MAX,404,404,301,4,50,7,city/adventure/random_tower/icon/icon_sh1.png,0,81104,"When the active skill attack of one's own party makes the enemy's life less than 20%, it will be eliminated directly #L0##C0xFF3D3D# (only one badge of the same series can be activated)#L0##C0xFF3D3D#",404,404,404,404
105,Element Force VMAX,元素之力MAX,Element Force VMAX,404,404,1001,5,50,3,city/develop/talent/icon_sg.png,0,81105,The effect of the power of all the elements on one's side is doubled #L0##C0xFF3D3D# (only one badge of the same series can be activated)#L0##C0xFF3D3D#,404,404,404,404
106,Protection MAX,靈山MAX,Protection MAX,404,404,301,6,50,1,city/develop/talent/icon_wf.png,0,81106,"At the end of the battle, all surviving elves will recover 60% of their lost health. #L0##C0xFF3D3D# (At least one badge of the same series can be activated) #L0##C0xFF3D3D#",404,404,404,404
107,Block MAX,禦守MAX,Block MAX,404,404,301,7,50,3,city/adventure/random_tower/icon/icon_jh.png,0,81107,The resistance rate and resistance strength of the whole party are increased by 60% #L0##C0xFF3D3D# (only one badge of the same series can be activated) #L0##C0xFF3D3D#,404,404,404,404
108,Thorns MAX,荊棘MAX,Thorns MAX,404,404,1301,8,50,2,city/develop/talent/icon_shjm.png,0,81108,"When one's own elf is killed, it will cause damage equal to 50% of its life limit to all enemies #L0##C0xFF3D3D# (only one badge of the same series can be activated) #L0##C0xFF3D3D#",404,404,404,404
109,Light Shield MAX,光盾MAX,Light Shield MAX,404,404,301,9,50,3,city/adventure/random_tower/icon/icon_fy.png,0,81109,All the allies get a shield of 15% of their maximum health every big round #L0##C0xFF3D3D# (only one badge of the same series can be activated) #L0##C0xFF3D3D#,404,404,404,404
110,Erosion MAX,侵蝕MAX,Erosion MAX,404,404,301,10,50,6,city/develop/talent/icon_bsjc.png,0,81110,"At the beginning of the battle, permanently reduce the upper limit of the enemy's life by 30% #L0##C0xFF3D3D# (can only be activated if you have at least one badge of the same series) #L0##C0xFF3D3D#",404,404,404,404
111,Control MAX,掌控MAX,Control MAX,404,404,1301,11,50,5,city/develop/talent/icon_ysg.png,0,81111,"At the beginning of the game, all enemy spirits are frozen for 2 rounds, and the freezing strength is 20% of the target's maximum health #L0##C0xFF3D3D# (only one badge of the same series can be activated)#L0##C0xFF3D3D#",404,404,404,404
