"﻿变量名",randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
29,20002,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<30;45;60;75>,,
30,20002,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<30;45;60;75>,,
41,20003,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<400;560;720;880>,,
42,20003,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1%;1.3%;1.6%;1.9%>,,
43,20003,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<56;78;101;123>,10,<56;78;101;123>
44,20003,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<1%;1.3%;1.6%;1.9%>,10,<1%;1.3%;1.6%;1.9%>
45,20003,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<30;45;60;75>,,
46,20003,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<30;45;60;75>,,
47,20003,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<30;45;60;75>,,
48,20003,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<30;45;60;75>,,
49,20003,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<30;45;60;75>,,
50,20003,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<30;45;60;75>,,
51,20003,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<30;45;60;75>,,
61,20004,200,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<4;6;7;9>,,
62,20004,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<30;45;60;75>,,
63,20004,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<80;112;144;176>,8,<80;112;144;176>
64,20004,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<1%;1.3%;1.6%;1.9%>,8,<1%;1.3%;1.6%;1.9%>
65,20004,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<30;45;60;75>,12,<30;45;60;75>
66,20004,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<30;45;60;75>,,
67,20004,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<30;45;60;75>,,
68,20004,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<30;45;60;75>,,
69,20004,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<30;45;60;75>,,
70,20004,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<30;45;60;75>,,
71,20004,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<30;45;60;75>,,
81,20005,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<400;560;720;880>,,
82,20005,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1%;1.3%;1.6%;1.9%>,,
83,20005,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<56;78;101;123>,10,<56;78;101;123>
84,20005,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<1%;1.3%;1.6%;1.9%>,10,<1%;1.3%;1.6%;1.9%>
85,20005,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<30;45;60;75>,,
86,20005,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<30;45;60;75>,,
87,20005,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<30;45;60;75>,,
88,20005,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<30;45;60;75>,,
89,20005,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<30;45;60;75>,,
90,20005,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<30;45;60;75>,,
91,20005,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<30;45;60;75>,,
101,20006,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<30;45;60;75>,,
102,20006,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<80;112;144;176>,8,<80;112;144;176>
103,20006,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<1%;1.3%;1.6%;1.9%>,8,<1%;1.3%;1.6%;1.9%>
104,20006,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<30;45;60;75>,12,<30;45;60;75>
105,20006,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<30;45;60;75>,,
106,20006,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<30;45;60;75>,,
107,20006,200,0,Life steal,吸血,Life steal,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,26,<30;45;60;75>,,
108,20006,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<30;45;60;75>,,
109,20006,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<30;45;60;75>,,
110,20006,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<30;45;60;75>,,
121,30001,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<600;840;1080;1320>,,
122,30001,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1.5%;1.95%;2.4%;2.85%>,,
123,30001,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<84;118;151;185>,10,<84;118;151;185>
124,30001,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<1.5%;1.95%;2.4%;2.85%>,10,<1.5%;1.95%;2.4%;2.85%>
125,30001,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<45;68;90;113>,,
126,30001,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<45;68;90;113>,,
127,30001,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<45;68;90;113>,,
128,30001,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<45;68;90;113>,,
129,30001,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<45;68;90;113>,,
130,30001,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<45;68;90;113>,,
141,30002,100,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<6;8;11;13>,,
142,30002,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<120;168;216;264>,8,<120;168;216;264>
143,30002,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<1.5%;1.95%;2.4%;2.85%>,8,<1.5%;1.95%;2.4%;2.85%>
144,30002,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<45;68;90;113>,12,<45;68;90;113>
145,30002,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<45;68;90;113>,,
146,30002,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<45;68;90;113>,,
147,30002,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<45;68;90;113>,,
148,30002,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<45;68;90;113>,,
149,30002,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<45;68;90;113>,,
150,30002,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<45;68;90;113>,,
161,30003,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<600;840;1080;1320>,,
162,30003,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1.5%;1.95%;2.4%;2.85%>,,
163,30003,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<84;118;151;185>,10,<84;118;151;185>
164,30003,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<1.5%;1.95%;2.4%;2.85%>,10,<1.5%;1.95%;2.4%;2.85%>
165,30003,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<45;68;90;113>,,
166,30003,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<45;68;90;113>,,
167,30003,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<45;68;90;113>,,
168,30003,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<45;68;90;113>,,
169,30003,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<45;68;90;113>,,
170,30003,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<45;68;90;113>,,
171,30003,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<45;68;90;113>,,
181,30004,200,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<6;8;11;13>,,
182,30004,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<45;68;90;113>,,
183,30004,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<120;168;216;264>,8,<120;168;216;264>
184,30004,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<1.5%;1.95%;2.4%;2.85%>,8,<1.5%;1.95%;2.4%;2.85%>
185,30004,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<45;68;90;113>,12,<45;68;90;113>
186,30004,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<45;68;90;113>,,
187,30004,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<45;68;90;113>,,
188,30004,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<45;68;90;113>,,
189,30004,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<45;68;90;113>,,
