"﻿变量名",suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
23,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,3,,7,4%,8,4%,,
24,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,3,66012,,,,,,
25,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,4,,7,5%,8,5%,,
26,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,4,66013,,,,,,
27,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,5,,7,6%,8,6%,,
28,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,5,66014,,,,,,
29,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,6,,7,9%,8,9%,,
30,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,6,66015,,,,,,
31,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,2,,1,4%,,,,
32,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,2,66016,,,,,,
33,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,3,,1,5%,,,,
34,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,3,66017,,,,,,
35,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,4,,1,6.50%,,,,
36,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,4,66018,,,,,,
37,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,5,,1,8%,,,,
38,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,5,66019,,,,,,
39,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,6,,1,12%,,,,
40,4,Tortoise Shell,龜甲,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,6,66020,,,,,,
41,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,2,,1,4%,,,,
42,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,2,66021,,,,,,
43,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,3,,1,5%,,,,
44,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,3,66022,,,,,,
45,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,4,,1,6.50%,,,,
46,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,4,66023,,,,,,
47,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,5,,1,8%,,,,
48,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,5,66024,,,,,,
49,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,6,,1,12%,,,,
50,5,Fist shield,拳盾,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,6,66025,,,,,,
51,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,2,,1,4%,,,,
52,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,2,66026,,,,,,
53,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,3,,1,5%,,,,
54,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,3,66027,,,,,,
55,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,4,,1,6.50%,,,,
56,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,4,66028,,,,,,
57,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,5,,1,8%,,,,
58,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,5,66029,,,,,,
59,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,6,,1,12%,,,,
60,6,Snake Soul,蛇靈,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,6,66030,,,,,,
61,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,2,,1,3%,7,2%,8,2%
62,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,2,66031,,,,,,
63,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,3,,1,4%,7,3%,8,3%
64,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,3,66032,,,,,,
65,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,4,,1,5%,7,4%,8,4%
66,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,4,66033,,,,,,
67,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,5,,1,7.50%,7,5%,8,5%
68,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,5,66034,,,,,,
69,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,6,,1,9%,7,6%,8,6%
70,7,Psychic,超能,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,6,66035,,,,,,
71,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,2,,1,3%,7,2%,8,2%
72,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,2,66036,,,,,,
73,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,3,,1,4%,7,3%,8,3%
74,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,3,66037,,,,,,
75,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,4,,1,5%,7,4%,8,4%
76,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,4,66038,,,,,,
77,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,5,,1,7.50%,7,5%,8,5%
78,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,5,66039,,,,,,
79,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,6,,1,9%,7,6%,8,6%
80,8,Fear,恐懼,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,6,66040,,,,,,
81,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,2,,1,3%,7,2%,8,2%
82,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,2,66041,,,,,,
83,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,3,,1,4%,7,3%,8,3%
84,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,3,66042,,,,,,
85,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,4,,1,5%,7,4%,8,4%
86,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,4,66043,,,,,,
87,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,5,,1,7.50%,7,5%,8,5%
88,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,5,66044,,,,,,
89,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,6,,1,9%,7,6%,8,6%
90,9,Sacrifice,獻祭,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,6,66045,,,,,,
