"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,suitID,quality,pos,mainAttr,startNum,startLib,acquiredLimit,acquiredLib,maxLevel,strengthSeq,acquiredLevels,strengthLevels,recastLib,recastCostSeq,exp,effect
60145,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_3.png,1,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60146,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_3.png,1,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60151,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_4.png,1,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60152,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_4.png,1,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60153,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_4.png,1,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60154,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_4.png,1,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60155,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_4.png,1,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60156,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_4.png,1,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60161,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_5.png,1,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60162,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_5.png,1,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60163,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_5.png,1,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60164,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_5.png,1,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60165,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_5.png,1,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60166,Fire Dance,火舞,Fire Dance,404,400404,config/chip/icon_gj_1_5.png,1,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60221,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_1.png,2,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60222,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_1.png,2,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60223,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_1.png,2,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60224,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_1.png,2,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60225,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_1.png,2,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60226,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_1.png,2,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60231,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_2.png,2,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60232,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_2.png,2,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60233,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_2.png,2,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60234,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_2.png,2,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60235,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_2.png,2,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60236,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_2.png,2,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60241,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_3.png,2,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60242,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_3.png,2,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60243,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_3.png,2,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60244,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_3.png,2,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60245,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_3.png,2,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60246,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_3.png,2,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60251,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_4.png,2,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60252,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_4.png,2,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60253,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_4.png,2,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60254,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_4.png,2,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60255,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_4.png,2,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60256,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_4.png,2,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60261,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_5.png,2,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60262,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_5.png,2,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60263,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_5.png,2,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60264,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_5.png,2,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60265,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_5.png,2,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60266,Frog Thorn,蛙刺,Frog Thorn,404,400404,config/chip/icon_gj_2_5.png,2,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60321,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_1.png,3,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60322,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_1.png,3,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60323,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_1.png,3,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60324,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_1.png,3,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60325,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_1.png,3,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60326,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_1.png,3,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60331,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_2.png,3,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60332,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_2.png,3,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60333,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_2.png,3,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60334,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_2.png,3,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60335,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_2.png,3,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60336,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_2.png,3,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60341,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_3.png,3,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60342,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_3.png,3,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60343,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_3.png,3,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60344,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_3.png,3,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60345,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_3.png,3,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60346,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_3.png,3,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60351,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_4.png,3,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60352,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_4.png,3,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60353,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_4.png,3,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60354,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_4.png,3,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60355,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_4.png,3,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60356,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_4.png,3,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60361,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_5.png,3,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60362,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_5.png,3,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60363,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_5.png,3,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60364,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_5.png,3,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60365,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_5.png,3,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60366,Lone Wolf,狼行者,Lone Wolf,404,400404,config/chip/icon_gj_3_5.png,3,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60421,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_1.png,4,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60422,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_1.png,4,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60423,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_1.png,4,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60424,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_1.png,4,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60425,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_1.png,4,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60426,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_1.png,4,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60431,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_2.png,4,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60432,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_2.png,4,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60433,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_2.png,4,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
60434,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_2.png,4,3,4,10,1,30004,1,30004,100,3,<10>,<5;15;20;30;40>,30004,2,150,
60435,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_2.png,4,3,5,11,1,30005,1,30005,100,3,<10>,<5;15;20;30;40>,30005,2,150,
60436,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_2.png,4,3,6,12,1,30006,1,30006,100,3,<10>,<5;15;20;30;40>,30006,2,150,
60441,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_3.png,4,4,1,13,2,40001,1,40001,100,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60442,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_3.png,4,4,2,14,2,40002,1,40002,100,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60443,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_3.png,4,4,3,15,2,40003,1,40003,100,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60444,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_3.png,4,4,4,16,2,40004,1,40004,100,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60445,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_3.png,4,4,5,17,2,40005,1,40005,100,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60446,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_3.png,4,4,6,18,2,40006,1,40006,100,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60451,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_4.png,4,5,1,19,2,50001,1,50001,100,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60452,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_4.png,4,5,2,20,2,50002,1,50002,100,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60453,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_4.png,4,5,3,21,2,50003,1,50003,100,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60454,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_4.png,4,5,4,22,2,50004,1,50004,100,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60455,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_4.png,4,5,5,23,2,50005,1,50005,100,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60456,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_4.png,4,5,6,24,2,50006,1,50006,100,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60461,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_5.png,4,6,1,25,2,60001,2,60001,100,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60462,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_5.png,4,6,2,26,2,60002,2,60002,100,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60463,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_5.png,4,6,3,27,2,60003,2,60003,100,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60464,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_5.png,4,6,4,28,2,60004,2,60004,100,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60465,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_5.png,4,6,5,29,2,60005,2,60005,100,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60466,Tortoise Shell,龜甲,Tortoise Shell,404,400404,config/chip/icon_fy_1_5.png,4,6,6,30,2,60006,2,60006,100,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60521,Fist shield,拳盾,Fist shield,404,400404,config/chip/icon_fy_2_1.png,5,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
