"﻿变量名",name
3302,Croaking frog
3303,Koga Ninja Frog
3341,little lion
3342,Flame Lion
3351,Hua Beibei
3352,Mosaic
3353,Mrs. Huajie
3411,Single scabbard
3412,double scabbard
3413,Shield Sword Monster Shield
3431,Soft Puffs
3432,fat sweetie
3471,Arm gun shrimp
3472,Steel cannon arm shrimp
3501,ice dragon
3502,ice dragon
3511,Wrestling Hawkman
3541,sticky treasure
3542,Sticky Mel
3543,sticky dragon
3561,Little wood spirit
3562,Deadwood demon
3631,Tianxi
3642,Liberate Hoopa
3771,Good and Bad Stars
3772,super bad star
4023,Solgaleo
