﻿变量名,gateID,sceneCount,cards,cards_tw,cards_en,cards_vn,cards_kr,hpFix,hpFix_tw,hpFix_en,hpFix_vn,hpFix_kr,damageFix,damageFix_tw,damageFix_en,damageFix_vn,damageFix_kr,defenceFix,defenceFix_tw,defenceFix_en,defenceFix_vn,defenceFix_kr,speedFix,speedFix_tw,speedFix_en,speedFix_vn,speedFix_kr,storys
141,105,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
142,105,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
143,105,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
151,106,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
152,106,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
153,106,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
161,107,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
162,107,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
163,107,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
171,108,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
172,108,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
173,108,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
181,109,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
182,109,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
183,109,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
191,110,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
192,110,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
193,110,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1001,1,<400001;0;400002;400003;400004;400005>,<400001;0;400002;400003;400004;400005>,<400001;0;400002;400003;400004;400005>,<400001;0;400002;400003;400004;400005>,<400001;0;400002;400003;400004;400005>,<2.5;1;5;5;1;5>,<2.5;1;5;5;1;5>,<2.5;1;5;5;1;5>,<2.5;1;5;5;1;5>,<2.5;1;5;5;1;5>,<0.6;0.6;0.6;1;0.5;1>,<0.6;0.6;0.6;1;0.5;1>,<0.6;0.6;0.6;1;0.5;1>,<0.6;0.6;0.6;1;0.5;1>,<0.6;0.6;0.6;1;0.5;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;5;1;1;1>,<1;1;5;1;1;1>,<1;1;5;1;1;1>,<1;1;5;1;1;1>,<1;1;5;1;1;1>,<<1001;100001>;<98;100011>>
1011,1011,1,<400101;400102;400103;0;0;0>,<400101;400102;400103;0;0;0>,<400101;400102;400103;0;0;0>,<400101;400102;400103;0;0;0>,<400101;400102;400103;0;0;0>,<3.5;2.7;3.5;1;1;1>,<3.5;2.7;3.5;1;1;1>,<3.5;2.7;3.5;1;1;1>,<3.5;2.7;3.5;1;1;1>,<3.5;2.7;3.5;1;1;1>,<0.6;0.7;0.8;1;1;1>,<0.6;0.7;0.8;1;1;1>,<0.6;0.7;0.8;1;1;1>,<0.6;0.7;0.8;1;1;1>,<0.6;0.7;0.8;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<<1001;100101>;<98;100109>>
1021,1021,1,<400201;400202;400203;0;0;0>,<400201;400202;400203;0;0;0>,<400201;400202;400203;0;0;0>,<400201;400202;400203;0;0;0>,<400201;400202;400203;0;0;0>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1.1;1.5;1.2;1;1;1>,<1.1;1.5;1.2;1;1;1>,<1.1;1.5;1.2;1;1;1>,<1.1;1.5;1.2;1;1;1>,<1.1;1.5;1.2;1;1;1>,<<1001;100201>;<98;100206>>
1031,1031,1,<0;0;0;400301;0;400302>,<0;0;0;400301;0;400302>,<0;0;0;400301;0;400302>,<0;0;0;400301;0;400302>,<0;0;0;400301;0;400302>,<1;1;1;8;1;8>,<1;1;1;8;1;8>,<1;1;1;8;1;8>,<1;1;1;8;1;8>,<1;1;1;8;1;8>,<1;1;1;0.3;1;0.3>,<1;1;1;0.3;1;0.3>,<1;1;1;0.3;1;0.3>,<1;1;1;0.3;1;0.3>,<1;1;1;0.3;1;0.3>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<<1001;100301>;<98;100303>>
1041,1041,1,<400401;400402;400403;0;0;0>,<400401;400402;400403;0;0;0>,<400401;400402;400403;0;0;0>,<400401;400402;400403;0;0;0>,<400401;400402;400403;0;0;0>,<3;3;3;1;1;1>,<3;3;3;1;1;1>,<3;3;3;1;1;1>,<3;3;3;1;1;1>,<3;3;3;1;1;1>,<0.8;0.8;0.8;1;1;1>,<0.8;0.8;0.8;1;1;1>,<0.8;0.8;0.8;1;1;1>,<0.8;0.8;0.8;1;1;1>,<0.8;0.8;0.8;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<0.4;0.5;0.6;1;1;1>,<0.4;0.5;0.6;1;1;1>,<0.4;0.5;0.6;1;1;1>,<0.4;0.5;0.6;1;1;1>,<0.4;0.5;0.6;1;1;1>,<<1001;100401>;<98;100403>>
1051,1051,1,<400501;400502;400503;400504;400505;400506>,<400501;400502;400503;400504;400505;400506>,<400501;400502;400503;400504;400505;400506>,<400501;400502;400503;400504;400505;400506>,<400501;400502;400503;400504;400505;400506>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<<1001;100501>;<98;100503>;<1;100511>;<1;100512>;<1;100513>;<1;100514>;<1;100515>;<1;100516>>
1061,1061,1,<400601;400602;400603;400604;400605;400606>,<400601;400602;400603;400604;400605;400606>,<400601;400602;400603;400604;400605;400606>,<400601;400602;400603;400604;400605;400606>,<400601;400602;400603;400604;400605;400606>,<1.6;1.6;1.6;1;1;1>,<1.3;1.3;1.3;0.7;0.7;0.7>,<1.3;1.3;1.3;0.7;0.7;0.7>,<1.3;1.3;1.3;0.7;0.7;0.7>,<1.3;1.3;1.3;0.7;0.7;0.7>,<0.6;0.6;0.6;0.8;0.8;0.8>,<0.6;0.6;0.6;0.6;0.6;0.6>,<0.6;0.6;0.6;0.6;0.6;0.6>,<0.6;0.6;0.6;0.6;0.6;0.6>,<0.6;0.6;0.6;0.6;0.6;0.6>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.5;0.5;0.5;0.5;0.5;0.5>,<0.5;0.5;0.5;0.5;0.5;0.5>,<0.5;0.5;0.5;0.5;0.5;0.5>,<0.5;0.5;0.5;0.5;0.5;0.5>,<0.5;0.5;0.5;0.5;0.5;0.5>,<<1001;100601>;<98;100616>>
1071,1071,1,<400701;400702;400703;400704;400705;400706>,<400701;400702;400703;400704;400705;400706>,<400701;400702;400703;400704;400705;400706>,<400701;400702;400703;400704;400705;400706>,<400701;400702;400703;400704;400705;400706>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<<1001;100701>;<98;100703>>
1081,1081,1,<400801;400802;400803;400804;400805;400806>,<400801;400802;400803;400804;400805;400806>,<400801;400802;400803;400804;400805;400806>,<400801;400802;400803;400804;400805;400806>,<400801;400802;400803;400804;400805;400806>,<1.2;1;1.2;1;1;1>,<1.2;1;1.2;1;1;1>,<1.2;1;1.2;1;1;1>,<1.2;1;1.2;1;1;1>,<1.2;1;1.2;1;1;1>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<<1001;100801>;<98;100819>>
1091,1091,1,<400901;400902;400903;400904;400905;400906>,<400901;400902;400903;400904;400905;400906>,<400901;400902;400903;400904;400905;400906>,<400901;400902;400903;400904;400905;400906>,<400901;400902;400903;400904;400905;400906>,<1;1;1;0.8;0.75;0.8>,<1;1;1;0.8;0.75;0.8>,<1;1;1;0.8;0.75;0.8>,<1;1;1;0.8;0.75;0.8>,<1;1;1;0.8;0.75;0.8>,<0.65;0.65;0.65;0.8;0.75;0.8>,<0.65;0.65;0.65;0.8;0.75;0.8>,<0.65;0.65;0.65;0.8;0.75;0.8>,<0.65;0.65;0.65;0.8;0.75;0.8>,<0.65;0.65;0.65;0.8;0.75;0.8>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.01;0.01;0.01;0.01;0.01;0.01>,<0.7;0.5;0.9;0.8;0.6;0.8>,<0.7;0.5;0.9;0.8;0.6;0.8>,<0.7;0.5;0.9;0.8;0.6;0.8>,<0.7;0.5;0.9;0.8;0.6;0.8>,<0.7;0.5;0.9;0.8;0.6;0.8>,<<1001;100901>;<98;100912>>
