"﻿变量名",_beizhu,cardID,unitID,desc,rarity,level,star,advance,skillLevels,skills,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
24,Super Blastoise,24,24,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,green caterpillar,31,31,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Butterfly,33,33,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Big Needle Bee,41,43,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,super needle bee,44,44,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bobo,51,51,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,bibi bird,52,52,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Big bird,53,53,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Little Lada,61,61,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Rada,62,62,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,sparrow,71,71,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Toucan,72,72,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Arbor snake,81,81,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Arbor,82,82,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pichu,91,91,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,pikachu,92,92,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Raichu,93,93,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mountain rat,101,101,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Chuanshanwang,102,102,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Nidolan,111,111,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Nidorna,112,112,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Queen Nido,113,113,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Nidolan,121,121,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Nitorino,122,122,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,King Nido,123,123,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,skin baby,131,131,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Pippi,132,132,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Pixie,133,133,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Baby Ding,151,151,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Fat Ding,152,152,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Fat Keding,153,153,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,supersonic bat,161,161,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,big mouth bat,162,162,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Forked bat,163,163,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,walking grass,171,171,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,stinky flower,172,172,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Rafflesia,173,173,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Hairball,191,191,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,moru moth,192,192,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,up to duck,221,221,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Gotha Duck,222,222,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,monkey monster,231,231,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Fire Monkey,232,232,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,katti dog,241,241,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,wind speed dog,242,242,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,casey,261,261,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Yongkila,262,262,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Hu Di,263,263,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Super Hudi,264,264,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,wrist strength,271,271,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Hao Li,272,272,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Strange power,273,273,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,trumpet buds,281,281,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Mouth flower,282,282,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,big food flower,283,283,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Small fist stone,301,301,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Rumble Stone,302,302,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Rumble Rock,303,303,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Magneto,331,331,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Three in One Magneto,332,332,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Magneto,333,333,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Scallion Duck,341,341,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,doodle,351,351,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Duduli,352,352,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,smelly mud,371,371,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,smelly mud,372,372,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Big tongue clam,381,381,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Spiny clam,382,382,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Ghost,391,391,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,ghost stone,392,392,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Gengar,393,393,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Super Gengar,394,394,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,rock snake,401,401,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,steel snake,402,402,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Caracalla,451,451,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Gala Gala,452,452,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,dauntless boy,461,461,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,flying legs,462,462,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Kuaiquan Lang,463,463,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,War dancer,464,464,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,big tongue,471,471,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Big tongue licking,472,472,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,gas bomb,481,481,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,double bomb gas,482,482,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,one horned rhino,491,491,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Rhinoceros,492,492,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Super Armored Rhinoceros,493,493,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Little Fudan,501,501,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Lucky Eggs,502,502,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,happy egg,503,503,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,horned goldfish,541,541,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,goldfish king,542,542,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,starfish,551,551,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,jewel starfish,552,552,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,flying mantis,571,571,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Giant Pincer Mantis,572,572,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Super Claw Mantis,574,574,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Zap monster,591,591,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Electrocute,592,592,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Electric Shock Monster,593,593,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Duckbill baby,601,601,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Platypus,602,602,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Platypus,603,603,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Gyarados,631,632,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Laplace,641,641,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,fossil helmet,691,691,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,sickle helmet,692,692,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Fossil pterosaur,701,701,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Snorkelling,711,711,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Snorlax,712,712,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,frozen bird,721,721,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,lightning bird,731,731,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,flame bird,741,741,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mini dragon,751,751,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hackron,752,752,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,fast dragon,753,753,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Mew-two,761,761,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,dream,771,771,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Chrysanthemum leaves,781,781,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,bay leaf,782,782,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Geranium,783,783,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,fireball mouse,791,791,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Fire Rock Rat,792,792,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Pyrobeast,793,793,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Little Saw Alligator,801,801,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,blue crocodile,802,802,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,big crocodile,803,803,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Bobbi,861,861,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Poke Kigu,862,862,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Pokkiss,863,863,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Mare sheep,881,881,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,wooly sheep,882,882,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Dianlong,883,883,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,super electric dragon,884,884,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Lu Lili,891,891,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Mary Lou,892,892,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Mary Luli,893,893,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,scorpio,1031,1031,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,scorpio king,1032,1032,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Hercules,1071,1071,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Huanla,1081,1081,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Mala,1082,1082,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Dai Ruby,1171,1171,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Heluga,1172,1172,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Thunder God,1221,1221,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Yandi,1231,1231,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Suicune,1241,1241,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Young Kiras,1251,1251,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Shakiras,1252,1252,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Bangeras,1253,1253,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Rogia,1261,1261,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,Phoenix King,1271,1271,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Mu Shougong,1291,1291,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,forest lizard,1292,1292,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,lizard king,1293,1293,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,fire chicken,1301,1301,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Strong Chicken,1302,1302,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,flame chicken,1303,1303,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,water jump fish,1311,1311,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Marsh jumping fish,1312,1312,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,marsh monster,1313,1313,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,super marsh monster,1314,1314,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,Lotus leaf boy,1351,1351,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,lotus hat boy,1352,1352,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,Lotte Kappa,1353,1353,spare card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Lalulas,1391,1391,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,Kirulian,1392,1392,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Xanadu,1393,1393,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Already,1394,1394,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,Super Xanadus,1396,1396,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,lazy otter,1421,1421,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,hyperactive ape,1422,1422,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,leave king,1423,1423,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,goo niu niu,1441,1441,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,roar bomb,1442,1442,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Boom,1443,1443,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,cocoa dora,1501,1501,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Cordora,1502,1502,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Boss Cordora,1503,1503,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,dumbfounded,1611,1611,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,fire camel,1612,1612,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Ugly fish,1771,1771,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Menus,1772,1772,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Shadow Doll,1801,1801,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,curse doll,1802,1802,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,night watch,1811,1811,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Wandering Eidolon,1812,1812,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,night genie,1813,1813,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Absolu,1841,1841,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,snow boy,1851,1851,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,ice ghost guard,1852,1852,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Snow Fairy,1853,1853,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,seal ball,1861,1861,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,sea magic lion,1862,1862,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Diya sea lion,1863,1863,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,baby dragon,1891,1891,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Crustosaurus,1892,1892,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,Tyrannosaurus,1893,1893,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,iron dumbbell,1901,1901,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,metal monster,1902,1902,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Metagros,1903,1903,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,reggie lock,1911,1911,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Regis,1921,1921,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,Regis Chilloo,1931,1931,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,Ladias,1941,1941,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,Latios,1951,1951,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,Gayoka,1961,1961,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,Gulardo,1971,1971,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Rift seat,1981,1981,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Super Rift Seat,1982,1982,spare card,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Kiraqi,1991,1991,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Turtle,2011,2011,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,wood turtle,2012,2012,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Terra Turtle,2013,2013,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,Pogaman,2031,2031,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,Prince Bo,2032,2032,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,Emperor Napoleon,2033,2033,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,kitty monster,2071,2071,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,luke cat,2072,2072,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,roentgen cat,2073,2073,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,round land shark,2231,2231,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,Fangtooth Shark,2232,2232,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,biting land shark,2233,2233,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,Riolu,2241,2241,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,lucario,2242,2242,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,bad frog,2271,2271,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,Poison Skeleton Frog,2272,2272,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,Snow hat monster,2301,2301,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,blizzard king,2302,2302,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,super blizzard king,2303,2303,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,Dialga,2351,2351,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,Palkia,2361,2361,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,Regichkas,2381,2381,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,Giratina,2391,2391,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,Cresselia,2401,2401,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,Darkley,2431,2431,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,shemi,2441,2441,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,shami sky,2442,2442,spare card,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
