56,{529=135;gold=16200},{529=135;gold=16200},{529=203;gold=24300},{529=297;gold=35640},{529=459;gold=55080},{529=675;gold=81000}
57,{529=135;gold=16200},{529=135;gold=16200},{529=203;gold=24300},{529=297;gold=35640},{529=459;gold=55080},{529=675;gold=81000}
58,{529=140;gold=16800},{529=140;gold=16800},{529=210;gold=25200},{529=308;gold=36960},{529=476;gold=57120},{529=700;gold=84000}
59,{529=140;gold=16800},{529=140;gold=16800},{529=210;gold=25200},{529=308;gold=36960},{529=476;gold=57120},{529=700;gold=84000}
60,{529=140;gold=16800},{529=140;gold=16800},{529=210;gold=25200},{529=308;gold=36960},{529=476;gold=57120},{529=700;gold=84000}
61,{529=145;gold=17400},{529=145;gold=17400},{529=218;gold=26100},{529=319;gold=38280},{529=493;gold=59160},{529=725;gold=87000}
62,{529=145;gold=17400},{529=145;gold=17400},{529=218;gold=26100},{529=319;gold=38280},{529=493;gold=59160},{529=725;gold=87000}
63,{529=150;gold=18000},{529=150;gold=18000},{529=225;gold=27000},{529=330;gold=39600},{529=510;gold=61200},{529=750;gold=90000}
64,{529=150;gold=18000},{529=150;gold=18000},{529=225;gold=27000},{529=330;gold=39600},{529=510;gold=61200},{529=750;gold=90000}
65,{529=150;gold=18000},{529=150;gold=18000},{529=225;gold=27000},{529=330;gold=39600},{529=510;gold=61200},{529=750;gold=90000}
66,{529=155;gold=18600},{529=155;gold=18600},{529=233;gold=27900},{529=341;gold=40920},{529=527;gold=63240},{529=775;gold=93000}
67,{529=155;gold=18600},{529=155;gold=18600},{529=233;gold=27900},{529=341;gold=40920},{529=527;gold=63240},{529=775;gold=93000}
68,{529=160;gold=19200},{529=160;gold=19200},{529=240;gold=28800},{529=352;gold=42240},{529=544;gold=65280},{529=800;gold=96000}
69,{529=160;gold=19200},{529=160;gold=19200},{529=240;gold=28800},{529=352;gold=42240},{529=544;gold=65280},{529=800;gold=96000}
70,{529=165;gold=19800},{529=165;gold=19800},{529=248;gold=29700},{529=363;gold=43560},{529=561;gold=67320},{529=825;gold=99000}
71,{529=165;gold=19800},{529=165;gold=19800},{529=248;gold=29700},{529=363;gold=43560},{529=561;gold=67320},{529=825;gold=99000}
72,{529=170;gold=20400},{529=170;gold=20400},{529=255;gold=30600},{529=374;gold=44880},{529=578;gold=69360},{529=850;gold=102000}
73,{529=175;gold=21000},{529=175;gold=21000},{529=263;gold=31500},{529=385;gold=46200},{529=595;gold=71400},{529=875;gold=105000}
74,{529=180;gold=21600},{529=180;gold=21600},{529=270;gold=32400},{529=396;gold=47520},{529=612;gold=73440},{529=900;gold=108000}
75,{529=190;gold=22800},{529=190;gold=22800},{529=285;gold=34200},{529=418;gold=50160},{529=646;gold=77520},{529=950;gold=114000}
76,{529=200;gold=24000},{529=200;gold=24000},{529=300;gold=36000},{529=440;gold=52800},{529=680;gold=81600},{529=1000;gold=120000}
77,{529=220;gold=26400},{529=220;gold=26400},{529=330;gold=39600},{529=484;gold=58080},{529=748;gold=89760},{529=1100;gold=132000}
78,{529=220;gold=26400},{529=220;gold=26400},{529=330;gold=39600},{529=484;gold=58080},{529=748;gold=89760},{529=1100;gold=132000}
79,{529=240;gold=28800},{529=240;gold=28800},{529=360;gold=43200},{529=528;gold=63360},{529=816;gold=97920},{529=1200;gold=144000}
80,{529=240;gold=28800},{529=240;gold=28800},{529=360;gold=43200},{529=528;gold=63360},{529=816;gold=97920},{529=1200;gold=144000}
81,{529=260;gold=31200},{529=260;gold=31200},{529=390;gold=46800},{529=572;gold=68640},{529=884;gold=106080},{529=1300;gold=156000}
82,{529=280;gold=33600},{529=280;gold=33600},{529=420;gold=50400},{529=616;gold=73920},{529=952;gold=114240},{529=1400;gold=168000}
83,{529=280;gold=33600},{529=280;gold=33600},{529=420;gold=50400},{529=616;gold=73920},{529=952;gold=114240},{529=1400;gold=168000}
84,{529=300;gold=36000},{529=300;gold=36000},{529=450;gold=54000},{529=660;gold=79200},{529=1020;gold=122400},{529=1500;gold=180000}
85,{529=320;gold=38400},{529=320;gold=38400},{529=480;gold=57600},{529=704;gold=84480},{529=1088;gold=130560},{529=1600;gold=192000}
86,{529=340;gold=40800},{529=340;gold=40800},{529=510;gold=61200},{529=748;gold=89760},{529=1156;gold=138720},{529=1700;gold=204000}
87,{529=360;gold=43200},{529=360;gold=43200},{529=540;gold=64800},{529=792;gold=95040},{529=1224;gold=146880},{529=1800;gold=216000}
88,{529=380;gold=45600},{529=380;gold=45600},{529=570;gold=68400},{529=836;gold=100320},{529=1292;gold=155040},{529=1900;gold=228000}
89,{529=400;gold=48000},{529=400;gold=48000},{529=600;gold=72000},{529=880;gold=105600},{529=1360;gold=163200},{529=2000;gold=240000}
90,{529=420;gold=50400},{529=420;gold=50400},{529=630;gold=75600},{529=924;gold=110880},{529=1428;gold=171360},{529=2100;gold=252000}
91,{529=440;gold=52800},{529=440;gold=52800},{529=660;gold=79200},{529=968;gold=116160},{529=1496;gold=179520},{529=2200;gold=264000}
92,{529=460;gold=55200},{529=460;gold=55200},{529=690;gold=82800},{529=1012;gold=121440},{529=1564;gold=187680},{529=2300;gold=276000}
93,{529=480;gold=57600},{529=480;gold=57600},{529=720;gold=86400},{529=1056;gold=126720},{529=1632;gold=195840},{529=2400;gold=288000}
94,{529=500;gold=60000},{529=500;gold=60000},{529=750;gold=90000},{529=1100;gold=132000},{529=1700;gold=204000},{529=2500;gold=300000}
95,{529=540;gold=64800},{529=540;gold=64800},{529=810;gold=97200},{529=1188;gold=142560},{529=1836;gold=220320},{529=2700;gold=324000}
96,{529=560;gold=67200},{529=560;gold=67200},{529=840;gold=100800},{529=1232;gold=147840},{529=1904;gold=228480},{529=2800;gold=336000}
97,{529=580;gold=69600},{529=580;gold=69600},{529=870;gold=104400},{529=1276;gold=153120},{529=1972;gold=236640},{529=2900;gold=348000}
98,{529=620;gold=74400},{529=620;gold=74400},{529=930;gold=111600},{529=1364;gold=163680},{529=2108;gold=252960},{529=3100;gold=372000}
99,{529=640;gold=76800},{529=640;gold=76800},{529=960;gold=115200},{529=1408;gold=168960},{529=2176;gold=261120},{529=3200;gold=384000}
100,{529=660;gold=79200},{529=660;gold=79200},{529=990;gold=118800},{529=1452;gold=174240},{529=2244;gold=269280},{529=3300;gold=396000}
