变量名,gemQualitySeqID,qualityNum,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
63,4,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
64,4,400,1,2%,,,,,,,,,,
65,4,500,7,2%,8,2%,,,,,,,,
66,4,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
67,4,750,1,2%,,,,,,,,,,
68,4,900,7,2%,8,2%,,,,,,,,
69,4,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
70,4,1200,1,3%,,,,,,,,,,
71,4,1350,7,3%,8,3%,,,,,,,,
72,4,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
73,4,1650,1,4%,,,,,,,,,,
74,4,1800,7,4%,8,4%,,,,,,,,
75,4,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
76,4,2200,1,5%,,,,,,,,,,
77,4,2450,7,5%,8,5%,,,,,,,,
78,4,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
79,4,2950,1,5%,,,,,,,,,,
80,4,3200,7,5%,8,5%,,,,,,,,
81,5,100,1,1%,,,,,,,,,,
82,5,200,7,1%,8,1%,,,,,,,,
83,5,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
84,5,400,1,2%,,,,,,,,,,
85,5,500,7,2%,8,2%,,,,,,,,
86,5,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
87,5,750,1,2%,,,,,,,,,,
88,5,900,7,2%,8,2%,,,,,,,,
89,5,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
90,5,1200,1,3%,,,,,,,,,,
91,5,1350,7,3%,8,3%,,,,,,,,
92,5,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
93,5,1650,1,4%,,,,,,,,,,
94,5,1800,7,4%,8,4%,,,,,,,,
95,5,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
96,5,2200,1,5%,,,,,,,,,,
97,5,2450,7,5%,8,5%,,,,,,,,
98,5,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
99,5,2950,1,5%,,,,,,,,,,
100,5,3200,7,5%,8,5%,,,,,,,,
