变量名,name,name_tw,name_en,name_vn,name_kr,_beizhu,isShow,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,quality,use,type,stackMax,specialArgsMap,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop
19,Magic Gashapon,神奇膠囊,Magic Gashapon,Viên nang ma thuật,매직 캡슐,,,config/item/icon_txjn.png,Mysterious item that can change the Individual Value of the Pokémon,可以改變精靈個體值的神秘之物,Mysterious item that can change the Individual Value of the Pokémon,404404,포켓몬의 개체값을 변화시켜주는 신비한 물건,,,,,,4,strengthen-nvalue,,,,,,,<1;2>,<2>,,,2,,,,,,,,,,可通过日常任务活跃度宝箱和在线礼包获得该物品,可通過日常任務活躍度寶箱和線上禮包獲得該物品,This item can be obtained from Daily Quest Activity Chest and Online Rewards,404404,일일 퀘스트 활약도 보물상자 및 로그인 선물에서 획득 가능,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Timid Mint,膽小薄荷,Timid Mint,404404,겁쟁이 민트,,,config/item/character_item/icon_bh_dx.png,"""When a Pokémon smells this mint, it becomes timid.""",精靈在聞了這種薄荷之後，性格會變得膽小,"""When a Pokémon smells this mint, it becomes timid.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 소심해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=6},{character=6},{character=6},{character=6},<2>,<2>,,,16,39,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
52,Hasty Mint,急躁薄荷,Hasty Mint,404404,성급 민트,,,config/item/character_item/icon_bh_tz.png,"""When a Pokémon smells this mint, it becomes hasty.""",精靈在聞了這種薄荷之後，性格會變得急躁,"""When a Pokémon smells this mint, it becomes hasty.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 조급해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=7},{character=7},{character=7},{character=7},<2>,<2>,,,16,38,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
53,Jolly Mint,爽朗薄荷,Jolly Mint,404404,명랑 민트,,,config/item/character_item/icon_bh_jz.png,"""When a Pokémon smells this mint, it becomes jolly.""",精靈在聞了這種薄荷之後，性格會變得爽朗,"""When a Pokémon smells this mint, it becomes jolly.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 유쾌해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=8},{character=8},{character=8},{character=8},<2>,<2>,,,16,37,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
54,Naive Mint,天真薄荷,Naive Mint,404404,천진난만 민트,,,config/item/character_item/icon_bh_sl.png,"""When a Pokémon smells this mint, it becomes naive.""",精靈在聞了這種薄荷之後，性格會變得天真,"""When a Pokémon smells this mint, it becomes naive.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 순진해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=9},{character=9},{character=9},{character=9},<2>,<2>,,,16,36,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
55,Lonely Mint,怕寂寞薄荷,Lonely Mint,404404,외로움 민트,,,config/item/character_item/icon_bh_pjm.png,"""When a Pokémon smells this mint, it becomes lonely.""",精靈在聞了這種薄荷之後，性格會變得怕寂寞,"""When a Pokémon smells this mint, it becomes lonely.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 외로움을 많이 타게 됩니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=10},{character=10},{character=10},{character=10},<2>,<2>,,,16,35,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
56,Brave Mint,勇敢薄荷,Brave Mint,404404,용감 민트,,,config/item/character_item/icon_bh_yg.png,"""When a Pokémon smells this mint, it becomes brave.""",精靈在聞了這種薄荷之後，性格會變得勇敢,"""When a Pokémon smells this mint, it becomes brave.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 용감해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=11},{character=11},{character=11},{character=11},<2>,<2>,,,16,34,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
57,Adamant Mint,固執薄荷,Adamant Mint,404404,고집 민트,,,config/item/character_item/icon_bh_gz.png,"""When a Pokémon smells this mint, it becomes adamant.""",精靈在聞了這種薄荷之後，性格會變得固執,"""When a Pokémon smells this mint, it becomes adamant.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 고집쟁이로 변합니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=12},{character=12},{character=12},{character=12},<2>,<2>,,,16,33,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
58,Naughty Mint,頑皮薄荷,Naughty Mint,404404,개구쟁이 민트,,,config/item/character_item/icon_bh_wp.png,"""When a Pokémon smells this mint, it becomes naughty.""",精靈在聞了這種薄荷之後，性格會變得頑皮,"""When a Pokémon smells this mint, it becomes naughty.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 개구쟁이로 변합니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=13},{character=13},{character=13},{character=13},<2>,<2>,,,16,32,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
59,Bold Mint,大膽薄荷,Bold Mint,404404,대담 민트,,,config/item/character_item/icon_bh_dd.png,"""When a Pokémon smells this mint, it becomes bold.""",精靈在聞了這種薄荷之後，性格會變得大膽,"""When a Pokémon smells this mint, it becomes bold.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 대담해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=14},{character=14},{character=14},{character=14},<2>,<2>,,,16,31,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
60,Relaxed Mint,悠閒薄荷,Relaxed Mint,404404,무사태평 민트,,,config/item/character_item/icon_bh_yx.png,"""When a Pokémon smells this mint, it becomes relaxed""",精靈在聞了這種薄荷之後，性格會變得悠閒,"""When a Pokémon smells this mint, it becomes relaxed""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 여유로워집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=15},{character=15},{character=15},{character=15},<2>,<2>,,,16,30,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
61,Impish Mint,淘氣薄荷,Impish Mint,404404,장난꾸러기 민트,,,config/item/character_item/icon_bh_tq.png,"""When a Pokémon smells this mint, it becomes impish.""",精靈在聞了這種薄荷之後，性格會變得淘氣,"""When a Pokémon smells this mint, it becomes impish.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 말썽쟁이로 변합니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=16},{character=16},{character=16},{character=16},<2>,<2>,,,16,29,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
62,Lax Mint,樂天薄荷,Lax Mint,404404,촐랑 민트,,,config/item/character_item/icon_bh_lt.png,"""When a Pokémon smells this mint, it becomes lax.""",精靈在聞了這種薄荷之後，性格會變得樂天,"""When a Pokémon smells this mint, it becomes lax.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 긍정적으로 변합니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=17},{character=17},{character=17},{character=17},<2>,<2>,,,16,28,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
63,Modest Mint,內斂薄荷,Modest Mint,404404,조심 민트,,,config/item/character_item/icon_bh_nl.png,"""When a Pokémon smells this mint, it becomes modest.""",精靈在聞了這種薄荷之後，性格會變得內斂,"""When a Pokémon smells this mint, it becomes modest.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 내성적으로 변합니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=18},{character=18},{character=18},{character=18},<2>,<2>,,,16,27,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
64,Mild Mint,慢吞吞薄荷,Mild Mint,404404,의젓 민트,,,config/item/character_item/icon_bh_lj.png,"""When a Pokémon smells this mint, it becomes mild.""",精靈在聞了這種薄荷之後，性格會變得慢吞吞,"""When a Pokémon smells this mint, it becomes mild.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 느릿느릿해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=19},{character=19},{character=19},{character=19},<2>,<2>,,,16,26,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
65,Quiet Mint,冷靜薄荷,Quiet Mint,404404,냉정 민트,,,config/item/character_item/icon_bh_mtt.png,"""When a Pokémon smells this mint, it becomes quiet.""",精靈在聞了這種薄荷之後，性格會變得冷靜,"""When a Pokémon smells this mint, it becomes quiet.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 냉정해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=20},{character=20},{character=20},{character=20},<2>,<2>,,,16,25,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
66,Rash Mint,馬虎薄荷,Rash Mint,404404,덜렁 민트,,,config/item/character_item/icon_bh_mh.png,"""When a Pokémon smells this mint, it becomes rash.""",精靈在聞了這種薄荷之後，性格會變得馬虎,"""When a Pokémon smells this mint, it becomes rash.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 건성건성 해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=21},{character=21},{character=21},{character=21},<2>,<2>,,,16,24,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
67,Calm Mint,溫和薄荷,Calm Mint,404404,차분 민트,,,config/item/character_item/icon_bh_wh.png,"""When a Pokémon smells this mint, it becomes calm.""",精靈在聞了這種薄荷之後，性格會變得溫和,"""When a Pokémon smells this mint, it becomes calm.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 온화해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=22},{character=22},{character=22},{character=22},<2>,<2>,,,16,23,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
68,Gentle Mint,溫順薄荷,Gentle Mint,404404,얌전 민트,,,config/item/character_item/icon_bh_zd.png,"""When a Pokémon smells this mint, it becomes gentle.""",精靈在聞了這種薄荷之後，性格會變得溫順,"""When a Pokémon smells this mint, it becomes gentle.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 온순해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=23},{character=23},{character=23},{character=23},<2>,<2>,,,16,22,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
69,Sassy Mint,自大薄荷,Sassy Mint,404404,건방 민트,,,config/item/character_item/icon_bh_ws.png,"""When a Pokémon smells this mint, it becomes sassy.""",精靈在聞了這種薄荷之後，性格會變得自大,"""When a Pokémon smells this mint, it becomes sassy.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 자만해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=24},{character=24},{character=24},{character=24},<2>,<2>,,,16,21,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
70,Careful Mint,慎重薄荷,Careful Mint,404404,신중 민트,,,config/item/character_item/icon_bh_sz.png,"""When a Pokémon smells this mint, it becomes careful.""",精靈在聞了這種薄荷之後，性格會變得慎重,"""When a Pokémon smells this mint, it becomes careful.""",404404,포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 신중해집니다,可在精灵继承界面内性格交换一栏使用,,404404,404404,포켓몬 계승 메뉴에서 성격 교환 중 사용,4,strengthen-attribute,18,,{character=25},{character=25},{character=25},{character=25},<2>,<2>,,,16,20,,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,404404,특수 운영 이벤트에서 해당 아이템 획득 가능,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Trinket Blueprint,飾品圖紙,Trinket Blueprint,Bản vẽ trang trí,액세서리 설계도,,,config/item/icon_sptz_purple.png,Necessary item for Trinket Breakthrough,飾品突破的必備材料之一,Necessary item for Trinket Breakthrough,Một trong những vật liệu cần thiết cho trang sức đột phá,액세서리 돌파에 필수적인 재료 중 하나,,,,,,4,strengthen-equipStrengthen,,,,,,,<1;2>,<2>,,,,,,20000,,,,,,,,,,,,,0.2222,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Inscription Stone,刻印晶石,Inscription Stone,404404,각인 결정체,,,config/item/icon_crys.png,Trinket Inscription must have material,飾品刻印培養的必備材料,Trinket Inscription must have material,404404,액세서리 각인 육성 필수 재료,,,,,,5,strengthen-awake,,99999,,,,,<1;2>,<2>,,,,,,,,,,,,,可通过开启石英大会奖励宝箱或者跨服商业街商店获得,,,,석영 대회 보상인 보물상자를 오픈하거나 글로벌 상가의 상점을 통해 획득 가능,,0.6,,,,,,,,
112,Inscription ascend Jade,刻印突破玉石,Inscription ascend Jade,404404,각인 옥석,,,config/item/icon_jgbz.png,Trinket Inscription ascend must have material,飾品刻印突破的必備材料,Trinket Inscription ascend must have material,404404,액세서리 각인 돌파 필수 재료,,,,,,5,strengthen-awake,,99999,,,,,<1;2>,<2>,,,,,,,,,,,,,可通过石英大会排名奖励或者跨服商业街商店获得,,,,석영 대회 순위 보상이나 글로벌 상가의 상점을 통해 획득 가능,,0.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Refine Core,洗練核心,Refine Core,404,404,,,config/item/icon_xlcl.png,Essential item for chip secondary attribute refining,晶片副屬性洗練的必備道具,Essential item for chip secondary attribute refining,404404,404,,,,,,5,chipBag,,99999,,,,,<2>,<2>,,,,,,,,,,,,,,,,,,,0,,,,,,,,
122,Green chip,綠色晶片,Green chip,404,404,,,config/item/icon_jycl1.png,"Ordinary chip enhance materials, average quality",普通的晶片強化材料，品質一般,"Ordinary chip enhance materials, average quality",404,404,请勿长期暴露在空气中,請勿長期暴露在空氣中,Do not expose to the air for a long time,404,404,2,chipBag,,99999,{chipExp=75},{chipExp=75},{chipExp=75},{chipExp=75},<2>,<2>,,,2,,,,,,,,,,,,,,,,0.075,,,,,,,,
123,Blue chip,藍色晶片,Blue chip,404,404,,,config/item/icon_jycl2.png,"Common chip enhance material, medium quality",常見的晶片強化材料，品質中等,"Common chip enhance material, medium quality",404,404,请勿长期暴露在空气中,請勿長期暴露在空氣中,Do not expose to the air for a long time,404,404,3,chipBag,,99999,{chipExp=150},{chipExp=150},{chipExp=150},{chipExp=150},<2>,<2>,,,2,,,,,,,,,,,,,,,,0.15,,,,,,,,
124,Purple chip,紫色晶片,Purple chip,404,404,,,config/item/icon_jycl3.png,"Rare chip enhance material, rare quality",比較難得晶片強化材料，材質稀有,"Rare chip enhance material, rare quality",404,404,请勿长期暴露在空气中,請勿長期暴露在空氣中,Do not expose to the air for a long time,404,404,4,chipBag,,99999,{chipExp=300},{chipExp=300},{chipExp=300},{chipExp=300},<2>,<2>,,,2,,,,,,,,,,,,,,,,0.3,,,,,,,,
