变量名,feelType,level,needExp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
131,1,130,152,7,1287,8,1287,1,4118,9,416,10,416,13,125
132,1,131,152,7,1287,8,1287,1,4118,9,429,10,429,13,125
133,1,132,152,7,1287,8,1287,1,4118,9,429,10,429,13,129
134,1,133,152,7,1326,8,1326,1,4118,9,429,10,429,13,129
135,1,134,152,7,1326,8,1326,1,4243,9,429,10,429,13,129
136,1,135,152,7,1326,8,1326,1,4243,9,442,10,442,13,129
137,1,136,152,7,1326,8,1326,1,4243,9,442,10,442,13,133
138,1,137,152,7,1365,8,1365,1,4243,9,442,10,442,13,133
139,1,138,152,7,1365,8,1365,1,4368,9,442,10,442,13,133
140,1,139,152,7,1365,8,1365,1,4368,9,455,10,455,13,133
141,1,140,160,7,1365,8,1365,1,4368,9,455,10,455,13,137
142,1,141,160,7,1404,8,1404,1,4368,9,455,10,455,13,137
143,1,142,160,7,1404,8,1404,1,4493,9,455,10,455,13,137
144,1,143,160,7,1404,8,1404,1,4493,9,468,10,468,13,137
145,1,144,160,7,1404,8,1404,1,4493,9,468,10,468,13,140
146,1,145,160,7,1443,8,1443,1,4493,9,468,10,468,13,140
147,1,146,160,7,1443,8,1443,1,4618,9,468,10,468,13,140
148,1,147,160,7,1443,8,1443,1,4618,9,481,10,481,13,140
149,1,148,160,7,1443,8,1443,1,4618,9,481,10,481,13,144
150,1,149,160,7,1482,8,1482,1,4618,9,481,10,481,13,144
151,1,150,160,7,1482,8,1482,1,4742,9,481,10,481,13,144
152,1,151,160,7,1482,8,1482,1,4742,9,494,10,494,13,144
153,1,152,160,7,1482,8,1482,1,4742,9,494,10,494,13,148
154,1,153,160,7,1521,8,1521,1,4742,9,494,10,494,13,148
155,1,154,160,7,1521,8,1521,1,4867,9,494,10,494,13,148
156,1,155,168,7,1521,8,1521,1,4867,9,507,10,507,13,148
157,1,156,168,7,1521,8,1521,1,4867,9,507,10,507,13,152
158,1,157,168,7,1560,8,1560,1,4867,9,507,10,507,13,152
159,1,158,168,7,1560,8,1560,1,4992,9,507,10,507,13,152
160,1,159,168,7,1560,8,1560,1,4992,9,520,10,520,13,152
161,1,160,168,7,1560,8,1560,1,4992,9,520,10,520,13,156
162,1,161,168,7,1599,8,1599,1,4992,9,520,10,520,13,156
163,1,162,168,7,1599,8,1599,1,5117,9,520,10,520,13,156
164,1,163,168,7,1599,8,1599,1,5117,9,533,10,533,13,156
165,1,164,168,7,1599,8,1599,1,5117,9,533,10,533,13,160
166,1,165,168,7,1638,8,1638,1,5117,9,533,10,533,13,160
167,1,166,168,7,1638,8,1638,1,5242,9,533,10,533,13,160
168,1,167,168,7,1638,8,1638,1,5242,9,546,10,546,13,160
169,1,168,168,7,1638,8,1638,1,5242,9,546,10,546,13,164
170,1,169,168,7,1677,8,1677,1,5242,9,546,10,546,13,164
171,1,170,176,7,1677,8,1677,1,5366,9,546,10,546,13,164
172,1,171,176,7,1677,8,1677,1,5366,9,559,10,559,13,164
173,1,172,176,7,1677,8,1677,1,5366,9,559,10,559,13,168
174,1,173,176,7,1716,8,1716,1,5366,9,559,10,559,13,168
175,1,174,176,7,1716,8,1716,1,5491,9,559,10,559,13,168
176,1,175,176,7,1716,8,1716,1,5491,9,572,10,572,13,168
177,1,176,176,7,1716,8,1716,1,5491,9,572,10,572,13,172
178,1,177,176,7,1755,8,1755,1,5491,9,572,10,572,13,172
179,1,178,176,7,1755,8,1755,1,5616,9,572,10,572,13,172
180,1,179,176,7,1755,8,1755,1,5616,9,585,10,585,13,172
181,1,180,176,7,1890,8,1890,1,6048,9,630,10,630,13,189
182,1,181,176,7,1932,8,1932,1,6048,9,630,10,630,13,189
183,1,182,176,7,1932,8,1932,1,6182,9,630,10,630,13,189
184,1,183,176,7,1932,8,1932,1,6182,9,644,10,644,13,189
185,1,184,176,7,1932,8,1932,1,6182,9,644,10,644,13,193
186,1,185,184,7,1974,8,1974,1,6182,9,644,10,644,13,193
187,1,186,184,7,1974,8,1974,1,6317,9,644,10,644,13,193
188,1,187,184,7,1974,8,1974,1,6317,9,658,10,658,13,193
189,1,188,184,7,1974,8,1974,1,6317,9,658,10,658,13,197
190,1,189,184,7,2016,8,2016,1,6317,9,658,10,658,13,197
191,1,190,184,7,2016,8,2016,1,6451,9,658,10,658,13,197
192,1,191,184,7,2016,8,2016,1,6451,9,672,10,672,13,197
193,1,192,184,7,2016,8,2016,1,6451,9,672,10,672,13,202
194,1,193,184,7,2058,8,2058,1,6451,9,672,10,672,13,202
195,1,194,184,7,2058,8,2058,1,6586,9,672,10,672,13,202
196,1,195,184,7,2058,8,2058,1,6586,9,686,10,686,13,202
197,1,196,184,7,2058,8,2058,1,6586,9,686,10,686,13,206
198,1,197,184,7,2100,8,2100,1,6586,9,686,10,686,13,206
199,1,198,184,7,2100,8,2100,1,6720,9,686,10,686,13,206
200,1,199,184,7,2100,8,2100,1,6720,9,700,10,700,13,206
201,1,200,192,7,2100,8,2100,1,6720,9,700,10,700,13,210
202,1,201,192,7,2142,8,2142,1,6720,9,700,10,700,13,210
203,1,202,192,7,2142,8,2142,1,6854,9,700,10,700,13,210
204,1,203,192,7,2142,8,2142,1,6854,9,714,10,714,13,210
205,1,204,192,7,2142,8,2142,1,6854,9,714,10,714,13,214
206,1,205,192,7,2184,8,2184,1,6854,9,714,10,714,13,214
207,1,206,192,7,2184,8,2184,1,6989,9,714,10,714,13,214
208,1,207,192,7,2184,8,2184,1,6989,9,728,10,728,13,214
209,1,208,192,7,2184,8,2184,1,6989,9,728,10,728,13,218
210,1,209,192,7,2226,8,2226,1,6989,9,728,10,728,13,218
211,1,210,192,7,2226,8,2226,1,7123,9,728,10,728,13,218
212,1,211,192,7,2226,8,2226,1,7123,9,742,10,742,13,218
213,1,212,192,7,2226,8,2226,1,7123,9,742,10,742,13,223
214,1,213,192,7,2268,8,2268,1,7123,9,742,10,742,13,223
215,1,214,192,7,2268,8,2268,1,7258,9,742,10,742,13,223
216,1,215,200,7,2268,8,2268,1,7258,9,756,10,756,13,223
217,1,216,200,7,2268,8,2268,1,7258,9,756,10,756,13,227
218,1,217,200,7,2310,8,2310,1,7258,9,756,10,756,13,227
219,1,218,200,7,2310,8,2310,1,7392,9,756,10,756,13,227
220,1,219,200,7,2310,8,2310,1,7392,9,770,10,770,13,227
221,1,220,200,7,2310,8,2310,1,7392,9,770,10,770,13,231
222,1,221,200,7,2352,8,2352,1,7392,9,770,10,770,13,231
223,1,222,200,7,2352,8,2352,1,7526,9,770,10,770,13,231
224,1,223,200,7,2352,8,2352,1,7526,9,784,10,784,13,231
225,1,224,200,7,2352,8,2352,1,7526,9,784,10,784,13,235
226,1,225,200,7,2394,8,2394,1,7526,9,784,10,784,13,235
227,1,226,200,7,2394,8,2394,1,7661,9,784,10,784,13,235
228,1,227,200,7,2394,8,2394,1,7661,9,798,10,798,13,235
229,1,228,200,7,2394,8,2394,1,7661,9,798,10,798,13,239
230,1,229,200,7,2436,8,2436,1,7661,9,798,10,798,13,239
231,1,230,208,7,2436,8,2436,1,7795,9,798,10,798,13,239
232,1,231,208,7,2436,8,2436,1,7795,9,812,10,812,13,239
233,1,232,208,7,2436,8,2436,1,7795,9,812,10,812,13,244
234,1,233,208,7,2478,8,2478,1,7795,9,812,10,812,13,244
235,1,234,208,7,2478,8,2478,1,7930,9,812,10,812,13,244
236,1,235,208,7,2478,8,2478,1,7930,9,826,10,826,13,244
237,1,236,208,7,2478,8,2478,1,7930,9,826,10,826,13,248
238,1,237,208,7,2520,8,2520,1,7930,9,826,10,826,13,248
239,1,238,208,7,2520,8,2520,1,8064,9,826,10,826,13,248
240,1,239,208,7,2520,8,2520,1,8064,9,840,10,840,13,248
241,1,240,208,7,2700,8,2700,1,8640,9,900,10,900,13,270
242,1,241,208,7,2745,8,2745,1,8640,9,900,10,900,13,270
243,1,242,208,7,2745,8,2745,1,8784,9,900,10,900,13,270
244,1,243,208,7,2745,8,2745,1,8784,9,915,10,915,13,270
245,1,244,208,7,2745,8,2745,1,8784,9,915,10,915,13,275
246,1,245,216,7,2790,8,2790,1,8784,9,915,10,915,13,275
247,1,246,216,7,2790,8,2790,1,8928,9,915,10,915,13,275
248,1,247,216,7,2790,8,2790,1,8928,9,930,10,930,13,275
249,1,248,216,7,2790,8,2790,1,8928,9,930,10,930,13,279
250,1,249,216,7,2835,8,2835,1,8928,9,930,10,930,13,279
251,1,250,216,7,2835,8,2835,1,9072,9,930,10,930,13,279
252,1,251,216,7,2835,8,2835,1,9072,9,945,10,945,13,279
253,1,252,216,7,2835,8,2835,1,9072,9,945,10,945,13,284
254,1,253,216,7,2880,8,2880,1,9072,9,945,10,945,13,284
255,1,254,216,7,2880,8,2880,1,9216,9,945,10,945,13,284
256,1,255,216,7,2880,8,2880,1,9216,9,960,10,960,13,284
257,1,256,216,7,2880,8,2880,1,9216,9,960,10,960,13,288
258,1,257,216,7,2925,8,2925,1,9216,9,960,10,960,13,288
259,1,258,216,7,2925,8,2925,1,9360,9,960,10,960,13,288
260,1,259,216,7,2925,8,2925,1,9360,9,975,10,975,13,288
261,1,260,224,7,2925,8,2925,1,9360,9,975,10,975,13,293
262,1,261,224,7,2970,8,2970,1,9360,9,975,10,975,13,293
263,1,262,224,7,2970,8,2970,1,9504,9,975,10,975,13,293
264,1,263,224,7,2970,8,2970,1,9504,9,990,10,990,13,293
265,1,264,224,7,2970,8,2970,1,9504,9,990,10,990,13,297
266,1,265,224,7,3015,8,3015,1,9504,9,990,10,990,13,297
267,1,266,224,7,3015,8,3015,1,9648,9,990,10,990,13,297
268,1,267,224,7,3015,8,3015,1,9648,9,1005,10,1005,13,297
269,1,268,224,7,3015,8,3015,1,9648,9,1005,10,1005,13,302
270,1,269,224,7,3060,8,3060,1,9648,9,1005,10,1005,13,302
271,1,270,224,7,3060,8,3060,1,9792,9,1005,10,1005,13,302
272,1,271,224,7,3060,8,3060,1,9792,9,1020,10,1020,13,302
273,1,272,224,7,3060,8,3060,1,9792,9,1020,10,1020,13,306
274,1,273,224,7,3105,8,3105,1,9792,9,1020,10,1020,13,306
275,1,274,224,7,3105,8,3105,1,9936,9,1020,10,1020,13,306
276,1,275,232,7,3105,8,3105,1,9936,9,1035,10,1035,13,306
277,1,276,232,7,3105,8,3105,1,9936,9,1035,10,1035,13,311
278,1,277,232,7,3150,8,3150,1,9936,9,1035,10,1035,13,311
279,1,278,232,7,3150,8,3150,1,10080,9,1035,10,1035,13,311
280,1,279,232,7,3150,8,3150,1,10080,9,1050,10,1050,13,311
281,1,280,232,7,3150,8,3150,1,10080,9,1050,10,1050,13,315
282,1,281,232,7,3195,8,3195,1,10080,9,1050,10,1050,13,315
283,1,282,232,7,3195,8,3195,1,10224,9,1050,10,1050,13,315
284,1,283,232,7,3195,8,3195,1,10224,9,1065,10,1065,13,315
285,1,284,232,7,3195,8,3195,1,10224,9,1065,10,1065,13,320
286,1,285,232,7,3240,8,3240,1,10224,9,1065,10,1065,13,320
287,1,286,232,7,3240,8,3240,1,10368,9,1065,10,1065,13,320
288,1,287,232,7,3240,8,3240,1,10368,9,1080,10,1080,13,320
289,1,288,232,7,3240,8,3240,1,10368,9,1080,10,1080,13,324
290,1,289,232,7,3285,8,3285,1,10368,9,1080,10,1080,13,324
291,1,290,240,7,3285,8,3285,1,10512,9,1080,10,1080,13,324
292,1,291,240,7,3285,8,3285,1,10512,9,1095,10,1095,13,324
293,1,292,240,7,3285,8,3285,1,10512,9,1095,10,1095,13,329
294,1,293,240,7,3330,8,3330,1,10512,9,1095,10,1095,13,329
295,1,294,240,7,3330,8,3330,1,10656,9,1095,10,1095,13,329
296,1,295,240,7,3330,8,3330,1,10656,9,1110,10,1110,13,329
297,1,296,240,7,3330,8,3330,1,10656,9,1110,10,1110,13,333
298,1,297,240,7,3375,8,3375,1,10656,9,1110,10,1110,13,333
299,1,298,240,7,3375,8,3375,1,10800,9,1110,10,1110,13,333
300,1,299,240,7,3375,8,3375,1,10800,9,1125,10,1125,13,333
301,1,300,240,7,3600,8,3600,1,11520,9,1200,10,1200,13,360
302,1,301,248,7,3648,8,3648,1,11520,9,1200,10,1200,13,360
303,1,302,248,7,3648,8,3648,1,11674,9,1200,10,1200,13,360
304,1,303,248,7,3648,8,3648,1,11674,9,1216,10,1216,13,360
305,1,304,248,7,3648,8,3648,1,11674,9,1216,10,1216,13,365
306,1,305,248,7,3696,8,3696,1,11674,9,1216,10,1216,13,365
307,1,306,248,7,3696,8,3696,1,11827,9,1216,10,1216,13,365
308,1,307,248,7,3696,8,3696,1,11827,9,1232,10,1232,13,365
309,1,308,248,7,3696,8,3696,1,11827,9,1232,10,1232,13,370
310,1,309,248,7,3744,8,3744,1,11827,9,1232,10,1232,13,370
311,1,310,248,7,3744,8,3744,1,11981,9,1232,10,1232,13,370
312,1,311,248,7,3744,8,3744,1,11981,9,1248,10,1248,13,370
313,1,312,256,7,3744,8,3744,1,11981,9,1248,10,1248,13,374
314,1,313,256,7,3792,8,3792,1,11981,9,1248,10,1248,13,374
315,1,314,256,7,3792,8,3792,1,12134,9,1248,10,1248,13,374
316,1,315,256,7,3792,8,3792,1,12134,9,1264,10,1264,13,374
317,1,316,256,7,3792,8,3792,1,12134,9,1264,10,1264,13,379
318,1,317,256,7,3840,8,3840,1,12134,9,1264,10,1264,13,379
319,1,318,256,7,3840,8,3840,1,12288,9,1264,10,1264,13,379
320,1,319,256,7,3840,8,3840,1,12288,9,1280,10,1280,13,379
321,1,320,256,7,3840,8,3840,1,12288,9,1280,10,1280,13,384
322,1,321,256,7,3888,8,3888,1,12288,9,1280,10,1280,13,384
323,1,322,256,7,3888,8,3888,1,12442,9,1280,10,1280,13,384
324,1,323,264,7,3888,8,3888,1,12442,9,1296,10,1296,13,384
325,1,324,264,7,3888,8,3888,1,12442,9,1296,10,1296,13,389
326,1,325,264,7,3936,8,3936,1,12442,9,1296,10,1296,13,389
327,1,326,264,7,3936,8,3936,1,12595,9,1296,10,1296,13,389
328,1,327,264,7,3936,8,3936,1,12595,9,1312,10,1312,13,389
329,1,328,264,7,3936,8,3936,1,12595,9,1312,10,1312,13,394
330,1,329,264,7,3984,8,3984,1,12595,9,1312,10,1312,13,394
331,1,330,264,7,3984,8,3984,1,12749,9,1312,10,1312,13,394
332,1,331,264,7,3984,8,3984,1,12749,9,1328,10,1328,13,394
333,1,332,264,7,3984,8,3984,1,12749,9,1328,10,1328,13,398
334,1,333,264,7,4032,8,4032,1,12749,9,1328,10,1328,13,398
335,1,334,272,7,4032,8,4032,1,12902,9,1328,10,1328,13,398
336,1,335,272,7,4032,8,4032,1,12902,9,1344,10,1344,13,398
337,1,336,272,7,4032,8,4032,1,12902,9,1344,10,1344,13,403
338,1,337,272,7,4080,8,4080,1,12902,9,1344,10,1344,13,403
339,1,338,272,7,4080,8,4080,1,13056,9,1344,10,1344,13,403
340,1,339,272,7,4080,8,4080,1,13056,9,1360,10,1360,13,403
341,1,340,272,7,4080,8,4080,1,13056,9,1360,10,1360,13,408
342,1,341,272,7,4128,8,4128,1,13056,9,1360,10,1360,13,408
343,1,342,272,7,4128,8,4128,1,13210,9,1360,10,1360,13,408
344,1,343,272,7,4128,8,4128,1,13210,9,1376,10,1376,13,408
345,1,344,272,7,4128,8,4128,1,13210,9,1376,10,1376,13,413
346,1,345,280,7,4176,8,4176,1,13210,9,1376,10,1376,13,413
347,1,346,280,7,4176,8,4176,1,13363,9,1376,10,1376,13,413
348,1,347,280,7,4176,8,4176,1,13363,9,1392,10,1392,13,413
349,1,348,280,7,4176,8,4176,1,13363,9,1392,10,1392,13,418
350,1,349,280,7,4224,8,4224,1,13363,9,1392,10,1392,13,418
351,1,350,280,7,4224,8,4224,1,13517,9,1392,10,1392,13,418
352,1,351,280,7,4224,8,4224,1,13517,9,1408,10,1408,13,418
353,1,352,280,7,4224,8,4224,1,13517,9,1408,10,1408,13,422
354,1,353,280,7,4272,8,4272,1,13517,9,1408,10,1408,13,422
355,1,354,280,7,4272,8,4272,1,13670,9,1408,10,1408,13,422
356,1,355,280,7,4272,8,4272,1,13670,9,1424,10,1424,13,422
357,1,356,288,7,4272,8,4272,1,13670,9,1424,10,1424,13,427
358,1,357,288,7,4320,8,4320,1,13670,9,1424,10,1424,13,427
359,1,358,288,7,4320,8,4320,1,13824,9,1424,10,1424,13,427
360,1,359,288,7,4320,8,4320,1,13824,9,1440,10,1440,13,427
361,1,360,288,7,4590,8,4590,1,14688,9,1530,10,1530,13,459
362,1,361,288,7,4641,8,4641,1,14688,9,1530,10,1530,13,459
363,1,362,288,7,4641,8,4641,1,14851,9,1530,10,1530,13,459
364,1,363,288,7,4641,8,4641,1,14851,9,1547,10,1547,13,459
365,1,364,288,7,4641,8,4641,1,14851,9,1547,10,1547,13,464
366,1,365,288,7,4692,8,4692,1,14851,9,1547,10,1547,13,464
367,1,366,288,7,4692,8,4692,1,15014,9,1547,10,1547,13,464
368,1,367,296,7,4692,8,4692,1,15014,9,1564,10,1564,13,464
369,1,368,296,7,4692,8,4692,1,15014,9,1564,10,1564,13,469
370,1,369,296,7,4743,8,4743,1,15014,9,1564,10,1564,13,469
371,1,370,296,7,4743,8,4743,1,15178,9,1564,10,1564,13,469
372,1,371,296,7,4743,8,4743,1,15178,9,1581,10,1581,13,469
373,1,372,296,7,4743,8,4743,1,15178,9,1581,10,1581,13,474
374,1,373,296,7,4794,8,4794,1,15178,9,1581,10,1581,13,474
375,1,374,296,7,4794,8,4794,1,15341,9,1581,10,1581,13,474
376,1,375,296,7,4794,8,4794,1,15341,9,1598,10,1598,13,474
377,1,376,296,7,4794,8,4794,1,15341,9,1598,10,1598,13,479
378,1,377,296,7,4845,8,4845,1,15341,9,1598,10,1598,13,479
379,1,378,304,7,4845,8,4845,1,15504,9,1598,10,1598,13,479
380,1,379,304,7,4845,8,4845,1,15504,9,1615,10,1615,13,479
381,1,380,304,7,4845,8,4845,1,15504,9,1615,10,1615,13,485
382,1,381,304,7,4896,8,4896,1,15504,9,1615,10,1615,13,485
383,1,382,304,7,4896,8,4896,1,15667,9,1615,10,1615,13,485
384,1,383,304,7,4896,8,4896,1,15667,9,1632,10,1632,13,485
385,1,384,304,7,4896,8,4896,1,15667,9,1632,10,1632,13,490
386,1,385,304,7,4947,8,4947,1,15667,9,1632,10,1632,13,490
387,1,386,304,7,4947,8,4947,1,15830,9,1632,10,1632,13,490
388,1,387,304,7,4947,8,4947,1,15830,9,1649,10,1649,13,490
389,1,388,304,7,4947,8,4947,1,15830,9,1649,10,1649,13,495
390,1,389,312,7,4998,8,4998,1,15830,9,1649,10,1649,13,495
391,1,390,312,7,4998,8,4998,1,15994,9,1649,10,1649,13,495
