﻿"﻿变量名",roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint
8,10015,25,Super Charizard Y,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
9,10021,25,Squirrel,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
10,10022,25,Cammy Turtle,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
11,10023,25,Blastoise,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
12,10031,25,green caterpillar,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
13,10033,25,Butterfly,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
14,10043,25,Big Needle Bee,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
15,10044,25,super needle bee,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
16,10051,25,Bobo,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
17,10052,25,bibi bird,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
18,10053,25,Big bird,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
19,10061,25,Little Lada,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
20,10062,25,Rada,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
21,10071,25,sparrow,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
22,10072,25,Toucan,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
23,10081,25,Arbor snake,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
24,10082,25,Arbor,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
25,10092,25,pikachu,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
26,10102,25,Chuanshanwang,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
27,10131,25,skin baby,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
28,10191,25,Hairball,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
29,10192,25,moru moth,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
30,10231,25,monkey monster,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
31,10232,25,Fire Monkey,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
32,10261,25,casey,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
33,10262,25,Yongkila,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
34,10263,25,Hu Di,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
35,10264,25,Super Hudi,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
36,10271,25,wrist strength,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
37,10272,25,Hao Li,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
38,10273,25,Strange power,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
39,10301,25,Small fist stone,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
40,10302,25,Rumble stone,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
41,10333,25,Magneto,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
42,10351,25,doodle,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
43,10352,25,Duduli,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
44,10391,25,Ghost,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
45,10392,25,ghost stone,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
46,10393,25,Gengar,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
47,10394,25,Super Gengar,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
48,10452,25,Gala Gala,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
49,10471,25,big tongue,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
50,10472,25,Big tongue licking,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
51,10481,25,gas bomb,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
52,10482,25,double bomb gas,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
53,10491,25,one horned rhino,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
54,10492,25,Rhinoceros,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
55,10493,25,Super Armored Rhinoceros,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
56,10552,25,jewel starfish,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
57,10591,25,Zap monster,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
58,10592,25,Electrocute,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
59,10601,25,Duckbill baby,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
60,10602,25,Platypus,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
61,10603,25,Platypus,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
62,10781,25,Chrysanthemum leaves,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
63,10782,25,bay leaf,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
64,10783,25,Geranium,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
65,10791,25,fireball mouse,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
66,10792,25,Fire Rock Rat,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
67,10793,25,Pyrobeast,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
68,10881,25,Mare sheep,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
69,10882,25,wooly sheep,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
70,10883,25,Dianlong,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
71,10891,25,Lu Lili,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
72,10892,25,Mary Lou,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
73,10893,25,Mary Luli,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
74,11081,25,Huanla,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
75,11082,25,Mala,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
76,11171,25,Dai Ruby,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
77,11172,25,Heluga,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
78,11221,25,Thunder God,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
79,11231,25,Yandi,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
80,11241,25,Suicune,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
81,11291,25,Mu Shou Gong,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
82,11292,25,forest lizard,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
83,11351,25,Lotus leaf boy,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
84,11352,25,lotus hat boy,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
85,11353,25,Lotte Kappa,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
86,11421,25,lazy otter,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
87,11422,25,hyperactive ape,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
88,11423,25,leave king,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
89,11441,25,goo niu niu,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
90,11442,25,roar bomb,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
91,11443,25,Boom,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
92,11501,25,cocoa dora,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
93,11502,25,Cordora,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
94,11503,25,Boss Cordora,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
95,11611,25,dumbfounded,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
96,11612,25,fire camel,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
97,11813,25,night genie,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
98,11861,25,seal ball,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
99,11862,25,sea magic lion,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
100,11863,25,Diya sea lion,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
101,12011,25,Turtle,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
102,12012,25,wood turtle,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
103,12071,25,kitty monster,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
104,12072,25,luke cat,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
105,12073,25,roentgen cat,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
106,12232,25,Fangtooth Shark,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
107,12233,25,biting land shark,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
108,12271,25,bad frog,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
109,12272,25,Poison Skeleton Frog,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
110,12303,25,super blizzard king,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
111,12481,25,warm pig,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
112,12631,25,porter,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
113,12632,25,Ironbone,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
114,12633,25,construction veteran,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
115,12681,25,Centipede,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
116,12682,25,wheel ball,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
117,12683,25,centipede king,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
118,12871,25,mini ice,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
119,12872,25,lots of ice,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
120,12873,25,double as much ice,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
121,12961,25,gears,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
122,12962,25,gear set,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
123,12963,25,Gear Monster,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
124,13002,25,Axodont,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
125,13003,25,Double Ax War Dragon,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
126,13011,25,sneezing bear,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
127,13012,25,tundra bear,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
128,13411,25,Single scabbard,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
129,13412,25,double scabbard,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
130,13471,25,Arm gun shrimp,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
131,13472,25,Steel cannon arm shrimp,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
132,13541,25,sticky treasure,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
133,13542,25,Sticky Mel,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
134,13543,25,sticky dragon,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1,25,Frog Seeds,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1002,2,25,Froggrass,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1003,3,25,Frog Flower,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1004,11,25,Charmander,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1005,12,25,fire dinosaur,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1006,13,25,Charizard,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1007,14,25,Super Charizard X,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,800,,
1008,15,25,Super Charizard Y,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1009,21,25,Squirrel,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1010,22,25,Cammy Turtle,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1011,23,25,Blastoise,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1012,31,25,green caterpillar,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1013,33,25,Butterfly,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1014,43,25,Big Needle Bee,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1015,44,25,super needle bee,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1016,51,25,Bobo,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1017,52,25,bibi bird,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1018,53,25,Big bird,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1019,61,25,Little Lada,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1020,62,25,Rada,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1021,71,25,sparrow,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1022,72,25,Toucan,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1023,81,25,Arbor snake,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1024,82,25,Arbor,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1025,92,25,pikachu,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1026,102,25,Chuanshanwang,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1027,131,25,skin baby,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1028,191,25,Hairball,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1029,192,25,moru moth,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1030,231,25,monkey monster,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1031,232,25,Fire Monkey,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1032,261,25,casey,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1033,262,25,Yongkila,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1034,263,25,Hu Di,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1035,264,25,Super Hudi,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1036,271,25,wrist strength,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1037,272,25,Hao Li,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1038,273,25,Strange power,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1039,301,25,Small fist stone,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1040,302,25,Rumble stone,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1041,333,25,Magneto,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1042,351,25,doodle,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1043,352,25,Duduli,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1044,391,25,Ghost,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1045,392,25,ghost stone,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1046,393,25,Gengar,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1047,394,25,Super Gengar,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1048,452,25,Gala Gala,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1049,471,25,big tongue,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1050,472,25,Big tongue licking,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1051,481,25,gas bomb,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1052,482,25,double bomb gas,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1053,491,25,one horned rhino,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1054,492,25,Rhinoceros,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1055,493,25,Super Armored Rhinoceros,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1056,552,25,jewel starfish,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1057,591,25,Zap monster,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1058,592,25,Electrocute,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1059,601,25,Duckbill baby,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1060,602,25,Platypus,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1061,603,25,Platypus,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1062,781,25,Chrysanthemum leaves,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1063,782,25,bay leaf,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1064,783,25,Geranium,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1065,791,25,fireball mouse,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1066,792,25,Fire Rock Rat,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1067,793,25,Pyrobeast,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1068,881,25,Mare sheep,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1069,882,25,wooly sheep,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
1070,883,25,Dianlong,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
