"﻿变量名",sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag
20,Cross server Gym,,,404404,404404,,,,,20,1,1,20,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,0,0,0,{},0,,,,,,,,,,,,,,,,,,,,{pvpAttrTakeEffect=TRUE;ceCorrectTakeEffect = TRUE}
22,Event Boss,,,,,,,,,22,22,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cross server resource battle pvp,,,,,,,,,23,17,3,10,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{pvpAttrTakeEffect=TRUE;ceCorrectTakeEffect = TRUE}
25,Anniversary Copy,,,404404,404404,,,,,25,25,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Expedition gameplay,,,404404,404404,,,,,26,26,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,summer challenge,,,,,,,,,27,27,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cross server guild battle,,,,,,,,,28,28,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{pvpAttrTakeEffect=TRUE;ceCorrectTakeEffect = TRUE}
29,World Championship,,,,,,,,,29,29,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{pvpAttrTakeEffect=TRUE;ceCorrectTakeEffect = TRUE}
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,Pallet Town,真新鎮,Pallet Town,404404,태초마을,,<{unitId=60301;level=1;advance=1};{unitId=60301;level=1;advance=1};>,<{unitId=180302;level=1;advance=1}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_75_lls@.png,,11,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,1,1,1,,,,9999,6,30,6,{5000=0;5001=0},875,"Got the elf from Dr. Oki, so let's try it out?",從大木博士那裡拿到了精靈，那麼開始試試吧？,,404404,"""오박사한테서 포켓몬을 받았으니, 이제 시작해볼까?""",{11=1;},{11=2;},,,,1,,{x=966;y=936},,<<966;936>>,,,,1,
10102,Pallet Town,真新鎮,Pallet Town,404404,태초마을,,<{unitId=53291;level=1;advance=1};{unitId=53291;level=1;advance=1};>,<{unitId=180601;level=1;advance=1}>,config/portrait/simple/img_240_yzbb@.png,,4,2,,,,,,,battle/scene/bg_zz.jpg,config/big_hero/normal/img_240_yzbb@.png,,11,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,1,4,4,,,,9999,6,30,6,{5000=0;5002=0},875,"Back home, who is waiting for you?",回到家中，等待的人是？,,404404,"""집에 돌아왔는데, 기다리고 있던 사람은?""",{11=1;},{11=2;},,,,1,{rmb=20;5000=10;gold=20000},{x=690;y=782},{x=836;y=573},<<966;936>;<690;782>>,,,,1,
10103,Pallet Town,真新鎮,Pallet Town,404404,태초마을,,<{unitId=50781;level=2;advance=1};{unitId=60541;level=2;advance=1};{unitId=50781;level=2;advance=1};>,<{unitId=181293;level=2;advance=1}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_254_xyw@.png,,11,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,2,7,7,,,,9999,6,30,6,{5000=0;5003=0},875,"First adventure, fresh start",第一次冒險，嶄新的開始,,404404,"""첫 번째 모험, 새로운 시작""",{11=1;},{11=2;},,,,1,,{x=1118;y=624},,<<690;782>;<836;573>;<1118;624>>,,,,1,
10104,Pallet Town,真新鎮,Pallet Town,404404,태초마을,,<{unitId=53011;level=3;advance=1};{unitId=53012;level=3;advance=1};{unitId=53011;level=3;advance=1};>,<{unitId=183472;level=3;advance=1}>,config/portrait/simple/img_693_gpbx@.png,,4,2,,,,,,,battle/scene/bg_zz.jpg,config/big_hero/normal/img_693_gpbx@.png,,11,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,3,12,12,,,,9999,6,30,6,{5000=0;5001=0},875,"The mysterious girl who suddenly appeared, who is she?",忽然出現的神秘少女，她是誰,,404404,"""갑자기 나타난 수수께끼의 소녀, 그녀의 정체는""",{11=1;},{11=2;},,,,,{rmb=10;5001=1;5002=1;5003=1},{x=1415;y=582},{x=1584;y=724},<<1118;624>;<1415;582>>,,,,,
10105,Pallet Town,真新鎮,Pallet Town,404404,태초마을,,<>,<{unitId=183303;level=3;advance=1}>,config/portrait/simple/img_658_jhrw@.png,,4,2,,,,,,,battle/scene/bg_zz.jpg,config/big_hero/normal/img_658_jhrw@.png,,11,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,3,20,20,,,,9999,6,30,6,{5000=0;5002=0},875,"Sudden crisis, the elf named ""Overlord""",突如其來的危機，名叫“霸主”的精靈,,404404,"""예상치 못한 위기, “패왕”이라 불리는 포켓몬""",{11=1;},{11=2;},,,,,,{x=1918;y=742},,<<1415;582>;<1584;724>;<1918;742>>,,,,,
10201,Mysterious Tribe,神秘部落,Mysterious Tribe,404404,신비한 부락,,<{unitId=53472;level=4;advance=1};{unitId=53472;level=4;advance=1};>,<{unitId=70232;level=4;advance=1}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_57_hbh@.png,,12,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,4,23,23,,,,9999,6,30,6,{5000=0;5001=0},910,unknown mysterious tribe,未知的神秘部落,,404404,미지의 신비한 부락,{11=2;},{11=3;},,,,1,,{x=1398;y=273},,<<1398;273>>,,,,1,
10202,Mysterious Tribe,神秘部落,Mysterious Tribe,404404,신비한 부락,,<{unitId=60541;level=4;advance=1};{unitId=50791;level=4;advance=1};{unitId=60541;level=4;advance=1};>,<{unitId=70803;level=4;advance=1}>,config/portrait/simple/img_160_dle@.png,,4,2,,,,,,,battle/scene/bg_zz.jpg,config/big_hero/normal/img_160_dle@.png,,12,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,4,25,25,,,,9999,6,30,6,{5000=0;5001=0},910,What is the true face of the fierce beast blocking the way?,攔路的凶獸，其真面目是？,,404404,"""길을 막아선 몬스터, 그의 진짜 정체는?""",{11=2;},{11=3;},,,,,{rmb=10;5001=1;5002=1;5003=1},{x=1099;y=383},{x=763;y=601},<<1398;273>;<1273;329>;<1099;383>>,,,,,
10203,Mysterious Tribe,神秘部落,Mysterious Tribe,404404,신비한 부락,,<{unitId=61861;level=4;advance=1};{unitId=61861;level=4;advance=1};>,<{unitId=70632;level=4;advance=1}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_130_bll@.png,,12,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,4,27,27,,,,9999,6,30,6,{5000=0;5002=0},910,,,,,,{11=2;},{11=3;},,,,1,,{x=815;y=834},,<<1099;383>;<763;601>;<639;697>;<815;834>>,,,,1,
10204,Mysterious Tribe,神秘部落,Mysterious Tribe,404404,신비한 부락,,<{unitId=50021;level=5;advance=1};{unitId=60001;level=5;advance=1};{unitId=50011;level=5;advance=1};>,<{unitId=70092;level=5;advance=1}>,config/portrait/simple/img_25_pkq@.png,,4,2,,,,,,,battle/scene/bg_zz.jpg,config/big_hero/normal/img_25_pkq@.png,,12,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,5,29,29,,,,9999,6,30,6,{5000=0;5002=0},910,Strange reporter big sister,奇怪的記者大姐姐,,404404,이상한 기자 시스터,{11=2;},{11=3;},,,,,{rmb=10;5001=1;5002=1;5003=1},{x=1257;y=1052},{x=1424;y=909},<<815;834>;<1052;901>;<1159;1018>;<1257;1052>>,,,,,
10205,Mysterious Tribe,神秘部落,Mysterious Tribe,404404,신비한 부락,,<{unitId=50451;level=5;advance=1};{unitId=50451;level=5;advance=1};>,<{unitId=73293;level=5;advance=1}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_655_yhhh@.png,,12,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,5,31,31,,,,9999,6,30,6,{5000=0;5003=0},910,Experiments before the festival,祭典之前的試驗,,404404,축제 전의 실험,{11=2;},{11=3;},,,,1,,{x=1554;y=801},,<<1257;1052>;<1373;1085>;<1552;998>;<1424;909>;<1442;818>;<1554;801>>,,,,1,
10206,Mysterious Tribe,神秘部落,Mysterious Tribe,404404,신비한 부락,,<>,<{unitId=181303;level=6;advance=2}>,config/portrait/simple/img_257_hyj@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_257_hyj@.png,,12,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,6,33,33,,,,9999,6,30,6,{5000=0;5003=0},910,Festival's Final Rival,祭典最終的對手,,404404,축제의 최종 상대,{11=2;},{11=3;},,,,,,{x=1760;y=963},,<<1554;801>;<1725;871>;<1760;963>>,,,,,
10301,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=50111;level=7;advance=1};{unitId=50121;level=7;advance=1};>,<{unitId=70122;level=7;advance=2}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_33_ndln@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,7,36,36,,,,9999,6,35,6,{5000=0;5001=0},945,Could it be that there are ghosts?,不會是有幽靈吧？,,404404,귀신이 있는 건 아니겠지?,{12=1;},{12=1;11=1},,,,1,,{x=1992;y=623},,<<1992;623>>,,,,1,
10302,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=50281;level=8;advance=1};{unitId=60281;level=8;advance=1};{unitId=50281;level=8;advance=1};>,<{unitId=71293;level=8;advance=2}>,config/portrait/simple/img_254_xyw@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_254_xyw@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,8,39,39,,,,9999,6,35,6,{5000=0;5001=0},945,,,,,,{12=1;},{12=1;11=1},,,,,{rmb=10;5001=2;5002=2;5003=2},{x=1785;y=424},{x=1519;y=345},<<1992;623>;<1785;424>>,,,,,
10303,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=52012;level=8;advance=1};{unitId=52012;level=8;advance=1};{unitId=60191;level=8;advance=1};{unitId=60191;level=8;advance=1};>,<{unitId=71353;level=8;advance=2}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_272_ltht@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,8,42,42,,,,9999,6,35,6,{5000=0;5001=0},945,,,,,,{12=1;},{12=1;11=1},,,,,,{x=1226;y=412},,<<1785;424>;<1519;345>;<1226;412>>,,,,,
10304,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=50332;level=8;advance=1};>,<{unitId=70771;level=8;advance=2}>,config/portrait/simple/img_151_mh@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_151_mh@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,8,45,45,,,,9999,6,35,6,{5000=0;5002=0},945,"That voice seemed to be the rumored phantom elf, why did it meet here?",那聲音，似乎是傳聞中的幻之精靈，為什麼會在這裡遇到？,,404404,"""그 소리는, 아마 소문속의 유령 포켓몬인 것 같은데, 어째서 이곳에서 만나는 거지?""",{12=1;},{12=1;11=1},,,,1,{rmb=10;5001=2;5002=2;5003=2},{x=985;y=442},{x=676;y=559},<<1226;412>;<985;442>>,,,,1,
10305,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=60102;level=9;advance=1};{unitId=60102;level=9;advance=1};{unitId=50451;level=9;advance=1};{unitId=50451;level=9;advance=1};>,<{unitId=70192;level=9;advance=2}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_49_mle@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,9,48,48,,,,9999,6,35,6,{5000=0;5002=0},945,,,,,,{12=1;},{12=1;11=1},,,,,,{x=500;y=646},,<<985;442>;<676;559>;<500;646>>,,,,,
10306,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=50052;level=9;advance=1};{unitId=60262;level=9;advance=1};{unitId=50052;level=9;advance=1};>,<{unitId=73283;level=9;advance=2}>,config/portrait/simple/img_652_blkl@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_652_blkl@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,9,51,51,,,,9999,6,35,6,{5000=0;5002=0},945,,,,,,{12=1;},{12=1;11=1},,,,,{rmb=10;5001=2;5002=2;5003=2},{x=676;y=896},{x=963;y=830},<<500;646>;<646;730>;<676;896>>,,,,,
10307,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<{unitId=50451;level=10;advance=1};{unitId=50451;level=10;advance=1};{unitId=60263;level=10;advance=1};{unitId=60263;level=10;advance=1};>,<{unitId=70263;level=10;advance=2}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_65_hd@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,10,54,54,,,,9999,6,35,6,{5000=0;5003=0},945,,,,,,{12=1;},{12=1;11=1},,,,1,,{x=1192;y=788},,<<676;896>;<883;976>;<985;915>;<963;830>;<1192;788>>,,,,1,
10308,Abandoned city,廢棄城市,Abandoned city,404404,버려진 도시,,<>,<{unitId=180761;level=10;advance=2}>,config/portrait/simple/img_150_cm@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_150_cm@.png,,13,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,10,57,57,,,,9999,6,35,6,{5000=0;5003=0},945,"""Who am I and why do I exist""",“我是誰，我究竟為何而生存”,,404404,"""“나는 누구, 나는 무엇을 위해 살아가는가”""",{12=1;},{12=1;11=1},,,,,,{x=1370;y=940},,<<1192;788>;<1370;772>;<1522;853>;<1370;940>>,,,,,
10401,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=60022;level=11;advance=2};{unitId=60022;level=11;advance=2};>,<{unitId=70012;level=11;advance=3}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_5_hkl@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,11,60,60,,,,9999,6,40,6,{5000=0;5004=0;5002=0;5003=0},980,Go relax!,去放鬆心情吧！,,404404,릴렉스 하세요!,{12=1;11=1},{12=1;11=2},,,,1,,{x=1075;y=1125},,<<1075;1125>>,,,,1,
10402,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=50011;level=11;advance=2};{unitId=50011;level=11;advance=2};>,<{unitId=73342;level=11;advance=3}>,config/portrait/simple/img_668_hys@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_668_hys@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,11,63,63,,,,9999,6,40,6,{5000=0;5004=0;5002=0;5003=0},980,,,,,,{12=1;11=1},{12=1;11=2},,,,,{rmb=10;5004=2;gold=10000},{x=1375;y=1036},{x=1161;y=954},<<1075;1125>;<1375;1036>>,,,,,
10403,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=50601;level=12;advance=2};{unitId=50601;level=12;advance=2};>,<{unitId=70793;level=12;advance=3}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_157_hbs@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,12,66,66,,,,9999,6,40,6,{5000=0;5004=0;5002=0;5003=0},980,,,,,,{12=1;11=1},{12=1;11=2},,,,,,{x=703;y=842},,<<1375;1036>;<1161;954>;<855;799>;<703;842>>,,,,,
10404,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=53292;level=13;advance=2};>,<{unitId=70741;level=13;advance=3}>,config/portrait/simple/img_146_hyn@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_146_hyn@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,13,69,69,,,,9999,6,40,6,{5000=0;5005=0;5003=0;5001=0},980,Enemy reunited,重逢的勁敵,,404404,다시 만난 강적,{12=1;11=1},{12=1;11=2},,,,1,{rmb=10;5005=2;gold=10000},{x=895;y=663},{x=703;y=421},<<703;842>;<895;663>>,,,,1,
10405,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=63291;level=13;advance=2};{unitId=63291;level=13;advance=2};>,<{unitId=71612;level=13;advance=3}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_323_pht@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,13,72,72,,,,9999,6,40,6,{5000=0;5005=0;5003=0;5001=0},980,,,,,,{12=1;11=1},{12=1;11=2},,,,,,{x=1010;y=268},,<<895;663>;<719;532>;<703;421>;<734;280>;<1010;268>>,,,,,
10406,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=51611;level=14;advance=2};{unitId=61611;level=14;advance=2};{unitId=51611;level=14;advance=2};>,<{unitId=70603;level=14;advance=3}>,config/portrait/simple/img_467_yzys@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_467_yzys@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,14,75,75,,,,9999,6,40,6,{5000=0;5005=0;5003=0;5001=0},980,,,,,,{12=1;11=1},{12=1;11=2},,,,,{rmb=10;5006=2;gold=10000},{x=1331;y=343},{x=1510;y=451},<<1010;268>;<1331;343>>,,,,,
10407,Resort Island,度假島,Resort Island,404404,리조트 섬,,<{unitId=53341;level=14;advance=2};{unitId=53341;level=14;advance=2};>,<{unitId=71303;level=14;advance=3}>,,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_257_hyj@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,14,78,78,,,,9999,6,40,6,{5000=0;5006=0;5001=0;5002=0},980,,,,,,{12=1;11=1},{12=1;11=2},,,,1,,{x=1637;y=576},,<<1331;343>;<1510;451>;<1637;576>>,,,,1,
10408,Resort Island,度假島,Resort Island,404404,리조트 섬,,<>,<{unitId=181271;level=15;advance=3}>,config/portrait/simple/img_250_fw@.png,,4,2,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_250_fw@.png,,14,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,15,81,81,,,,9999,6,40,6,{5000=0;5006=0;5001=0;5002=0},980,It is said that meeting the Phoenix King will bring good luck!,據說，遇到鳳王會有好運！,,404404,"""소문으로는, 칠색조를 만나면 행운이 따른 데!""",{12=1;11=1},{12=1;11=2},,,,,,{x=1907;y=620},,<<1637;576>;<1907;620>>,,,,,
10501,Sandgem Town,砂石鎮,Sandgem Town,404404,잔모래 마을,,<{unitId=60461;level=16;advance=2};{unitId=60461;level=16;advance=2};>,<{unitId=73562;level=16;advance=4}>,,,4,3,,,,,,,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_709_xmy@.png,,15,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,16,84,84,,,,9999,6,45,6,{5000=0;5004=0},1015,Under the yellow sand are precious mines,黃沙之下，是貴重的礦山,,404404,"""모래 밑에는, 귀중한 광산이 있어""",{12=1;11=2},{12=2;11=1},,,,1,,{x=443;y=824},,<<443;824>>,,,,1,
