﻿"﻿变量名",type,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,title,title_tw,title_en,title_vn,title_kr,targetType,targetArg,targetArg2,targetDisplay,levelReq,vipReq,vipReq_tw,vipReq_en,vipReq_kr,languages,sortWeight,group,rankInGroup,point,awardArgs,goToPanel
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,"""""",1,0,0,0,0,<cn;tw;en;vn;th;kr>,0,0,0,0,{},
任务ID,任务类型,任务描述,任务描述,任务描述,任务描述_越南,任务描述_韩,任务图标,任务标题,任务标题,任务标题,任务标题_越南,任务标题_韩,任务目标类型,任务目标参数,任务目标参数2,任务目标显示参数,等级限制,vip限制,vip限制,vip限制,vip限制,语言区域,顺序,任务组,任务组排序,活跃度点数,奖励物品表,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动界面roleLogo头像界面figure个人形象界面gainGold点金界面recharge充值界面gainStamina购买体力friend好友界面cardBag背包界面strengthen还有培养界面handbook图鉴界面任意英文-数字表示其页签
1024,0,Trainer level reaches level 25,主角等級達到25級,Trainer level reaches level 25,Đẳng cấp đến 25 Cấp,주인공 25레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,25,,25,1,,,,,,4,1000,25,,{gold=5000;rmb=20},10000
1025,0,Trainer level reaches level 26,主角等級達到26級,Trainer level reaches level 26,Đẳng cấp đến 26 Cấp,주인공 26레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,26,,26,1,,,,,,4,1000,26,,{gold=5000;rmb=20},10000
1026,0,Trainer level reaches level 27,主角等級達到27級,Trainer level reaches level 27,Đẳng cấp đến 27 Cấp,주인공 27레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,27,,27,1,,,,,,2,1000,27,,{gold=5000;rmb=20},10000
1027,0,Trainer level reaches level 28,主角等級達到28級,Trainer level reaches level 28,Đẳng cấp đến 28 Cấp,주인공 28레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,28,,28,1,,,,,,1,1000,28,,{gold=5000;rmb=20},10000
1028,0,Trainer level reaches level 29,主角等級達到29級,Trainer level reaches level 29,Đẳng cấp đến 29 Cấp,주인공 29레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,29,,29,1,,,,,,4,1000,29,,{gold=5000;rmb=20},10000
1029,0,Trainer level reaches level 30,主角等級達到30級,Trainer level reaches level 30,Đẳng cấp đến 30 Cấp,주인공 30레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,30,,30,1,,,,,,4,1000,30,,{gold=5000;rmb=20},10000
1030,0,Trainer level reaches level 31,主角等級達到31級,Trainer level reaches level 31,Đẳng cấp đến 31 Cấp,주인공 31레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,31,,31,1,,,,,,3,1000,31,,{gold=5000;rmb=20},10000
1031,0,Trainer level reaches level 32,主角等級達到32級,Trainer level reaches level 32,Đẳng cấp đến 32 Cấp,주인공 32레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,32,,32,1,,,,,,3,1000,32,,{gold=5000;rmb=20},10000
1032,0,Trainer level reaches level 33,主角等級達到33級,Trainer level reaches level 33,Đẳng cấp đến 33 Cấp,주인공 33레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,33,,33,1,,,,,,3,1000,33,,{gold=5000;rmb=20},10000
1033,0,Trainer level reaches level 34,主角等級達到34級,Trainer level reaches level 34,Đẳng cấp đến 34 Cấp,주인공 34레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,34,,34,1,,,,,,1,1000,34,,{gold=5000;rmb=20},10000
1034,0,Trainer level reaches level 35,主角等級達到35級,Trainer level reaches level 35,Đẳng cấp đến 35 Cấp,주인공 35레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,35,,35,1,,,,,,1,1000,35,,{gold=5000;rmb=20},10000
1035,0,Trainer level reaches level 36,主角等級達到36級,Trainer level reaches level 36,Đẳng cấp đến 36 Cấp,주인공 36레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,36,,36,1,,,,,,2,1000,36,,{gold=5000;rmb=20},10000
1036,0,Trainer level reaches level 37,主角等級達到37級,Trainer level reaches level 37,Đẳng cấp đến 37 Cấp,주인공 37레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,37,,37,1,,,,,,3,1000,37,,{gold=5000;rmb=20},10000
1037,0,Trainer level reaches level 38,主角等級達到38級,Trainer level reaches level 38,Đẳng cấp đến 38 Cấp,주인공 38레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,38,,38,1,,,,,,3,1000,38,,{gold=5000;rmb=20},10000
1038,0,Trainer level reaches level 39,主角等級達到39級,Trainer level reaches level 39,Đẳng cấp đến 39 Cấp,주인공 39레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,39,,39,1,,,,,,4,1000,39,,{gold=5000;rmb=20},10000
1039,0,Trainer level reaches level 40,主角等級達到40級,Trainer level reaches level 40,Đẳng cấp đến 40 Cấp,주인공 40레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,40,,40,1,,,,,,5,1000,40,,{gold=7500;rmb=25},10000
1040,0,Trainer level reaches level 41,主角等級達到41級,Trainer level reaches level 41,Đẳng cấp đến 41 Cấp,주인공 41레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,41,,41,1,,,,,,5,1000,41,,{gold=7500;rmb=25},10000
1041,0,Trainer level reaches level 42,主角等級達到42級,Trainer level reaches level 42,Đẳng cấp đến 42 Cấp,주인공 42레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,42,,42,1,,,,,,6,1000,42,,{gold=7500;rmb=25},10000
1042,0,Trainer level reaches level 43,主角等級達到43級,Trainer level reaches level 43,Đẳng cấp đến 43 Cấp,주인공 43레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,43,,43,1,,,,,,7,1000,43,,{gold=7500;rmb=25},10000
1043,0,Trainer level reaches level 44,主角等級達到44級,Trainer level reaches level 44,Đẳng cấp đến 44 Cấp,주인공 44레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,44,,44,1,,,,,,8,1000,44,,{gold=7500;rmb=25},10000
1044,0,Trainer level reaches level 45,主角等級達到45級,Trainer level reaches level 45,Đẳng cấp đến 45 Cấp,주인공 45레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,45,,45,1,,,,,,9,1000,45,,{gold=7500;rmb=25},10000
1045,0,Trainer level reaches level 46,主角等級達到46級,Trainer level reaches level 46,Đẳng cấp đến 46 Cấp,주인공 46레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,46,,46,1,,,,,,10,1000,46,,{gold=7500;rmb=25},10000
1046,0,Trainer level reaches level 47,主角等級達到47級,Trainer level reaches level 47,Đẳng cấp đến 47 Cấp,주인공 47레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,47,,47,1,,,,,,11,1000,47,,{gold=7500;rmb=25},10000
1047,0,Trainer level reaches level 48,主角等級達到48級,Trainer level reaches level 48,Đẳng cấp đến 48 Cấp,주인공 48레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,48,,48,1,,,,,,12,1000,48,,{gold=7500;rmb=25},10000
1048,0,Trainer level reaches level 49,主角等級達到49級,Trainer level reaches level 49,Đẳng cấp đến 49 Cấp,주인공 49레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,49,,49,1,,,,,,13,1000,49,,{gold=7500;rmb=25},10000
1049,0,Trainer level reaches level 50,主角等級達到50級,Trainer level reaches level 50,Đẳng cấp đến 50 Cấp,주인공 50레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,50,,50,1,,,,,,2,1000,50,,{gold=7500;rmb=25},10000
1050,0,Trainer level reaches level 51,主角等級達到51級,Trainer level reaches level 51,Đẳng cấp đến 51 Cấp,주인공 51레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,51,,51,1,,,,,,3,1000,51,,{gold=7500;rmb=25},10000
1051,0,Trainer level reaches level 52,主角等級達到52級,Trainer level reaches level 52,Đẳng cấp đến 52 Cấp,주인공 52레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,52,,52,1,,,,,,4,1000,52,,{gold=7500;rmb=25},10000
1052,0,Trainer level reaches level 53,主角等級達到53級,Trainer level reaches level 53,Đẳng cấp đến 53 Cấp,주인공 53레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,53,,53,1,,,,,,5,1000,53,,{gold=7500;rmb=25},10000
1053,0,Trainer level reaches level 54,主角等級達到54級,Trainer level reaches level 54,Đẳng cấp đến 54 Cấp,주인공 54레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,54,,54,1,,,,,,6,1000,54,,{gold=7500;rmb=25},10000
1054,0,Trainer level reaches level 55,主角等級達到55級,Trainer level reaches level 55,Đẳng cấp đến 55 Cấp,주인공 55레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,55,,55,1,,,,,,7,1000,55,,{gold=7500;rmb=25},10000
1055,0,Trainer level reaches level 56,主角等級達到56級,Trainer level reaches level 56,Đẳng cấp đến 56 Cấp,주인공 56레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,56,,56,1,,,,,,8,1000,56,,{gold=7500;rmb=25},10000
1056,0,Trainer level reaches level 57,主角等級達到57級,Trainer level reaches level 57,Đẳng cấp đến 57 Cấp,주인공 57레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,57,,57,1,,,,,,9,1000,57,,{gold=7500;rmb=25},10000
1057,0,Trainer level reaches level 58,主角等級達到58級,Trainer level reaches level 58,Đẳng cấp đến 58 Cấp,주인공 58레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,58,,58,1,,,,,,10,1000,58,,{gold=7500;rmb=25},10000
1058,0,Trainer level reaches level 59,主角等級達到59級,Trainer level reaches level 59,Đẳng cấp đến 59 Cấp,주인공 59레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,59,,59,1,,,,,,11,1000,59,,{gold=7500;rmb=25},10000
1059,0,Trainer level reaches level 60,主角等級達到60級,Trainer level reaches level 60,Đẳng cấp đến 60 Cấp,주인공 60레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,60,,60,1,,,,,,12,1000,60,,{gold=10000;rmb=30},10000
1060,0,Trainer level reaches level 61,主角等級達到61級,Trainer level reaches level 61,Đẳng cấp đến 61 Cấp,주인공 61레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,61,,61,1,,,,,,13,1000,61,,{gold=10000;rmb=30},10000
1061,0,Trainer level reaches level 62,主角等級達到62級,Trainer level reaches level 62,Đẳng cấp đến 62 Cấp,주인공 62레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,62,,62,1,,,,,,0,1000,62,,{gold=10000;rmb=30},10000
1062,0,Trainer level reaches level 63,主角等級達到63級,Trainer level reaches level 63,Đẳng cấp đến 63 Cấp,주인공 63레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,63,,63,1,,,,,,1,1000,63,,{gold=10000;rmb=30},10000
1063,0,Trainer level reaches level 64,主角等級達到64級,Trainer level reaches level 64,Đẳng cấp đến 64 Cấp,주인공 64레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,64,,64,1,,,,,,1,1000,64,,{gold=10000;rmb=30},10000
1064,0,Trainer level reaches level 65,主角等級達到65級,Trainer level reaches level 65,Đẳng cấp đến 65 Cấp,주인공 65레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,65,,65,1,,,,,,4,1000,65,,{gold=10000;rmb=30},10000
1065,0,Trainer level reaches level 66,主角等級達到66級,Trainer level reaches level 66,Đẳng cấp đến 66 Cấp,주인공 66레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,66,,66,1,,,,,,3,1000,66,,{gold=10000;rmb=30},10000
1066,0,Trainer level reaches level 67,主角等級達到67級,Trainer level reaches level 67,Đẳng cấp đến 67 Cấp,주인공 67레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,67,,67,1,,,,,,3,1000,67,,{gold=10000;rmb=30},10000
1067,0,Trainer level reaches level 68,主角等級達到68級,Trainer level reaches level 68,Đẳng cấp đến 68 Cấp,주인공 68레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,68,,68,1,,,,,,3,1000,68,,{gold=10000;rmb=30},10000
1068,0,Trainer level reaches level 69,主角等級達到69級,Trainer level reaches level 69,Đẳng cấp đến 69 Cấp,주인공 69레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,69,,69,1,,,,,,2,1000,69,,{gold=10000;rmb=30},10000
1069,0,Trainer level reaches level 70,主角等級達到70級,Trainer level reaches level 70,Đẳng cấp đến 70 Cấp,주인공 70레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,70,,70,1,,,,,,2,1000,70,,{gold=10000;rmb=30},10000
1070,0,Trainer level reaches level 71,主角等級達到71級,Trainer level reaches level 71,Đẳng cấp đến 71 Cấp,주인공 71레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,71,,71,1,,,,,,2,1000,71,,{gold=10000;rmb=30},10000
1071,0,Trainer level reaches level 72,主角等級達到72級,Trainer level reaches level 72,Đẳng cấp đến 72 Cấp,주인공 72레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,72,,72,1,,,,,,2,1000,72,,{gold=10000;rmb=30},10000
1072,0,Trainer level reaches level 73,主角等級達到73級,Trainer level reaches level 73,Đẳng cấp đến 73 Cấp,주인공 73레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,73,,73,1,,,,,,3,1000,73,,{gold=10000;rmb=30},10000
1073,0,Trainer level reaches level 74,主角等級達到74級,Trainer level reaches level 74,Đẳng cấp đến 74 Cấp,주인공 74레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,74,,74,1,,,,,,4,1000,74,,{gold=10000;rmb=30},10000
1074,0,Trainer level reaches level 75,主角等級達到75級,Trainer level reaches level 75,Đẳng cấp đến 75 Cấp,주인공 75레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,75,,75,1,,,,,,5,1000,75,,{gold=10000;rmb=30},10000
1075,0,Trainer level reaches level 76,主角等級達到76級,Trainer level reaches level 76,Đẳng cấp đến 76 Cấp,주인공 76레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,76,,76,1,,,,,,6,1000,76,,{gold=10000;rmb=30},10000
1076,0,Trainer level reaches level 77,主角等級達到77級,Trainer level reaches level 77,Đẳng cấp đến 77 Cấp,주인공 77레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,77,,77,1,,,,,,7,1000,77,,{gold=10000;rmb=30},10000
1077,0,Trainer level reaches level 78,主角等級達到78級,Trainer level reaches level 78,Đẳng cấp đến 78 Cấp,주인공 78레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,78,,78,1,,,,,,8,1000,78,,{gold=10000;rmb=30},10000
1078,0,Trainer level reaches level 79,主角等級達到79級,Trainer level reaches level 79,Đẳng cấp đến 79 Cấp,주인공 79레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,79,,79,1,,,,,,9,1000,79,,{gold=10000;rmb=30},10000
