变量名,day,reward
默认值,999,
签到ID,签到天数,奖励
1,3,{rmb=100;gold=100000;14=10}
143,1400,{rmb=300;gold=500000;14=50}
144,1410,{rmb=300;gold=500000;14=50}
145,1420,{rmb=300;gold=500000;14=50}
146,1430,{rmb=300;gold=500000;14=50}
147,1440,{rmb=300;gold=500000;14=50}
148,1450,{rmb=300;gold=500000;14=50}
149,1460,{rmb=300;gold=500000;14=50}
150,1470,{rmb=300;gold=500000;14=50}
151,1480,{rmb=300;gold=500000;14=50}
152,1490,{rmb=300;gold=500000;14=50}
153,1500,{rmb=300;gold=500000;14=50}
154,1510,{rmb=300;gold=500000;14=50}
155,1520,{rmb=300;gold=500000;14=50}
156,1530,{rmb=300;gold=500000;14=50}
157,1540,{rmb=300;gold=500000;14=50}
158,1550,{rmb=300;gold=500000;14=50}
159,1560,{rmb=300;gold=500000;14=50}
160,1570,{rmb=300;gold=500000;14=50}
161,1580,{rmb=300;gold=500000;14=50}
162,1590,{rmb=300;gold=500000;14=50}
163,1600,{rmb=300;gold=500000;14=50}
164,1610,{rmb=300;gold=500000;14=50}
165,1620,{rmb=300;gold=500000;14=50}
166,1630,{rmb=300;gold=500000;14=50}
167,1640,{rmb=300;gold=500000;14=50}
168,1650,{rmb=300;gold=500000;14=50}
169,1660,{rmb=300;gold=500000;14=50}
170,1670,{rmb=300;gold=500000;14=50}
171,1680,{rmb=300;gold=500000;14=50}
172,1690,{rmb=300;gold=500000;14=50}
173,1700,{rmb=300;gold=500000;14=50}
174,1710,{rmb=300;gold=500000;14=50}
175,1720,{rmb=300;gold=500000;14=50}
176,1730,{rmb=300;gold=500000;14=50}
177,1740,{rmb=300;gold=500000;14=50}
178,1750,{rmb=300;gold=500000;14=50}
179,1760,{rmb=300;gold=500000;14=50}
180,1770,{rmb=300;gold=500000;14=50}
181,1780,{rmb=300;gold=500000;14=50}
182,1790,{rmb=300;gold=500000;14=50}
183,1800,{rmb=300;gold=500000;14=50}
184,1810,{rmb=300;gold=500000;14=50}
185,1820,{rmb=300;gold=500000;14=50}
186,1830,{rmb=300;gold=500000;14=50}
187,1840,{rmb=300;gold=500000;14=50}
188,1850,{rmb=300;gold=500000;14=50}
189,1860,{rmb=300;gold=500000;14=50}
190,1870,{rmb=300;gold=500000;14=50}
191,1880,{rmb=300;gold=500000;14=50}
192,1890,{rmb=300;gold=500000;14=50}
193,1900,{rmb=300;gold=500000;14=50}
194,1910,{rmb=300;gold=500000;14=50}
195,1920,{rmb=300;gold=500000;14=50}
196,1930,{rmb=300;gold=500000;14=50}
197,1940,{rmb=300;gold=500000;14=50}
198,1950,{rmb=300;gold=500000;14=50}
199,1960,{rmb=300;gold=500000;14=50}
200,1970,{rmb=300;gold=500000;14=50}
201,1980,{rmb=300;gold=500000;14=50}
202,1990,{rmb=300;gold=500000;14=50}
203,2000,{rmb=300;gold=500000;14=50}
