变量名,_beizhu,fragID,cardID,languages
712,Snorlax,20711,712,
721,frozen bird,20721,721,
731,lightning bird,20731,731,
741,flame bird,20741,741,
751,mini dragon,20751,751,
752,hackron,20751,752,
753,fast dragon,20751,753,
761,Mew-two,20761,761,
771,dream,20771,771,
781,Chrysanthemum leaves,20781,781,
782,bay leaf,20781,782,
783,Geranium,20781,783,
791,fireball mouse,20791,791,
792,Fire Rock Rat,20791,792,
793,Pyrobeast,20791,793,
801,Little Saw Alligator,20801,801,
802,blue crocodile,20801,802,
803,big crocodile,20801,803,
881,Mare sheep,20881,881,
882,wooly sheep,20881,882,
883,Dianlong,20881,883,
891,Lu Lili,20891,891,
892,Mary Lou,20891,892,
893,Mary Luli,20891,893,
1071,Hercules,21071,1071,
1081,Huanla,21081,1081,
1082,Mala,21081,1082,
1171,Dai Ruby,21171,1171,
1172,Heluga,21171,1172,
1221,Thunder God,21221,1221,
1231,Yandi,21231,1231,
1241,Suicune,21241,1241,
1251,Young Kiras,21251,1251,
1252,Shakiras,21251,1252,
1253,Bangeras,21251,1253,
1261,Rogia,21261,1261,
1271,Phoenix King,21271,1271,
1291,Mu Shou Gong,21291,1291,
1292,forest lizard,21291,1292,
1293,lizard king,21291,1293,
1301,fire chicken,21301,1301,
1302,Strong Chicken,21301,1302,
1303,flame chicken,21301,1303,
1311,water jump fish,21311,1311,
1312,Marsh jumping fish,21311,1312,
1313,marsh monster,21311,1313,
1351,Lotus leaf boy,21351,1351,
1352,lotus hat boy,21351,1352,
1353,Lotte Kappa,21351,1353,
1391,Lalulas,21391,1391,
1392,Kirulian,21391,1392,
1393,Xanadu,21391,1393,
1394,Already,21391,1394,
1421,lazy otter,21421,1421,
1422,hyperactive ape,21421,1422,
1423,leave king,21421,1423,
1441,goo niu niu,21441,1441,
1442,roar bomb,21441,1442,
1443,Boom,21441,1443,
1501,cocoa dora,21501,1501,
1502,Cordora,21501,1502,
1503,Boss Cordora,21501,1503,
1611,dumbfounded,21611,1611,
1612,fire camel,21611,1612,
1811,night watch,21811,1811,
1812,Wandering Eidolon,21811,1812,
1813,night genie,21811,1813,
1841,Absolu,21841,1841,
1851,snow boy,21851,1851,
1852,ice ghost guard,21851,1852,
1853,Snow Fairy,21851,1853,
1861,seal ball,21861,1861,
1862,sea magic lion,21861,1862,
1863,Diya sea lion,21861,1863,
1891,baby dragon,21891,1891,
1892,Crustosaurus,21891,1892,
1893,Tyrannosaurus,21891,1893,
1901,iron dumbbell,21901,1901,
1902,metal monster,21901,1902,
1903,Metagros,21901,1903,
1971,Gulardo,21971,1971,
1981,Rift seat,21981,1981,
2011,Turtle,22011,2011,
2012,wood turtle,22011,2012,
2013,Terra Turtle,22011,2013,
2071,kitty monster,22071,2071,
2072,luke cat,22071,2072,
2073,roentgen cat,22071,2073,
2231,round land shark,22231,2231,
2232,Fangtooth Shark,22231,2232,
2233,biting land shark,22231,2233,
2241,Riolu,22241,2241,
2242,lucario,22241,2242,
2271,bad frog,22271,2271,
2272,Poison Skeleton Frog,22271,2272,
2301,Snow hat monster,22301,2301,
2302,blizzard king,22301,2302,
2351,Dialga,22351,2351,
2481,warm pig,22481,2481,
2482,fried pork,22481,2482,
2483,King Yanwu,22481,2483,
2591,stone balls,22591,2591,
2592,mantle rock,22591,2592,
2593,Pangyan monster,22591,2593,
2611,screw gopher,22611,2611,
2612,Gopher,22611,2612,
2631,porter,22631,2631,
2632,Ironbone,22631,2632,
2633,construction veteran,22631,2633,
2681,Centipede,22681,2681,
2682,wheel ball,22681,2682,
2683,centipede king,22681,2683,
2721,black eyed crocodile,22721,2721,
2722,rogue crocodile,22721,2722,
2723,rogue crocodile,22721,2723,
2821,soroya,22821,2821,
2822,Zoroak,22821,2822,
2841,goth baby,22841,2841,
2842,goth kid,22841,2842,
2843,Miss Goth,22841,2843,
2871,mini ice,22871,2871,
2872,lots of ice,22871,2872,
2873,double as much ice,22871,2873,
2891,Electric flying squirrel,22891,2891,
2921,Floating·female,22921,2921,
2922,fluffy male,22921,2922,
2923,chubby female,22921,2923,
2924,chubby male,22921,2924,
2961,gears,22961,2961,
2962,gear set,22961,2962,
2963,Gear Monster,22961,2963,
3001,Teeth,23001,3001,
3002,Axodont,23001,3002,
3003,Double Ax War Dragon,23001,3003,
3011,sneezing bear,23011,3011,
3012,tundra bear,23011,3012,
3021,geometric snowflake,23021,3021,
3141,single headed dragon,23141,3141,
3142,Two-headed Tyrannosaurus,23141,3142,
3143,three dragons,23141,3143,
3281,Harley Chestnut,23281,3281,
3282,Chubby Harry,23281,3282,
3283,Bricaron,23281,3283,
3291,Firefox,23291,3291,
3292,long tail firefox,23291,3292,
3293,demon fire red fox,23291,3293,
3301,croaking frog,23301,3301,
3302,Croaking frog,23301,3302,
3303,Koga Ninja Frog,23301,3303,
3341,little lion,23341,3341,
3342,Flame Lion,23341,3342,
3351,Hua Beibei,23351,3351,
3352,Mosaic,23351,3352,
3353,Mrs. Huajie,23351,3353,
3411,Single scabbard,23411,3411,
3412,double scabbard,23411,3412,
3413,Shield Sword Monster Shield,23411,3413,
3431,Soft Puffs,23431,3431,
3432,fat sweetie,23431,3432,
3471,Arm gun shrimp,23471,3471,
3472,Steel cannon arm shrimp,23471,3472,
3501,ice dragon,23501,3501,
3502,ice dragon,23501,3502,
3511,Wrestling Hawkman,23511,3511,
3541,sticky treasure,23541,3541,
3542,Sticky Mel,23541,3542,
3543,sticky dragon,23541,3543,
3561,Little wood spirit,23561,3561,
3562,dead wood demon,23561,3562,
3591,buzzing bat,23591,3591,
3592,Sonic Dragon,23591,3592,
3631,Tianxi,23631,3631,
3661,wood owl,23661,3661,
3662,cast feather owl,23662,3662,
3663,sniper tree owl,23663,3663,
