变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc,discountDesc_tw,discountDesc_en,discountDesc_kr,limitType,limitTimes,showUnable
1613,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=200},0,50,,,5,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1701,gem 21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,7,<1;27>,,,,,,,
1702,gem 21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,7,<1;27>,,,,,,,
1703,gem 22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,7,<1;39>,,,,,,,
1704,gem 22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,7,<1;39>,,,,,,,
1705,gem 31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,7,<1;49>,,,,,,,
1706,gem 31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,7,<1;49>,,,,,,,
1707,gem 32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,7,<28;59>,,,,,,,
1708,gem 32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,7,<28;59>,,,,,,,
1709,gem 33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,7,<40;69>,,,,,,,
1710,gem 33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,7,<40;69>,,,,,,,
1711,gem 41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,7,<50;79>,,,,,,,
1712,gem 41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,7,<50;79>,,,,,,,
1713,gem 42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,7,<60;84>,,,,,,,
1714,gem 42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,7,<60;84>,,,,,,,
1715,gem 42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,7,<60;84>,,,,,,,
1716,gem 51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,7,<70;99>,,,,,,,
1717,gem 51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,7,<70;99>,,,,,,,
1718,gem 51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,7,<70;99>,,,,,,,
1719,gem 52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,7,<80;99>,,,,,,,
1720,gem 52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,7,<80;99>,,,,,,,
1721,gem 52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,7,<80;99>,,,,,,,
1722,gem 53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,7,<85;104>,,,,,,,
1723,gem 53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,7,<85;104>,,,,,,,
1724,gem 53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,7,<85;104>,,,,,,,
1725,gem 54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,7,<90;109>,,,,,,,
1726,gem 54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,7,<90;109>,,,,,,,
1727,gem 54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,7,<90;109>,,,,,,,
1728,gem 55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,7,<95;114>,,,,,,,
1729,gem 55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,7,<95;114>,,,,,,,
1730,gem 55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,7,<95;114>,,,,,,,
1731,gem 61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,7,<100;119>,,,,,,,
1732,gem 61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,7,<100;119>,,,,,,,
1733,gem 61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,7,<100;119>,,,,,,,
1734,gem 62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,7,<105;124>,,,,,,,
1735,gem 62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,7,<105;124>,,,,,,,
1736,gem 62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,7,<105;124>,,,,,,,
1737,gem 63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,7,<110;129>,,,,,,,
1738,gem 63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,7,<110;129>,,,,,,,
1739,gem 63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,7,<110;129>,,,,,,,
1740,gem 64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,7,<115;134>,,,,,,,
1741,gem 64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,7,<115;134>,,,,,,,
1742,gem 64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,7,<115;134>,,,,,,,
1743,gem 65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,7,<120;139>,,,,,,,
1744,gem 65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,7,<120;139>,,,,,,,
1745,gem 65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,7,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
1801,Advanced Potential Stone Diamond,{850=10},100,{rmb=100},0,100,,,8,,,,,,,,
1802,Ordinary Potential Stone Diamond,{851=10},30,{rmb=100},0,100,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
1901,gem 21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,12,<1;27>,,,,,,,
1902,gem 21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,12,<1;27>,,,,,,,
1903,gem 22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,12,<1;39>,,,,,,,
1904,gem 22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,12,<1;39>,,,,,,,
1905,gem 31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,12,<1;49>,,,,,,,
1906,gem 31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,12,<1;49>,,,,,,,
1907,gem 32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,12,<28;59>,,,,,,,
1908,gem 32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,12,<28;59>,,,,,,,
1909,gem 33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,12,<40;69>,,,,,,,
1910,gem 33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,12,<40;69>,,,,,,,
1911,gem 41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,12,<50;79>,,,,,,,
1912,gem 41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,12,<50;79>,,,,,,,
1913,gem 42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,12,<60;84>,,,,,,,
1914,gem 42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,12,<60;84>,,,,,,,
1915,gem 42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,12,<60;84>,,,,,,,
1916,gem 51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,12,<70;99>,,,,,,,
1917,gem 51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,12,<70;99>,,,,,,,
1918,gem 51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,12,<70;99>,,,,,,,
1919,gem 52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,12,<80;99>,,,,,,,
1920,gem 52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,12,<80;99>,,,,,,,
1921,gem 52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,12,<80;99>,,,,,,,
1922,gem 53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,12,<85;104>,,,,,,,
1923,gem 53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,12,<85;104>,,,,,,,
1924,gem 53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,12,<85;104>,,,,,,,
1925,gem 54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,12,<90;109>,,,,,,,
1926,gem 54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,12,<90;109>,,,,,,,
1927,gem 54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,12,<90;109>,,,,,,,
1928,gem 55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,12,<95;114>,,,,,,,
1929,gem 55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,12,<95;114>,,,,,,,
1930,gem 55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,12,<95;114>,,,,,,,
1931,gem 61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,12,<100;119>,,,,,,,
1932,gem 61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,12,<100;119>,,,,,,,
1933,gem 61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,12,<100;119>,,,,,,,
1934,gem 62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,12,<105;124>,,,,,,,
1935,gem 62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,12,<105;124>,,,,,,,
1936,gem 62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,12,<105;124>,,,,,,,
1937,gem 63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,12,<110;129>,,,,,,,
1938,gem 63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,12,<110;129>,,,,,,,
1939,gem 63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,12,<110;129>,,,,,,,
1940,gem 64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,12,<115;134>,,,,,,,
1941,gem 64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,12,<115;134>,,,,,,,
1942,gem 64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,12,<115;134>,,,,,,,
