"﻿变量名",markID,level,addType,addScene,natureType,desc,desc_tw,desc_en,desc_vn,desc_kr,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
7007,71,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
7008,71,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
7009,71,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
7010,71,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
7011,71,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
7012,71,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
7013,71,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
8001,81,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
8002,81,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
8003,81,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
8004,81,80,2,0,8,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
8005,81,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
8006,81,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
8007,81,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
8008,81,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
8009,81,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
8010,81,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
8011,81,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
8012,81,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
8013,81,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
9001,91,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
9002,91,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
9003,91,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
9004,91,80,2,0,5,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
9005,91,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
9006,91,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
9007,91,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
9008,91,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
9009,91,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
9010,91,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
9011,91,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
9012,91,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
9013,91,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
10001,101,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
10002,101,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
10003,101,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
10004,101,80,2,0,9,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
10005,101,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
10006,101,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
10007,101,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
10008,101,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
10009,101,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
10010,101,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
10011,101,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
10012,101,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
10013,101,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
11001,111,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
11002,111,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
11003,111,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
11004,111,80,2,0,8,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
11005,111,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
11006,111,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
11007,111,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
11008,111,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
11009,111,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
11010,111,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
11011,111,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
11012,111,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.40%,10,0.40%,,,,,,,,
11013,111,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
12001,121,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
12002,121,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
12003,121,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
12004,121,80,2,0,8,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
12005,121,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
12006,121,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
12007,121,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
12008,121,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
12009,121,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.40%,,,,,,,,,,
12010,121,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
12011,121,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
12012,121,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.40%,8,0.40%,,,,,,,,
12013,121,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
13001,131,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
13002,131,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
13003,131,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
13004,131,80,2,0,18,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
13005,131,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
13006,131,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
13007,131,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
13008,131,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
13009,131,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
13010,131,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
13011,131,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
13012,131,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
13013,131,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
15001,151,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
15002,151,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
15003,151,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
15004,151,80,2,0,1,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
15005,151,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
15006,151,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
15007,151,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
15008,151,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
15009,151,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
15010,151,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
15011,151,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
15012,151,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
15013,151,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
16001,161,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
16002,161,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
16003,161,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
16004,161,80,2,0,8,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
16005,161,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
16006,161,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
16007,161,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
16008,161,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
16009,161,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
16010,161,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
16011,161,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
16012,161,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
16013,161,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
17001,171,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
17002,171,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
17003,171,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
