变量名,_beizhu,catalogType,number,name,name_tw,name_en,name_vn,name_kr,contain,content,content_tw,content_en,content_vn,content_kr
9,,1,9,Other BUFF effects,其他BUFF效果,Other BUFF effects,,기타 버프 효과,<901;902;903;904;905;906;907;908;909>,"""\tExcept control effects and negative effects, there are other BUFF effects such as: buff effects, continuous healing effects, shield effects, power storage, water flow, ignition, ice traps, disasters, etc.""","""\t除了控制效果、負面效果還有其他的一些BUFF效果例如：增益效果、持續恢復效果、護盾類效果、蓄電、水流、引火、寒冰陷阱、災厄等""","""\tExcept control effects and negative effects, there are other BUFF effects such as: buff effects, continuous healing effects, shield effects, power storage, water flow, ignition, ice traps, disasters, etc.""",,""" 제어 효과 & 디버프 효과 외 기타 버프도 존재 한다, 예: 버프 효과, 지속 회복 효과, 실드 효과, 축전, 급류, 타오르는 불꽃, 얼음 함정, 재앙 등"""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
601,,,,Resurrection,復活,Resurrection,,부활,,"""\tHo-Oh Passive: After death, it will be resurrected before the next action round, and will inherit a certain amount of health and anger.\n\n\tWhen Ho-Oh Passive and Focus Band are coexisting, Focus Band will be triggered first ""","""\t鳳王-被動：陣亡後會在下次行動回合開始前復活，並繼承一定的血量與怒氣\n\n\t鳳王-被動與氣勢頭帶共存時，優先觸發氣勢頭帶效果""","""\tHo-Oh Passive: After death, it will be resurrected before the next action round, and will inherit a certain amount of health and anger.\n\n\tWhen Ho-Oh Passive and Focus Band are coexisting, Focus Band will be triggered first """,,""" 칠색조-패시브 스킬: 사망 후 다음번 턴이 시작하기 전에 부활하고 일정량 HP와 분노를 계승한다\n\n 칠색조-패시브 스킬과 기합의 머리띠가 공존 시 기합의 머리띠의 효과 우선 발동한다"""
602,,,,Resurrect allies,復活隊友,Resurrect allies,,아군 부활,,"""\tHoly Bird Blessing: After ally are defeated, they will turn into phoenix eggs, and the phoenix eggs will be destroyed after being attacked 6 times. If it is not destroyed, it will be resurrected at the end of the next big round.\n\n\tWhen the Holy Bird Blessing, Tyranitar-Passive, and Focus Band coexist,  Focus Band will be triggered first, followed by Tyranitar- Passive, and finally triggers the Holy Bird Blessing""","""\t神鳥祝福：隊友陣亡後，會變成鳳凰蛋，鳳凰蛋被攻擊6次後會被擊破。如果未被擊破，則會在下個大回合結束後復活\n\n\t神鳥祝福、班基拉斯-被動、氣勢頭帶共存時，優先觸發氣勢頭帶，其次是班基拉斯-被動，最後觸發神鳥祝福""","""\tHoly Bird Blessing: After ally are defeated, they will turn into phoenix eggs, and the phoenix eggs will be destroyed after being attacked 6 times. If it is not destroyed, it will be resurrected at the end of the next big round.\n\n\tWhen the Holy Bird Blessing, Tyranitar-Passive, and Focus Band coexist,  Focus Band will be triggered first, followed by Tyranitar- Passive, and finally triggers the Holy Bird Blessing""",,""" 신조의 축복: 아군이 사항 후, 봉황알로 변하고, 봉황의 알은 공격을 6번 받으면 격파된다. 격파되지 않으면 다음턴 종료 시 부활한다\n\n 신조의 축복, 마기라스-패시브 스킬, 기합의 머리띠가 공존 시, 기합의 머리띠의 효과 우선 발동, 그리고 마가라스-패시브 스킬, 마지막 신조의 축북 발동"""
603,,,,Avoid death,免死,Avoid death,,죽음 면역,,"""\tImmune to death in battle is divided into two types: remains 1 HP to avoid death or immune to lethal damage\n\n\tWhen remains 1 HP to avoid death or immune to lethal damage coexist, triggering immune to lethal damage first\n\n\t The effect of Focus Band belongs to immune to lethal damage; Tyranitar-Passive and Lugia-Passive belong to remains 1 HP to avoid death.""","""\t戰鬥中免死分為保留一滴血免死與免疫致死傷害\n\n\t當免疫致死與保留一滴血免死共存時，優先觸發免疫致死傷害\n\n\t遊戲中氣勢頭帶的效果屬於免疫致死傷害；班基拉斯-被動與洛奇亞-被動屬於保留一滴血免死""","""\tImmune to death in battle is divided into two types: remains 1 HP to avoid death or immune to lethal damage\n\n\tWhen remains 1 HP to avoid death or immune to lethal damage coexist, triggering immune to lethal damage first\n\n\t The effect of Focus Band belongs to immune to lethal damage; Tyranitar-Passive and Lugia-Passive belong to remains 1 HP to avoid death.""",,""" 전투 중 죽음 면역은 HP 1 보류하는 죽음 면역과 치명타 대미지 면역하는 죽음 면역이 있으며 \n\n  두가지 죽음 면역 효과가 공존 시, 우선 치명타 대미지 면역하는 죽음 면역이 발동하고 \n\n  게임 중 기합의 머리띠의 효과는 치명타 대미지 면역하는 죽음 면역 효과; 마기라스-패시브 스킬과 루기아-패시브 스킬은 HP 1 보류하는 죽음 면역이다"""
604,,,,Transform,變身,Transform,,변신,,"""\tAfter being transformed, the status will still inherit its own. During the transformation, steals the opponent's appearance and active skills.\n\n\tIf the ATK value of target is higher than its ATK value(the one with the larger P. & Sp. Attack), there will have chance unable to steal passive skills""","""\t幻化之後屬性仍然繼承自身的屬性，幻化期間必定會偷取對方的外貌與主動技能\n\n\t若變身目標比自身攻擊高（雙攻較大的一項）有一定幾率無法偷取到被動技能""","""\tAfter being transformed, the status will still inherit its own. During the transformation, steals the opponent's appearance and active skills.\n\n\tIf the ATK value of target is higher than its ATK value(the one with the larger P. & Sp. Attack), there will have chance unable to steal passive skills""",,""" 변화 후 타입은 자신의 원래 타입을 계승, 변화 기간 타깃의 외모와 액티브 스킬을 훔친다 \n\n  만약 변신 타깃의 공격력(물리&특수 공격력)이 자신 보다 높을 시 일정 확률로 패시브 스킬을 훔칠 수 없게된다"""
605,,,,Sense,通感,Sense,,공감각,,"""\tWhen the dealer of the Sense effect is damaged, it will cause the same amount of damage to the Pokémon in Sense effect.\n\n\tIf the attack deals lethal damage and caused  the Pokémon that applying Sense effect being defeated,  the same amount of damage will be dealt to the Sense target""","""\t通感效果的施加者受到傷害後，會對通感效果的精靈造成等量的傷害\n\n\t若攻擊對添加通感效果的精靈造成致死傷害導致致死，會在其死亡後對通感目標造成等量的傷害""","""\tWhen the dealer of the Sense effect is damaged, it will cause the same amount of damage to the Pokémon in Sense effect.\n\n\tIf the attack deals lethal damage and caused  the Pokémon that applying Sense effect being defeated,  the same amount of damage will be dealt to the Sense target""",,""" 공감각 효과의 가해자가 피해를 입은면 공감각 효과를 부여받은 포켓몬에게도 같은 량의 피해를 입힌다 \n\n  가해자가 치명타를 입고 사망 시, 사망 후 공감각 타깃에게도 같은 량의 피해를 입힌다"""
606,,,,Stealth,隱身,Stealth,,은신,,"""\tCan not be selected as a damage target, but can be affected by area damage""","""\t無法被選定為傷害目標，但能被範圍傷害波及""","""\tCan not be selected as a damage target, but can be affected by area damage""",,""" 피해 타깃으로 선택될 수는 없지만  범위 피해의 영향은 받는다"""
607,,,,Steal,偷取,Steal,,훔치기,,"""\tConvert certain status of the target into its own status. Will not return the stolen status when target being defeated. Status will be return after stealer is defeated""","""\t將目標的一定屬性轉化為自身的屬性，被偷取目標死亡不返還偷取的屬性，偷取者死亡返還偷取的屬性""","""\tConvert certain status of the target into its own status. Will not return the stolen status when target being defeated. Status will be return after stealer is defeated""",,""" 타깃의 일정한 속성을 자신의 속성으로 전환, 타깃이 사망 시 훔친 속성 보류, 자신이 사망 시 훔친 속성 반환한다"""
608,,,,twin,雙生,twin,,쌍둥이,,"""\tTwin units share a position in battle, also shares health, anger, and buff effects.\n\n\tShare health and anger: Twin units shares HP and anger. After HP is 0, defeated at same time. The anger gained by the twin unit attacks will be added to the shared anger bar, and one unit will also consume the anger of the same anger bar when it releases its Ultimate Skill.\n\n\tShared buff effect: buff or debuff effect will be shared. After one of the twin units takes action, it count as  a own round\n\n\t Defense status sharing: P.DEF and Sp.DEF status will be calculated according to the form selected when entering the field.\n\n\tATK status are independent of each other: P.ATK, Sp.ATK, and speed status of the twin units will be substituted into the battle calculation based on the panel status after switching the form.\n\n\tSpecial held item effect: [Leftovers Apple] [Dynamax Band]  and other held item that trigger HP/Anger regenerate effect before/after own move, will only trigger once at the first own move in each big round.""","""\t雙生單位在戰鬥中共用一個站位，且共用血量、怒氣值和buff效果\n\n\t共用血量和怒氣：雙生單位共用一個血條和怒氣，血量為0後，同時死亡；雙生單位攻擊獲得的怒氣都會加到共用的怒氣條上，其中一個單位釋放必殺技也會消耗同一個怒氣條的怒氣\n\n\t共用buff效果：添加的增益或者減益效果雙生單位都能享受到，雙生單位其中一個行動後，消耗一個小回合\n\n\t防禦屬性共用：物防、特防屬性會根據入場時選擇的形態來計算扣血\n\n\t攻擊屬性相互獨立：戰鬥中雙生單位出手的物攻、特攻、速度屬性會根據切換形態後的面板屬性來帶入戰鬥計算\n\n\t部分攜帶道具特殊處理：【吃剩的蘋果】【極巨腕帶】等自身行動前後觸發攜帶道具等回怒回血的效果，當個大回合內只觸發第一次自身行動""","""\tTwin units share a position in battle, also shares health, anger, and buff effects.\n\n\tShare health and anger: Twin units shares HP and anger. After HP is 0, defeated at same time. The anger gained by the twin unit attacks will be added to the shared anger bar, and one unit will also consume the anger of the same anger bar when it releases its Ultimate Skill.\n\n\tShared buff effect: buff or debuff effect will be shared. After one of the twin units takes action, it count as  a own round\n\n\t Defense status sharing: P.DEF and Sp.DEF status will be calculated according to the form selected when entering the field.\n\n\tATK status are independent of each other: P.ATK, Sp.ATK, and speed status of the twin units will be substituted into the battle calculation based on the panel status after switching the form.\n\n\tSpecial held item effect: [Leftovers Apple] [Dynamax Band]  and other held item that trigger HP/Anger regenerate effect before/after own move, will only trigger once at the first own move in each big round.""",,""" 쌍둥이 유닛은 전투중 하나의 출전 자리, HP, 분노치, 버프효과를 공용한다 \n\n HP와 분노치 공용: 쌍둥이 유닛은 HP와 분노치를 공용하고, HP가 0이 될 시 같이 사망한다; 쌍둥이 유닛이 공격하고 획득한 분노치는 공용 분노치에 추가되고, 그중 한 유닛이 필살기를 사용하면 공용 분노치가 소모된다\n\n 버프 효과 공용: 부가 된 버프 혹은 디버프 효과는 쌍둥이 유닛에게 모두 적용된다, 쌍둥이 유닛의 턴은 그중 하나만 행동이 가능하다\n\n 방어 속성 공용: 물리 방어, 특수 방어 속성은 입장 시 선택 한 형태에 따라 결정 됩니다\n\n 공격 속성은 서로 독립: 전투 중 쌍둥이 유닛의 물리 공격, 특수 공격, 스피드 속성은 형태 전환에 따라 속성이 바뀌어 전투에 적용 됩니다\n\n 일부 휴대 아이템은 특수 적용:[먹다남은 음식], [다이맥스 밴드]등 분노치 회복, HP회복 효과, 행동 전후로 발동 하는 휴대 아이템 등, 한 라운드 중 첫번째 자신 턴에서만 발동 한다"""
609,,,,Special extra ultimate skill,特殊額外必殺技,Special extra ultimate skill,,특수 추가 필살기,,"""\tSpecial Ultimate Skill: Special Ultimate Skill can no longer be released when it is under control.\n\n\tSpecial extra Ultimate Skill includes: Zekrom overclocking extra ultimate skill, Mega-Rayquaza Final Dragon Ascent, Ash’s Pikachu the 10,000,000 Volt Thunderbolt ""","""\t特殊必殺技：特殊必殺技在自身被控制的情況下將無法再釋放\n\n\t特殊額外必殺技包括：捷克羅姆超頻額外必殺技、超級裂空座的極意畫龍點睛、小智版皮卡丘的最後的千萬伏特""","""\tSpecial Ultimate Skill: Special Ultimate Skill can no longer be released when it is under control.\n\n\tSpecial extra Ultimate Skill includes: Zekrom overclocking extra ultimate skill, Mega-Rayquaza Final Dragon Ascent, Ash’s Pikachu the 10,000,000 Volt Thunderbolt """,,""" 특수 필살기: 자신이 제어 상태에 처해 있을 시 특수 필살기 사용 불가 \n\n  특수 추가 필살기: 제크로무의 슈퍼 특수 추가 필살기, 메가레쿠쟈의 극의 화룡점정, 지우 피카츄의 최후의 10만볼트"""
610,,,,Unable to move,無法行動,Unable to move,,행동 불가,,"""\tUnable to move: Suffer from Blow off, Dominant control and Frozen, Sleep, Stun, Deep sleep, Nightmare, Phantom(When no ally unit available), Stoned, Tangled, Diamond seal from control effect. Some of the special state: Yveltal’s Coon of Destruction, Zekrom’s Exhaustion and Slaking’s Sleeping are determine as unable to move.""","""\t無法行動：受到吹飛、支配性控制和控制效果中的冰凍、睡眠、眩暈、深度睡眠、夢魘、魅影（友方沒有可選單位時）、石化、纏繞、鑽石封印；某些特殊狀態：伊裴爾塔爾的破壞之繭、捷克羅姆的力竭、請假王睡覺，皆視為無法行動""","""\tUnable to move: Suffer from Blow off, Dominant control and Frozen, Sleep, Stun, Deep sleep, Nightmare, Phantom(When no ally unit available), Stoned, Tangled, Diamond seal from control effect. Some of the special state: Yveltal’s Coon of Destruction, Zekrom’s Exhaustion and Slaking’s Sleeping are determine as unable to move.""",,""" 행동 불가: 날려버리기, 지배성 제어와 제어 효과 중의 얼음, 기절, 심층 수면, 나이트메어, 그림자(아군이 선택 가능한 유닛이 없을 시), 석화, 휘감기, 다이아 봉인 등을 당할 시; 일부 특수 상태:  이벨타르의 파괴의 고치, 제크로무의 힘의 끝, 게을킹의 수면등도 모두 행동 불가 이다."""
611,,,,404,404,404,,404,,,,,,
612,,,,404,404,404,,404,,,,,,
,,,,,,,,,,,,,,
701,,,,Stuned,眩暈,Stuned,,기절,,"""\tIcon: #Ibattle/buff_icon/logo_xy.png-75-75#\n\n\tEffect: Dealing the target unable to move\n\n\tDispell: Able to dispell\n\n\tHit: Chance of dealing Stun is affected by the control rate and the control-resist rate""","""\t圖示：#Ibattle/buff_icon/logo_xy.png-75-75#\n\n\t效果：使目標無法行動\n\n\t驅散：可被驅散\n\n\t命中：眩暈的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_xy.png-75-75#\n\n\tEffect: Dealing the target unable to move\n\n\tDispell: Able to dispell\n\n\tHit: Chance of dealing Stun is affected by the control rate and the control-resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_xy.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만든다 \n\n 디스펠: 디스펠 가능\n\n 명중: 기절의 명중률은 제어률과 제어 면역률에 영향 받는다"""
702,,,,Stoned,石化,Stoned,,석화,,"""\tIcon: #Ibattle/buff_icon/logo_sh.png-75-75#\n\n\tEffect: Dealing the target unable to move, and increase the target's damage reduction\n\n\tDispell: Able to dispell\n \n\tHit: Chance of dealing Stone is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_sh.png-75-75#\n\n\t效果：使目標無法行動，且提升目標一定傷害減免\n\n\t驅散：可被驅散\n\n\t命中：石化的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_sh.png-75-75#\n\n\tEffect: Dealing the target unable to move, and increase the target's damage reduction\n\n\tDispell: Able to dispell\n \n\tHit: Chance of dealing Stone is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_sh.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만들고, 타깃의 피해 감소를 일정량 증가 시킨다\n\n 디스펠: 디스펠 가능\n\n 명중: 석화의 명중률은 제어률과 제어 면역률에 영향 받는다"""
703,,,,Frozen,冰凍,Frozen,,얼음,,"""\tIcon: #Ibattle/buff_icon/logo_bd.png-75-75#\n\n\tEffect: Dealing the target unable to move. During the frozen period, the target will be release after certain amount of HP lost.\n\n \tDispell: able be dispelled\n\n\tHit: Frozen's hit chance is affected by the control rate and the control resist rate.\n\n\tFrozen intensity: Frozen intensity affects the amount of damage that releases target during frozen""","""\t圖示：#Ibattle/buff_icon/logo_bd.png-75-75#\n\n\t效果：使目標無法行動，冰凍期間目標累計損失超過一定百分比的生命上限的生命時解除\n\n\t驅散：可被驅散\n\n\t命中：冰凍的命中概率受控制率及免控率影響\n\n\t冰凍強度：冰凍強度影響冰凍期間冰凍解除的傷害量""","""\tIcon: #Ibattle/buff_icon/logo_bd.png-75-75#\n\n\tEffect: Dealing the target unable to move. During the frozen period, the target will be release after certain amount of HP lost.\n\n \tDispell: able be dispelled\n\n\tHit: Frozen's hit chance is affected by the control rate and the control resist rate.\n\n\tFrozen intensity: Frozen intensity affects the amount of damage that releases target during frozen""",,""" 아이콘: #Ibattle/buff_icon/logo_bd.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만들고, 얼음기간 타깃이 HP의 일정 퍼센트에 해당하는 피해를 받을 시 해제된다\n\n 디스펠: 디스펠 가능\n\n 명중: 얼음의 명중률은 제어률과 제어 면역률에 영향 받는다\n\n 을음강도: 얼음강도는 얼음상태를 해제 하기 위한 대미지량에 영향준다"""
704,,,,Entangle,纏繞,Entangle,,휘감기,,"""\tIcon: #Ibattle/buff_icon/logo_cr.png-75-75#\n\n\tEffect: Dealing the target unable to move, adding a burning effect during the period will destroy the tangle effect\n\n\tDispell: Able to dispell\n\n\tHit: The hit chance of tangling is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_cr.png-75-75#\n\n\t效果：使目標無法行動，期間添加灼燒效果會破壞掉纏繞效果\n\n\t驅散：可被驅散\n\n\t命中：纏繞的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_cr.png-75-75#\n\n\tEffect: Dealing the target unable to move, adding a burning effect during the period will destroy the tangle effect\n\n\tDispell: Able to dispell\n\n\tHit: The hit chance of tangling is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_cr.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만들고, 기간 내 연소 효과가 부가되면 휘감기 효과는 디스펠된다\n\n 디스펠: 디스펠 가능\n\n 명중: 휘감기의 명중률은 제어률과 제어 면역률에 영향 받는다"""
705,,,,Silence,沉默,Silence,,침묵,,"""\tIcon: #Ibattle/buff_icon/logo_cm.png-75-75#\n\n\tEffect: Unable the target from using Basic skills and Ultimate Skill\n\n\tDispell: Able to dispelled\n\n\tHit: The silent hit chance is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_cm.png-75-75#\n\n\t效果：使目標無法使用小技能和必殺技\n\n\t驅散：可被驅散\n\n\t命中：沉默的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_cm.png-75-75#\n\n\tEffect: Unable the target from using Basic skills and Ultimate Skill\n\n\tDispell: Able to dispelled\n\n\tHit: The silent hit chance is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_cm.png-75-75#\n\n 효과: 타깃이 일반 스킬과 필살기를 사용할 수 없게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 침묵의 명중률은 제어률과 제어 면역률에 영향 받는다"""
706,,,,Paralysis,麻痹,Paralysis,,마비,,"""\tIcon: #Ibattle/buff_icon/logo_mb.png-75-75#\n\n\tEffect: Make the target unable to use Ultimate Skill\n\n\tDispell: Able to dispelled\n\n\t Hit: The hit chanceof paralysis is affected by the control rate and the control resist rate.""","""\t圖示：#Ibattle/buff_icon/logo_mb.png-75-75#\n\n\t效果：使目標無法使用必殺技\n\n\t驅散：可被驅散\n\n\t命中：麻痹的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_mb.png-75-75#\n\n\tEffect: Make the target unable to use Ultimate Skill\n\n\tDispell: Able to dispelled\n\n\t Hit: The hit chanceof paralysis is affected by the control rate and the control resist rate.""",,""" 아이콘: #Ibattle/buff_icon/logo_mb.png-75-75#\n\n 효과: 타깃이 필살기를 사용할 수 없게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 마비의 명중률은 제어률과 제어 면역률에 영향 받는다"""
707,,,,Confuse,混亂,Confuse,,혼란,,"""\tIcon: #Ibattle/buff_icon/logo_hl.png-75-75#\n\n\tEffect: Make the target casts basic attacks regardless of enemy or ally\n\n\tDispell: able to dispell\n\n\t hit: the hit chance of Confuse is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_hl.png-75-75#\n\n\t效果：使目標不分敵我進行普通攻擊\n\n\t驅散：可被驅散\n\n\t命中：混亂的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_hl.png-75-75#\n\n\tEffect: Make the target casts basic attacks regardless of enemy or ally\n\n\tDispell: able to dispell\n\n\t hit: the hit chance of Confuse is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_hl.png-75-75#\n\n 효과: 타깃이 적군과 아군을 구분 못하고 무작위로 일반공격으로 공격하게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 혼란의 명중률은 제어률과 제어 면역률에 영향 받는다"""
708,,,,Charm,魅惑,Charm,,유혹,,"""\tIcon: #Ibattle/buff_icon/logo_mh.png-75-75#\n\n\tEffect: Make the target use basic attacks to attack allies\n\n\tDispell: able to dispelled\n\n\t hit: Charm’s hit chance is affected by control rate and contro resist rate""","""\t圖示：#Ibattle/buff_icon/logo_mh.png-75-75#\n\n\t效果：使目標使用普通攻擊攻擊友方\n\n\t驅散：可被驅散\n\n\t命中：魅惑的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_mh.png-75-75#\n\n\tEffect: Make the target use basic attacks to attack allies\n\n\tDispell: able to dispelled\n\n\t hit: Charm’s hit chance is affected by control rate and contro resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_mh.png-75-75#\n\n 효과: 타깃이 강제로 아군을 일반공격으로 공격하게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 유혹의 명중률은 제어률과 제어 면역률에 영향 받는다"""
709,,,,provoke,挑釁,provoke,,도발,,"""\tIcon: #Ibattle/buff_icon/logo_cf.png-75-75#\n\n\tEffect: The target is forced to use a basic attack to attack the provoke caster\n\n\tDispell: Able to dispelled\n\n\tHit: The hit chance of provocation is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_cf.png-75-75#\n\n\t效果：使目標強制使用普通攻擊攻擊挑釁釋放者\n\n\t驅散：可被驅散\n\n\t命中：挑釁的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_cf.png-75-75#\n\n\tEffect: The target is forced to use a basic attack to attack the provoke caster\n\n\tDispell: Able to dispelled\n\n\tHit: The hit chance of provocation is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_cf.png-75-75#\n\n 효과: 타깃이 강제로 자신을 일반공격으로 공격하게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 도발의 명중률은 제어률과 제어 면역률에 영향 받는다"""
710,,,,Taunt,嘲諷,Taunt,,조롱,,"""\tIcon: #Ibattle/buff_icon/logo_tx.png-75-75#\n\n\tEffect: Force the target to attack the taunt caster\n\n\tDispell: able to dispell\n\n\t Hit: The hit chance of taunts is affected by the control rate and the control resist rate.""","""\t圖示：#Ibattle/buff_icon/logo_tx.png-75-75#\n\n\t效果：使目標強制攻擊嘲諷釋放者\n\n\t驅散：可被驅散\n\n\t命中：嘲諷的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_tx.png-75-75#\n\n\tEffect: Force the target to attack the taunt caster\n\n\tDispell: able to dispell\n\n\t Hit: The hit chance of taunts is affected by the control rate and the control resist rate.""",,""" 아이콘: #Ibattle/buff_icon/logo_tx.png-75-75#\n\n 효과: 타깃을 강제로 자신을 공격하게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 조롱의 명중률은 제어률과 제어 면역률에 영향 받는다"""
711,,,,Sleep,睡眠,Sleep,,수면,,"""\tIcon: #Ibattle/buff_icon/logo_sm.png-75-75#\n\n\tEffect: Make the target unable to move, and displell it after being attacked by active skills\n\n\tDispell: Can be dispelled\n \n\tHit: The hit chance of sleep is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_sm.png-75-75#\n\n\t效果：使目標無法行動，受到主動技能攻擊後解除\n\n\t驅散：可被驅散\n\n\t命中：睡眠的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_sm.png-75-75#\n\n\tEffect: Make the target unable to move, and displell it after being attacked by active skills\n\n\tDispell: Can be dispelled\n \n\tHit: The hit chance of sleep is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_sm.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만들고, 액티브 스킬로 공격 받은 후 깨어난다\n\n 디스펠: 디스펠 가능\n\n 명중: 수면의 명중률은 제어률과 제어 면역률에 영향 받는다"""
712,,,,Deep sleeping,深度睡眠,Deep sleeping,,심층 수면,,"""\tIcon: #Ibattle/buff_icon/logo_sm1.png-75-75#\n\n\tEffect: Make the target unable to move, and dispell it after being attacked by 2 active skills\n\n\tDispelling: Can be dispelled \n\n\tHit: The hit chance of deep sleep is affected by the control rate and the non-control rate""","""\t圖示：#Ibattle/buff_icon/logo_sm1.png-75-75#\n\n\t效果：使目標無法行動，受到2次主動技能攻擊後解除\n\n\t驅散：可被驅散\n\n\t命中：深度睡眠的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_sm1.png-75-75#\n\n\tEffect: Make the target unable to move, and dispell it after being attacked by 2 active skills\n\n\tDispelling: Can be dispelled \n\n\tHit: The hit chance of deep sleep is affected by the control rate and the non-control rate""",,""" 아이콘: #Ibattle/buff_icon/logo_sm1.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만들고, 액티브 스킬로 2회 공격 받은 후 깨어난다\n\n 디스펠: 디스펠 가능\n\n 명중: 심층 수면의 명중률은 제어률과 제어 면역률에 영향 받는다"""
713,,,,Nightmare,夢魘,Nightmare,,나이트메어,,"""\tIcon: #Ibattle/buff_icon/logo_my.png-75-75#\n\n\tEffect: Make the target unable to move, and dismiss it after being attacked by 2 active skills\n\n\tDispelling: Unable to dispell \n\n\tHit: The hit chance of Nightmare is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_my.png-75-75#\n\n\t效果：使目標無法行動，受到2次主動技能攻擊後解除\n\n\t驅散：不可被驅散\n\n\t命中：夢魘的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_my.png-75-75#\n\n\tEffect: Make the target unable to move, and dismiss it after being attacked by 2 active skills\n\n\tDispelling: Unable to dispell \n\n\tHit: The hit chance of Nightmare is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_my.png-75-75#\n\n 효과: 타깃을 행동할 수 없게 만들고, 액티브 스킬로 2회 공격 받은 후 깨어난다\n\n 디스펠: 디스펠 불가\n\n 명중: 나이트메어의 명중률은 제어률과 제어 면역률에 영향 받는다"""
714,,,,Bondage,束縛,Bondage,,속박,,"""\tIcon: #Ibattle/buff_icon/logo_sf.png-75-75#\n\n\tEffect: Prevent the target from using basic attacks\n\n\tDispelling: Dispellable\n\n\tHit : The hit chance of the binded is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_sf.png-75-75#\n\n\t效果：使目標無法使用普通攻擊\n\n\t驅散：可被驅散\n\n\t命中：束縛的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_sf.png-75-75#\n\n\tEffect: Prevent the target from using basic attacks\n\n\tDispelling: Dispellable\n\n\tHit : The hit chance of the binded is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_sf.png-75-75#\n\n 효과: 타깃이 일반 공격을 할 수 없게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 속박의 명중률은 제어률과 제어 면역률에 영향 받는다"""
