"﻿变量名",_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
183,Beginner's guide,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel11>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Beginner's guide,0,2000,,,,,,,,,,2,<31>,,,,"""Tyranitar, Rock Cannon!""",班基拉，轟岩大炮！,"""Tyranitar, Rock Cannon!""",404404,"""마기라스, 록 캐넌!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Beginner's guide,0,2000,,,,,,,,,,2,<31>,,,,"""Charizard, destroy them with your flames!""",噴火龍，用烈焰之力，摧毀它們！,"""Charizard, destroy them with your flames!""",404404,"""리자몽, 화염의 힘으로 놈들을 부숴버려!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Beginner's guide,0,2000,,,,,,,,,,1,<1>,,,,"""Greninja, Water Shuriken!""",甲賀忍蛙，飛水手裡劍！,"""Greninja, Water Shuriken!""",404404,"""개굴닌자, 비수 수리검!""",,,,,,,,,,,,,,,,,,,,,,,
212,Beginner's guide,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
213,Beginner's guide,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Beginner's guide,0,2000,,,,,,,,,,1,<1>,,,,"""Greninja, it's is enough for the opponent!""",甲賀忍蛙，對手的分量已經足夠！,"""Greninja, it's is enough for the opponent!""",404404,"""개굴닌자, 상대는 충분해!""",,,,,,,,,,,,,,,,,,,,,,,
302,Beginner's guide,2000,2000,,,,,,,,,,1,<1>,,,,Let's show him what we've got!,讓他見識一下我們最強的一面吧！,Let's show him what we've got!,404404,우리의 최강의 모습을 보여주자!,,,,,,,,,,,,,,,,,,,,,,,
303,Beginner's guide,4000,2000,,,,,,,,,,2,<31>,,,,"""Thank you, Ash. I've been waiting for you.""",謝謝你，小智，我一直在等你的全力。,"""Thank you, Ash. I've been waiting for you.""",404404,"""고마워 지우야, 너의 전력을 기다리고 있던 참이야.""",,,,,,,,,,,,,,,,,,,,,,,
304,Beginner's guide,6000,2000,,,,,,,,,,2,<31>,,,,Take me to a higher and bigger stage!,帶我去一個更高更高的舞臺吧！,Take me to a higher and bigger stage!,404404,나를 더 높은 무대로 이끌어줘!,,,,,,,,,,,,,,,,,,,,,,,
305,Beginner's guide,8000,2000,,,,,,,,,,1,<1>,,,,"""Greninja, Battle Bond!!!""",甲賀忍蛙，羈絆進化！！！,"""Greninja, Battle Bond!!!""",404404,"""개굴닌자, 유대 진화!!!!""",,,,,,,,,,,,,,,,,,,,,,,
306,Beginner's guide,10000,,,,,,,,,,,2,<31>,,,,"""Alright, I'll do my best! Charizard, do what my heart tells you to! Evolution Key! Beyond evolution, Mega evolution!""",好，全力以赴吧，噴火龍，回應我的心吧，進化鑰匙！超越進化吧，mega進化！,"""Alright, I'll do my best! Charizard, do what my heart tells you to! Evolution Key! Beyond evolution, Mega evolution!""",404404,"""좋았어, 전력으로 간다. 리자몽, 나의 부름에 응해줘, 진화 열쇠! 진화를 넘어선, 메가 진화!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Normal 1-1 Opening Dialogue,0,2000,,,TRUE,,,,2,,,1,<0>,,,,"""The battle is starting, let's do our best!""",戰鬥開始了，讓我們全力以赴吧！,"""The battle is starting, let's do our best!""",404404,"""전투가 시작됐어, 전력을 다하자!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Normal 1-1-Introductory Dialogue,0,2000,,,TRUE,,,,2,,,2,,,{x=-30;y=600},,Let me teach you some basic battle techniques,讓我來告訴你戰鬥的基本技巧吧,Let me teach you some basic battle techniques,404404,전투의 기본 기술을 알려주도록 할게,,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
1012,Normal 1-1-Character 1 uses skill 3,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
1013,Normal 1-1-Character 1 uses skill 3,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Normal 1-1-Character 2 use skill 3,,,,,TRUE,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
1022,Normal 1-1-Character 2 use skill 3,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Normal 1-1-Introductory Dialogue,0,2000,,,TRUE,,,,2,,,2,,,{x=-30;y=600},,"""Try the more powerful moves, which will cool down for a few turns after using it.""",嘗試下使用更強力的技能，使用後會進入一定回合數的冷卻。,"""Try the more powerful moves, which will cool down for a few turns after using it.""",404404,"""더 강력한 스킬을 시도해봐, 사용하고 나면 일정 턴 간 쿨타임이 적용되.""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
1032,Normal 1-1-Character 1 uses skill 2,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,,
1033,Normal 1-1-Character 1 uses skill 2,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Normal 1-1-Character 2 use skill 2,,,,,TRUE,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,,
1042,Normal 1-1-Character 2 use skill 2,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel9>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Normal 1-1-Introductory Dialogue,0,2000,,,,,,,2,,,2,,,{x=-30;y=600},,"""Rage is full, you may now use your powerful knock out move! C'mon, give it a try!""",怒氣滿了，可以使用威力強大的必殺技了，趕緊試一試吧！,"""Rage is full, you may now use your powerful knock out move! C'mon, give it a try!""",404404,"""분노가 가득 찼어, 강력한 위력의 필살기를 사용할 수 있으니 어서 시도해 봐!""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
1052,Normal 1-1-Character 1 uses skill 1,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
1053,Normal 1-1-Character 1 uses skill 1,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel11>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Normal 1-2 Opening Dialogue,0,2000,,,TRUE,,,,2,,,2,,,{x=-30;y=600},,"""Now, I'll teach you some advanced battle techniques""",這次，讓我教你一些進階的戰鬥技巧,"""Now, I'll teach you some advanced battle techniques""",404404,"""이번에는, 조금 상위 전투 기술을 알려줄게""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
1102,Common 1-2 skill bar introduction,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move""",這裡是速度條，決定了出手的順序,"""Here is the speed bar, which determines who makes the first move""",404404,"""이곳은 스피드 게이지야, 행동 순서를 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<midPanel;widgetPanel;speedRank>,,,,TRUE,{width=320;height=930}
1103,General 1-2 attribute restraint introduction,,,,,,,,,1,,,,,,,,Select your move,選擇要釋放的技能,Select your move,404404,시전할 스킬을 선택해,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill3>,,,,,
1104,General 1-2 attribute restraint introduction,,,,,,,,,1,,,,,,{x=-500;y=0},,"""After the move is selected, the Pokémon type will also affect effectiveness of the move""",選擇技能後，角色身上的屬性會有對應的克制關係顯示,"""After the move is selected, the Pokémon type will also affect effectiveness of the move""",404404,"""스킬을 선택하고, 캐릭터의 스탯이 상응하는 상성 관계를 표시해 줄 거야""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-500;y=0},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel7>,,,,TRUE,{width=750;height=950;dx=150;dy=-200}
,Normal 1-1-End Conversation,0,2000,,,,,,,2,,,2,,,{x=-30;y=600},,"""Rage is full, you may now use your powerful knock out move! C'mon, give it a try!""",怒氣滿了，可以使用威力強大的必殺技了，趕緊試一試吧！,"""Rage is full, you may now use your powerful knock out move! C'mon, give it a try!""",404404,"""분노가 가득 찼어, 강력한 위력의 필살기를 사용할 수 있으니 어서 시도해 봐!""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Common 1-3 Opening Dialogue,0,2000,,,TRUE,,,,2,,,2,,,{x=-30;y=600},,"""Congratulations, you can now enable auto-battle and fast forward!""",恭喜你，可以開啟自動戰鬥和戰鬥加速了！,"""Congratulations, you can now enable auto-battle and fast forward!""",404404,"""축하해, 이제부터 자동 전투와 전투 가속을 사용할 수 있어!""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
1202,Ordinary 1-3 accelerated automatic battle introduction,,,,,,,,,1,,,,,,,,Tap here to enable auto-battle and fast forward,點擊這裡，就可以開啟自動戰鬥和戰鬥加速,Tap here to enable auto-battle and fast forward,404404,"""이곳을 클릭하면, 자동 전투와 전투 가속을 사용할 수 있어!""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<Panel;bottomLeftPanel;speedUp>,effect/shouyindao.skel,,,TRUE,{width=420;height=180;dx=-90;dy=0}
,General 1-3 attribute restraint introduction,,,,,,,,,1,,,,,,,,Select your move,選擇要釋放的技能,Select your move,404404,시전할 스킬을 선택해,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill3>,,,,,
,General 1-3 attribute restraint introduction,,,,,,,,,1,,,,,,{x=-500;y=0},,"""After the move is selected, the Pokémon type will also affect effectiveness of the move""",選擇技能後，角色身上的屬性會有對應的克制關係顯示,"""After the move is selected, the Pokémon type will also affect effectiveness of the move""",404404,"""스킬을 선택하고, 캐릭터의 스탯이 상응하는 상성 관계를 표시해 줄 거야""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-500;y=0},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel7>,,,,TRUE,{width=750;height=950;dx=150;dy=-200}
