变量名,perDrop,node,nodeDrop,saodangAwawrd,stableDrop,perIcon
60015,{gold=7000},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=525000};{514=3;513=6;512=7;511=9;510=9;gold=375000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1600000;514=12;513=24;512=28;511=36;510=36},,4500
60016,{gold=7110},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=533400};{514=3;513=6;512=7;511=9;510=9;gold=381000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1625400;514=12;513=24;512=28;511=36;510=36},,4500
60017,{gold=7220},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=541800};{514=3;513=6;512=7;511=9;510=9;gold=387000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1650800;514=12;513=24;512=28;511=36;510=36},,4500
60018,{gold=7340},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=550200};{514=3;513=6;512=7;511=9;510=9;gold=393000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1677200;514=12;513=24;512=28;511=36;510=36},,4500
60019,{gold=7450},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=558600};{514=3;513=6;512=7;511=9;510=9;gold=399000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1702600;514=12;513=24;512=28;511=36;510=36},,4500
60020,{gold=7530},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=564900};{514=3;513=6;512=7;511=9;510=9;gold=403500};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1721400;514=12;513=24;512=28;511=36;510=36},,4500
60021,{gold=7620},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=571200};{514=3;513=6;512=7;511=9;510=9;gold=408000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1741200;514=12;513=24;512=28;511=36;510=36},,4500
60022,{gold=7700},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=577500};{514=3;513=6;512=7;511=9;510=9;gold=412500};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1760000;514=12;513=24;512=28;511=36;510=36},,4500
60023,{gold=7780},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=583800};{514=3;513=6;512=7;511=9;510=9;gold=417000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1778800;514=12;513=24;512=28;511=36;510=36},,4500
60024,{gold=7870},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=590100};{514=3;513=6;512=7;511=9;510=9;gold=421500};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1798600;514=12;513=24;512=28;511=36;510=36},,4500
60025,{gold=7950},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=596400};{514=3;513=6;512=7;511=9;510=9;gold=426000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1817400;514=12;513=24;512=28;511=36;510=36},,4500
60026,{gold=8040},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=602700};{514=3;513=6;512=7;511=9;510=9;gold=430500};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1837200;514=12;513=24;512=28;511=36;510=36},,4500
60027,{gold=8120},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=609000};{514=3;513=6;512=7;511=9;510=9;gold=435000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1856000;514=12;513=24;512=28;511=36;510=36},,4500
60028,{gold=8200},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=615300};{514=3;513=6;512=7;511=9;510=9;gold=439500};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1874800;514=12;513=24;512=28;511=36;510=36},,4500
60029,{gold=8290},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=621600};{514=3;513=6;512=7;511=9;510=9;gold=444000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1894600;514=12;513=24;512=28;511=36;510=36},,4500
60030,{gold=8340},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=625800};{514=3;513=6;512=7;511=9;510=9;gold=447000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1906800;514=12;513=24;512=28;511=36;510=36},,4500
60031,{gold=8400},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=630000};{514=3;513=6;512=7;511=9;510=9;gold=450000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1920000;514=12;513=24;512=28;511=36;510=36},,4500
60032,{gold=8460},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=634200};{514=3;513=6;512=7;511=9;510=9;gold=453000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1933200;514=12;513=24;512=28;511=36;510=36},,4500
60033,{gold=8510},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=638400};{514=3;513=6;512=7;511=9;510=9;gold=456000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1945400;514=12;513=24;512=28;511=36;510=36},,4500
60034,{gold=8570},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=642600};{514=3;513=6;512=7;511=9;510=9;gold=459000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1958600;514=12;513=24;512=28;511=36;510=36},,4500
60035,{gold=8620},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=646800};{514=3;513=6;512=7;511=9;510=9;gold=462000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1970800;514=12;513=24;512=28;511=36;510=36},,4500
60036,{gold=8680},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=651000};{514=3;513=6;512=7;511=9;510=9;gold=465000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1984000;514=12;513=24;512=28;511=36;510=36},,4500
60037,{gold=8740},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=655200};{514=3;513=6;512=7;511=9;510=9;gold=468000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1997200;514=12;513=24;512=28;511=36;510=36},,4500
60038,{gold=8790},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=659400};{514=3;513=6;512=7;511=9;510=9;gold=471000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2009400;514=12;513=24;512=28;511=36;510=36},,4500
60039,{gold=8850},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=663600};{514=3;513=6;512=7;511=9;510=9;gold=474000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2022600;514=12;513=24;512=28;511=36;510=36},,4500
60040,{gold=8900},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=667800};{514=3;513=6;512=7;511=9;510=9;gold=477000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2034800;514=12;513=24;512=28;511=36;510=36},,4500
60041,{gold=8960},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=672000};{514=3;513=6;512=7;511=9;510=9;gold=480000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2048000;514=12;513=24;512=28;511=36;510=36},,4500
60042,{gold=9020},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=676200};{514=3;513=6;512=7;511=9;510=9;gold=483000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2061200;514=12;513=24;512=28;511=36;510=36},,4500
60043,{gold=9070},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=680400};{514=3;513=6;512=7;511=9;510=9;gold=486000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2073400;514=12;513=24;512=28;511=36;510=36},,4500
60044,{gold=9130},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=684600};{514=3;513=6;512=7;511=9;510=9;gold=489000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2086600;514=12;513=24;512=28;511=36;510=36},,4500
60045,{gold=9180},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=688800};{514=3;513=6;512=7;511=9;510=9;gold=492000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2098800;514=12;513=24;512=28;511=36;510=36},,4500
60046,{gold=9240},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=693000};{514=3;513=6;512=7;511=9;510=9;gold=495000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2112000;514=12;513=24;512=28;511=36;510=36},,4500
60047,{gold=9300},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=697200};{514=3;513=6;512=7;511=9;510=9;gold=498000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2125200;514=12;513=24;512=28;511=36;510=36},,4500
60048,{gold=9350},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=701400};{514=3;513=6;512=7;511=9;510=9;gold=501000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2137400;514=12;513=24;512=28;511=36;510=36},,4500
60049,{gold=9410},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=705600};{514=3;513=6;512=7;511=9;510=9;gold=504000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2150600;514=12;513=24;512=28;511=36;510=36},,4500
60050,{gold=9460},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=709800};{514=3;513=6;512=7;511=9;510=9;gold=507000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2162800;514=12;513=24;512=28;511=36;510=36},,4500
60051,{gold=9520},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=714000};{514=3;513=6;512=7;511=9;510=9;gold=510000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2176000;514=12;513=24;512=28;511=36;510=36},,4500
60052,{gold=9580},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=718200};{514=3;513=6;512=7;511=9;510=9;gold=513000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2189200;514=12;513=24;512=28;511=36;510=36},,4500
60053,{gold=9630},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=722400};{514=3;513=6;512=7;511=9;510=9;gold=516000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2201400;514=12;513=24;512=28;511=36;510=36},,4500
60054,{gold=9690},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=726600};{514=3;513=6;512=7;511=9;510=9;gold=519000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2214600;514=12;513=24;512=28;511=36;510=36},,4500
60055,{gold=9740},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=730800};{514=3;513=6;512=7;511=9;510=9;gold=522000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2226800;514=12;513=24;512=28;511=36;510=36},,4500
60056,{gold=9800},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=735000};{514=3;513=6;512=7;511=9;510=9;gold=525000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2240000;514=12;513=24;512=28;511=36;510=36},,4500
60057,{gold=9860},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=739200};{514=3;513=6;512=7;511=9;510=9;gold=528000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2253200;514=12;513=24;512=28;511=36;510=36},,4500
60058,{gold=9910},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=743400};{514=3;513=6;512=7;511=9;510=9;gold=531000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2265400;514=12;513=24;512=28;511=36;510=36},,4500
60059,{gold=9970},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=747600};{514=3;513=6;512=7;511=9;510=9;gold=534000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=2278600;514=12;513=24;512=28;511=36;510=36},,4500
,,,,,,
,,,,,,
,,,,,,
60101,{11=1},<3;8;15;20>,<{13=2;11=60};{13=2;11=20};{13=1};{13=1}>,{11=160;13=6},,1
60102,{11=2},<3;10;15;20>,<{14=1;11=120};{14=1;11=40};{14=1;11=40};{14=1;11=40}>,{11=440;14=4},,2
60103,{12=2},<5;10;15;20>,<{12=80;14=3};{12=40;14=3};{14=1};{14=1}>,{12=320;14=8},,1
60104,{12=3},<5;10;15;20>,<{12=200;15=2};{12=100;15=1};{15=1};{15=1}>,{12=600;15=5},,2
60105,{13=2},<5;10;15;20>,<{13=80;15=3};{13=40;15=3};{15=2};{15=2}>,{13=320;15=10},,1
60106,{13=3},<5;10;15;20>,<{13=200;15=5};{13=100;15=5};{15=3};{15=2}>,{13=600;15=15},,2
60107,{13=4},<5;10;15;20>,<{13=250;15=6};{13=150;15=6};{15=4};{15=4}>,{13=800;15=20},,2
60110,{13=4},<0.75;0.5;0.25;0>,<{13=300;15=8};{13=200;15=8};{15=5};{15=4}>,{13=900;15=25},,2
60111,{13=4},<0.75;0.5;0.25;0>,<{13=320;15=8};{13=200;15=8};{15=5};{15=4}>,{13=920;15=25},,2
60112,{13=4},<0.75;0.5;0.25;0>,<{13=340;15=8};{13=200;15=8};{15=5};{15=4}>,{13=940;15=25},,2
60113,{13=4},<0.75;0.5;0.25;0>,<{13=360;15=8};{13=200;15=8};{15=5};{15=4}>,{13=960;15=25},,2
60114,{13=4},<0.75;0.5;0.25;0>,<{13=380;15=8};{13=200;15=8};{15=5};{15=4}>,{13=980;15=25},,2
60115,{13=4},<0.75;0.5;0.25;0>,<{13=400;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1000;15=25},,2
60116,{13=4},<0.75;0.5;0.25;0>,<{13=420;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1020;15=25},,2
60117,{13=4},<0.75;0.5;0.25;0>,<{13=440;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1040;15=25},,2
60118,{13=4},<0.75;0.5;0.25;0>,<{13=460;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1060;15=25},,2
60119,{13=4},<0.75;0.5;0.25;0>,<{13=480;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1080;15=25},,2
60120,{13=4},<0.75;0.5;0.25;0>,<{13=490;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1090;15=25},,2
60121,{13=4},<0.75;0.5;0.25;0>,<{13=500;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1100;15=25},,2
60122,{13=4},<0.75;0.5;0.25;0>,<{13=510;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1110;15=25},,2
60123,{13=4},<0.75;0.5;0.25;0>,<{13=520;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1120;15=25},,2
60124,{13=4},<0.75;0.5;0.25;0>,<{13=530;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1130;15=25},,2
60125,{13=4},<0.75;0.5;0.25;0>,<{13=540;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1140;15=25},,2
60126,{13=4},<0.75;0.5;0.25;0>,<{13=550;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1150;15=25},,2
60127,{13=4},<0.75;0.5;0.25;0>,<{13=560;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1160;15=25},,2
60128,{13=4},<0.75;0.5;0.25;0>,<{13=570;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1170;15=25},,2
60129,{13=4},<0.75;0.5;0.25;0>,<{13=580;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1180;15=25},,2
60130,{13=4},<0.75;0.5;0.25;0>,<{13=590;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1190;15=25},,2
60131,{13=4},<0.75;0.5;0.25;0>,<{13=600;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1200;15=25},,2
60132,{13=4},<0.75;0.5;0.25;0>,<{13=610;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1210;15=25},,2
60133,{13=4},<0.75;0.5;0.25;0>,<{13=620;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1220;15=25},,2
60134,{13=4},<0.75;0.5;0.25;0>,<{13=630;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1230;15=25},,2
60135,{13=4},<0.75;0.5;0.25;0>,<{13=640;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1240;15=25},,2
60136,{13=4},<0.75;0.5;0.25;0>,<{13=650;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1250;15=25},,2
60137,{13=4},<0.75;0.5;0.25;0>,<{13=660;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1260;15=25},,2
60138,{13=4},<0.75;0.5;0.25;0>,<{13=670;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1270;15=25},,2
60139,{13=4},<0.75;0.5;0.25;0>,<{13=680;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1280;15=25},,2
60140,{13=4},<0.75;0.5;0.25;0>,<{13=690;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1290;15=25},,2
60141,{13=4},<0.75;0.5;0.25;0>,<{13=700;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1300;15=25},,2
60142,{13=4},<0.75;0.5;0.25;0>,<{13=710;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1310;15=25},,2
60143,{13=4},<0.75;0.5;0.25;0>,<{13=720;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1320;15=25},,2
60144,{13=4},<0.75;0.5;0.25;0>,<{13=730;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1330;15=25},,2
60145,{13=4},<0.75;0.5;0.25;0>,<{13=740;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1340;15=25},,2
60146,{13=4},<0.75;0.5;0.25;0>,<{13=750;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1350;15=25},,2
60147,{13=4},<0.75;0.5;0.25;0>,<{13=760;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1360;15=25},,2
60148,{13=4},<0.75;0.5;0.25;0>,<{13=770;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1370;15=25},,2
60149,{13=4},<0.75;0.5;0.25;0>,<{13=780;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1380;15=25},,2
60150,{13=4},<0.75;0.5;0.25;0>,<{13=790;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1390;15=25},,2
60151,{13=4},<0.75;0.5;0.25;0>,<{13=800;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1400;15=25},,2
60152,{13=4},<0.75;0.5;0.25;0>,<{13=810;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1410;15=25},,2
60153,{13=4},<0.75;0.5;0.25;0>,<{13=820;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1420;15=25},,2
60154,{13=4},<0.75;0.5;0.25;0>,<{13=830;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1430;15=25},,2
60155,{13=4},<0.75;0.5;0.25;0>,<{13=840;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1440;15=25},,2
60156,{13=4},<0.75;0.5;0.25;0>,<{13=850;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1450;15=25},,2
60157,{13=4},<0.75;0.5;0.25;0>,<{13=860;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1460;15=25},,2
60158,{13=4},<0.75;0.5;0.25;0>,<{13=870;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1470;15=25},,2
60159,{13=4},<0.75;0.5;0.25;0>,<{13=880;15=8};{13=200;15=8};{15=5};{15=4}>,{13=1480;15=25},,2
