变量名,name,giftType,award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
12005,Channel test bug package,,{rmb=300;gold=200000},10,12005,10,20990101,,
,,,,,,,,,
13001,VIP Recall Package V10 (Basic),,{rmb=500;516=10;502=10;902=10},3,13001,3,20990101,,
13002,VIP Recall Package V11 (Basic),,{rmb=550;516=12;502=12;902=12},3,13002,3,20990101,,
13003,VIP Recall Package V12 (Basic),,{rmb=600;516=14;502=14;902=14},3,13003,3,20990101,,
13004,VIP Recall Package V13 (Basic),,{rmb=650;516=16;502=16;902=16},3,13004,3,20990101,,
13005,VIP Recall Package V14 (Basic),,{rmb=700;516=20;502=18;902=18},3,13005,3,20990101,,
13006,VIP recall package V15 (basic),,{rmb=750;516=25;502=20;902=20},3,13006,3,20990101,,
,,,,,,,,,
13011,VIP recall package V10 (days),,{rmb=150;516=5;502=2;2103=10},3,13011,3,20990101,,
13012,VIP recall package V11 (days),,{rmb=160;516=5;502=2;2103=10},3,13012,3,20990101,,
13013,VIP recall package V12 (days),,{rmb=170;516=8;502=3;2103=11},3,13013,3,20990101,,
13014,VIP recall package V13 (number of days),,{rmb=180;516=8;502=3;2103=11},3,13014,3,20990101,,
13015,VIP recall package V14 (days),,{rmb=200;516=10;502=4;2103=12},3,13015,3,20990101,,
13016,VIP recall package V15 (days),,{rmb=220;516=10;502=4;2103=12},3,13016,3,20990101,,
,,,,,,,,,
14001,WeChat public account pay attention to the gift package,1,{rmb=188;gold=200000;519=2},1,14001,1,20990101,,
,,,,,,,,,
15001,Membership package,,{rmb=200;gold=100000;2101=5},1,15001,1,20990101,,
15002,BUG gift bag (large),,{rmb=300;gold=200000},10,15002,10,20990101,,
15003,BUG gift bag (small),,{rmb=150;gold=100000},20,15003,20,20990101,,
,,,,,,,,,
16001,novice trainer,,{rmb=100;gold=50000;900=10},1,16001,1,20990101,,
16002,curator trainer,,{rmb=200;gold=100000;2101=5},1,16002,1,20990101,,
16003,master trainer,,{rmb=300;gold=100000;2102=5},1,16003,1,20990101,,
16004,Reservation package,,{rmb=300;gold=500000;15=10;503=3},1,16004,1,20990101,,
,,,,,,,,,
17001,UC Invitation Package,1,{rmb=300;gold=100000;900=5},1,17001,1,20990101,,
17002,Continuous login 2,,{rmb=100;gold=50000;900=10},1,17002,1,20990101,,
17003,Continuous login 3,,{rmb=100;gold=50000;2101=10},1,17003,1,20990101,,
17004,consecutive login 5,,{rmb=150;gold=50000;503=3},1,17004,1,20990101,,
17005,consecutive landing 7,,{rmb=200;gold=100000;19=2},1,17005,1,20990101,,
,,,,,,,,,
18001,Activity 1,,{rmb=100;gold=50000;900=10},1,18001,1,20990101,,
18002,Activity 2,,{rmb=200;gold=100000;901=5},1,18002,1,20990101,,
18003,Activity 3,,{rmb=300;gold=100000;2102=5},1,18003,1,20990101,,
18004,Activity 4,,{rmb=500;gold=200000;502=5},1,18004,1,20990101,,
18005,Activity 5,,{rmb=500;gold=200000;519=3},1,18005,1,20990101,,
18006,Activity 6,,{rmb=1000;gold=500000;519=5},1,18006,1,20990101,,
18007,Activity 7,,{rmb=1500;gold=1000000;503=10},1,18007,1,20990101,,
18008,special event pack,,{card={id=1241}},1,18008,1,20990101,,
,,,,,,,,,
19001,Guild group gift pack,,{rmb=188;519=5;gold=300000},1,19001,1,20990101,,
19002,The cumulative game login seven-day gift package,,{rmb=200;452=30;902=10},1,19002,1,20990101,,
19003,Game login 15-day gift package,,{rmb=300;503=5;902=10},1,19003,1,20990101,,
19004,Game login twenty-eight days gift package,,{rmb=500;520=5;19=5},1,19004,1,20990101,,
19005,President gift bag,,{rmb=500;503=5;gold=500000},99,19005,99,20990101,,
19006,Event gift bag,,{610=10;613=10;622=10},99,19006,99,20990101,,
19007,The number of people in the group exceeds 100 welfare gift packages,,{rmb=300;502=5;501=5},20,19007,20,20990101,,
19008,Ten Consecutive Guild Recall Gift Pack,,{519=10},1,19008,1,20990101,,
,,,,,,,,,
20001,Jiuyou Exclusive Gift Pack 1,1,{rmb=299;gold=500000;900=5},1,20001,1,20990101,,
20002,Jiuyou Exclusive Gift Pack 2,1,{rmb=200;gold=300000;19=5},1,20002,1,20990101,,
20003,Jiuyou exclusive gift pack 3,1,{rmb=188;gold=500000;901=5},1,20003,1,20990101,,
,,,,,,,,,
21001,April general gift package,,{rmb=100;gold=100000;503=2},1,21001,1,20990101,,
21002,April event package,,{rmb=150;gold=200000;519=1},1,21002,1,20990101,,
21003,April backup package,,{rmb=150;gold=200000;2102=5},1,21003,1,20990101,,
21004,April official website gift package,,{rmb=200;gold=500000;519=2},1,21004,1,20990101,,
,,,,,,,,,
22001,May official website gift package,,{rmb=200;gold=500000;451=30},1,22001,1,20990101,,
22002,May Labor Day Gift Pack,,{rmb=200;gold=300000;503=2},1,22002,1,20990101,,
22003,May Mother's Day Gift Pack,,{rmb=100;19=1;2102=10},1,22003,1,20990101,,
22004,Youth Day Gift Pack in May,,{rmb=150;gold=200000;15=2},1,22004,1,20990101,,
22005,May Spare Pack,,{rmb=100;15=2;2102=10},1,22005,1,20990101,,
,,,,,,,,,
23001,vip10,,{rmb=666;gold=2000000;451=200;902=50;930=100},1,23001,1,20990101,,
23002,vip11,,{rmb=999;gold=2000000;451=300;902=60;930=120},1,23002,1,20990101,,
23003,vip12,,{rmb=1200;gold=3000000;452=100;902=80;502=20},1,23003,1,20990101,,
23004,vip13,,{rmb=1500;gold=5000000;452=150;902=100;502=20},1,23004,1,20990101,,
23005,vip14,,{rmb=2000;gold=6000000;452=200;902=150;502=30},1,23005,1,20990101,,
23006,vip15,,{rmb=2500;gold=8000000;452=300;902=200;521=20},1,23006,1,20990101,,
,,,,,,,,,
24001,Nine Tours 1,,{rmb=99;gold=50000;15=2},1,24001,1,20990101,,
24002,Nine Tours 2,,{rmb=100;gold=100000;920=2},1,24002,1,20990101,,
24003,Nine travel 3,,{rmb=88;gold=100000;15=2},1,24003,1,20990101,,
24004,Nine travel 4,,{rmb=100;19=1;900=10},1,24004,1,20990101,,
24005,Nine travel 5,,{rmb=99;gold=100000;900=10},1,24005,1,20990101,,
24006,Nine travel 6,,{rmb=100;15=2;451=30},1,24006,1,20990101,,
24007,Nine travel 7,,{rmb=100;gold=100000;451=30},1,24007,1,20990101,,
24008,Nine travel 8,,{rmb=99;gold=100000;503=2},1,24008,1,20990101,,
24009,Nine travel 9,,{rmb=100;15=2;503=2},1,24009,1,20990101,,
24010,Nine travel 10,,{rmb=88;15=2;900=10},1,24010,1,20990101,,
,,,,,,,,,
24101,June official website gift package,,{rmb=199;gold=500000;14=30},1,24101,1,20990101,,
24102,children's day gift bag,,{rmb=150;gold=200000;503=2},1,24102,1,20990101,,
24103,Summer Solstice Pack,,{rmb=100;19=1;930=10},1,24103,1,20990101,,
24104,Dragon Boat Festival Gift Pack,,{rmb=150;gold=200000;15=2},1,24104,1,20990101,,
24105,Standby in June,,{rmb=100;15=2;900=10},1,24105,1,20990101,,
,,,,,,,,,
24111,Live gift pack 1,,{rmb=150;gold=200000;900=5},1,24111,1,20990101,,
24112,Live gift pack 2,,{rmb=100;gold=200000;930=10},1,24112,1,20990101,,
24113,Live gift pack 3,,{rmb=200;gold=200000;900=5},1,24113,1,20990101,,
24114,Live gift pack 4,,{519=10},1,24114,1,20990101,,
,,,,,,,,,
24121,Video advertising package,1,{card={id=221}},1,24121,1,20990101,,
,,,,,,,,,
24131,VIP distribution in July,,{rmb=388;gold=1000000;502=5},1,24131,1,20990101,,
24132,71 gift packs,,{rmb=100;15=2;901=10},1,24132,1,20990101,,
24133,Big and small summer gift bag,,{rmb=100;19=1;930=10},1,24133,1,20990101,,
24134,academic success package,,{rmb=150;gold=200000;503=5},1,24134,1,20990101,,
24135,July official website gift package,,{rmb=200;gold=200000;15=5},1,24135,1,20990101,,
24136,Live gift pack 5,,{rmb=233;gold=660000;503=5},3,24136,3,20990101,,
24137,Live gift pack 6,,{rmb=150;gold=200000;901=5},3,24137,3,20990101,,
24138,Big special bug package,,{rmb=300;gold=200000},99,24138,99,20990101,,
24139,Special bug package small,,{rmb=150;gold=100000},99,24139,99,20990101,,
24140,Report Reward Package,,{rmb=66;gold=100000},99,24140,99,20990101,,
24141,VIP birthday package,,{925=1},1,24141,1,20990101,,
24142,Delivery package 1,1,{rmb=88},1,24142,1,20990101,,
24143,Drop gift pack 2,1,{gold=880000},1,24143,1,20990101,,
24144,Drop gift pack 3,1,{930=20},1,24144,1,20990101,,
,,,,,,,,,
24151,August VIP distribution,,{rmb=350;gold=800000;502=5},1,24151,1,20990101,,
24152,Beginning of autumn gift bag,,{rmb=100;930=5;901=5},1,24152,1,20990101,,
24153,Autumn Gift Pack,,{rmb=100;19=1;901=10},1,24153,1,20990101,,
24154,Tanabata gift pack,,{rmb=150;gold=100000;503=3},1,24154,1,20990101,,
24155,August official website gift package,,{rmb=200;gold=100000;15=10},1,24155,1,20990101,,
24156,Nine tour backup 12,,{rmb=150;gold=100000;503=2},1,24156,1,20990101,,
24157,Nine travel backup 13,,{rmb=100;gold=100000;901=5},1,24157,1,20990101,,
24158,Nine tour backup 14,,{rmb=99;gold=100000;930=5},1,24158,1,20990101,,
24159,Nine travel backup 15,,{rmb=100;15=2;901=10},1,24159,1,20990101,,
24160,Drop gift pack 4,1,{rmb=100;930=5},1,24160,1,20990101,,
24161,Drop gift pack 5,1,{rmb=100;gold=200000},1,24161,1,20990101,,
24162,Delivery package 6,1,{rmb=100;gold=200000;15=5},1,24162,1,20990101,,
,,,,,,,,,
24171,September VIP distribution,,{rmb=345;gold=500000;502=5},1,24171,1,20990101,,
24172,September official website gift package,,{rmb=199;gold=200000;15=10},1,24172,1,20990101,,
24173,September school gift package,,{rmb=100;19=1;901=10},1,24173,1,20990101,,
24174,September Teacher's Day Gift Pack,,{rmb=150;gold=100000;503=3},1,24174,1,20990101,,
24175,September Happy Gift Pack,,{rmb=100;930=5;15=5},1,24175,1,20990101,,
24176,Live gift pack 7,,{rmb=233;gold=660000;503=5},3,24176,3,20990101,,
24177,Live gift pack 8,,{rmb=150;gold=200000;901=5},3,24177,3,20990101,,
24178,September spare 1,,{rmb=150;gold=100000;503=2},1,24178,1,20990101,,
24179,September spare 2,,{rmb=100;gold=100000;901=5},1,24179,1,20990101,,
24180,September spare 3,,{rmb=99;gold=100000;930=5},1,24180,1,20990101,,
,,,,,,,,,
24191,VIP distribution in October,,{rmb=350;gold=600000;502=5},1,24191,1,20990101,,
24192,October official website gift package,,{rmb=200;gold=200000;15=10},1,24192,1,20990101,,
24193,small national day gift bag,,{rmb=100;gold=100000;901=10},1,24193,1,20990101,,
24194,big national day gift bag,,{rmb=200;gold=200000;15=10},1,24194,1,20990101,,
24195,mid autumn gift pack,,{rmb=150;gold=100000;503=5},1,24195,1,20990101,,
24196,Double Ninth Gift Pack,,{rmb=100;19=1;901=10},1,24196,1,20990101,,
24197,National Day Backup Event 1,,{rmb=99;gold=100000;930=5},1,24197,1,20990101,,
24198,National Day Backup Event 2,,{rmb=233;gold=660000;503=2},1,24198,1,20990101,,
24199,National Day Backup Event 3,,{rmb=100;930=10;901=5},1,24199,1,20990101,,
24200,Cast 7-vip666,1,{rmb=88},1,24200,1,20990101,,
24201,Cast 8-vip888,1,{gold=880000},1,24201,1,20990101,,
24202,Cast 9-vip999,1,{930=20},1,24202,1,20990101,,
,,,,,,,,,
24210,November VIP distribution,,{rmb=355;gold=600000;502=5},1,24210,1,20990101,,
24211,November official website gift package,,{rmb=199;gold=200000;15=10},1,24211,1,20990101,,
24212,winter pack,,{rmb=100;gold=100000;503=5},1,24212,1,20990101,,
24213,Lidong gift bag,,{rmb=150;gold=200000;15=10},1,24213,1,20990101,,
24214,thanksgiving gift bag,,{rmb=150;gold=100000;901=5},1,24214,1,20990101,,
24215,November Alternate 1,,{rmb=100;gold=100000;930=5},1,24215,1,20990101,,
24216,Guild distribution gift bag,,{14=5;gold=100000;930=5},1,24216,1,20990101,,
24217,November spare 2,,{rmb=100;gold=200000;503=2},1,24217,1,20990101,,
24218,December VIP distribution,,{rmb=350;gold=600000;502=5},1,24218,1,20990101,,
24219,December official website gift package,,{rmb=200;gold=200000;930=10},1,24219,1,20990101,,
24220,winter solstice pack,,{rmb=200;gold=100000;15=10},1,24220,1,20990101,,
24221,Christmas gift pack,,{rmb=150;gold=200000;503=5},1,24221,1,20990101,,
24222,snow pack,,{rmb=150;gold=100000;901=5},1,24222,1,20990101,,
24223,December spare 1,,{rmb=100;gold=100000;930=5},1,24223,1,20990101,,
24224,December spare 2,,{rmb=300;gold=200000;503=2},1,24224,1,20990101,,
,,,,,,,,,
24230,"In January 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24230,1,20990101,,
24231,January 21 official website gift package,,{rmb=200;gold=200000;930=10},1,24231,1,20990101,,
24232,large new year's day gift bag,,{rmb=250;gold=66000;503=2},1,24232,1,20990101,,
24233,small new year's day gift bag,,{rmb=150;gold=200000;15=2},1,24233,1,20990101,,
24234,New Year's gift package,,{rmb=388;gold=500000;902=5},1,24234,1,20990101,,
24235,1/21 Spare 1,,{rmb=100;gold=200000;503=2},1,24235,1,20990101,,
24236,1/21 Spare 2,,{rmb=99;gold=300000;930=5},1,24236,1,20990101,,
24237,Live ten consecutive gift packs 2,,{519=10},1,24237,1,20990101,,
24238,Live gift pack 9,,{rmb=100;gold=200000},2,24238,2,20990101,,
24239,Live gift pack 10,,{rmb=99;gold=200000;15=10},1,24239,1,20990101,,
24240,bug gift pack 2,,{rmb=151;gold=100000},20,24240,20,20990101,,
24241,Bug gift pack big 2,,{rmb=299;gold=200000},20,24241,20,20990101,,
24242,WeChat follow gift pack 2,1,{rmb=122;gold=100000;930=5},1,24242,1,20990101,,
24243,Join the group gift pack 2,,{rmb=199;gold=100000;901=2},1,24243,1,20990101,,
24244,21st birthday gift pack,,{rmb=888},1,24244,1,20990101,,
24245,Guild event pack,,{rmb=100;gold=50000;503=5},2,24245,2,20990101,,
24246,Guild join group 2,,{rmb=188;519=5;gold=200000},1,24246,1,20990101,,
24247,Accumulated login for 7 days 2,,{rmb=200;452=30;902=10},1,24247,1,20990101,,
24248,Log in for fifteen days 2,,{rmb=300;503=5;902=10},1,24248,1,20990101,,
24249,Log in for 28 days 2,,{rmb=500;503=5;gold=500000},1,24249,1,20990101,,
24250,Event gift pack 2,1,{15=120;613=10;930=5},20,24250,20,20990101,,
,,,,,,,,,
24260,"In February 21, VIP general distribution",,{rmb=355;gold=600000;502=5},1,24260,1,20990101,,
24261,February 21 official website gift package,,{rmb=199;gold=200000;930=10},1,24261,1,20990101,,
24262,Chinese New Year Gift Pack,,{rmb=250;gold=66000;503=2},1,24262,1,20990101,,
24263,Beginning of spring gift bag,,{rmb=150;gold=200000;15=2},1,24263,1,20990101,,
24264,valentine's day gift bag,,{rmb=188;gold=500000;902=5},1,24264,1,20990101,,
24265,Lantern Festival Gift Pack,,{rmb=199;gold=200000;503=2},1,24265,1,20990101,,
24266,February spare 1,,{rmb=388;gold=300000;902=10},1,24266,1,20990101,,
24267,February spare 2,,{rmb=100;gold=90000;503=2},1,24267,1,20990101,,
24268,February spare 3,,{rmb=99;gold=250000;930=6},1,24268,1,20990101,,
24269,February spare 4,,{rmb=150;gold=330000;503=2},1,24269,1,20990101,,
24270,February spare 5,,{rmb=99;gold=300000;930=5},1,24270,1,20990101,,
24271,Chairman Spring Festival Gift Pack,,{rmb=200;gold=300000;930=10},1,24271,1,20990101,,
24272,February Event 1,,{rmb=250;gold=300000;902=10},1,24272,1,20990101,,
24273,February Event 2,,{rmb=150;gold=90000;503=2},1,24273,1,20990101,,
24274,February Event 3,,{rmb=100;gold=250000;930=6},1,24274,1,20990101,,
24275,February Event 4,,{rmb=200;gold=330000;503=2},1,24275,1,20990101,,
24276,February Event 5,,{rmb=88;gold=300000;930=5},1,24276,1,20990101,,
,,,,,,,,,
24280,"In March 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24280,1,20990101,,
24281,March 21 official website gift package,,{rmb=200;gold=200000;930=10},1,24281,1,20990101,,
24282,queen gift bag,,{rmb=150;gold=66000;503=2},1,24282,1,20990101,,
24283,Waking of Insects Gift Pack,,{rmb=188;gold=200000;15=2},1,24283,1,20990101,,
24284,spring gift bag,,{rmb=150;gold=500000;902=5},1,24284,1,20990101,,
24285,March spare 1,,{rmb=100;gold=200000;503=6},1,24285,1,20990101,,
24286,March spare 2,,{rmb=99;gold=250000;902=5},1,24286,1,20990101,,
24287,March spare 3,,{rmb=100;gold=200000;503=4},1,24287,1,20990101,,
,,,,,,,,,
24290,April 21 VIP distribution,,{rmb=350;gold=600000;502=5},1,24290,1,20990101,,
24291,April 21 official website gift package,,{rmb=199;gold=200000;930=10},1,24291,1,20990101,,
24292,outing gift bag,,{rmb=150;gold=66000;15=5},1,24292,1,20990101,,
24293,Grain Rain Gift Pack,,{rmb=188;gold=250000;930=5},1,24293,1,20990101,,
24294,Live gift pack 11,,{rmb=150;gold=500000;902=2},1,24294,1,20990101,,
24295,Live gift pack 12,,{rmb=100;gold=200000;503=3},2,24295,2,20990101,,
24296,Live ten consecutive gift packs 3,,{519=10},1,24296,1,20990101,,
24297,April spare 1,,{rmb=100;gold=200000;503=4},1,24297,1,20990101,,
24298,April Backup 2,,{rmb=150;gold=200000;15=5},1,24298,1,20990101,,
,,,,,,,,,
24300,"In May 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24300,1,20990101,,
24301,Official website gift package in May 21,,{rmb=199;gold=200000;930=10},1,24301,1,20990101,,
24302,labor day gift bag,,{rmb=150;gold=66000;15=5},1,24302,1,20990101,,
24303,Lixia gift pack,,{rmb=100;gold=250000;930=5},1,24303,1,20990101,,
24304,mother's day gift bag,,{rmb=150;gold=500000;902=2},1,24304,1,20990101,,
24305,May spare 1,,{rmb=100;gold=200000;503=3},1,24305,1,20990101,,
,,,,,,,,,
24310,June 21 VIP general distribution,,{rmb=355;gold=600000;502=5},1,24310,1,20990101,,
24311,June 21 official website gift package,,{rmb=200;gold=200000;930=10},1,24311,1,20990101,,
24312,children's day gift bag,,{rmb=150;gold=80000;15=5},1,24312,1,20990101,,
24313,Dragon Boat Festival gift bag,,{rmb=99;gold=250000;930=5},1,24313,1,20990101,,
24314,father's day gift bag,,{rmb=150;gold=500000;902=5},1,24314,1,20990101,,
24315,June spare 1,,{rmb=120;gold=200000;503=3},1,24315,2,20990101,,
,,,,,,,,,
24320,"In July 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24320,1,20990101,,
24321,July 21 official website gift package,,{rmb=199;gold=200000;930=10},1,24321,1,20990101,,
24322,labor day gift bag,,{rmb=150;gold=100000;15=5},1,24322,1,20990101,,
24323,Beginning of summer gift bag,,{rmb=100;gold=250000;930=5},1,24323,1,20990101,,
24324,mother's day gift bag,,{rmb=150;gold=500000;902=3},1,24324,1,20990101,,
24325,July spare 1,,{rmb=100;gold=200000;503=3},1,24325,2,20990101,,
24326,Live gift pack 13,,{rmb=150;gold=500000;902=3},1,24326,1,20990101,,
24327,Live gift pack 14,,{rmb=100;gold=200000;503=3},2,24327,1,20990101,,
24328,Live ten consecutive gift packs 4,,{519=10},1,24328,1,20990101,,
,,,,,,,,,
24330,August 21 VIP general distribution,,{rmb=355;gold=600000;502=5},1,24330,1,20990101,,
24331,August 21 official website gift package,,{rmb=200;gold=200000;930=10},1,24331,1,20990101,,
24332,Tanabata gift pack,,{rmb=160;gold=100000;15=5},1,24332,1,20990101,,
24333,Beginning of autumn gift bag,,{rmb=100;gold=200000;930=5},1,24333,1,20990101,,
24334,summer gift pack,,{rmb=150;gold=500000;902=5},1,24334,1,20990101,,
24335,August spare 1,,{rmb=100;gold=200000;503=5},1,24335,1,20990101,,
24336,Jiuyou birthday gift package,,{rmb=150;gold=500000;902=10},1,24336,1,20990101,,
24337,Jiuyou activity package 1,,{rmb=250;gold=200000;503=3},1,24337,1,20990101,,
24338,bug gift pack 3,,{rmb=150;gold=100000},99,24338,99,20990101,,
24339,"In September 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24339,1,20990101,,
24340,September 21 official website gift package,,{rmb=199;gold=200000;930=10},1,24340,1,20990101,,
24341,teacher's day gift bag,,{rmb=150;gold=100000;15=5},1,24341,1,20990101,,
24342,mid autumn gift pack,,{rmb=199;gold=250000;930=5},1,24342,1,20990101,,
24343,autumnal equinox gift pack,,{rmb=150;gold=500000;902=5},1,24343,1,20990101,,
24344,September spare 1,,{rmb=100;gold=200000;503=3},1,24344,1,20990101,,
24345,September spare 2,,{rmb=199;gold=500000;902=3},1,24345,1,20990101,,
24346,September spare 3,,{rmb=350;gold=200000;503=5},1,24346,1,20990101,,
24347,Live gift pack 15,,{rmb=150;gold=500000;902=3},1,24347,1,20990101,,
24348,Live gift pack 16,,{rmb=100;gold=200000;503=3},2,24348,2,20990101,,
24349,Live ten consecutive gift packs 5,,{519=10},1,24349,1,20990101,,
24350,Veteran player ten consecutive gift pack 2,,{519=10},1,24350,1,20990101,,
,,,,,,,,,
24360,WeChat follow gift pack 3,1,{rmb=200;gold=200000;503=2},1,24360,1,20990101,,
24361,Tik Tok Universal Code 1,1,{rmb=99;gold=100000;930=5},1,24361,1,20990101,,
24362,Tik Tok Universal Code 2,1,{rmb=88;gold=200000;15=5},1,24362,1,20990101,,
24363,Guild event pack 2,1,{rmb=150;gold=100000;503=2},1,24363,1,20990101,,
24364,Guild event pack 3,,{rmb=300;gold=200000;930=5},1,24364,1,20990101,,
24365,High value test group,,{rmb=500;gold=200000;930=10},20,24365,20,20990101,,
24366,long-term standby 1,,{rmb=150;gold=100000;902=2},1,24366,1,20990101,,
24367,long-term standby 2,,{rmb=100;gold=200000;503=3},1,24367,1,20990101,,
24368,long-term standby 3,,{rmb=200;gold=500000;902=2},1,24368,1,20990101,,
24369,active spare 1,,{rmb=300;gold=200000;503=3},1,24369,1,20990101,,
24370,Guild join group 3,,{rmb=188;gold=200000;519=5},1,24370,1,20990101,,
24371,Accumulated login for 7 days3,,{rmb=200;452=30;902=10},1,24371,1,20990101,,
24372,Log in fifteen days 3,,{rmb=300;503=5;902=10},1,24372,1,20990101,,
24373,Log in for 28 days 3,,{rmb=500;503=5;gold=500000},1,24373,1,20990101,,
24374,"In October 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24374,1,20990101,,
24375,Official website gift package in October 21,,{rmb=200;gold=200000;930=10},1,24375,1,20990101,,
24376,National Day gift pack 1,,{rmb=150;gold=100000;15=5},1,24376,1,20990101,,
24377,National Day gift pack 2,,{rmb=200;gold=250000;930=5},1,24377,1,20990101,,
24378,Double Ninth Gift Pack,,{rmb=150;gold=500000;902=5},1,24378,1,20990101,,
24379,halloween pack,,{rmb=88;gold=200000;930=5},1,24379,1,20990101,,
24380,october spare 2,,{rmb=288;gold=500000;902=3},1,24380,1,20990101,,
24381,october spare 3,,{rmb=150;gold=200000;503=5},1,24381,1,20990101,,
24382,Live gift pack 17,,{rmb=150;gold=500000;902=3},1,24382,1,20990101,,
24383,Live gift pack 18,,{rmb=100;gold=200000;503=3},2,24383,2,20990101,,
24384,Live ten consecutive gift packs 6,,{519=10},1,24384,1,20990101,,
24385,Elite Test 2,,{rmb=500;gold=200000;930=5},20,24385,20,20990101,,
24386,"In November 21, VIP general distribution",,{rmb=350;gold=600000;502=5},1,24386,1,20990101,,
24387,November 21 official website gift package,,{rmb=200;gold=200000;930=10},1,24387,1,20990101,,
24388,Beginning of winter gift pack,,{rmb=150;gold=80000;15=5},1,24388,1,20990101,,
24389,Thanksgiving gift bag,,{rmb=99;gold=250000;930=5},1,24389,1,20990101,,
24390,November Alternate 1,,{rmb=150;gold=500000;902=5},1,24390,1,20990101,,
24391,November spare 2,,{rmb=99;gold=200000;503=3},1,24391,1,20990101,,
,,,,,,,,,
,,,,,,,,,
25001,Korean version reservation bonus package,,{930=30;525=1;922=1},1,25001,1,20990101,<kr>,
25002,Korean version VIP888 gift package,1,{rmb=100;519=3;gold=200000},1,25002,1,20990101,<kr>,
25003,GM gift pack,,{rmb=200;5000=5;gold=50000},1,25003,1,20990101,<kr>,
,,,,,,,,,
25011,"1,300 KRW App only",,{rmb=30;451=10;gold=50000},1,25011,1,20990101,<kr>,
25012,"2,800 KRW App only",,{rmb=60;521=1;gold=50000},1,25012,1,20990101,<kr>,
25013,"4,000 won for app only",,{rmb=90;520=1;2103=5},1,25013,1,20990101,<kr>,
25014,5300 KRW App-only,,{rmb=125;602=5;902=10},1,25014,1,20990101,<kr>,
25015,"7,000 KRW App only",,{rmb=150;19=3;452=10},1,25015,1,20990101,<kr>,
25016,"12,000 won for app only",,{rmb=300;527=5;14=15},1,25016,1,20990101,<kr>,
25017,"17,000 won for app only",,{rmb=440;519=5;gold=50000},1,25017,1,20990101,<kr>,
25018,"20,000 won for app only",,{rmb=490;520=8;4000=100},1,25018,1,20990101,<kr>,
25019,"26,000 KRW App only",,{rmb=640;503=8;501=1},1,25019,1,20990101,<kr>,
25020,"34,000 won for app only",,{rmb=840;519=10;14=20},1,25020,1,20990101,<kr>,
25021,"40,000 won for app only",,{rmb=990;527=10;2103=5},1,25021,1,20990101,<kr>,
25022,"70,000 KRW App only",,{rmb=1640;942=1;2103=30},1,25022,1,20990101,<kr>,
