变量名,eventID,"
  _name
  ",delay,sound,damageSeg,hpSeg,segInterval,shaker,music,"zOrder ",move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control
1232,5091,"
  target moving
  hide
  ",,,,,,,,,,<{delay=2100;hide=true;lastTime=2533.33}>,,,,<90;5092>,,TRUE,,
1233,5092,"
  sudu_bj
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,"{delay=0;addTolayer=-1;offsetX=-550;offsetY=0;zorder=-1;aniName=huokonglong_skill2;aniLoop=false;lastTime=4900;screenPos=0;scale=1} ",,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
1311,6001,"
  Charizard
  ",,,<0.25;0.25;0.25;0.25>,,<0;133.3;366.6;133.3>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1321,6005,"
  target moving
  hide
  ",,,<0.5;0.5>,,<200;1633.3>,{beginT=0;endT=200;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1322,6081,"
  Charizard
  ",,,,,,,,,<{delay=800;t=100;x=100;y=100};{delay=900;t=200;x=300;y=1500};{delay=1100;t=100;x=100;y=4500};{delay=1600;t=0;x=-400;y=1050};{delay=1650;t=116.67;x=0;y=600};{delay=1766.67;t=100;x=400;y=1200};{delay=2350;t=0;x=-900;y=1200};{delay=2400;t=166.67;x=0;y=0}>,,,,,,,FALSE,,{lifeBar={show=true}}
1331,6007,"
  Charizard
  ",,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;100;166.6;166.6;166.6;166.6;166.6>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
1332,6091,"
  target moving
  hide
  ",,,,,,,,,<{delay=0;t=0;scale=1;x=-400;teamClose=0.5};{delay=100;t=0;scale=1;absY=-150};{delay=6300;t=1000;x=-300;};{delay=6300;t=1000;absY=500}>,<{delay=0;hide=true;lastTime=6500}>,,,,<90;6092;6093>,,TRUE,,
1333,6092,"
  tiankong
  ",,,,,,,,,,,1,koudai_beijing/tiankong.skel,{offsetX=0;offsetY=-490;addTolayer=-1;zorder=19;aniName=penhuolong_skill2;aniLoop=false;lastTime=8266.67;screenPos=0},,,TRUE,,
1334,6093,"
  huangtu
  ",,,,,,,,,,,1,koudai_beijing/huangtu.skel,{offsetX=0;offsetY=-400;addTolayer=-1;zorder=99;aniName=penhuolong_skill2;aniLoop=false;lastTime=8233.33;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
1411,6101,"
  Charizard
  megaX
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1421,6102,"
  Charizard
  megaX
  ",,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;166.6;166.6;166.6;166.6;233.3>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1431,6108,"
  Charizard
  megaX
  ",,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
1432,6191,"
  target moving
  hide
  ",,,,,,,,<{delay=6500;zorder=0;lastTime=3000}>,<{delay=6000;t=0;x=-150;absY=400}>,<{delay=0;hide=true;scale=1.3;lastTime=6333.3}>,,,,<90;6192;6193;6194>,,TRUE,,
1433,6192,"
  senlin
  ",,,,,,,,,,,1,koudai_beijing/senlin.skel,{offsetX=0;offsetY=-400;addTolayer=-1;zorder=99;aniName=penhuolongmegax_skill2;aniLoop=false;lastTime=8266.67;screenPos=0;scale=0.66},,,TRUE,,
1434,6193,"
  huangtu
  ",,,,,,,,,,,1,koudai_beijing/huangtu.skel,{offsetX=0;offsetY=-400;addTolayer=-1;zorder=59;aniName=penhuolongmegax_skill2;aniLoop=false;lastTime=8266.67;screenPos=0;scale=0.66},,,TRUE,,
1435,6194,"
  tiankong
  ",,,,,,,,,,,1,koudai_beijing/tiankong.skel,{offsetX=0;offsetY=-400;addTolayer=-1;zorder=19;aniName=penhuolongmegax_skill2;aniLoop=false;lastTime=8266.67;screenPos=0;scale=0.66},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
1511,6201,"
  Charizard
  megaY
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1521,6202,"
  Charizard
  megaY
  ",,,<0.2;0.3;0.5>,,<0;500;760>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,<{delay=80;t=80;x=0;y=350};{delay=160;t=150;x=0;y=530};{delay=310;t=190;x=0;y=300};{delay=500;t=160;x=-800;y=1200};{delay=800;t=0;x=0;y=1200};{delay=1000;t=220;x=0;y=0};>,,,,,,,FALSE,,{lifeBar={show=true}}
1531,6208,"
  Charizard
  megaY
  ",,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
1532,1,"
  target moving
  hide
  ",,,,,,,,,,<{delay=0;hide=true;scale=1;lastTime=9666.6}>,,,,<90;6292;6293;6294>,,TRUE,,
1534,6292,"
  tiankong_x
  ",,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{offsetX=-170;offsetY=-280;addTolayer=1;zorder=99;aniName=penhuolongmegay_skill2_qian;aniLoop=false;lastTime=9666.6;screenPos=0},,,TRUE,,
1533,6293,"
  shanlin
  ",,,,,,,,,,,1,koudai_beijing/shanlin.skel,{offsetX=0;offsetY=150;addTolayer=1;zorder=50;aniName=penhuolongmegay_skill2;aniLoop=false;lastTime=9666.6;screenPos=0},,,TRUE,,
1535,6294,"
  tiankong_x
  ",,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{offsetX=-170;offsetY=-280;addTolayer=-1;zorder=1;aniName=penhuolongmegay_skill2_hou;aniLoop=false;lastTime=9666.6;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
2111,7001,"
  Squirrel _
  ",,,<0.3;0.3;0.4>,,<0;166.6;200>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2121,7004,"
  Squirrel _
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2131,7005,"
  Squirrel _
  ",,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
2132,7091,"
  target moving
  hide
  ",,,,,,,,,,<{delay=0;hide=true;lastTime=1000}>,,,,<90;7092>,,TRUE,,
2133,7092,"
  sudu_bj
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,"{delay=0;addTolayer=-1;offsetX=0;offsetY=0;zorder=-1;aniName=jienigui_skill2;aniLoop=false;lastTime=3000;screenPos=0;scale=1} ",,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
2211,8001,"
  Cammy Turtle
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2221,8002,"
  Cammy Turtle
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2231,8003,"
  Cammy Turtle
  ",,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;200;200;200;200;233.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
2232,8091,"
  target moving
  hide
  ",,,,,,,,,<{delay=5000;t=0;absX=1900}>,<{delay=0;hide=true;lastTime=5500}>,,,,<90;8092;8093>,,TRUE,,
2233,8092,"
  sudu_bj
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,"{delay=0;addTolayer=-1;offsetX=0;offsetY=0;zorder=-50;aniName=kamigui_skill2;aniLoop=false;lastTime=6266.6;screenPos=0;scale=1} ",,,TRUE,,
2234,8093,"
  sudu_bj_guang
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,"{delay=0;addTolayer=-1;offsetX=0;offsetY=0;zorder=-1;aniName=kamigui_skill2;aniLoop=false;lastTime=6266.6;screenPos=0;scale=1} ",,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
2311,9001,"
  Blastoise _
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2321,9002,"
  Blastoise _
  ",,,<0.5;0.5>,,<0;633.3>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2331,9004,"
  Blastoise _
  ",,,<0.25;0.25;0.25;0.25>,,<0;100;100;100>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
2332,9091,"
  target hidden
  movement
  ",,,,,,,,,,,,,,<90;9092;9093>,{bones=<hitman_move1;hitman_move2;hitman_move3>},TRUE,,
2333,9092,"
  tiankong
  ",,,,,,,,,,,1,koudai_beijing/tiankong.skel,{offsetX=-100;offsetY=-200;delay=0;addTolayer=-1;zorder=99;aniName=shuijiangui_skill2;scale=0.75;aniLoop=false;lastTime=9000;screenPos=0},,,TRUE,,
2334,9093,"
  huangtu
  ",,,,,,,,,,,1,koudai_beijing/huangtu.skel,{offsetX=-330;offsetY=-180;delay=0;addTolayer=-1;zorder=99;aniName=shuijiangui_skill2;scale=0.8;aniLoop=false;lastTime=9000;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
2411,9101,"
  Blastoise mega _
  ",,,<0.3;0.3;0.4>,,<0;233.3;1200>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2421,9104,"
  Blastoise mega _
  ",,,<0.5;0.5>,,<0;1700>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2431,9106,"
  Blastoise mega _
  ",,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;4600;366.6;466.6;400;533.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
2432,1,"
  target hidden
  movement
  ",,,,,,,,,<{delay=0;t=0;scale=1;teamClose=1.4}>,<{delay=0;hide=true;scale=1;lastTime=1332};{delay=2664;hide=true;scale=1;lastTime=3596.4}>,,,,<90;9192;9193>,{bones=<hitman_move>},TRUE,,
2433,9192,"
  sudu_bj_guang
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{offsetX=-100;offsetY=-200;delay=0;addTolayer=-1;zorder=99;aniName=shuijianguimega_skill2;scale=0.7;aniLoop=false;lastTime=8666.66;screenPos=0},,,TRUE,,
2434,9193,"
  shandi
  ",,,,,,,,,,,1,koudai_beijing/shandi.skel,{offsetX=0;offsetY=80;delay=0;addTolayer=-1;zorder=-1;aniName=shuijianguimega_skill2;scale=0.66;aniLoop=false;lastTime=8666.66;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
3111,10001,"
  green
  caterpillar
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3121,10002,"
  green
  caterpillar
  ",,,<0.3;0.3;0.4>,,<0;300;300>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3131,10005,"
  green
  caterpillar
  ",,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333.3;333.3;333.3;333.3;333.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
3132,10091,"
  six
  ",,,,,,,,,,,1,koudai_lvmaochong/sixian.skel,{offsetX=-180;offsetY=-150;delay=0;addTolayer=-1;zorder=99;aniName=lvmaochong_skill2;scale=0.66;aniLoop=false;lastTime=4666.6;screenPos=0},,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
3311,12001,"
  Ba Dahu
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3321,12002,"
  Ba Dahu
  ",,,<0.3;0.3;0.4>,,<0;100;200>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3331,12005,"
  Ba Dahu
  ",,,<0.25;0.25;0.25;0.25>,,<0;500;800;800>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
4311,15001,"
  Big Needle Bee
  ",,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4321,15004,"
  Big Needle Bee
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4331,15005,"
  Big Needle Bee
  ",,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;66.6;66.6;100;66.6;66.6;766.6>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
4411,15101,"
  Big needle bee mega
  ",,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;166.6;133.3;800>,{beginT=0;endT=100;disx=10;disy=10;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4421,15106,"
  Big needle bee mega
  ",,,<1>,,<0>,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4431,15107,"
  Big needle bee mega
  ",,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;200;66.6;100;233.3;133.3;133.3>,{beginT=0;endT=100;disx=20;disy=30;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
4432,15191,"
  target hidden
  movement
  ",,,,,,,,,<{delay=5000;t=0;scale=1;absX=1320;absY=500}>,<{delay=0;hide=true;lastTime=8100}>,,,,<90;15192>,,TRUE,,
4433,15192,"
  sudu_bj
  ",,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,"{delay=0;offsetX=0;offsetY=0;scale=1;addTolayer=-1;zorder=99;aniName=dazhenfengmega_skill2;aniLoop=false;lastTime=8333.3;screenPos=0} ",,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
5111,16001,"
  Bobo
  ",,,<1>,,<0>,{beginT=0;endT=150;disx=15;disy=25;count=1;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5121,16002,"
  Bobo
  ",,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;160;160;160;160;160;160;160>,{beginT=0;endT=100;disx=5;disy=5;count=9;interval=160},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5131,16012,"
  Bobo
  ",,,<0.095;0.105;0.12;0.14;0.16;0.18;0.20>,,<0;633.33;233.33;366.67;266.67;333.33;266.67>,{beginT=0;endT=150;disx=20;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,
5132,16013,"
  Shock screen
  ",,,,,,{beginT=1500;endT=1700;disx=20;disy=30;count=1;interval=0},,,,,,,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
5211,17001,"
  bibi bird
  ",,,<1>,,<0>,{beginT=0;endT=150;disx=15;disy=25;count=1;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5221,17002,"
  bibi bird
  ",,,<0.2;0.2;0.2;0.2;0.2>,,<0;266.67;166.67;200;200>,{beginT=0;endT=100;disx=5;disy=5;count=5;interval=200},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5231,17007,"
  bibi bird
  ",,,<1>,,<0>,{beginT=0;endT=200;disx=20;disy=30;count=2;interval=100},,,,,,,,,,TRUE,,
5232,17091,"
  target moving
  hide
  ",,,,,,,,,<{delay=1500;t=1300;scale=1;x=2300;y=600};{delay=3100;t=0;scale=1;x=0;y=2160};{delay=3300;t=0;scale=1;x=0;y=0}>,<{delay=3000;hide=true;lastTime=1000}>,,,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,
5311,18001,"
  Big bird
  ",,,<1>,,<0>,{beginT=0;endT=150;disx=15;disy=25;count=1;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=true}}
