变量名,key,text,text_tw,text_en,text_vn,text_kr
25,rankPrevNoFinished,"""The last battle has not ended yet, as the winner is undecided, please come again later!""",上次戰鬥未結束，勝負未知，請稍後再來！,"""The last battle has not ended yet, as the winner is undecided, please come again later!""","Lần trước chiến đấu chưa kết thúc, thắng bại không biết, xin sau lại đến!",지난 전투가 아직 끝나지 않아 승부가 정해지지 않았습니다. 잠시 후 다시 시도하세요!
26,pvpShopRefresh,"""The Arena Shop has refreshed, please purchase again!""",競技場商店已經刷新，請重新選購！,"""The Arena Shop has refreshed, please purchase again!""","Sân thi đấu cửa hàng đã đổi mới, mời một lần nữa chọn mua!",아레나 상점이 이미 갱신되었습니다. 다시 구매하세요!
27,pvpShopRefreshRMBNotEnough,"""Insufficient diamonds, unable to refresh!""",鑽石不足，無法刷新！,"""Insufficient diamonds, unable to refresh!""","Kim cương không đủ, không cách nào đổi mới!",다이아가 부족해 갱신할 수 없습니다!
28,drawCardRMBNotEnough,"""Insufficient diamonds, you can't draw card!""",鑽石不足，無法抽卡！,"""Insufficient diamonds, you can't draw card!""","Kim cương không đủ, không cách nào rút thẻ!",다이아가 부족해 뽑기를 할 수 없습니다!
29,drawCardGoldNotEnough,"""Gold is not enough, can't refresh.""",金幣不足，無法抽卡！,"""Gold is not enough, can't refresh.""","Kim tệ không đủ, không cách nào rút thẻ!",코인이 부족해 뽑기를 할 수 없습니다!
30,freeDrawCardTimerNoCD,"""Time has not refreshed yet, you can't draw a card for free!""",免費時間未到，無法抽卡！,"""Time has not refreshed yet, you can't draw a card for free!""","Miễn phí thời gian chưa tới, không cách nào rút thẻ!",무료 시간이 되지 않았습니다!
31,vipLevelMax,"""VIP has maxed, can't purchase.""",VIP已經到頂級，無法購買！,"""VIP has maxed, can't purchase.""","VIP Đã đến đỉnh cấp, không cách nào mua!",이미 VIP 최고 레벨입니다!
32,vipLevelUpRMBNotEnough,"""Insufficient diamonds, you can't purchase VIP!""",鑽石不足，VIP無法儲值！,"""Insufficient diamonds, you can't purchase VIP!""","Kim cương không đủ, VIP Không cách nào nạp tiền!",다이아가 부족해 VIP 충전을 할 수 없습니다!
33,pwBuyMax,You've reached the maximum No. of rank match purchases!,今日排位賽購買次數已達上限！,You've reached the maximum No. of rank match purchases!,Hôm nay cuộc thi xếp hạng mua số lần đã đạt hạn mức cao nhất!,오늘의 순위전 구매 횟수가 이미 한도에 도달했습니다!
34,buyRMBNotEnough,"""Insufficient diamonds, unable to buy!""",鑽石不足，無法購買！,"""Insufficient diamonds, unable to buy!""","Kim cương không đủ, không cách nào mua!",다이아가 부족해 구매할 수 없습니다!
35,staminaBuyMax,You've reached the maximum No. of energy purchases!,今日體力購買次數已達上限！,You've reached the maximum No. of energy purchases!,Hôm nay thể lực mua số lần đã đạt hạn mức cao nhất!,오늘의 체력 구매 횟수가 이미 한도에 도달했습니다!
36,staminaBuyNoNeed,"""Energy has reached the maximum, you don't have to buy it anymore!""",體力已達上限，無需購買！,"""Energy has reached the maximum, you don't have to buy it anymore!""","Thể lực đã đạt hạn mức cao nhất, không cần mua!",체력이 이미 한도에 도달했습니다.
37,herogateBuyMax,You've reached the maximum no. of Difficult level resets today!,今日困難關卡重置次數已達上限！,You've reached the maximum no. of Difficult level resets today!,Lần Reset Ải Khó hôm nay đạt tối đa!,오늘의 하드 스테이지 초기화 횟수가 이미 한도에 도달했습니다!
38,huodongNoOpen,Event coming soon!,活動未開啟！,Event coming soon!,Hoạt động chưa mở ra!,이벤트 미개방
39,huodongLevelNotEnough,"""Insufficient level, unable to unlock the event!""",等級不足，無法開啟活動！,"""Insufficient level, unable to unlock the event!""","Cấp bậc chưa đủ, không cách nào mở ra hoạt động!",레벨이 부족해 이벤트를 개방할 수 없습니다!
40,huodongChanllengeToMuch,You've reached the maximum No. of attempts for this event!,活動挑戰次數已達上限！,You've reached the maximum No. of attempts for this event!,Hoạt động khiêu chiến số lần đã đạt hạn mức cao nhất!,이벤트 도전 횟수가 이미 최대입니다!
41,gateStaminaNotEnough,"""Insufficient energy, you can't change challenge this level!""",體力不足，無法挑戰關卡！,"""Insufficient energy, you can't change challenge this level!""","Thể lực không đủ, không cách nào khiêu chiến cửa ải!",체력이 부족해 스테이지에 도전할 수 없습니다!
42,gateNoOpen,You can't challenge this level!,該關卡你無法挑戰！,You can't challenge this level!,Nên cửa ải ngươi không cách nào khiêu chiến!,해당 스테이지는 도전할 수 없습니다!
43,gateCardsError,The Pokémons in battle are incorrect!,出戰精靈不對！,The Pokémons in battle are incorrect!,Pokémon xuất chiến không đúng!,출전 포켓몬이 맞지 않습니다!
44,gateBenchCardsError,The substitute Pokémon is incorrect!,替補精靈不對！,The substitute Pokémon is incorrect!,Pokémon thay thế không đúng!,대체 포켓몬이 맞지 않습니다!
45,fragCombfragNotEnough,"""Insufficient shard, cannot combine!""",碎片不足，無法合成！,"""Insufficient shard, cannot combine!""","Mảnh vỡ không đủ, không cách nào hợp thành!",조각이 부족해 합성할 수 없습니다!
46,lianjinRMBNotEnough,"""Insufficient diamonds, unable to process the alchemy!""",鑽石不足，無法煉金！,"""Insufficient diamonds, unable to process the alchemy!""","Kim cương không đủ, không cách nào luyện kim!",다이아가 부족해 연금을 진행할 수 없습니다!
47,lianjinMax,You've reached the maximum No. of alchemy attempts!,今日煉金次數已達上限！,You've reached the maximum No. of alchemy attempts!,Hôm nay luyện kim số lần đã đạt hạn mức cao nhất!,오늘의 연금 횟수가 한도에 도달했습니다!
48,saodangTimesNotEnough,"""Insufficient No. of blitzes, blitz failed!""",掃蕩次數不足，無法掃蕩！,"""Insufficient No. of blitzes, blitz failed!""","Càn quét số lần không đủ, không cách nào càn quét!",소탕 횟수가 부족해 소탕할 수 없습니다!
49,saodangGateNoStar,"""This level is not cleared with 3 Stars, you can't blitz it!""",該關卡未三星通關，你無法掃蕩！,"""This level is not cleared with 3 Stars, you can't blitz it!""","Nên cửa ải chưa tam tinh thông quan, ngươi không cách nào càn quét!",해당 스테이지를 3성으로 클리어하지 않아 소탕할 수 없습니다!
50,saodangGateTimesNotEnough,"""Insufficient No. of chances to challenge the level, you're unable to blitz!""",該關卡剩餘挑戰次數不足，你無法掃蕩！,"""Insufficient No. of chances to challenge the level, you're unable to blitz!""","Nên cửa ải còn thừa khiêu chiến số lần không đủ, ngươi không cách nào càn quét!",해당 스테이지의 잔여 도전 횟수가 부족해 소탕할 수 없습니다!
51,saodangMultiVIPNotEnough,"""Insufficient VIP level, unable to blitz multiple times!""",VIP等級不足，無法掃蕩多次！,"""Insufficient VIP level, unable to blitz multiple times!""","VIP Cấp bậc chưa đủ, không cách nào càn quét nhiều lần!",VIP레벨이 부족해 소탕할 수 없습니다!
52,yuanzhengNoOpen,"""Insufficient level, unable to activate trial!""",等級不足，無法開啟試煉！,"""Insufficient level, unable to activate trial!""","Cấp bậc chưa đủ, không cách nào mở ra thí luyện!",레벨이 부족해 시련을 개방할 수 없습니다!
53,yuanzhengShopRefresh,"""The trial shop has refreshed, please purchase again!""",試煉商店已經刷新，請重新選購！,"""The trial shop has refreshed, please purchase again!""","Thí luyện cửa hàng đã đổi mới, mời một lần nữa chọn mua!",시련 상점이 이미 갱신되었습니다. 다시 구매하세요!
54,shopCoinNotEnough,"""Insufficient points, unable to buy!""",積分不足，無法購買！,"""Insufficient points, unable to buy!""","Điểm tích lũy không đủ, không cách nào mua!",포인트가 부족해 구매할 수 없습니다!
55,yuanzhengShopRefreshRMBNotEnough,"""Insufficient diamonds, unable to refresh!""",鑽石不足，無法刷新！,"""Insufficient diamonds, unable to refresh!""","Kim cương không đủ, không cách nào đổi mới!",다이아가 부족해 갱신할 수 없습니다!
56,kgStaminaNotEnough,"""Insufficient energy, unable to study artefacts!""",活力不足，無法考古！,"""Insufficient energy, unable to study artefacts!""",,활력이 부족해 고고학을 진행할 수 없습니다!
57,kgLevelNotEnough,"""Insufficient trainer level, unable to study artefacts!""",等級不足，無法考古！,"""Insufficient trainer level, unable to study artefacts!""",,레벨이 부족해 고고학을 진행할 수 없습니다!
58,kgStaminaBuyNoNeed,"""Energy is full, you don't have to buy it anymore!""",活力已達上限，無需購買！,"""Energy is full, you don't have to buy it anymore!""","Sức sống đã đạt hạn mức cao nhất, không cần mua!",활력이 이미 최대이므로 구매할 수 없습니다!
59,kgStaminaBuyMax,You've reached the maximum No. of purchases for Activity Points!,今日活力購買次數已達上限！,You've reached the maximum No. of purchases for Activity Points!,Hôm nay sức sống mua số lần đã đạt hạn mức cao nhất!,오늘의 활력 구매 횟수가 이미 한도에 도달했습니다!
60,kgShopRefresh,Archaeology Shop has expired!,考古商店已過期！,Archaeology Shop has expired!,,고고학 상점이 이미 만료되었습니다!
61,yyHuoDongNoActive,This event can't be claimed!,該活動無法領取！,This event can't be claimed!,Nên hoạt động không cách nào nhận lấy!,해당 이벤트는 수령할 수 없습니다!
62,yyHuoDongRechargeNoTimes,Monthly subscription reward has expired!,月卡領取時間已過期！,Monthly subscription reward has expired!,,월간카드 수령 시간이 이미 만료되었습니다!
63,yyHuoDongAlreadyGet,You've claimed today's event rewards!,今日活動獎勵已領取！,You've claimed today's event rewards!,Hôm nay hoạt động ban thưởng đã nhận lấy!,오늘의 이벤트 보상을 이미 수령했습니다!
64,kgMineRobbing,You cannot perform any actions while the mine is being looted. Pray hard that your defense will be a success!,礦洞被搶奪中，你無法進行任何操作，祈禱防守成功吧！,You cannot perform any actions while the mine is being looted. Pray hard that your defense will be a success!,,광산이 약탈되는 중이므로 어떤 행동도 할 수 없습니다. 방어 성공을 기원해 주세요!
65,kgMineNotYours,This is not your mine!,這不是你的礦洞！,This is not your mine!,,당신의 광산이 아닙니다!
66,kgMineRefresh,"""Status of the mine has changed, please refresh!""",礦洞狀態更新，請刷新！,"""Status of the mine has changed, please refresh!""",,광산 상태가 변경되었습니다. 갱신하세요!
67,twLevelNotEnough,"""Insufficient level, unable to enter the Infinite Tower!""",等級不足，無法進入無限塔！,"""Insufficient level, unable to enter the Infinite Tower!""",,레벨이 부족해 무한의 탑에 입장할 수 없습니다!
68,twFailedMax,You've reached the maximum number of defeats at the Infinite Tower today and cannot continue the challenged!,無限塔今日失敗次數已達上限，無法挑戰!,You've reached the maximum number of defeats at the Infinite Tower today and cannot continue the challenged!,,오늘 무한의 탑의 도전 실패 횟수가 한도에 도달해 더는 도전할 수 없습니다!
69,twInTopFloor,"""Already at the record highest level, no need to blitz!""",已經在歷史最高層，無需掃蕩！,"""Already at the record highest level, no need to blitz!""","Đã tại lịch sử tầng cao nhất, không cần càn quét!",이미 역대 최고 층입니다. 소탕할 필요가 없습니다!
70,roleNameExisted,The nickname is already in use!,該昵稱已被佔用！,The nickname is already in use!,Nên biệt danh đã bị chiếm dụng!,해당 닉네임은 이미 사용 중입니다!
71,roleNameTooLong,Your nickname is too long!,昵稱過長！,Your nickname is too long!,Biệt danh quá dài!,닉네임이 너무 깁니다!
72,roleNameRMBNotEnough,"""Insufficient diamonds, unable to change nickname!""",鑽石不足，無法改昵稱！,"""Insufficient diamonds, unable to change nickname!""","Kim cương không đủ, không cách nào đổi biệt danh!",다이아가 부족해 닉네임을 변경할 수 없습니다!
73,roleNameInvalid,Nickname is inappropriate!,昵稱不合適！,Nickname is inappropriate!,Biệt danh không thích hợp!,적절하지 않은 닉네임입니다!
74,giftNoExisted,Reward activation code does not exist!,禮包啟動碼不存在！,Reward activation code does not exist!,Gói quà kích hoạt mã không tồn tại!,선물 활성코드가 존재하지 않습니다!
75,giftOpened,Pack has been claimed!,禮包已領取！,Pack has been claimed!,Gói quà đã nhận lấy!,선물을 이미 수령했습니다!
76,giftSameMax,You've claimed the maximum No. of the same reward pack!,同個禮包已達領取上限！,You've claimed the maximum No. of the same reward pack!,Cùng cái gói quà đã đạt nhận lấy hạn mức cao nhất!,동일 선물의 수령 한도에 도달했습니다!
77,giftSameTypeMax,You've claimed the maximum No. of similar type reward pack!,同類禮包已達領取上限！,You've claimed the maximum No. of similar type reward pack!,Đồng loại gói quà đã đạt nhận lấy hạn mức cao nhất!,동일 유형 선물의 수령 한도에 도달했습니다!
78,shopItemBuyYet,You can't buy this shop item again!,商店物品無法再次購買！,You can't buy this shop item again!,Cửa hàng vật phẩm không cách nào lại lần mua!,상점이 아이템을 더는 구매할 수 없습니다!
79,unionCreateRMBNotEnough,"""Insufficient diamonds, you can't create a union!""",鑽石不足，無法創建公會！,"""Insufficient diamonds, you can't create a union!""",,다이아가 부족해 길드를 창설할 수 없습니다!
80,unionAlreadyIn,You've already joined a union!,你已經在公會中！,You've already joined a union!,,이미 길드에 가입했습니다!
81,unionQuitCDTime,"""After leaving a union, there will be a 12-hour cooldown \n before trainers can join another union""",退出公會之後會有12小時的加入\n公會冷卻時間,"""After leaving a union, there will be a 12-hour cooldown \n before trainers can join another union""",,길드 탈퇴 후 12시간 동안\n길드에 가입할 수 없습니다.
82,unionNameTooLong,"""Union name is too long, please modify!""",公會名稱過長，請修改！,"""Union name is too long, please modify!""",,길드 이름이 너무 깁니다!
83,unionNameInvalid,"""Union name is inappropriate, please modify!""",公會名稱不合適，請修改！,"""Union name is inappropriate, please modify!""",,사용할 수 없는 길드 이름입니다!
84,unionNameDuplicated,"""Union name has been taken, please modify!""",公會名稱已被佔用，請修改！,"""Union name has been taken, please modify!""",,이미 사용 중인 길드 이름입니다!
85,unionJoinPendingMax,Too make requests to join the union!,申請加入的公會過多！,Too make requests to join the union!,,가입 신청한 길드가 너무 많습니다!
86,unionJoinPending,You've already sent a request to join this union!,你已經申請加入該公會！,You've already sent a request to join this union!,,이미 가입을 신청한 길드입니다!
87,unionNotExisted,You have been kicked out by the union admin!,您已經被公會管理請離公會！,You have been kicked out by the union admin!,,이미 길드에서 추방되었습니다!
88,unionLevelNotEnough,"""Insufficient trainer level, unable to join union!""",等級不足，無法加入公會！,"""Insufficient trainer level, unable to join union!""",,레벨이 부족해 길드에 가입할 수 없습니다!
89,unionMemberMax,Union members have reached the maximum number!,公會成員數已達上限！,Union members have reached the maximum number!,,길드원 수가 이미 최대입니다!
90,unionRefuseJoin,Union is not opened for joining yet!,公會未開放成員加入！,Union is not opened for joining yet!,,길드가 가입을 개방하지 않았습니다!
91,unionNoPrivilege,You're not authorized to manage this union!,你沒有許可權管理該公會！,You're not authorized to manage this union!,,해당 길드의 관리 권한이 없습니다!
92,unionRoleAlreadyIn,The trainer is already a member of the union!,該玩家已經是本公會會員！,The trainer is already a member of the union!,,해당 유저는 이미 본 길드의 회원입니다!
93,unionRoleJoinCancel,The trainer has withdrawn their request!,該玩家已經放棄申請！,The trainer has withdrawn their request!,,해당 유저는 신청을 포기했습니다!
94,unionRoleNoJoin,You've not sent a request to join this union!,你沒有申請加入該公會！,You've not sent a request to join this union!,,해당 길드에 가입을 신청하지 않았습니다!
95,unionAlreadyIn(exist),You're already a member of the union,你已經是公會成員,You're already a member of the union,,이미 길드원입니다.
96,unionRoleAlreadyInOther,The trainer is already a member of another union!,該玩家已經是其它公會會員！,The trainer is already a member of another union!,,해당 유저는 이미 다른 길드에 가입했습니다!
97,unionChairmanCanNotQuit,union leader cannot abandon the union!,會長無法退出公會！,union leader cannot abandon the union!,,회장은 길드를 탈퇴할 수 없습니다!
98,unionCanNotHandleNonMember,You can't do this action to non-union members!,無法對非本公會會員進行操作！,You can't do this action to non-union members!,,본 길드의 회원이 아니므로 명령을 실행할 수 없습니다!
99,unionOnlyChairman,This can only be done by the union Leader and Assistant Leader!,只有會長與副會長才能操作！,This can only be done by the union Leader and Assistant Leader!,,회장과 부회장만 실행할 수 있습니다!
100,unionViceChairmanAlready,"""Already been Vice-Leader, can't promotion!""",已經是副會長，無法晉級!,"""Already been Vice-Leader, can't promotion!""",,이미 부회장이므로 진급할 수 없습니다!
101,unionViceChairmanMax,The number of assistant leaders has reached the maximum!,副會長人數已達上限！,The number of assistant leaders has reached the maximum!,,부회장 수가 이미 최대입니다!
102,unionMemberAlready,"""You're already a member, you can't lower your level!""",已經是會員，無法降級!,"""You're already a member, you can't lower your level!""",,이미 회원이므로 강등할 수 없습니다!
103,unionIsMyself,This action is inapplicable to yourself!,不能對自己進行該操作！,This action is inapplicable to yourself!,,자기 자신에게 실행할 수 없습니다!
104,unionNotAloneCanNotDestroy,"""Still have memberships in the union,can't dismiss!""",公會還有會員，無法解散！,"""Still have memberships in the union,can't dismiss!""",,길드에 다른 회원이 있어 해산할 수 없습니다!
105,unionIntroTooLong,"""union announcement is too long, please modify!""",公會公告過長，請修改！,"""union announcement is too long, please modify!""",,길드 공지가 너무 깁니다!
106,unionIntroInvalid,"""union announcement is inappropriate, please modify!""",公會公告不合適，請修改！,"""union announcement is inappropriate, please modify!""",,길드 공지에 부적절한 내용이 있습니다!
107,unionHuoDongNoOpen,union events are not opened yet!,公會活動未開放！,union events are not opened yet!,,길드 이벤트가 개방되지 않았습니다!
108,unionHuoDongAwardAlreadyGet,You've claimed union event rewards!,公會活動獎勵已領取！,You've claimed union event rewards!,,길드 이벤트 보상을 이미 수령했습니다!
109,unionHuoDongContribLess,"""You have insufficient union contribution for the day, and can't claim this reward!""",公會當日貢獻度不足，該獎勵無法領取！,"""You have insufficient union contribution for the day, and can't claim this reward!""",,길드의 당일 공헌도가 부족해 해당 보상을 수령할 수 없습니다!
110,chatMsgTooLong,Chat content is too long!,聊天內容過長！,Chat content is too long!,Nói chuyện phiếm nội dung quá dài!,채팅 내용이 너무 깁니다!
111,chatMsgInvalid,Sensitive content found in the chat!,聊天內容有敏感詞！,Sensitive content found in the chat!,Nói chuyện phiếm nội dung có mẫn cảm từ!,부적절한 내용이 포함되어 있습니다!
112,chatNoUnion,"""You haven't join any union, can't chat in the union.""",你沒有加入任何公會，無法進行公會聊天！,"""You haven't join any union, can't chat in the union.""","Ngươi không có gia nhập bất luận cái gì công hội, không cách nào tiến hành công hội nói chuyện phiếm!",아직 길드에 가입하지 않아 길드 채팅을 진행할 수 없습니다!
113,chatNoOpen,You have not yet met the conditions for enabling chat!,您還未達到聊天功能開啟的條件！,You have not yet met the conditions for enabling chat!,,채팅 기능 개방 조건을 달성하지 않았습니다!
114,chatTooMuch,"""Take a rest, you've spent a lot of time chatting today!""",今天聊的太多了，休息會！,"""Take a rest, you've spent a lot of time chatting today!""","Hôm nay trò chuyện nhiều lắm, nghỉ ngơi sẽ!",오늘 채팅을 너무 많이 사용했습니다!
115,starNoEnoughGold,"""Insufficient coins, unable to increase Star level!""",金幣不足，星級無法提升！,"""Insufficient coins, unable to increase Star level!""",,코인이 부족해 성급을 높일 수 없습니다!
116,starCanNot,You cannot Star Up the equipment!,該裝備無法升星！,You cannot Star Up the equipment!,,해당 장비는 승급할 수 없습니다!
117,starCostIsStar,Your star level equipment cannot be star upped!,星級裝備無法參與升星！,Your star level equipment cannot be star upped!,,성급 장비는 승급할 수 없습니다!
118,starMax,Equipment has reached the maximum Star level!,裝備星級已達上限！,Equipment has reached the maximum Star level!,,장비 성급이 이미 한도에 도달했습니다!
119,starNoThisEquip,No such equipment!,沒有該裝備！,No such equipment!,Không có nên trang bị!,해당 장비가 없습니다!
120,starEquipDressed,"""The equip. still wearing, cost!""",該裝備還穿在身上，無法消耗！,"""The equip. still wearing, cost!""","Nên trang bị còn mặc lên người, không cách nào tiêu hao!",해당 장비는 이미 착용하고 있어 소모할 수 없습니다!
121,starNoEnoughItems,"""Item is not enough, can't star activation!""",道具不足，無法升星！,"""Item is not enough, can't star activation!""","Đạo cụ không đủ, không cách nào thăng tinh!",아이템이 부족해 승급할 수 없습니다!
122,starNoExp,No EXP gained!,沒有任何經驗獲得！,No EXP gained!,Không có bất kỳ kinh nghiệm nào thu hoạch được!,어떤 경험치도 획득하지 않았습니다!
123,starEquipStared,"""The equip. is star equip, can't cost!""",該裝備是加星裝備，無法消耗！,"""The equip. is star equip, can't cost!""",,해당 장비는 성급이 있어 소모할 수 없습니다!
124,rankCheat,Challenge failed! Please remove hacking tools such as game accelerators!,挑戰失敗！請關閉加速器等作弊工具！,Challenge failed! Please remove hacking tools such as game accelerators!,Khiêu chiến thất bại! Xin tắt máy gia tốc chờ gian lận công cụ!,도전 실패! 스피드핵 등 비승인 프로그램을 종료하세요!
125,unionLevelLessNoOpened,"""Insufficient union level, unable to unlock the event!""",公會等級不足，無法開啟活動！,"""Insufficient union level, unable to unlock the event!""",,길드 레벨이 부족해 이벤트를 개방할 수 없습니다!
126,unionFubenCD,You can only challenge at 05:00 the next day after switching union!,更換公會明日5點才能挑戰！,You can only challenge at 05:00 the next day after switching union!,,길드 변경 시 내일 0시 이후 도전할 수 있습니다!
127,unionFubenNoOpened,"""union Dungeon is not opened yet, you can't challenge it!""",公會副本未開放，無法挑戰！,"""union Dungeon is not opened yet, you can't challenge it!""",,길드 던전이 개방되지 않아 도전할 수 없습니다!
128,unionFubenOutOfTime,The union Dungeon is closed!,公會副本已關閉！,The union Dungeon is closed!,,길드 던전이 이미 닫혔습니다!
129,unionFubenPassed,The union dungeon is cleared!,該公會副本已通關！,The union dungeon is cleared!,,해당 길드 던전은 이미 클리어했습니다!
130,unionFubenNoPassed,The union Dungeon is not cleared yet!,該公會副本未通關！,The union Dungeon is not cleared yet!,,해당 길드 던전은 아직 클리어하지 못했습니다!
131,unionFubenAwardGot,The union dungeon rewards have been claimed!,該公會副本獎勵已領取！,The union dungeon rewards have been claimed!,,해당 길드 던전 보상을 이미 수령했습니다!
132,drawEquipRMBNotEnough,"""Insufficient diamonds, you can't draw equipment!""",鑽石不足，無法抽裝備！,"""Insufficient diamonds, you can't draw equipment!""",,다이아가 부족해 장비를 뽑을 수 없습니다!
133,freeDrawTimerNoCD,You've used up your free draw today!,今日已免費抽取過，不得再次免費！,You've used up your free draw today!,"Hôm nay đã miễn phí rút ra qua, không được lần nữa miễn phí!",오늘은 이미 무료 뽑기를 진행해 더는 무료로 진행할 수 없습니다!
134,drawBoxKeyNotEnough,"""Insufficient key, unable to open chest!""",鑰匙不足，無法打開寶箱！,"""Insufficient key, unable to open chest!""",,열쇠가 부족해 보물상자를 열 수 없습니다!
135,drawBoxNotEnough,No chests to open!,沒有寶箱可以打開！,No chests to open!,,열 수 있는 보물상자가 없습니다!
136,fixShopLevelNotEnough,"""Insufficient level, unable to unlock!""",等級不足，無法開啟！,"""Insufficient level, unable to unlock!""","Cấp bậc chưa đủ, không cách nào mở ra!",레벨이 부족해 개방할 수 없습니다!
