"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,openLv,noticeLv,type,goToPanel
9,Daily Quests,每日任務,Daily Quests,404404,일일 퀘스트,city/levelup/icon_rw_rk@.png,Open daily quests and get rewards,開啟每日任務，獲得獎勵,Open daily quests and get rewards,404404,일일 퀘스트를 완료해 보상을 획득하세요.,12,9,1,
10,Training privilege,訓練特權,Training privilege,404404,훈련 특권,city/levelup/icon_mxzz_rk.png,Upgrade training privileges to gain various privileges,提升訓練特權，獲得各種特權,Upgrade training privileges to gain various privileges,404404,훈련 특권을 높여 각종 특권을 획득하세요.,12,9,1,
11,Individual Value,個體值,Individual Value,Cá thể giá trị,개체값,city/levelup/icon_yc_rk@.png,Reset IV to get the perfect Pokémon,重置個體值，獲取完美精靈,Reset IV to get the perfect Pokémon,404404,개체값 리셋을 통해 완벽한 포켓몬을 획득하세요.,14,11,1,
12,Arena,競技場,Arena,Sân thi đấu,아레나,city/levelup/icon_jj_rk@.png,"The Arena is open, it's time to test your strength!",競技場開啟，比拼實力的時候到了,"The Arena is open, it's time to test your strength!",404404,아레나에서 실력을 겨루세요.,15,12,1,
13,Leaderboard,排行榜,Leaderboard,Bảng xếp hạng,순위 차트,city/levelup/icon_ph_rk.png,"Leaderboards are open, you can now view your rankings",排行榜開啟，可以看看自己的實力排行,"Leaderboards are open, you can now view your rankings",404404,순위 메뉴에서 자신의 순위를 확인하세요.,18,12,1,
14,Event dungeon,活動副本,Event dungeon,404404,이벤트 던전,city/levelup/icon_mx_rk@.png,Unlock event dungeon to get resources quickly,開啟活動副本，快速獲取資源,Unlock event dungeon to get resources quickly,404404,이벤트 던전에서 빠르게 자원을 획득하세요.,18,12,1,
15,union,公會,union,Công hội,길드,city/levelup/icon_gh_rk@.png,"union feature has open, find your companions now!",公會開啟，尋找自己的夥伴,"union feature has open, find your companions now!",404404,길드를 통해 동료들을 만나 보세요.,20,15,1,
16,Inherit,繼承,Inherit,Kế thừa,계승,city/levelup/icon_yc_rk@.png,Nature and Individual values can be inherited,可以繼承性格和個體值呦,Nature and Individual values can be inherited,404404,성격과 개체값을 계승할 수 있습니다.,22,18,1,
17,Revive,重生,Revive,Trùng sinh,부활,city/levelup/icon_yc_rk@.png,Reborn Pokémons to get training items quickly,重生精靈，快速返還培養資源,Reborn Pokémons to get training items quickly,404404,포켓몬 부활 시 모든 육성 자원을 반환합니다.,23,18,1,
18,Endless Tower,無盡之塔,Endless Tower,404404,무한의 탑,city/levelup/icon_mx_rk@.png,"Endless Tower is now open, let's dive into an endless challenge",無盡之塔開啟，挑戰沒有極限,"Endless Tower is now open, let's dive into an endless challenge",404404,무한의 탑에서 끝없는 도전을 진행하세요.,24,22,1,
19,Effort Value,努力值,Effort Value,Cố gắng giá trị,노력치,city/levelup/icon_yc_rk@.png,Increase Effort Value to enhance the Pokémon's stats,提升努力值，增強屬性,Increase Effort Value to enhance the Pokémon's stats,404404,노력치를 높여 속성을 강화하세요.,24,22,1,
20,"Friendship ",好感度,"Friendship ",Độ thiện cảm,호감도,city/levelup/icon_yc_rk@.png,Send gift to enhance friendship level with the Pokémon,贈送禮物，提升精靈好感度,Send gift to enhance friendship level with the Pokémon,404404,선물을 통해 포켓몬의 호감도를 높이세요.,25,23,1,
21,Talent,天賦,Talent,Thiên phú,특성,city/levelup/icon_yc_rk@.png,Activate talent to enhance your strength,天賦開啟，強化實力,Activate talent to enhance your strength,404404,특성을 통해 실력을 강화하세요.,27,24,1,
22,Dispatch,派遣,Dispatch,Điều động,파견,city/levelup/icon_mx_rk@.png,"Dispatch is open, giving you chances of getting rewards easily",派遣開啟，輕鬆獲取獎勵,"Dispatch is open, giving you chances of getting rewards easily",404404,파견을 진행해 보상을 획득하세요.,30,25,1,
,,,,,,,,,,,,,,,
,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,city/levelup/icon_yc_rk@.png,Evolve your Pokémon and increase your combat power!,精靈進階，提升戰鬥力！,Evolve your Pokémon and increase your combat power!,"Tăng bậc Pokémon, tăng POWER!",포켓몬을 진화시켜 전투력을 높이세요!,3,2,1,
,Shop,商店,Shop,Cửa hàng,상점,city/levelup/icon_sd_rk.png,"Shop is open, rare items are up for sales",商店開啟，珍貴道具任君採購,"Shop is open, rare items are up for sales","Shop đã mở, đạo cụ quý giá mua sắm tuỳ thích",상점에서 진귀한 아이템을 구매해 보세요.,12,10,1,
,Leaderboard,排行榜,Leaderboard,Bảng xếp hạng,순위 차트,city/levelup/icon_ty_rk@.png,"Leaderboards are open, you can now view your rankings",排行榜開啟，可以看看自己的實力排行,"Leaderboards are open, you can now view your rankings",404404,순위 메뉴에서 자신의 순위를 확인하세요.,18,15,1,
,Pokédex,圖鑒,Pokédex,Đồ giám,도감,city/levelup/icon_tj_rk@.png,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,404404,포켓몬을 수집하고 도감을 개방해 더욱 강한 트레이너가 되세요.,10,6,2,handbook
,Shop,商店,Shop,Cửa hàng,상점,city/levelup/icon_sd_rk.png,(Trial configuration) Pretend there's a description on shops here,（測試配置）假裝這裡有個關於商店的描述,(Trial configuration) Pretend there's a description on shops here,(Cấu hình Test) Giả sử tại đây có miêu tả Shop,(테스트 설정) 상점 설명 내용,15,10,1,shop
,Pokémon bag,精靈背包,Pokémon bag,Tinh linh ba lô,포켓몬 가방,city/levelup/icon_bb_rk@.png,(Trial configuration) Pretend there's a description on Bag here,（測試配置）假裝這裡有個關於精靈背包的描述,(Trial configuration) Pretend there's a description on Bag here,(Cấu hình Test) Giả sử tại đây có miêu tả Túi Pokémon,(테스트 설정) 포켓몬 가방 설명 내용,20,15,1,cardBag
,Pokédex,圖鑒,Pokédex,Đồ giám,도감,city/levelup/icon_tj_rk@.png,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,404404,포켓몬을 수집하고 도감을 개방해 더욱 강한 트레이너가 되세요.,25,20,2,handbook
,Gold Touch,點金,Gold Touch,404404,골드변환,city/levelup/icon_ty_rk@.png,Look for Meowth if you are short of coins!,沒有金幣怎麼辦，找喵喵就對了,Look for Meowth if you are short of coins!,"Không có Gold phải làm sao, tìm Meowth là đúng rồi",코인이 없다구요? 냐옹을 찾아오세요.,30,25,2,gainGold
,Purchase,儲值,Purchase,Nạp tiền,충전,city/levelup/icon_ty_rk@.png,Just perform a reset if you have used up the diamonds,鑽石花光了重置一波就好,Just perform a reset if you have used up the diamonds,Hết Diamond thì Reset là được,다이아가 바닥나면 초기화하세요.,50,40,3,recharge
,Personal image,個人形象,Personal image,Cái hình người tượng,개인 아바타,city/levelup/icon_ty_rk@.png,"Besides catching more Pokémons, remember to change your image as well!",不光精靈要多，也可以變換自己的形象哦,"Besides catching more Pokémons, remember to change your image as well!","Không chỉ thêm Pokémon, còn có thể thay đổi hình ảnh bản thân","""포켓몬도 중요하지만, 자신의 모습도 중요하답니다.""",50,40,3,figure
,Chat,聊天,Chat,Chat,채팅,city/levelup/icon_ty_rk@.png,(Trial configuration) Pretend there's a description on chat here,（測試配置）假裝這裡有個關於聊天的描述,(Trial configuration) Pretend there's a description on chat here,(Cấu hình Test) Giả sử tại đây có miêu tả Chat,(테스트 설정) 채팅 설명 내용,15,10,1,
