变量名,_beizhu,index,seatExtraFix,wave,hp,damage,specialDamage,defence,specialDefence,speed,hpself,damageself,specialDamageself,defenceself,specialDefenceself,speedself
默认值,,,{},,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
id,备注,索引,站位修正,波次,怪物血量修正,怪物攻击修正,怪物攻击修正,怪物防御修正,怪物防御修正,怪物速度修正,己方血量修正,己方攻击修正,己方攻击修正,己方防御修正,己方防御修正,己方攻击修正
11,Gym 1_Difficulty 1,80001,{11=1.1},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
12,Gym 1_Difficulty 1,80001,{11=1.1},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
13,Gym 1_Difficulty 1,80002,{11=1.1},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
14,Gym 1_Difficulty 1,80002,{11=1.1},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
15,Gym 1_Difficulty 1,80002,{11=1.1},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
16,Gym 1_Difficulty 1,80002,{11=1.1},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
17,Gym 1_Difficulty 1,80002,{11=1.1},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
18,Gym 1_Difficulty 1,80002,{11=1.1},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
19,Gym 1_Difficulty 1,80002,{11=1.1},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
20,Gym 1_Difficulty 1,80002,{11=1.1},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
21,Gym 1_Difficulty 1,80002,{11=1.1},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
22,Gym 1_Difficulty 1,80002,{11=1.1},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
23,Gym 1_Difficulty 1,80002,{11=1.1},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
24,Gym 1_Difficulty 1,80002,{11=1.1},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
25,Gym 1_Difficulty 1,80003,{11=1.1},1,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
26,Gym 1_Difficulty 1,80003,{11=1.1},2,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
27,Gym 1_Difficulty 1,80003,{11=1.1},3,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
28,Gym 1_Difficulty 1,80003,{11=1.1},4,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
29,Gym 1_Difficulty 1,80003,{11=1.1},5,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
30,Gym 1_Difficulty 1,80003,{11=1.1},6,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
31,Gym 1_Difficulty 1,80003,{11=1.1},7,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
32,Gym 1_Difficulty 1,80003,{11=1.1},8,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
33,Gym 1_Difficulty 1,80003,{11=1.1},9,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
34,Gym 1_Difficulty 1,80003,{11=1.1},10,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
35,Gym 1_Difficulty 1,80003,{11=1.1},11,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
36,Gym 1_Difficulty 1,80003,{11=1.1},12,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,,,,,,
37,Gym 1_Difficulty 1,80004,,1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
38,Gym 1_Difficulty 1,80004,,2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
39,Gym 1_Difficulty 1,80004,,3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
40,Gym 1_Difficulty 1,80004,,4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
41,Gym 1_Difficulty 1,80004,,5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
42,Gym 1_Difficulty 1,80004,,6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
43,Gym 1_Difficulty 1,80004,,7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
44,Gym 1_Difficulty 1,80004,,8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
45,Gym 1_Difficulty 1,80004,,9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
46,Gym 1_Difficulty 1,80004,,10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
47,Gym 1_Difficulty 1,80004,,11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
48,Gym 1_Difficulty 1,80004,,12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
49,Gym 1_Difficulty 1,80005,,1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
50,Gym 1_Difficulty 1,80005,,2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
51,Gym 1_Difficulty 1,80005,,3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
52,Gym 1_Difficulty 1,80005,,4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
53,Gym 1_Difficulty 1,80005,,5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
54,Gym 1_Difficulty 1,80005,,6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
55,Gym 1_Difficulty 1,80005,,7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
56,Gym 1_Difficulty 1,80005,,8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
57,Gym 1_Difficulty 1,80005,,9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
58,Gym 1_Difficulty 1,80005,,10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
59,Gym 1_Difficulty 1,80005,,11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
60,Gym 1_Difficulty 1,80005,,12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
61,Gym 1_Difficulty 1,80006,,1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
62,Gym 1_Difficulty 1,80006,,2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
63,Gym 1_Difficulty 1,80006,,3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
64,Gym 1_Difficulty 1,80006,,4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
65,Gym 1_Difficulty 1,80006,,5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
66,Gym 1_Difficulty 1,80006,,6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
67,Gym 1_Difficulty 1,80006,,7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
68,Gym 1_Difficulty 1,80006,,8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
69,Gym 1_Difficulty 1,80006,,9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
70,Gym 1_Difficulty 1,80006,,10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
71,Gym 1_Difficulty 1,80006,,11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
72,Gym 1_Difficulty 1,80006,,12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
73,Gym 1_Difficulty 2,80011,{11=1.1},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
74,Gym 1_Difficulty 2,80011,{11=1.1},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
75,Gym 1_Difficulty 2,80011,{11=1.1},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
76,Gym 1_Difficulty 2,80011,{11=1.1},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
77,Gym 1_Difficulty 2,80011,{11=1.1},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
78,Gym 1_Difficulty 2,80011,{11=1.1},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
79,Gym 1_Difficulty 2,80011,{11=1.1},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
80,Gym 1_Difficulty 2,80011,{11=1.1},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
81,Gym 1_Difficulty 2,80011,{11=1.1},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
82,Gym 1_Difficulty 2,80011,{11=1.1},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
83,Gym 1_Difficulty 2,80011,{11=1.1},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
84,Gym 1_Difficulty 2,80011,{11=1.1},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
85,Gym 1_Difficulty 2,80012,{11=1.1},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
86,Gym 1_Difficulty 2,80012,{11=1.1},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
87,Gym 1_Difficulty 2,80012,{11=1.1},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
88,Gym 1_Difficulty 2,80012,{11=1.1},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
89,Gym 1_Difficulty 2,80012,{11=1.1},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
90,Gym 1_Difficulty 2,80012,{11=1.1},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
91,Gym 1_Difficulty 2,80012,{11=1.1},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
92,Gym 1_Difficulty 2,80012,{11=1.1},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
93,Gym 1_Difficulty 2,80012,{11=1.1},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
94,Gym 1_Difficulty 2,80012,{11=1.1},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
95,Gym 1_Difficulty 2,80012,{11=1.1},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
96,Gym 1_Difficulty 2,80012,{11=1.1},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
97,Gym 1_Difficulty 2,80013,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
98,Gym 1_Difficulty 2,80013,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
99,Gym 1_Difficulty 2,80013,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
100,Gym 1_Difficulty 2,80013,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
101,Gym 1_Difficulty 2,80013,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
102,Gym 1_Difficulty 2,80013,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
103,Gym 1_Difficulty 2,80013,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
104,Gym 1_Difficulty 2,80013,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
105,Gym 1_Difficulty 2,80013,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
106,Gym 1_Difficulty 2,80013,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
107,Gym 1_Difficulty 2,80013,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
108,Gym 1_Difficulty 2,80013,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
109,Gym 1_Difficulty 2,80014,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
110,Gym 1_Difficulty 2,80014,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
111,Gym 1_Difficulty 2,80014,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
112,Gym 1_Difficulty 2,80014,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
113,Gym 1_Difficulty 2,80014,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
114,Gym 1_Difficulty 2,80014,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
115,Gym 1_Difficulty 2,80014,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
116,Gym 1_Difficulty 2,80014,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
117,Gym 1_Difficulty 2,80014,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
118,Gym 1_Difficulty 2,80014,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
119,Gym 1_Difficulty 2,80014,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
120,Gym 1_Difficulty 2,80014,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
121,Gym 1_Difficulty 2,80015,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
122,Gym 1_Difficulty 2,80015,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
123,Gym 1_Difficulty 2,80015,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
124,Gym 1_Difficulty 2,80015,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
125,Gym 1_Difficulty 2,80015,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
126,Gym 1_Difficulty 2,80015,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
127,Gym 1_Difficulty 2,80015,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
128,Gym 1_Difficulty 2,80015,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
129,Gym 1_Difficulty 2,80015,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
130,Gym 1_Difficulty 2,80015,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
131,Gym 1_Difficulty 2,80015,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
132,Gym 1_Difficulty 2,80015,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
133,Gym 1_Difficulty 2,80016,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
134,Gym 1_Difficulty 2,80016,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
135,Gym 1_Difficulty 2,80016,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
136,Gym 1_Difficulty 2,80016,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
137,Gym 1_Difficulty 2,80016,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
138,Gym 1_Difficulty 2,80016,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
139,Gym 1_Difficulty 2,80016,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
140,Gym 1_Difficulty 2,80016,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
141,Gym 1_Difficulty 2,80016,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
142,Gym 1_Difficulty 2,80016,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
143,Gym 1_Difficulty 2,80016,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
144,Gym 1_Difficulty 2,80016,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
145,Gym 1_Difficulty 3,80021,{11=1},1,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
146,Gym 1_Difficulty 3,80021,{11=1},2,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
147,Gym 1_Difficulty 3,80021,{11=1},3,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
148,Gym 1_Difficulty 3,80021,{11=1},4,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
