"﻿变量名",name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
15,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,2,0,37,100,
16,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,2,0,37,100,
17,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,2,0,37,100,
18,Collect 5 of all Pokémons,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,5,3,0,38,100,
19,Collect 10 of all Pokémons,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,10,3,0,38,100,
20,Collect 20 of all Pokémons,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,20,3,0,38,100,
21,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,3,0,38,100,
22,Collect 33 of all Pokémons,收集33全體精靈,Collect 33 of all Pokémons,전체 포켓몬 33마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,33,3,0,38,100,
23,Collect 36 of all Pokémons,收集36全體精靈,Collect 36 of all Pokémons,전체 포켓몬 36마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,36,3,0,38,100,
24,Collect 5 of all Pokémons,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,5,4,0,39,100,
25,Collect 10 of all Pokémons,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,10,4,0,39,100,
26,Collect 20 of all Pokémons,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,2,20,4,0,39,100,
27,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,5,0,40,100,
28,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,5,0,40,100,
29,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,5,0,40,100,
30,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,6,0,41,100,
31,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,6,0,41,100,
32,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,6,0,41,100,
33,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,7,0,42,100,
34,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,7,0,42,100,
35,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,7,0,42,100,
36,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,7,0,42,100,
37,Collect 5 of all Pokémons,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,5,8,0,43,100,
38,Collect 10 of all Pokémons,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,10,8,0,43,100,
39,Collect 15 of all Pokémons,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,15,8,0,43,100,
40,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,8,0,43,100,
41,Collect 5 of all Pokémons,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,5,9,0,44,100,
42,Collect 10 of all Pokémons,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,10,9,0,44,100,
43,Collect 15 of all Pokémons,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,15,9,0,44,100,
44,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,9,0,44,100,
45,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,10,0,45,100,
46,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,10,0,45,100,
47,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,10,0,45,100,
48,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,10,0,45,100,
