"﻿变量名",_vipLevel,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc1_tw,desc2_tw,desc3_tw,desc4_tw,desc5_tw,desc6_tw,desc7_tw,desc8_tw,desc9_tw,desc10_tw,desc11_tw,desc1_en,desc2_en,desc3_en,desc4_en,desc5_en,desc6_en,desc7_en,desc8_en,desc9_en,desc10_en,desc11_en,desc1_kr,desc2_kr,desc3_kr,desc4_kr,desc5_kr,desc6_kr,desc7_kr,desc8_kr,desc9_kr,desc10_kr,desc11_kr,desc1_vn,desc2_vn,desc3_vn,desc4_vn,desc5_vn,desc6_vn,desc7_vn,desc8_vn,desc9_vn,desc10_vn,desc11_vn
8,7,"Purchase a total of  #C0xea7004#5000#C0x473E37# diamonds to enjoy the following: ",V7 Grand Pack: #C0xea7004#Blaziken and Image Token,Unlock #C0xea7004# daily quest - Universal shard,Energy can be purchased #C0xea7004#10#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#40#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#45#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#45#C0x473E37# times daily,Contains all privileges for V6 and below,,,累計儲值#C0xea7004#5000#C0x473E37#鑽石即可享受以下特權:,V7大禮包:#C0xea7004#火焰雞和形象信物,解鎖#C0xea7004#日常任務-萬能碎片,每日可購買體力#C0xea7004#10#C0x473E37#次,每日可聚寶#C0xea7004#40#C0x473E37#次,每日可重置精英關卡#C0xea7004#3#C0x473E37#次,精靈背包容量可購買#C0xea7004#45#C0x473E37#次,每日探險器可尋寶#C0xea7004#45#C0x473E37#次,包含V6及以下所有特權內容,,,"Purchase a total of  #C0xea7004#5000#C0x473E37# diamonds to enjoy the following: ",V7 Grand Pack: #C0xea7004#Blaziken and Image Token,Unlock #C0xea7004# daily quest - Universal shard,Energy can be purchased #C0xea7004#10#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#40#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#45#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#45#C0x473E37# times daily,Contains all privileges for V6 and below,,,"#C0xea7004#5000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V7 특별 선물: #C0xea7004#번치코 아바타 증표,#C0xea7004#일일 퀘스트-만능 조각 개방,매일 체력 #C0xea7004#10#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#40#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#3#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#45#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#45#C0x473E37#회 가능,V6 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
9,8,"Purchase a total of  #C0xea7004#7000#C0x473E37# diamonds to enjoy the following: ",V8 Grand Pack: #C0xea7004#Blaziken's Trinket Awakening Item,Unlock #C0xea7004# daily quest - Trinket Key,#C0xea7004#Cooldown time of arena is reduced to 1 minute,Energy can be purchased #C0xea7004#11#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#45#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#50#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#50#C0x473E37# times daily,Contains all privileges for V7 and below,,累計儲值#C0xea7004#7000#C0x473E37#鑽石即可享受以下特權:,V8大禮包:#C0xea7004#火焰雞的飾品覺醒道具,解鎖#C0xea7004#日常任務-飾品鑰匙,#C0xea7004#競技場冷卻時間降到1分鐘,每日可購買體力#C0xea7004#11#C0x473E37#次,每日可聚寶#C0xea7004#45#C0x473E37#次,每日可重置精英關卡#C0xea7004#3#C0x473E37#次,精靈背包容量可購買#C0xea7004#50#C0x473E37#次,每日探險器可尋寶#C0xea7004#50#C0x473E37#次,包含V7及以下所有特權內容,,"Purchase a total of  #C0xea7004#7000#C0x473E37# diamonds to enjoy the following: ",V8 Grand Pack: #C0xea7004#Blaziken's Trinket Awakening Item,Unlock #C0xea7004# daily quest - Trinket Key,#C0xea7004#Cooldown time of arena is reduced to 1 minute,Energy can be purchased #C0xea7004#11#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#45#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#50#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#50#C0x473E37# times daily,Contains all privileges for V7 and below,,"#C0xea7004#7000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V8 특별 선물: #C0xea7004#번치코 액세서리 각성 아이템,#C0xea7004#일일 퀘스트-액세서리 열쇠 개방,#C0xea7004#아레나 쿨타임 시간이 1분으로 감소,매일 체력 #C0xea7004#11#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#45#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#3#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#50#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#50#C0x473E37#회 가능,V7 이하의 모든 특권 내용 포함,,404404,404404,404404,404404,404404,404404,404404,404404,404404,404404,
10,9,"Purchase a total of  #C0xea7004#10000#C0x473E37# diamonds to enjoy the following: ",V9 Grand Pack: #C0xea7004#Blaziken and 1 set of Epic Explorer Device,#C0xea7004#Skill point recovery time is reduced to1pts/5s,Energy can be purchased #C0xea7004#12#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#50#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#55#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#55#C0x473E37# times daily,Contains all privileges for V8 and below,,,累計儲值#C0xea7004#10000#C0x473E37#鑽石即可享受以下特權:,V9大禮包:#C0xea7004#火焰雞碎片和一套紫色探險器,#C0xea7004#技能點回復時間降至1點/5s,每日可購買體力#C0xea7004#12#C0x473E37#次,每日可聚寶#C0xea7004#50#C0x473E37#次,每日可重置精英關卡#C0xea7004#3#C0x473E37#次,精靈背包容量可購買#C0xea7004#55#C0x473E37#次,每日探險器可尋寶#C0xea7004#55#C0x473E37#次,包含V8及以下所有特權內容,,,"Purchase a total of  #C0xea7004#10000#C0x473E37# diamonds to enjoy the following: ",V9 Grand Pack: #C0xea7004#Blaziken and 1 set of Epic Explorer Device,#C0xea7004#Skill point recovery time is reduced to1pts/5s,Energy can be purchased #C0xea7004#12#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#50#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#55#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#55#C0x473E37# times daily,Contains all privileges for V8 and below,,,"#C0xea7004#10000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V9 특별 선물: #C0xea7004#번치코 조각 및 보라색 탐지기 세트,#C0xea7004#스킬 포인트 회복 시간이 5초당 1포인트로 감소,매일 체력 #C0xea7004#12#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#50#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#3#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#55#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#55#C0x473E37#회 가능,V8 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
11,10,"Purchase a total of  #C0xea7004#15000#C0x473E37# diamonds to enjoy the following: ",V10 Grand Pack:#C0xea7004#Blaziken Trinket Awakening Items and Epic Held Items,Unlock #C0xea7004# daily quest - Talent points,Energy can be purchased #C0xea7004#12#C0x473E37# times daily,The adventure road can be reset every day #C0xea7004#2#C0x473E37# times,You can get Treasure Pot #C0xea7004#60#C0x473E37# times daily,Elite levels can be reset #C0xea7004#4#C0x473E37# times daily,Bag space can be purchased #C0xea7004#60#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#60#C0x473E37# times daily,Contains all privileges for V9 and below,,累計儲值#C0xea7004#15000#C0x473E37#鑽石即可享受以下特權:,V10大禮包:#C0xea7004#火焰雞飾品覺醒道具和紫色攜帶道具,解鎖#C0xea7004#日常任務-天賦點,每日可購買體力#C0xea7004#12#C0x473E37#次,每日可重置冒險之路#C0xea7004#2#C0x473E37#次,每日可聚寶#C0xea7004#60#C0x473E37#次,每日可重置精英關卡#C0xea7004#4#C0x473E37#次,精靈背包容量可購買#C0xea7004#60#C0x473E37#次,每日探險器可尋寶#C0xea7004#60#C0x473E37#次,包含V9及以下所有特權內容,,"Purchase a total of  #C0xea7004#15000#C0x473E37# diamonds to enjoy the following: ",V10 Grand Pack:#C0xea7004#Blaziken Trinket Awakening Items and Epic Held Items,Unlock #C0xea7004# daily quest - Talent points,Energy can be purchased #C0xea7004#12#C0x473E37# times daily,,You can get Treasure Pot #C0xea7004#60#C0x473E37# times daily,Elite levels can be reset #C0xea7004#4#C0x473E37# times daily,Bag space can be purchased #C0xea7004#60#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#60#C0x473E37# times daily,Contains all privileges for V9 and below,,"#C0xea7004#15000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V10 특별 선물: #C0xea7004#번치코 액세서리 각성 아이템 및 보라색 휴대 아이템,#C0xea7004#일일 퀘스트-특성포인트 개방,매일 체력 #C0xea7004#12#C0x473E37#회 구매 가능,매일 모험의 길 #C0xea7004#2#C0x473E37#회 초기화 가능,매일 보물단지 #C0xea7004#60#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#4#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#60#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#60#C0x473E37#회 가능,V9 이하의 모든 특권 내용 포함,,404404,404404,404404,404404,404404,404404,404404,404404,404404,404404,
12,11,"Purchase a total of  #C0xea7004#20000#C0x473E37# diamonds to enjoy the following: ",V11 Grand Pack: #C0xea7004#Blaziken Shard and Image Token,#C0xea7004#INo. of available dispatch missions increases to 5,Energy can be purchased #C0xea7004#13#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#70#C0x473E37# times daily,Elite levels can be reset #C0xea7004#4#C0x473E37# times daily,Bag space can be purchased #C0xea7004#65#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#65#C0x473E37# times daily,Contains all privileges for V10 and below,,,累計儲值#C0xea7004#20000#C0x473E37#鑽石即可享受以下特權:,V11大禮包:#C0xea7004#火焰雞碎片和形象信物,#C0xea7004#可接取派遣任務數增加至5,每日可購買體力#C0xea7004#13#C0x473E37#次,每日可聚寶#C0xea7004#70#C0x473E37#次,每日可重置精英關卡#C0xea7004#4#C0x473E37#次,精靈背包容量可購買#C0xea7004#65#C0x473E37#次,每日探險器可尋寶#C0xea7004#65#C0x473E37#次,包含V10及以下所有特權內容,,,"Purchase a total of  #C0xea7004#20000#C0x473E37# diamonds to enjoy the following: ",V11 Grand Pack: #C0xea7004#Blaziken Shard and Image Token,#C0xea7004#INo. of available dispatch missions increases to 5,Energy can be purchased #C0xea7004#13#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#70#C0x473E37# times daily,Elite levels can be reset #C0xea7004#4#C0x473E37# times daily,Bag space can be purchased #C0xea7004#65#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#65#C0x473E37# times daily,Contains all privileges for V10 and below,,,"#C0xea7004#20000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V11 특별 선물: #C0xea7004#번치코 조각 및 아바타 증표,#C0xea7004#파견 퀘스트 수락 가능 수량이 5개로 증가,매일 체력 #C0xea7004#13#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#70#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#4#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#65#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#65#C0x473E37#회 가능,V10 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
13,12,"Purchase a total of  #C0xea7004#30000#C0x473E37# diamonds to enjoy the following: ",V12 Grand Pack: #C0xea7004# Mewtwo!,#C0xea7004#Aether Paradise Combat Points increases by 15%,Energy can be purchased #C0xea7004#13#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#80#C0x473E37# times daily,Elite levels can be reset #C0xea7004#4#C0x473E37# times daily,Bag space can be purchased #C0xea7004#70#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#70#C0x473E37# times daily,Contains all privileges for V11 and below,,,累計儲值#C0xea7004#30000#C0x473E37#鑽石即可享受以下特權:,V12大禮包:#C0xea7004#超夢！,#C0xea7004#乙太樂園戰鬥積分增加15%,每日可購買體力#C0xea7004#13#C0x473E37#次,每日可聚寶#C0xea7004#80#C0x473E37#次,每日可重置精英關卡#C0xea7004#4#C0x473E37#次,精靈背包容量可購買#C0xea7004#70#C0x473E37#次,每日探險器可尋寶#C0xea7004#70#C0x473E37#次,包含V11及以下所有特權內容,,,"Purchase a total of  #C0xea7004#30000#C0x473E37# diamonds to enjoy the following: ",V12 Grand Pack: #C0xea7004# Mewtwo!,#C0xea7004#Aether Paradise Combat Points increases by 15%,Energy can be purchased #C0xea7004#13#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#80#C0x473E37# times daily,Elite levels can be reset #C0xea7004#4#C0x473E37# times daily,Bag space can be purchased #C0xea7004#70#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#70#C0x473E37# times daily,Contains all privileges for V11 and below,,,"#C0xea7004#30000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V12 특별 선물: #C0xea7004#뮤츠!,#C0xea7004#에테르파라다이스 전투 포인트 15% 증가,매일 체력 #C0xea7004#13#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#80#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#4#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#70#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#70#C0x473E37#회 가능,V11 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
14,13,"Purchase a total of  #C0xea7004#60000#C0x473E37# diamonds to enjoy the following: ",V13 Grand Pack: #C0xea7004# Mewtwo shard and Mewtwo awakening item,Unlock #C0xea7004# daily quest - Universal shard,#C0xea7004#Cooldown time of arena is reduced to 10 seconds,Energy can be purchased #C0xea7004#14#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#100#C0x473E37# times daily,Elite levels can be reset #C0xea7004#5#C0x473E37# times daily,Bag space can be purchased #C0xea7004#80#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#80#C0x473E37# times daily,Contains all privileges for V12 and below,,累計儲值#C0xea7004#60000#C0x473E37#鑽石即可享受以下特權:,V13大禮包:#C0xea7004#超夢碎片和超夢覺醒道具,解鎖#C0xea7004#日常任務-神獸萬能碎片,#C0xea7004#競技場冷卻時間降到10秒,每日可購買體力#C0xea7004#14#C0x473E37#次,每日可聚寶#C0xea7004#100#C0x473E37#次,每日可重置精英關卡#C0xea7004#5#C0x473E37#次,精靈背包容量可購買#C0xea7004#80#C0x473E37#次,每日探險器可尋寶#C0xea7004#80#C0x473E37#次,包含V12及以下所有特權內容,,"Purchase a total of  #C0xea7004#60000#C0x473E37# diamonds to enjoy the following: ",V13 Grand Pack: #C0xea7004# Mewtwo shard and Mewtwo awakening item,Unlock #C0xea7004# daily quest - Universal shard,#C0xea7004#Cooldown time of arena is reduced to 10 seconds,Energy can be purchased #C0xea7004#14#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#100#C0x473E37# times daily,Elite levels can be reset #C0xea7004#5#C0x473E37# times daily,Bag space can be purchased #C0xea7004#80#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#80#C0x473E37# times daily,Contains all privileges for V12 and below,,"#C0xea7004#60000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V13 특별 선물: #C0xea7004#뮤츠 조각 및 뮤츠 각성 아이템,#C0xea7004#일일 퀘스트-전설의 포켓몬 만능 조각 개방,#C0xea7004#아레나 쿨타임 시간이 10초로 감소,매일 체력 #C0xea7004#14#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#100#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#5#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#80#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#80#C0x473E37#회 가능,V12 이하의 모든 특권 내용 포함,,404404,404404,404404,404404,404404,404404,404404,404404,404404,404404,
15,14,"Purchase a total of  #C0xea7004#120000#C0x473E37# diamonds to enjoy the following: ",V14 Grand Pack: #C0xea7004# Mewtwo shard and one set of Legendary Explorer Device,#C0xea7004#Aether Paradise Combat Points increases by 30%,Energy can be purchased #C0xea7004#14#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#120#C0x473E37# times daily,Elite levels can be reset #C0xea7004#5#C0x473E37# times daily,Bag space can be purchased #C0xea7004#90#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#90#C0x473E37# times daily,Contains all privileges for V13 and below,,,累計儲值#C0xea7004#120000#C0x473E37#鑽石即可享受以下特權:,V14大禮包:#C0xea7004#超夢碎片和橙色探險器一套,#C0xea7004#乙太樂園戰鬥積分增加30%,每日可購買體力#C0xea7004#14#C0x473E37#次,每日可聚寶#C0xea7004#120#C0x473E37#次,每日可重置精英關卡#C0xea7004#5#C0x473E37#次,精靈背包容量可購買#C0xea7004#90#C0x473E37#次,每日探險器可尋寶#C0xea7004#90#C0x473E37#次,包含V13及以下所有特權內容,,,"Purchase a total of  #C0xea7004#120000#C0x473E37# diamonds to enjoy the following: ",V14 Grand Pack: #C0xea7004# Mewtwo shard and one set of Legendary Explorer Device,#C0xea7004#Aether Paradise Combat Points increases by 30%,Energy can be purchased #C0xea7004#14#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#120#C0x473E37# times daily,Elite levels can be reset #C0xea7004#5#C0x473E37# times daily,Bag space can be purchased #C0xea7004#90#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#90#C0x473E37# times daily,Contains all privileges for V13 and below,,,"#C0xea7004#120000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V14 특별 선물: #C0xea7004#뮤츠 조각 및 주황색 탐지기 세트,#C0xea7004#에테르파라다이스 전투 포인트 30% 증가,매일 체력 #C0xea7004#14#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#120#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#5#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#90#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#90#C0x473E37#회 가능,V13 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
16,15,"Purchase a total of  #C0xea7004#200000#C0x473E37# diamonds to enjoy the following: ",V15 Grand Pack: #C0xea7004#Legendary Pokémon Universal Shard and Legendary Held Item,Energy can be purchased #C0xea7004#15#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#150#C0x473E37# times daily,Elite levels can be reset #C0xea7004#5#C0x473E37# times daily,Bag space can be purchased #C0xea7004#100#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#100#C0x473E37# times daily,Contains all privileges for V14 and below,,,,累計儲值#C0xea7004#200000#C0x473E37#鑽石即可享受以下特權:,V15大禮包:#C0xea7004#神獸萬能碎片和橙色攜帶道具,每日可購買體力#C0xea7004#15#C0x473E37#次,每日可聚寶#C0xea7004#150#C0x473E37#次,每日可重置精英關卡#C0xea7004#5#C0x473E37#次,精靈背包容量可購買#C0xea7004#100#C0x473E37#次,每日探險器可尋寶#C0xea7004#100#C0x473E37#次,包含V14及以下所有特權內容,,,,"Purchase a total of  #C0xea7004#200000#C0x473E37# diamonds to enjoy the following: ",V15 Grand Pack: #C0xea7004#Legendary Pokémon Universal Shard and Legendary Held Item,Energy can be purchased #C0xea7004#15#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#150#C0x473E37# times daily,Elite levels can be reset #C0xea7004#5#C0x473E37# times daily,Bag space can be purchased #C0xea7004#100#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#100#C0x473E37# times daily,Contains all privileges for V14 and below,,,,"#C0xea7004#200000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V15 특별 선물: #C0xea7004#전설의 포켓몬 만능 조각 및 주황색 휴대 아이템,매일 체력 #C0xea7004#15#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#150#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#5#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#100#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#100#C0x473E37#회 가능,V14 이하의 모든 특권 내용 포함,,,,404404,404404,404404,404404,404404,404404,404404,404404,,,
17,16,"Purchase a total of  #C0xea7004#300000#C0x473E37# diamonds to enjoy the following: ",V16 Grand Pack: #C0xea7004#Choose one from four Legendary Pokémon and 1 set of Legendary Explorer Device,You can get Treasure Pot #C0xea7004#180#C0x473E37# times daily,Bag space can be purchased #C0xea7004#110#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#110#C0x473E37# times daily,Contains all privileges for V15 and below,,,,,,累計儲值#C0xea7004#300000#C0x473E37#鑽石即可享受以下特權:,V16大禮包:#C0xea7004#神獸4選1和橙色探險器一套,每日可聚寶#C0xea7004#180#C0x473E37#次,精靈背包容量可購買#C0xea7004#110#C0x473E37#次,每日探險器可尋寶#C0xea7004#110#C0x473E37#次,包含V15及以下所有特權內容,,,,,,"Purchase a total of  #C0xea7004#300000#C0x473E37# diamonds to enjoy the following: ",V16 Grand Pack: #C0xea7004#Choose one from four Legendary Pokémon and 1 set of Legendary Explorer Device,You can get Treasure Pot #C0xea7004#180#C0x473E37# times daily,Bag space can be purchased #C0xea7004#110#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#110#C0x473E37# times daily,Contains all privileges for V15 and below,,,,,,"#C0xea7004#300000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V16 특별 선물: #C0xea7004#전설 4종 중 택1 및 주황색 탐지기 세트,매일 보물단지 #C0xea7004#180#C0x473E37#회 가능,포켓몬 가방 용량 #C0xea7004#110#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#110#C0x473E37#회 가능,V15 이하의 모든 특권 내용 포함,,,,,,404404,404404,404404,404404,404404,404404,404404,,,,
18,17,"Purchase a total of  #C0xea7004#500000#C0x473E37# diamonds to enjoy the following: ",V17 Grand Pack: #C0xea7004#Choose one from four Legendary Held Item and Legendary Universal Stone,You can get Treasure Pot #C0xea7004#210#C0x473E37# times daily,Bag space can be purchased #C0xea7004#120#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#120#C0x473E37# times daily,Contains all privileges for V16 and below,,,,,,累計儲值#C0xea7004#500000#C0x473E37#鑽石即可享受以下特權:,V17大禮包:#C0xea7004#橙色攜帶道具4選1和橙色萬能石,每日可聚寶#C0xea7004#210#C0x473E37#次,精靈背包容量可購買#C0xea7004#120#C0x473E37#次,每日探險器可尋寶#C0xea7004#120#C0x473E37#次,包含V16及以下所有特權內容,,,,,,"Purchase a total of  #C0xea7004#500000#C0x473E37# diamonds to enjoy the following: ",V17 Grand Pack: #C0xea7004#Choose one from four Legendary Held Item and Legendary Universal Stone,You can get Treasure Pot #C0xea7004#210#C0x473E37# times daily,Bag space can be purchased #C0xea7004#120#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#120#C0x473E37# times daily,Contains all privileges for V16 and below,,,,,,"#C0xea7004#500000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V17 특별 선물: #C0xea7004#주황색 휴대 아이템 4개 중 택1 및 주황색 만능의 돌,매일 보물단지 #C0xea7004#210#C0x473E37#회 가능,포켓몬 가방 용량 #C0xea7004#120#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#120#C0x473E37#회 가능,V16 이하의 모든 특권 내용 포함,,,,,,404404,404404,404404,404404,404404,404404,,,,,
19,18,"Purchase a total of  #C0xea7004#800000#C0x473E37# diamonds to enjoy the following: ",V18 Grand Pack: #C0xea7004#Legendary universal shard and Random Marvel Rune,You can get Treasure Pot #C0xea7004#240#C0x473E37# times daily,Bag space can be purchased #C0xea7004#130#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#130#C0x473E37# times daily,Contains all privileges for V17 and below,,,,,,累計儲值#C0xea7004#800000#C0x473E37#鑽石即可享受以下特權:,V18大禮包:#C0xea7004#神獸萬能碎片和紅色符石,每日可聚寶#C0xea7004#240#C0x473E37#次,精靈背包容量可購買#C0xea7004#130#C0x473E37#次,每日探險器可尋寶#C0xea7004#130#C0x473E37#次,包含V17及以下所有特權內容,,,,,,"Purchase a total of  #C0xea7004#800000#C0x473E37# diamonds to enjoy the following: ",V18 Grand Pack: #C0xea7004#Legendary universal shard and Random Marvel Rune,You can get Treasure Pot #C0xea7004#240#C0x473E37# times daily,Bag space can be purchased #C0xea7004#130#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#130#C0x473E37# times daily,Contains all privileges for V17 and below,,,,,,"#C0xea7004#800000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V18 특별 선물: #C0xea7004#전설의 포켓몬 만능 조각 및 빨간색 룬스톤,매일 보물단지 #C0xea7004#240#C0x473E37#회 가능,포켓몬 가방 용량 #C0xea7004#130#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#130#C0x473E37#회 가능,V17 이하의 모든 특권 내용 포함,,,,,,404404,404404,404404,404404,404404,404404,,,,,
