"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,headIcon,treeID,attrDesc,attrDesc_tw,attrDesc_en,attrDesc_vn,attrDesc_kr,attrAddDesc1,attrAddDesc1_tw,attrAddDesc1_en,attrAddDesc1_vn,attrAddDesc1_kr,attrAddDesc2,attrAddDesc2_tw,attrAddDesc2_en,attrAddDesc2_vn,attrAddDesc2_kr,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
106,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_shjm.png,,1,Increases damage reduction for Pokémons at the front lines during battle,戰鬥中提升前排精靈的傷害減免,Increases damage reduction for Pokémons at the front lines during battle,404404,전투 중 전방 라인 포켓몬의 피해 감소를 증가시킨다,Damage reduction increases,傷害減免增加,Damage reduction increases,404404,피해 감소 증가,,,,,,10,103,7,25,1,1,,,23,100,,,,,
200,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_smz.png,,2,Increase base HP % of all Pokémons,提升所有精靈的基礎生命百分比,Increase base HP % of all Pokémons,404404,모든 포켓몬의 기본 HP 퍼센티지를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,45,2,3,,,1,0.50%,,,,,
201,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_wf.png,,2,Increase base P.DEF % of all Pokémons,提升所有精靈的基礎物防百分比,Increase base P.DEF % of all Pokémons,404404,모든 포켓몬의 기본 방어 퍼센티지를 증가시킨다,P.DEF increases,物防增加,P.DEF increases,404404,방어 증가,,,,,,10,200,7,45,2,3,,,9,0.50%,,,,,
202,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_tf.png,,2,Increase base SP.DEF % of all Pokémons,提升所有精靈的基礎特防百分比,Increase base SP.DEF % of all Pokémons,404404,모든 포켓몬의 기본 특수 방어 퍼센티지를 증가시킨다,SP.DEF increases,特防增加,SP.DEF increases,404404,특수 방어 증가,,,,,,10,201,7,45,3,3,,,10,0.50%,,,,,
203,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_bjkx.png,,2,Increase base critical hit resistance % of all Pokémons,提升所有精靈的基礎暴擊抗性百分比,Increase base critical hit resistance % of all Pokémons,404404,모든 포켓몬의 기본 치명타 내성 퍼센티지를 증가시킨다,Critical hit resistance increases,暴擊抗性增加,Critical hit resistance increases,404404,치명타 내성 증가,,,,,,10,202,7,45,4,3,,,16,50,,,,,
204,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_wg.png,,2,Increase base P.ATK % of all Pokémons,提升所有精靈的基礎物攻百分比,Increase base P.ATK % of all Pokémons,404404,모든 포켓몬의 기본 공격 퍼센티지를 증가시킨다,P.ATK increase,物攻增加,P.ATK increase,404404,공격 증가,,,,,,10,200,7,45,2,3,,,7,0.50%,,,,,
205,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_tg.png,,2,Increase base SP.ATK % of all Pokémons,提升所有精靈的基礎特攻百分比,Increase base SP.ATK % of all Pokémons,404404,모든 포켓몬의 기본 특수 공격 퍼센티지를 증가시킨다,SP.ATK increases,特攻增加,SP.ATK increases,404404,특수 공격 증가,,,,,,10,204,7,45,3,3,,,8,0.50%,,,,,
206,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_bj.png,,2,Increase base critical hit % of all Pokémons,提升所有精靈的基礎暴擊百分比,Increase base critical hit % of all Pokémons,404404,모든 포켓몬의 기본 치명타 퍼센티지를 증가시킨다,Critical hit increase s,暴擊增加,Critical hit increase s,404404,치명타 증가,,,,,,10,205,7,45,4,3,,,14,50,,,,,
207,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_shjm.png,,2,Increase base damage reduction % of all Pokémons,提升所有精靈的基礎傷害減免百分比,Increase base damage reduction % of all Pokémons,404404,모든 포켓몬의 기본 피해 감소 퍼센티지를 증가시킨다,Damage reduction increases,傷害減免增加,Damage reduction increases,404404,피해 감소 증가,,,,,,10,200,7,45,2,3,,,23,50,,,,,
208,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_shjc.png,,2,Increase base damage bonus % of all Pokémons,提升所有精靈的基礎傷害加成百分比,Increase base damage bonus % of all Pokémons,404404,모든 포켓몬의 기본 피해 보너스 퍼센티지를 증가시킨다,Damage bonus increases,傷害加成增加,Damage bonus increases,404404,피해 보너스 증가,,,,,,10,207,7,45,3,3,,,22,50,,,,,
209,Upgrade talent,進階天賦,Upgrade talent,404404,진급 특성,city/develop/talent/icon_sd.png,,2,Increase base Speed % of all Pokémons,提升所有精靈的基礎速度百分比,Increase base Speed % of all Pokémons,404404,모든 포켓몬의 기본 스피드 퍼센티지를 증가시킨다,Speed increases,速度增加,Speed increases,404404,스피드 증가,,,,,,10,208,7,45,4,3,,,13,0.50%,,,,,
300,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_yb.png,3,Increase HP of all Normal-type Pokémons,提升所有一般系精靈的生命,Increase HP of all Normal-type Pokémons,404404,모든 노말 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,1,,1,0.50%,,,,,
301,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_yb.png,3,Boosts the damage bonus of Normal-type moves of all Pokémons,提升所有精靈一般系技能傷害加成,Boosts the damage bonus of Normal-type moves of all Pokémons,404404,모든 포켓몬의 노말 타입 스킬의 피해 보너스를 증가시킨다,Increases damage bonus of Normal-type moves,一般系技能傷害加成增加,Increases damage bonus of Normal-type moves,404404,노말 타입 스킬의 피해 보너스 증가,,,,,,10,300,7,65,6,3,,,36,100,,,,,
302,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_yb.png,3,Boosts the damage reduction of Normal-type moves of all Pokémons,提升所有精靈一般系技能傷害減免,Boosts the damage reduction of Normal-type moves of all Pokémons,404404,모든 포켓몬의 노말 타입 스킬의 피해 감소를 증가시킨다,Normal-type damage reduction increases,一般系技能傷害減免增加,Normal-type damage reduction increases,404404,노말 타입 스킬의 피해 감소 증가,,,,,,10,301,7,65,7,3,,,54,100,,,,,
303,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_hx.png,3,Increase HP of all Fire-type Pokémons,提升所有火系精靈的生命,Increase HP of all Fire-type Pokémons,404404,모든 불꽃 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,2,,1,0.50%,,,,,
304,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_hx.png,3,Boosts the damage bonus of all Pokémons' Fire-type moves,提升所有精靈火系技能傷害加成,Boosts the damage bonus of all Pokémons' Fire-type moves,404404,모든 포켓몬의 불꽃 타입 스킬의 피해 보너스를 증가시킨다,Increases damage bonus of Fire-type moves,火系技能傷害加成增加,Increases damage bonus of Fire-type moves,404404,불꽃 타입 스킬 피해 보너스 증가,,,,,,10,303,7,65,6,3,,,37,100,,,,,
305,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_hx.png,3,Boosts the damage of Fire-type moves of all Pokémons,提升所有精靈火系技能傷害減免,Boosts the damage of Fire-type moves of all Pokémons,404404,모든 포켓몬의 불꽃 타입 스킬의 피해 감소를 증가시킨다,Fire-type damage reduction increases,火系技能傷害減免增加,Fire-type damage reduction increases,404404,불꽃 타입 스킬 피해 감소 증가,,,,,,10,304,7,65,7,3,,,55,100,,,,,
306,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_sx.png,3,Increase HP of all Water-type Pokémons,提升所有水系精靈的生命,Increase HP of all Water-type Pokémons,404404,모든 물 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,3,,1,0.50%,,,,,
307,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_sx.png,3,Boosts the damage bonus of Water-type moves of all Pokémons,提升所有精靈水系技能傷害加成,Boosts the damage bonus of Water-type moves of all Pokémons,404404,모든 포켓몬의 물 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Water-type moves,水系技能傷害加成增加,Increases damage bonus of Water-type moves,404404,물 타입 스킬 피해 보너스 증가,,,,,,10,306,7,65,6,3,,,38,100,,,,,
308,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_sx.png,3,Boosts the damage of Water-type moves of all Pokémons,提升所有精靈水系技能傷害減免,Boosts the damage of Water-type moves of all Pokémons,404404,모든 포켓몬의 물 타입 스킬 피해 감소를 증가시킨다,Water-type damage reduction increases,水系技能傷害減免增加,Water-type damage reduction increases,404404,물 타입 스킬 피해 감소 증가,,,,,,10,307,7,65,7,3,,,56,100,,,,,
309,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_cx.png,3,Increase HP of all Grass-type Pokémons,提升所有草系精靈的生命,Increase HP of all Grass-type Pokémons,404404,모든 풀 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,4,,1,0.50%,,,,,
310,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cx.png,3,Boosts the damage bonus of Grass-type moves of all Pokémons,提升所有精靈草系技能傷害加成,Boosts the damage bonus of Grass-type moves of all Pokémons,404404,모든 포켓몬의 풀 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Grass-type moves,草系技能傷害加成增加,Increases damage bonus of Grass-type moves,404404,풀 타입 스킬 피해 보너스 증가,,,,,,10,309,7,65,6,3,,,39,100,,,,,
311,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cx.png,3,Boosts the damage of Grass-type moves of all Pokémons,提升所有精靈草系技能傷害減免,Boosts the damage of Grass-type moves of all Pokémons,404404,모든 포켓몬의 풀 타입 스킬의 피해 감소를 증가시킨다,Grass-type damage reduction increases,草系技能傷害減免增加,Grass-type damage reduction increases,404404,풀 타입 스킬 피해 감소 증가,,,,,,10,310,7,65,7,3,,,57,100,,,,,
312,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_dq.png,3,Increase HP of all Electric-type Pokémons,提升所有電系精靈的生命,Increase HP of all Electric-type Pokémons,404404,모든 전기 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,5,,1,0.50%,,,,,
313,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dq.png,3,Boosts the damage bonus of Electric-type moves of all Pokémons,提升所有精靈電系技能傷害加成,Boosts the damage bonus of Electric-type moves of all Pokémons,404404,모든 포켓몬의 전기 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Electric-type moves,電系技能傷害加成增加,Increases damage bonus of Electric-type moves,404404,전기 타입 스킬 피해 보너스 증가,,,,,,10,312,7,65,6,3,,,40,100,,,,,
314,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dq.png,3,Boosts the damage of Electric-type moves of all Pokémons,提升所有精靈電系技能傷害減免,Boosts the damage of Electric-type moves of all Pokémons,404404,모든 포켓몬의 전기 타입 스킬의 피해 감소를 증가시킨다,Electric-type damage reduction increases,電系技能傷害減免增加,Electric-type damage reduction increases,404404,전기 타입 스킬 피해 감소 증가,,,,,,10,313,7,65,7,3,,,58,100,,,,,
315,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_bx.png,3,Increase HP of all Ice-type Pokémons,提升所有冰系精靈的生命,Increase HP of all Ice-type Pokémons,404404,모든 얼음 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,6,,1,0.50%,,,,,
316,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_bx.png,3,Boosts the damage bonus of Ice-type moves of all Pokémons,提升所有精靈冰系技能傷害加成,Boosts the damage bonus of Ice-type moves of all Pokémons,404404,모든 포켓몬의 얼음 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Ice-type moves,冰系技能傷害加成增加,Increases damage bonus of Ice-type moves,404404,얼음 타입 스킬 피해 보너스 증가,,,,,,10,315,7,65,6,3,,,41,100,,,,,
317,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_bx.png,3,Boosts the damage of Ice-type moves of all Pokémons,提升所有精靈冰系技能傷害減免,Boosts the damage of Ice-type moves of all Pokémons,404404,모든 포켓몬의 얼음 타입 스킬의 피해 감소를 증가시킨다,Ice-type damage reduction increases,冰系技能傷害減免增加,Ice-type damage reduction increases,404404,얼음 타입 스킬 피해 감소 증가,,,,,,10,316,7,65,7,3,,,59,100,,,,,
318,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_gd.png,3,Increase HP of all Fighting-type Pokémons,提升所有格鬥系精靈的生命,Increase HP of all Fighting-type Pokémons,404404,모든 격투 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,7,,1,0.50%,,,,,
319,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_gd.png,3,Boosts the damage bonus of Fighting-type moves of all Pokémons,提升所有精靈格鬥系技能傷害加成,Boosts the damage bonus of Fighting-type moves of all Pokémons,404404,모든 포켓몬의 격투 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Fighting-type moves,格鬥系技能傷害加成增加,Increases damage bonus of Fighting-type moves,404404,격투 타입 스킬 피해 보너스 증가,,,,,,10,318,7,65,6,3,,,42,100,,,,,
320,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_gd.png,3,Boosts the damage reduction of Fighting-type moves of all Pokémons,提升所有精靈格鬥系技能傷害減免,Boosts the damage reduction of Fighting-type moves of all Pokémons,404404,모든 포켓몬의 격투 타입 스킬의 피해 감소를 증가시킨다,Fighting-type damage reduction increases,格鬥系技能傷害減免增加,Fighting-type damage reduction increases,404404,격투 타입 스킬 피해 감소 증가,,,,,,10,319,7,65,7,3,,,60,100,,,,,
321,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_dx.png,3,Increase HP of all Poison-type Pokémons,提升所有毒系精靈的生命,Increase HP of all Poison-type Pokémons,404404,모든 독 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,8,,1,0.50%,,,,,
322,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dx.png,3,Increases damage bonus of all Poison-type moves,提升所有精靈毒系技能傷害加成,Increases damage bonus of all Poison-type moves,404404,모든 포켓몬의 독 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Poison-type moves,毒系技能傷害加成增加,Increases damage bonus of Poison-type moves,404404,독 타입 스킬 피해 보너스 증가,,,,,,10,321,7,65,6,3,,,43,100,,,,,
323,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dx.png,3,Boosts the damage of Poison-type moves of all Pokémons,提升所有精靈毒系技能傷害減免,Boosts the damage of Poison-type moves of all Pokémons,404404,모든 포켓몬의 독 타입 스킬의 피해 감소를 증가시킨다,Poison-type damage reduction increases,毒系技能傷害減免增加,Poison-type damage reduction increases,404404,독 타입 스킬 피해 감소 증가,,,,,,10,322,7,65,7,3,,,61,100,,,,,
324,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_dm.png,3,Increase HP of all Ground-type Pokémons,提升所有地面系精靈的生命,Increase HP of all Ground-type Pokémons,404404,모든 땅 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,9,,1,0.50%,,,,,
325,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dm.png,3,Increases the damage bonus of all Pokémons' Ground-type moves,提升所有精靈地面系技能傷害加成,Increases the damage bonus of all Pokémons' Ground-type moves,404404,모든 포켓몬의 땅 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Ground-type moves,地面系技能傷害加成增加,Increases damage bonus of Ground-type moves,404404,땅 타입 스킬 피해 보너스 증가,,,,,,10,324,7,65,6,3,,,44,100,,,,,
326,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dm.png,3,Boosts the damage of Ground-type moves of all Pokémons,提升所有精靈地面系技能傷害減免,Boosts the damage of Ground-type moves of all Pokémons,404404,모든 포켓몬의 땅 타입 스킬의 피해 감소를 증가시킨다,Ground-type damage reduction increases,地面系技能傷害減免增加,Ground-type damage reduction increases,404404,땅 타입 스킬 피해 감소 증가,,,,,,10,325,7,65,7,3,,,62,100,,,,,
327,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_fx.png,3,Increase HP of all Flying-type Pokémons,提升所有飛行系精靈的生命,Increase HP of all Flying-type Pokémons,404404,모든 비행 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,10,,1,0.50%,,,,,
328,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_fx.png,3,Boosts the damage bonus of Flying-type moves of all Pokémons,提升所有精靈飛行系技能傷害加成,Boosts the damage bonus of Flying-type moves of all Pokémons,404404,모든 포켓몬의 비행 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Flying-type moves,飛行系技能傷害加成增加,Increases damage bonus of Flying-type moves,404404,비행 타입 스킬 피해 보너스 증가,,,,,,10,327,7,65,6,3,,,45,100,,,,,
329,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_fx.png,3,Boosts the damage reduction of Flying-type moves of all Pokémons,提升所有精靈飛行系技能傷害減免,Boosts the damage reduction of Flying-type moves of all Pokémons,404404,모든 포켓몬의 비행 타입 스킬의 피해 감소를 증가시킨다,Flying-type damage reduction increases,飛行系技能傷害減免增加,Flying-type damage reduction increases,404404,비행 타입 스킬 피해 감소 증가,,,,,,10,328,7,65,7,3,,,63,100,,,,,
330,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_cn.png,3,Increase HP of all Psychic-type Pokémons,提升所有超能系精靈的生命,Increase HP of all Psychic-type Pokémons,404404,모든 에스퍼 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,11,,1,0.50%,,,,,
331,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cn.png,3,Boosts the damage bonus of Psychic-type moves of all Pokémons,提升所有精靈超能系技能傷害加成,Boosts the damage bonus of Psychic-type moves of all Pokémons,404404,모든 포켓몬의 에스퍼 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Psychic-type moves,超能系技能傷害加成增加,Increases damage bonus of Psychic-type moves,404404,에스퍼 타입 스킬 피해 보너스 증가,,,,,,10,330,7,65,6,3,,,46,100,,,,,
332,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cn.png,3,Boosts the damage of Psychic-type moves of all Pokémons,提升所有精靈超能系技能傷害減免,Boosts the damage of Psychic-type moves of all Pokémons,404404,모든 포켓몬의 에스퍼 타입 스킬의 피해 감소를 증가시킨다,Psychic-type damage reduction increases,超能系技能傷害減免增加,Psychic-type damage reduction increases,404404,에스퍼 타입 스킬 피해 감소 증가 스킬,,,,,,10,331,7,65,7,3,,,64,100,,,,,
333,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_cx1.png,3,Increase HP of all Bug-type Pokémons,提升所有蟲系精靈的生命,Increase HP of all Bug-type Pokémons,404404,모든 벌레 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,12,,1,0.50%,,,,,
334,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cx1.png,3,Boosts the damage bonus of Bug-type moves of all Pokémons,提升所有精靈蟲系技能傷害加成,Boosts the damage bonus of Bug-type moves of all Pokémons,404404,모든 포켓몬의 벌레 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Bug-type moves,蟲系技能傷害加成增加,Increases damage bonus of Bug-type moves,404404,벌레 타입 스킬 피해 보너스 증가,,,,,,10,333,7,65,6,3,,,47,100,,,,,
335,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cx1.png,3,Increase damage reductions of all Bug-type moves,提升所有精靈蟲系技能傷害減免,Increase damage reductions of all Bug-type moves,404404,모든 포켓몬의 벌레 타입 스킬의 피해 감소를 증가시킨다,Bug-type damage reduction increases,蟲系技能傷害減免增加,Bug-type damage reduction increases,404404,벌레 타입 스킬 피해 감소 증가,,,,,,10,334,7,65,7,3,,,65,100,,,,,
336,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_smz.png,city/develop/talent/txt_ys1.png,3,Increase HP of all Rock-type Pokémons,提升所有岩石系精靈的生命,Increase HP of all Rock-type Pokémons,404404,모든 바위 타입 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,,,65,5,4,13,,1,0.50%,,,,,
337,Element Talent,元素天賦,Element Talent,404404,원소 특성,city/develop/talent/icon_ysg.png,city/develop/talent/txt_ys1.png,3,Boosts the damage bonus of Rock-type moves of all Pokémons,提升所有精靈岩石系技能傷害加成,Boosts the damage bonus of Rock-type moves of all Pokémons,404404,모든 포켓몬의 바위 타입 스킬 피해 보너스를 증가시킨다,Increases damage bonus of Rock-type moves,岩石系技能傷害加成增加,Increases damage bonus of Rock-type moves,404404,바위 타입 스킬 피해 보너스 증가,,,,,,10,336,7,65,6,3,,,48,100,,,,,
