变量名,name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
1511,Pokémon Alliance,妖精同盟,Pokémon Alliance,페어리 리그,,,,,,<3351;3431>,,,{7=10%;8=10%}
1512,Normal Family,普通家庭,Normal Family,정상적인 가족,,,,,,<1441;471>,,,{1=10%}
1513,Singing Idol,歌唱偶像,Singing Idol,노래하는 아이돌,,,,,,<1391;131>,,,{7=10%;8=10%}
1611,Poison Bug,毒蟲出沒,Poison Bug,독충 출몰,,,,,,<3771;281;2271;>,,,{7=10%;8=10%}
1612,Flying Family,飛行家族,Flying Family,비행 가족,,,,,,<3591;3661;2891;>,,,{1=12%}
1613,Brock’s Partner,小剛夥伴,Brock’s Partner,웅의 파트너,,,,,,<401;1311;1351;>,,,{7=10%;8=10%}
1614,Forest Counter,森林對抗,Forest Counter,산림 대항,,,,,,<1241;111;191;>,,,{23=500}
1711,Grass Pledge,草之誓約,Grass Pledge,풀의 맹세,,,,,,<81;2271;3281;>,,,{7=8%;8=8%}
1712,Forest Will,森林意志,Forest Will,숲의 의지,,,,,,<1351;1;2011;>,,,{1=10%}
1713,Adventure Partner,冒險同伴,Adventure Partner,모험 동반자,,,,,,<371;2681;131;>,,,{7=8%;8=8%}
1911,Bug Rising,蟲蟲崛起,Bug Rising,버그의 상승,,,,,,<61;371;1441;>,,,{7=8%;8=8%}
1912,Forest Power,森林力量,Forest Power,숲의 힘,,,,,,<41;2681;481;>,,,{1=10%}
1913,Team Friendship,群體情誼,Team Friendship,그룹 우정,,,,,,<301;3281>,,,{7=8%;8=8%}
2211,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<631;1351>,,,{7=10%;8=10%}
2212,Let's go,沖鴨沖鴨,Let's go,종덕 종덕,,,,,,<341;601>,,,{1=10%}
2213,Turning water into ice,凝水成冰,Turning water into ice,얼음으로 응축,,,,,,<1861;3011>,,,{7=10%;8=10%}
2311,Fighting Forces,格鬥勢力,Fighting Forces,싸우는 힘,,,,,,<451;2271;3511;>,,,{7=8%;8=8%}
2312,Fist Power,拳之力量,Fist Power,주먹의 힘,,,,,,<461;271;2631;>,,,{1=10%}
2313,Technique control,技巧掌控,Technique control,스킬 컨트롤,,,,,,<3011;371>,,,{7=8%;8=8%}
2411,Towering Rage,怒火沖天,Towering Rage,너무 화났어,,,,,,<1231;3341;1611;>,,,{7=10%;8=10%}
2412,Dog Pound,狗狗出擊,Dog Pound,개 공격,,,,,,<1171;1841>,,,{1=12%}
2413,70mph,速度七十邁,70mph,70 걸음,,,,,,<261;351>,,,{7=10%;8=10%}
2414,Fusion of Water and Fire,水火相融,Fusion of Water and Fire,물과 불,,,,,,<3301;791;551;>,,,{14=500}
2611,Special Power,特異功能,Special Power,특정 기능,,,,,,<1391;1901>,,,{7=10%;8=10%}
2612,Dispel Evil Spirits,惡靈退散,Dispel Evil Spirits,악령 퇴각,,,,,,<391;2921;3561;>,,,{1=12%}
2613,Telepathy,心電感應,Telepathy,텔레파시,,,,,,<881;91;2891;>,,,{7=10%;8=10%}
2614,Half asleep,半夢半醒,Half asleep,반쯤 깨어,,,,,,<1421;1441>,,,{22=500}
2711,Fighting Forces,格鬥勢力,Fighting Forces,싸우는 힘,,,,,,<1071;471;3281;>,,,{7=10%;8=10%}
2712,Fist Power,拳之力量,Fist Power,주먹의 힘,,,,,,<2631;3511;2271;>,,,{1=10%}
2713,Technique control,技巧掌控,Technique control,스킬 컨트롤,,,,,,<2611;301;2821;>,,,{7=10%;8=10%}
2811,Grass Pledge,草之誓約,Grass Pledge,풀의 맹세,,,,,,<2301;3281;1351;>,,,{7=10%;8=10%}
2812,Forest Will,森林意志,Forest Will,숲의 의지,,,,,,<1;781;2011;>,,,{1=10%}
2813,Adventure Partner,冒險同伴,Adventure Partner,모험 동반자,,,,,,<781;2681;2271;>,,,{7=10%;8=10%}
3011,Rock Barrier,岩石壁壘,Rock Barrier,바위 장벽,,,,,,<3501;491;801;>,,,{7=10%;8=10%}
3012,Sandstorm,沙暴之勢,Sandstorm,모래 폭풍,,,,,,<691;2591;101;>,,,{1=10%}
3013,Natural combination,自然組合,Natural combination,자연스러운 조합,,,,,,<2481;2011;2611;>,,,{7=10%;8=10%}
3311,Electric family,雷電家族,Electric family,라이덴 가족,,,,,,<591;731;2071;>,,,{7=10%;8=10%}
3312,Steel Frame,鋼筋鐵骨,Steel Frame,강화 된 철 뼈,,,,,,<1901;2961>,,,{1=12%}
3313,Charging and Shoving Around,橫衝直撞,Charging and Shoving Around,날 뛰기,,,,,,<1501;2611>,,,{7=10%;8=10%}
3314,Levitation Control,懸浮操控,Levitation Control,플로팅 컨트롤,,,,,,<3021;2871;3561;>,,,{23=500}
3411,General relationship,一般關係,General relationship,일반적인 관계,,,,,,<51;3511>,,,{7=10%;8=10%}
3412,Duck Legion,鴨鴨軍團,Duck Legion,오리 군대,,,,,,<601;221>,,,{1=10%}
3413,Companions,同行夥伴,Companions,동료 파트너,,,,,,<2241;391;91;>,,,{7=10%;8=10%}
3511,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<61;471;51;>,,,{7=8%;8=8%}
3512,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<71;891;3511;>,,,{1=10%}
3513,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<2891;371;1611;>,,,{7=8%;8=8%}
3711,Poison-type companions,毒系同伴,Poison-type companions,독의 동반자,,,,,,<81;471;2611;>,,,{7=10%;8=10%}
3712,Poisonous Body,毒之身軀,Poisonous Body,유독 한 몸,,,,,,<481;2271;281;>,,,{1=10%}
3713,Mysterious power,神秘力量,Mysterious power,신비한 힘,,,,,,<2721;551;2591;>,,,{7=10%;8=10%}
3811,Water Habitat,水棲息地,Water Habitat,물 서식지,,,,,,<1241;2031;801;>,,,{7=10%;8=10%}
3812,Stalwart Shell,堅硬外殼,Stalwart Shell,딱딱한 껍데기,,,,,,<3021;1901;3411;>,,,{1=12%}
3813,Beach Adventure,海灘奇遇,Beach Adventure,해변 기우,,,,,,<641;631;551;>,,,{7=10%;8=10%}
3814,Frozen Age,冰凍紀元,Frozen Age,얼음 기원,,,,,,<1081;2301;3501;>,,,{23=500}
3911,Ghost Detection,幽靈感應,Ghost Detection,영감은,,,,,,<1811;3411;2921;>,,,{7=10%;8=10%}
3912,Tremble with fear,膽戰心寒,Tremble with fear,냉각,,,,,,<3021>,,,{1=12%}
3913,Poisonous evil,怨毒邪力,Poisonous evil,끔찍한 힘,,,,,,<481;2271;2681;>,,,{7=10%;8=10%}
3914,Mischievous,調皮搗蛋,Mischievous,못된,,,,,,<2821;2721;1081;>,,,{22=500}
4011,Rock Skin,岩石皮膚,Rock Skin,바위 피부,,,,,,<1251;301>,,,{7=10%;8=10%}
4012,Geomancy,大地掌控,Geomancy,지구 통제,,,,,,<491;2611>,,,{1=12%}
4013,Steel Family,鋼鐵家族,Steel Family,강철 가족,,,,,,<3411;1501;2961;>,,,{7=10%;8=10%}
4014,Pledge Partner,誓約夥伴,Pledge Partner,맹세 파트너,,,,,,<2241;271;461;>,,,{23=500}
4511,Forest companions,森林同伴,Forest companions,숲의 동반자,,,,,,<61;301;2591;>,,,{7=8%;8=8%}
4512,Geomancy,大地掌控,Geomancy,지구 통제,,,,,,<101;1611;2611;>,,,{1=10%}
4513,Awakening detection,覺醒感應,Awakening detection,각성 유도,,,,,,<2891;51>,,,{7=8%;8=8%}
4611,Fighting Forces,格鬥勢力,Fighting Forces,싸우는 힘,,,,,,<191;3511;2631;>,,,{7=10%;8=10%}
4612,Fist Power,拳之力量,Fist Power,주먹의 힘,,,,,,<231;271;2271;>,,,{1=10%}
4613,Technique control,技巧掌控,Technique control,스킬 컨트롤,,,,,,<2891;1071>,,,{7=10%;8=10%}
4711,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<3341;2591;2631;>,,,{7=10%;8=10%}
4712,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<51;1441;301;>,,,{1=10%}
4713,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<131;271;71;>,,,{7=10%;8=10%}
4811,Poison-type companions,毒系同伴,Poison-type companions,독의 동반자,,,,,,<791;2871;3431;>,,,{7=10%;8=10%}
4812,Poisonous Body,毒之身軀,Poisonous Body,유독 한 몸,,,,,,<371;2271;2961;>,,,{1=10%}
4813,Mysterious power,神秘力量,Mysterious power,신비한 힘,,,,,,<2721;331;1861;>,,,{7=10%;8=10%}
4911,Forest companions,森林同伴,Forest companions,숲의 동반자,,,,,,<1251;2231;1611;>,,,{7=10%;8=10%}
4912,Rock solid,堅若磐石,Rock solid,바위처럼 단단함,,,,,,<1501;301;2591;>,,,{1=12%}
4913,Spreading of Ground Fire,地火蔓延,Spreading of Ground Fire,지상 화재 확산,,,,,,<1231;2481>,,,{7=10%;8=10%}
4914,Tonnage Crush,噸位碾壓,Tonnage Crush,톤수 롤링,,,,,,<3501;1861>,,,{23=500}
5011,Benevolence,醫者仁心,Benevolence,의자인심,,,,,,<3351;781;1351;>,,,{7=10%;8=10%}
5012,Cutie Alliance,萌寵聯盟,Cutie Alliance,펫의 연맹,,,,,,<3541;221;2841;>,,,{1=12%}
5013,Strong Belief,強大信念,Strong Belief,강한 신념,,,,,,<7001;2891;3281;>,,,{7=10%;8=10%}
5014,Power of Happiness,幸福之力,Power of Happiness,행복의 힘,,,,,,<1771;1891;861;>,,,{23=500}
5411,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<3471;891;81;>,,,{7=8%;8=8%}
5412,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<1351;21;551;>,,,{1=10%}
5413,Overturn,覆舟之勢,Overturn,전복,,,,,,<2271;1861>,,,{7=8%;8=8%}
5511,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<781;1861;2301;>,,,{7=10%;8=10%}
5512,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<21;801;3471;>,,,{1=10%}
5513,Overturn,覆舟之勢,Overturn,전복,,,,,,<2871;2921;3501;>,,,{7=10%;8=10%}
5711,Bug Rising,蟲蟲崛起,Bug Rising,버그의 상승,,,,,,<1071;2681;31;>,,,{7=10%;8=10%}
5712,Hardened Body,體質硬化,Hardened Body,물리적 경화,,,,,,<3411;2961>,,,{1=12%}
5713,Assassins Alliance,刺客聯盟,Assassins Alliance,리그 오브 어쌔신,,,,,,<1291;3301>,,,{7=10%;8=10%}
5714,Blade,刀鋒戰士,Blade,블레이드 워리어,,,,,,<691;3001>,,,{14=500}
5911,Electric family,雷電家族,Electric family,라이덴 가족,,,,,,<1221;881;2891;>,,,{7=10%;8=10%}
5912,Thunderbolt,十萬伏特,Thunderbolt,10만볼트,,,,,,<731;91;2071;>,,,{1=12%}
5913,Insulator,絕緣體質,Insulator,절연체,,,,,,<2231;2611>,,,{7=10%;8=10%}
5914,Conductive body,導電體質,Conductive body,지휘자,,,,,,<3301;21>,,,{14=500}
6011,Flame Control,火焰掌控,Flame Control,화염 제어,,,,,,<3291;741;1301;>,,,{7=10%;8=10%}
6012,Flame of life,生命之焰,Flame of life,생명의 불꽃,,,,,,<1231>,,,{1=12%}
6013,Let's go,沖鴨沖鴨,Let's go,종덕 종덕,,,,,,<221;341>,,,{7=10%;8=10%}
6014,Fusion of Water and Fire,水火相融,Fusion of Water and Fire,물과 불,,,,,,<1311;631>,,,{14=500}
6111,,蟲蟲軍團,,,,,,,,<571;1071;2681;>,,,{7=10%;8=10%}
6112,,恢復剋星,,,,,,,,<1031;161;2271;>,,,{1=12%}
6113,,物理鐵牆,,,,,,,,<491;301;3281;>,,,{7=10%;8=10%}
6114,,超級巨鉗,,,,,,,,<801;3471>,,,{14=500}
6311,Tide Power,怒濤之力,Tide Power,분노의 힘,,,,,,<1241;1311;801;>,,,{7=10%;8=10%}
6312,Blessings of the Water God,水神祝福,Blessings of the Water God,물신의 축복,,,,,,<551;21;3301;>,,,{1=12%}
6313,Overturn,覆舟之勢,Overturn,전복,,,,,,<1611;2721>,,,{7=10%;8=10%}
6314,Flying Desire,飛翔渴望,Flying Desire,비행 욕망,,,,,,<1891;3511;2891;351>,,,{14=500}
6411,Force of Water,水流力量,Force of Water,현재 힘,,,,,,<1311;381;801;>,,,{7=10%;8=10%}
6412,Ice Bloodline,冰系一脈,Ice Bloodline,아이스 라인,,,,,,<1921;3501;2301;>,,,{1=12%}
6413,Gentle Heart,溫柔之心,Gentle Heart,부드러운 마음,,,,,,<1501;471>,,,{7=10%;8=10%}
6414,Think Tank,智囊擔當,Think Tank,싱크 탱크,,,,,,<261;1901;221;>,,,{23=500}
6911,Rock Barrier,岩石壁壘,Rock Barrier,바위 장벽,,,,,,<3471;2011;2631;>,,,{7=10%;8=10%}
6912,Sandstorm,沙暴之勢,Sandstorm,모래 폭풍,,,,,,<301;101;801;>,,,{1=10%}
6913,Natural combination,自然組合,Natural combination,자연스러운 조합,,,,,,<451;2611;2591;>,,,{7=10%;8=10%}
7011,Rock Assault,岩石突擊,Rock Assault,암석 돌격,,,,,,<3171;3501;691;>,,,{7=10%;8=10%}
7012,Low-altitude Field,低空領域,Low-altitude Field,저공 영역,,,,,,<3661;161;51;>,,,{1=12%}
7013,Contract of Forest,森林之約,Contract of Forest,숲의 약속,,,,,,<381;1311;2841;>,,,{7=10%;8=10%}
7014,Miracle Recovery,奇跡復原,Miracle Recovery,기적의 복원,,,,,,<711;1851;81;>,,,{14=500}
7111,Swimmer,游泳健將,Swimmer,수영,,,,,,<1311;3471;541;>,,,{7=10%;8=10%}
7112,Glutton who sleeps a lot,貪吃嗜睡,Glutton who sleeps a lot,폭식과 졸음,,,,,,<1421>,,,{1=12%}
7113,Pledge Partner,誓約夥伴,Pledge Partner,맹세 파트너,,,,,,<1251;3501;471;>,,,{7=10%;8=10%}
7114,Powerful combination,強力組合,Powerful combination,강력한 조합,,,,,,<401;631>,,,{23=500}
7211,The Legend of the Legendary Birds,聖鳥傳說,The Legend of the Legendary Birds,신성한 새의 전설,,,,,,<731;741>,,,{7=10%;8=10%}
7212,Glaciate,冰封千里,Glaciate,수천 마일의 얼어 붙은,,,,,,<3501;3021;3011;>,,,{1=12%}
7213,Turning water into ice,凝水成冰,Turning water into ice,얼음으로 응축,,,,,,<1241;2922;3471;>,,,{7=10%;8=10%}
7214,Ice and Fire,冰火兩重,Ice and Fire,더블 아이스,,,,,,<1231;3291;11;>,,,{22=500}
7311,The Legend of the Legendary Birds,聖鳥傳說,The Legend of the Legendary Birds,신성한 새의 전설,,,,,,<741;721>,,,{7=10%;8=10%}
7312,Thunderstorm,驅雷擎電,Thunderstorm,드라이브 썬더,,,,,,<331;1221;91;>,,,{1=12%}
7313,Fast As Lightning,風馳電掣,Fast As Lightning,빠른 스위치,,,,,,<51;3511;71;>,,,{7=10%;8=10%}
7314,Overload weakening,超載虛弱,Overload weakening,과부하 및 약점,,,,,,<1811;471;1441;>,,,{23=500}
7411,The Legend of the Legendary Birds,聖鳥傳說,The Legend of the Legendary Birds,신성한 새의 전설,,,,,,<731;721>,,,{7=10%;8=10%}
7412,Power of Fire,炎焰之力,Power of Fire,화염의 힘,,,,,,<1231;1171;3291;>,,,{1=12%}
7413,Burning Flames,燎原之火,Burning Flames,프레리 프레리의 불,,,,,,<1291;781;281;>,,,{7=10%;8=10%}
7414,Attack all,全體打擊,Attack all,모든 타격,,,,,,<131;301;481;>,,,{14=500}
7511,Dragon-type family,龍系家族,Dragon-type family,드래곤 패밀리,,,,,,<3141;1891>,,,{7=10%;8=10%}
7512,Extra-large size,肥大體型,Extra-large size,비대,,,,,,<3541;2481;3281;>,,,{1=12%}
7513,Outrage,逆鱗之怒,Outrage,규모의 분노,,,,,,<3001;2231>,,,{7=10%;8=10%}
7514,Fury Strike,憤怒一擊,Fury Strike,화난 타격,,,,,,<1301;3341;791;>,,,{14=500}
7611,King's Laurel,王者桂冠,King's Laurel,월계관,,,,,,<1271;2231;1251;>,,,{7=15%;8=15%}
7612,Extraordinary Psychic Powers,超凡念力,Extraordinary Psychic Powers,놀라운 힘,,,,,,<771;1901;261;>,,,{1=20%}
7613,Same Energy Source,力量同源,Same Energy Source,같은 힘,,,,,,<771;1391>,,,{7=15%;8=15%}
7614,Absolute suppression,絕對壓制,Absolute suppression,절대 억제,,,,,,<1981;2301;271;>,,,{14=750}
7711,Aura Hero,波導勇者,Aura Hero,파동의 용사,,,,,,<2241;711>,,,{7=10%;8=10%}
7712,Psycho Synchronize,精神同步,Psycho Synchronize,정신 동기화,,,,,,<261;3291>,,,{1=12%}
7713,Danger Detection,危機覺察,Danger Detection,위기 인식,,,,,,<1171;1081>,,,{7=10%;8=10%}
7714,Super Imitation,超級仿製,Super Imitation,슈퍼 모방,,,,,,<761>,,,{22=500}
7811,Grass Pledge,草之誓約,Grass Pledge,풀의 맹세,,,,,,<281;2301;2011;>,,,{7=10%;8=10%}
7812,Forest Will,森林意志,Forest Will,숲의 의지,,,,,,<1;3281;1291;>,,,{1=10%}
7813,Adventure Partner,冒險同伴,Adventure Partner,모험 동반자,,,,,,<271;2591;131;>,,,{7=10%;8=10%}
7911,Flame Control,火焰掌控,Flame Control,화염 제어,,,,,,<1611;2481;3291;>,,,{7=10%;8=10%}
7912,Power of Fire,炎焰之力,Power of Fire,화염의 힘,,,,,,<2611;691;3281;>,,,{1=10%}
7913,Sun will,太陽意志,Sun will,태양의 의지,,,,,,<601;2631;3341;>,,,{7=10%;8=10%}
8011,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<551;3471;21;2922>,,,{7=10%;8=10%}
8012,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<471;1861;3011;>,,,{1=10%}
8013,Overturn,覆舟之勢,Overturn,전복,,,,,,<1311;2271;371;>,,,{7=10%;8=10%}
8611,Fairy Blood,妖精血脈,Fairy Blood,포켓몬 혈통,,,,,,<1391;131;151;>,,,{7=10%;8=10%}
8612,Flying Family,飛行家族,Flying Family,비행 가족,,,,,,<161;571;701;2891>,,,{1=12%}
8613,Trap Escape,逃離陷阱,Trap Escape,함정 탈출,,,,,,<491;2231;121;>,,,{7=10%;8=10%}
8614,Rival Showdown,勁敵對決,Rival Showdown,강적 대결,,,,,,<2031;2471;791;61>,,,{14=500}
8811,Electric family,雷電家族,Electric family,라이덴 가족,,,,,,<591;731>,,,{7=10%;8=10%}
8812,Coat Static,毛皮靜電,Coat Static,모피 정적,,,,,,<1221;2071;91;>,,,{1=12%}
8813,Dragon-like,似龍非龍,Dragon-like,용처럼,,,,,,<631;601;11;>,,,{7=10%;8=10%}
8814,Furries,毛茸茸們,Furries,모피,,,,,,<2891;3431>,,,{23=500}
8911,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<51;71;61;471>,,,{7=8%;8=8%}
8912,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<551;3431;131;>,,,{1=10%}
8913,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<551;801;1861;>,,,{7=8%;8=8%}
9711,404404,趣味魔法,404404,404404,,,,,,<131;3431;3291;>,,,{7=10%;8=10%}
9712,404404,鬼屋集合,404404,404404,,,,,,<391;1811;2991;>,,,{1=12%}
9713,404404,夢境掌控,404404,404404,,,,,,<1801;2841;3561;>,,,{7=10%;8=10%}
9714,404404,幽靈出沒,404404,404404,,,,,,<771;1851>,,,{22=500}
10311,Ground Strike,地面打擊,Ground Strike,지상 타격,,,,,,<401;1311;2611;>,,,{7=10%;8=10%}
10312,Low-altitude Fly,低空飛行,Low-altitude Fly,저공 비행,,,,,,<161;701;341;>,,,{1=12%}
10313,Hoen Counter,豐緣對抗,Hoen Counter,호연 대결,,,,,,<241;1291;271;451>,,,{7=10%;8=10%}
10314,Maze Blitz,沖出迷宮,Maze Blitz,미궁 돌파,,,,,,<2031;2011;2271;>,,,{23=500}
10711,Bug Rising,蟲蟲崛起,Bug Rising,버그의 상승,,,,,,<571;2681;191;41>,,,{7=10%;8=10%}
10712,Heart of a Fighter,好鬥之心,Heart of a Fighter,투쟁의 심장,,,,,,<1301;271;461;>,,,{1=12%}
10713,Poison injection,毒素注入,Poison injection,독소 주입,,,,,,<391;2271>,,,{7=10%;8=10%}
10714,Eradicate evil,除惡務盡,Eradicate evil,악을 멀리하십시오,,,,,,<3141;1841>,,,{14=500}
10811,Ice-type family,冰系家族,Ice-type family,얼음 가족,,,,,,<721;2301;3501;>,,,{7=10%;8=10%}
10812,The most evil of the generation,世代最惡,The most evil of the generation,세대에서 최악,,,,,,<2721;1841>,,,{1=12%}
10813,Evil Spirit Appears,惡鬼上門,Evil Spirit Appears,악령이 온다,,,,,,<391;1171;2921;>,,,{7=10%;8=10%}
10814,Poor combination,不良組合,Poor combination,잘못된 조합,,,,,,<2821;2271;2631;>,,,{14=500}
11711,Cerberus,地獄惡犬,Cerberus,헬 하운드,,,,,,<1081;3141>,,,{7=10%;8=10%}
11712,Dog Pound,狗狗出擊,Dog Pound,개 공격,,,,,,<241;1841>,,,{1=12%}
11713,Inferno,地獄烈焰,Inferno,지옥 불,,,,,,<601;3341;1611;>,,,{7=10%;8=10%}
11714,No strangers allowed,生人勿近,No strangers allowed,가까이 오지 마,,,,,,<391;1851;3561;>,,,{23=500}
12211,Legend of the Legendary Beasts,聖獸傳說,Legend of the Legendary Beasts,성수 전설,,,,,,<1241;1231>,,,{7=10%;8=10%}
12212,Thunder arrives,雷電降臨,Thunder arrives,천둥이오고있다,,,,,,<591;731;2071;>,,,{1=12%}
12213,Quick Attack,電光火石,Quick Attack,전광석화,,,,,,<1251;2591>,,,{7=10%;8=10%}
12214,Master of Control,控場大師,Master of Control,현장 제어 석사,,,,,,<261;2301>,,,{23=500}
12311,Legend of the Legendary Beasts,聖獸傳說,Legend of the Legendary Beasts,성수 전설,,,,,,<1221;1241>,,,{7=10%;8=10%}
12312,Towering Rage,怒火沖天,Towering Rage,너무 화났어,,,,,,<241;741;11;>,,,{1=12%}
12313,King of Crystals,結晶帝王,King of Crystals,크리스탈 황제,,,,,,<551;801;401;>,,,{7=10%;8=10%}
12314,Turning ore into steel,百煉成鋼,Turning ore into steel,강철로 단련하다,,,,,,<1901;1501>,,,{23=500}
12411,Legend of the Legendary Beasts,聖獸傳說,Legend of the Legendary Beasts,성수 전설,,,,,,<1221;1231>,,,{7=10%;8=10%}
12412,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<1311;3301;21;>,,,{1=12%}
12413,Swift and agile,迅捷靈動,Swift and agile,신속하고 유연함,,,,,,<1291;51>,,,{7=10%;8=10%}
12414,A Mirage,鏡花水月,A Mirage,거울 꽃 물 달,,,,,,<2821;131>,,,{23=500}
12511,Rock Barrier,岩石壁壘,Rock Barrier,바위 장벽,,,,,,<491;1501;401;>,,,{7=10%;8=10%}
