变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
287,231,monkey monster,7,1,2,11,9,0.60%,,
288,231,monkey monster,7,1,2,12,9,0.72%,,
289,241,katti dog,2,3,3,1,7,0%,,
290,241,katti dog,2,3,3,2,7,0%,,
291,241,katti dog,2,3,3,3,7,0.10%,,
292,241,katti dog,2,3,3,4,7,0.25%,,
293,241,katti dog,2,3,3,5,7,0.40%,,
294,241,katti dog,2,3,3,6,7,0.70%,,
295,241,katti dog,2,3,3,7,7,1%,,
296,241,katti dog,2,3,3,8,7,1.30%,,
297,241,katti dog,2,3,3,9,7,1.75%,,
298,241,katti dog,2,3,3,10,7,2.20%,,
299,241,katti dog,2,3,3,11,7,2.65%,,
300,241,katti dog,2,3,3,12,7,3.25%,,
301,251,mosquito coil tadpole,3,2,2,1,,0%,,
302,251,mosquito coil tadpole,3,2,2,2,,0%,,
303,251,mosquito coil tadpole,3,2,2,3,,0%,,
304,251,mosquito coil tadpole,3,2,2,4,,0%,,
305,251,mosquito coil tadpole,3,2,2,5,,0%,,
306,251,mosquito coil tadpole,3,2,2,6,,0%,,
307,251,mosquito coil tadpole,3,2,2,7,,0%,,
308,251,mosquito coil tadpole,3,2,2,8,,0%,,
309,251,mosquito coil tadpole,3,2,2,9,,0%,,
310,251,mosquito coil tadpole,3,2,2,10,,0%,,
311,251,mosquito coil tadpole,3,2,2,11,,0%,,
312,251,mosquito coil tadpole,3,2,2,12,,0%,,
313,261,casey,11,3,3,1,1,0%,,
314,261,casey,11,3,3,2,1,0%,,
315,261,casey,11,3,3,3,1,0.07%,,
316,261,casey,11,3,3,4,1,0.18%,,
317,261,casey,11,3,3,5,1,0.28%,,
318,261,casey,11,3,3,6,1,0.49%,,
319,261,casey,11,3,3,7,1,0.70%,,
320,261,casey,11,3,3,8,1,0.91%,,
321,261,casey,11,3,3,9,1,1.23%,,
322,261,casey,11,3,3,10,1,1.54%,,
323,261,casey,11,3,3,11,1,1.86%,,
324,261,casey,11,3,3,12,1,2.28%,,
325,271,wrist strength,7,2,2,1,7,0%,,
326,271,wrist strength,7,2,2,2,7,0.08%,,
327,271,wrist strength,7,2,2,3,7,0.16%,,
328,271,wrist strength,7,2,2,4,7,0.24%,,
329,271,wrist strength,7,2,2,5,7,0.40%,,
330,271,wrist strength,7,2,2,6,7,0.56%,,
331,271,wrist strength,7,2,2,7,7,0.80%,,
332,271,wrist strength,7,2,2,8,7,1.04%,,
333,271,wrist strength,7,2,2,9,7,1.36%,,
334,271,wrist strength,7,2,2,10,7,1.68%,,
335,271,wrist strength,7,2,2,11,7,2%,,
336,271,wrist strength,7,2,2,12,7,2.40%,,
337,281,trumpet buds,4,2,2,1,8,0%,,
338,281,trumpet buds,4,2,2,2,8,0.08%,,
339,281,trumpet buds,4,2,2,3,8,0.16%,,
340,281,trumpet buds,4,2,2,4,8,0.24%,,
341,281,trumpet buds,4,2,2,5,8,0.40%,,
342,281,trumpet buds,4,2,2,6,8,0.56%,,
343,281,trumpet buds,4,2,2,7,8,0.80%,,
344,281,trumpet buds,4,2,2,8,8,1.04%,,
345,281,trumpet buds,4,2,2,9,8,1.36%,,
346,281,trumpet buds,4,2,2,10,8,1.68%,,
347,281,trumpet buds,4,2,2,11,8,2%,,
348,281,trumpet buds,4,2,2,12,8,2.40%,,
349,291,Agate jellyfish,3,2,2,1,,0%,,
350,291,Agate jellyfish,3,2,2,2,,0%,,
351,291,Agate jellyfish,3,2,2,3,,0%,,
352,291,Agate jellyfish,3,2,2,4,,0%,,
353,291,Agate jellyfish,3,2,2,5,,0%,,
354,291,Agate jellyfish,3,2,2,6,,0%,,
355,291,Agate jellyfish,3,2,2,7,,0%,,
356,291,Agate jellyfish,3,2,2,8,,0%,,
357,291,Agate jellyfish,3,2,2,9,,0%,,
358,291,Agate jellyfish,3,2,2,10,,0%,,
359,291,Agate jellyfish,3,2,2,11,,0%,,
360,291,Agate jellyfish,3,2,2,12,,0%,,
361,301,Small fist stone,13,2,2,1,9,0%,,
362,301,Small fist stone,13,2,2,2,9,0.08%,,
363,301,Small fist stone,13,2,2,3,9,0.16%,,
364,301,Small fist stone,13,2,2,4,9,0.24%,,
365,301,Small fist stone,13,2,2,5,9,0.40%,,
366,301,Small fist stone,13,2,2,6,9,0.56%,,
367,301,Small fist stone,13,2,2,7,9,0.80%,,
368,301,Small fist stone,13,2,2,8,9,1.04%,,
369,301,Small fist stone,13,2,2,9,9,1.36%,,
370,301,Small fist stone,13,2,2,10,9,1.68%,,
371,301,Small fist stone,13,2,2,11,9,2%,,
372,301,Small fist stone,13,2,2,12,9,2.40%,,
373,311,little fire horse,2,2,2,1,,0%,,
374,311,little fire horse,2,2,2,2,,0%,,
375,311,little fire horse,2,2,2,3,,0%,,
376,311,little fire horse,2,2,2,4,,0%,,
377,311,little fire horse,2,2,2,5,,0%,,
378,311,little fire horse,2,2,2,6,,0%,,
379,311,little fire horse,2,2,2,7,,0%,,
380,311,little fire horse,2,2,2,8,,0%,,
381,311,little fire horse,2,2,2,9,,0%,,
382,311,little fire horse,2,2,2,10,,0%,,
383,311,little fire horse,2,2,2,11,,0%,,
384,311,little fire horse,2,2,2,12,,0%,,
385,321,Slowpoke _,3,3,3,1,,0%,,
386,321,Slowpoke _,3,3,3,2,,0%,,
387,321,Slowpoke _,3,3,3,3,,0%,,
388,321,Slowpoke _,3,3,3,4,,0%,,
389,321,Slowpoke _,3,3,3,5,,0%,,
390,321,Slowpoke _,3,3,3,6,,0%,,
391,321,Slowpoke _,3,3,3,7,,0%,,
392,321,Slowpoke _,3,3,3,8,,0%,,
393,321,Slowpoke _,3,3,3,9,,0%,,
394,321,Slowpoke _,3,3,3,10,,0%,,
395,321,Slowpoke _,3,3,3,11,,0%,,
396,321,Slowpoke _,3,3,3,12,,0%,,
397,331,Magneto,5,3,3,1,10,0%,,
398,331,Magneto,5,3,3,2,10,0%,,
399,331,Magneto,5,3,3,3,10,0.10%,,
400,331,Magneto,5,3,3,4,10,0.25%,,
401,331,Magneto,5,3,3,5,10,0.40%,,
402,331,Magneto,5,3,3,6,10,0.70%,,
403,331,Magneto,5,3,3,7,10,1%,,
404,331,Magneto,5,3,3,8,10,1.30%,,
405,331,Magneto,5,3,3,9,10,1.75%,,
406,331,Magneto,5,3,3,10,10,2.20%,,
407,331,Magneto,5,3,3,11,10,2.65%,,
408,331,Magneto,5,3,3,12,10,3.25%,,
409,341,Scallion Duck,1,2,2,1,13,0%,,
410,341,Scallion Duck,1,2,2,2,13,0.08%,,
411,341,Scallion Duck,1,2,2,3,13,0.16%,,
412,341,Scallion Duck,1,2,2,4,13,0.24%,,
413,341,Scallion Duck,1,2,2,5,13,0.40%,,
414,341,Scallion Duck,1,2,2,6,13,0.56%,,
415,341,Scallion Duck,1,2,2,7,13,0.80%,,
416,341,Scallion Duck,1,2,2,8,13,1.04%,,
417,341,Scallion Duck,1,2,2,9,13,1.36%,,
418,341,Scallion Duck,1,2,2,10,13,1.68%,,
419,341,Scallion Duck,1,2,2,11,13,2%,,
420,341,Scallion Duck,1,2,2,12,13,2.40%,,
421,351,doodle,1,1,2,1,1,0%,,
422,351,doodle,1,1,2,2,1,0.03%,,
423,351,doodle,1,1,2,3,1,0.04%,,
424,351,doodle,1,1,2,4,1,0.06%,,
425,351,doodle,1,1,2,5,1,0.08%,,
426,351,doodle,1,1,2,6,1,0.13%,,
427,351,doodle,1,1,2,7,1,0.17%,,
428,351,doodle,1,1,2,8,1,0.22%,,
429,351,doodle,1,1,2,9,1,0.28%,,
430,351,doodle,1,1,2,10,1,0.35%,,
431,351,doodle,1,1,2,11,1,0.42%,,
432,351,doodle,1,1,2,12,1,0.50%,,
433,361,little sea lion,3,2,2,1,,0%,,
434,361,little sea lion,3,2,2,2,,0%,,
435,361,little sea lion,3,2,2,3,,0%,,
436,361,little sea lion,3,2,2,4,,0%,,
437,361,little sea lion,3,2,2,5,,0%,,
438,361,little sea lion,3,2,2,6,,0%,,
439,361,little sea lion,3,2,2,7,,0%,,
440,361,little sea lion,3,2,2,8,,0%,,
441,361,little sea lion,3,2,2,9,,0%,,
442,361,little sea lion,3,2,2,10,,0%,,
443,361,little sea lion,3,2,2,11,,0%,,
444,361,little sea lion,3,2,2,12,,0%,,
445,371,smelly mud,8,2,2,1,9,0%,,
446,371,smelly mud,8,2,2,2,9,0.08%,,
447,371,smelly mud,8,2,2,3,9,0.16%,,
448,371,smelly mud,8,2,2,4,9,0.24%,,
449,371,smelly mud,8,2,2,5,9,0.40%,,
450,371,smelly mud,8,2,2,6,9,0.56%,,
451,371,smelly mud,8,2,2,7,9,0.80%,,
452,371,smelly mud,8,2,2,8,9,1.04%,,
453,371,smelly mud,8,2,2,9,9,1.36%,,
454,371,smelly mud,8,2,2,10,9,1.68%,,
455,371,smelly mud,8,2,2,11,9,2%,,
456,371,smelly mud,8,2,2,12,9,2.40%,,
457,381,Big tongue clam,3,3,2,1,7,0%,,
458,381,Big tongue clam,3,3,2,2,7,0%,,
459,381,Big tongue clam,3,3,2,3,7,0.10%,,
460,381,Big tongue clam,3,3,2,4,7,0.25%,,
461,381,Big tongue clam,3,3,2,5,7,0.40%,,
462,381,Big tongue clam,3,3,2,6,7,0.70%,,
463,381,Big tongue clam,3,3,2,7,7,1%,,
464,381,Big tongue clam,3,3,2,8,7,1.30%,,
465,381,Big tongue clam,3,3,2,9,7,1.75%,,
466,381,Big tongue clam,3,3,2,10,7,2.20%,,
467,381,Big tongue clam,3,3,2,11,7,2.65%,,
468,381,Big tongue clam,3,3,2,12,7,3.25%,,
469,391,Ghost,14,3,3,1,13,0%,,
470,391,Ghost,14,3,3,2,13,0%,,
471,391,Ghost,14,3,3,3,13,0.10%,,
472,391,Ghost,14,3,3,4,13,0.25%,,
473,391,Ghost,14,3,3,5,13,0.40%,,
474,391,Ghost,14,3,3,6,13,0.70%,,
475,391,Ghost,14,3,3,7,13,1%,,
476,391,Ghost,14,3,3,8,13,1.30%,,
477,391,Ghost,14,3,3,9,13,1.75%,,
478,391,Ghost,14,3,3,10,13,2.20%,,
479,391,Ghost,14,3,3,11,13,2.65%,,
480,391,Ghost,14,3,3,12,13,3.25%,,
481,401,rock snake,13,3,3,1,9,0%,,
482,401,rock snake,13,3,3,2,9,0%,,
483,401,rock snake,13,3,3,3,9,0.10%,,
484,401,rock snake,13,3,3,4,9,0.25%,,
485,401,rock snake,13,3,3,5,9,0.40%,,
486,401,rock snake,13,3,3,6,9,0.70%,,
487,401,rock snake,13,3,3,7,9,1%,,
488,401,rock snake,13,3,3,8,9,1.30%,,
489,401,rock snake,13,3,3,9,9,1.75%,,
490,401,rock snake,13,3,3,10,9,2.20%,,
491,401,rock snake,13,3,3,11,9,2.65%,,
492,401,rock snake,13,3,3,12,9,3.25%,,
493,411,hypnotic tapir,11,2,2,1,,0%,,
494,411,hypnotic tapir,11,2,2,2,,0%,,
495,411,hypnotic tapir,11,2,2,3,,0%,,
496,411,hypnotic tapir,11,2,2,4,,0%,,
497,411,hypnotic tapir,11,2,2,5,,0%,,
498,411,hypnotic tapir,11,2,2,6,,0%,,
499,411,hypnotic tapir,11,2,2,7,,0%,,
500,411,hypnotic tapir,11,2,2,8,,0%,,
501,411,hypnotic tapir,11,2,2,9,,0%,,
502,411,hypnotic tapir,11,2,2,10,,0%,,
503,411,hypnotic tapir,11,2,2,11,,0%,,
504,411,hypnotic tapir,11,2,2,12,,0%,,
505,421,Claw Crab _,3,2,2,1,,0%,,
506,421,Claw Crab _,3,2,2,2,,0%,,
507,421,Claw Crab _,3,2,2,3,,0%,,
508,421,Claw Crab _,3,2,2,4,,0%,,
509,421,Claw Crab _,3,2,2,5,,0%,,
510,421,Claw Crab _,3,2,2,6,,0%,,
511,421,Claw Crab _,3,2,2,7,,0%,,
512,421,Claw Crab _,3,2,2,8,,0%,,
513,421,Claw Crab _,3,2,2,9,,0%,,
514,421,Claw Crab _,3,2,2,10,,0%,,
515,421,Claw Crab _,3,2,2,11,,0%,,
516,421,Claw Crab _,3,2,2,12,,0%,,
517,431,Thunderball _,5,2,2,1,,0%,,
518,431,Thunderball _,5,2,2,2,,0%,,
519,431,Thunderball _,5,2,2,3,,0%,,
520,431,Thunderball _,5,2,2,4,,0%,,
521,431,Thunderball _,5,2,2,5,,0%,,
522,431,Thunderball _,5,2,2,6,,0%,,
523,431,Thunderball _,5,2,2,7,,0%,,
524,431,Thunderball _,5,2,2,8,,0%,,
525,431,Thunderball _,5,2,2,9,,0%,,
526,431,Thunderball _,5,2,2,10,,0%,,
