变量名,typeID,star,attrTarget,attrNatureType,attrNum,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr
7007,71,7,0,0,{5=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
7008,71,8,0,0,{1=10%},,,,,
7009,71,9,0,0,{7=10%;8=10%},,,,,
7010,71,10,0,0,{5=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
7011,71,11,0,0,{22=1000},,,,,
7012,71,12,0,0,{23=1000},,,,,
8002,81,2,0,0,{7=80;8=80},,,,,
8003,81,3,0,0,{24=200},,,,,
8004,81,4,0,0,{7=5%;8=5%},,,,,
8005,81,5,0,0,{1=5%},,,,,
8006,81,6,0,0,{7=5%;8=5%},,,,,
8007,81,7,0,0,{11=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
8008,81,8,0,0,{1=10%},,,,,
8009,81,9,0,0,{7=10%;8=10%},,,,,
8010,81,10,0,0,{11=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
8011,81,11,0,0,{22=1000},,,,,
8012,81,12,0,0,{23=1000},,,,,
9002,91,2,0,0,{7=80;8=80},,,,,
9003,91,3,0,0,{24=200},,,,,
9004,91,4,0,0,{7=5%;8=5%},,,,,
9005,91,5,0,0,{1=5%},,,,,
9006,91,6,0,0,{9=5%;10=5%},,,,,
9007,91,7,0,0,{90=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
9008,91,8,0,0,{1=10%},,,,,
9009,91,9,0,0,{7=10%;8=10%},,,,,
9010,91,10,0,0,{90=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
9011,91,11,0,0,{22=1000},,,,,
9012,91,12,0,0,{23=1000},,,,,
10002,101,2,0,0,{9=80;10=80},,,,,
10003,101,3,0,0,{25=200},,,,,
10004,101,4,0,0,{9=5%;10=5%},,,,,
10005,101,5,0,0,{1=5%},,,,,
10006,101,6,0,0,{9=5%;10=5%},,,,,
10007,101,7,0,0,{25=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
10008,101,8,0,0,{1=10%},,,,,
10009,101,9,0,0,{9=10%;10=10%},,,,,
10010,101,10,0,0,{25=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
10011,101,11,0,0,{22=1000},,,,,
10012,101,12,0,0,{23=1000},,,,,
11002,111,2,0,0,{1=300},,,,,
11003,111,3,0,0,{25=200},,,,,
11004,111,4,0,0,{9=5%;10=5%},,,,,
11005,111,5,0,0,{1=5%},,,,,
11006,111,6,0,0,{7=5%;8=5%},,,,,
11007,111,7,0,0,{27=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
11008,111,8,0,0,{1=10%},,,,,
11009,111,9,0,0,{9=10%;10=10%},,,,,
11010,111,10,0,0,{27=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
11011,111,11,0,0,{22=1000},,,,,
11012,111,12,0,0,{23=1000},,,,,
12002,121,2,0,0,{7=80;8=80},,,,,
12003,121,3,0,0,{24=200},,,,,
12004,121,4,0,0,{7=5%;8=5%},,,,,
12005,121,5,0,0,{1=5%},,,,,
12006,121,6,0,0,{7=5%;8=5%},,,,,
12007,121,7,0,0,{11=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
12008,121,8,0,0,{1=10%},,,,,
12009,121,9,0,0,{7=10%;8=10%},,,,,
12010,121,10,0,0,{11=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
12011,121,11,0,0,{22=1000},,,,,
12012,121,12,0,0,{23=1000},,,,,
13002,131,2,0,0,{1=300},,,,,
13003,131,3,0,0,{25=200},,,,,
13004,131,4,0,0,{9=5%;10=5%},,,,,
13005,131,5,0,0,{1=5%},,,,,
13006,131,6,0,0,{7=5%;8=5%},,,,,
13007,131,7,0,0,{25=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
13008,131,8,0,0,{1=10%},,,,,
13009,131,9,0,0,{9=10%;10=10%},,,,,
13010,131,10,0,0,{25=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
13011,131,11,0,0,{22=1000},,,,,
13012,131,12,0,0,{23=1000},,,,,
14001,141,1,0,0,,,,,,
15002,151,2,0,0,{7=80;8=80},,,,,
15003,151,3,0,0,{24=200},,,,,
15004,151,4,0,0,{7=5%;8=5%},,,,,
15005,151,5,0,0,{1=5%},,,,,
15006,151,6,0,0,{9=5%;10=5%},,,,,
15007,151,7,0,0,{25=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
15008,151,8,0,0,{1=10%},,,,,
15009,151,9,0,0,{7=10%;8=10%},,,,,
15010,151,10,0,0,{25=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
15011,151,11,0,0,{22=1000},,,,,
15012,151,12,0,0,{23=1000},,,,,
16002,161,2,0,0,{1=300},,,,,
16003,161,3,0,0,{25=200},,,,,
16004,161,4,0,0,{9=6%;10=6%},,,,,
16005,161,5,0,0,{1=6%},,,,,
16006,161,6,0,0,{7=6%;8=6%},,,,,
16007,161,7,0,0,{25=400},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
16008,161,8,0,0,{1=12%},,,,,
16009,161,9,0,0,{9=12%;10=12%},,,,,
16010,161,10,0,0,{25=800},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
16011,161,11,0,0,{22=1200},,,,,
16012,161,12,0,0,{23=1200},,,,,
17002,171,2,0,0,{7=80;8=80},,,,,
17003,171,3,0,0,{25=200},,,,,
17004,171,4,0,0,{7=5%;8=5%},,,,,
17005,171,5,0,0,{1=5%},,,,,
17006,171,6,0,0,{9=5%;10=5%},,,,,
17007,171,7,0,0,{91=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
17008,171,8,0,0,{1=10%},,,,,
17009,171,9,0,0,{7=10%;8=10%},,,,,
17010,171,10,0,0,{91=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
17011,171,11,0,0,{22=1000},,,,,
17012,171,12,0,0,{23=1000},,,,,
18001,181,1,0,0,,,,,,
19002,191,2,0,0,{7=80;8=80},,,,,
19003,191,3,0,0,{24=200},,,,,
19004,191,4,0,0,{7=5%;8=5%},,,,,
19005,191,5,0,0,{1=5%},,,,,
19006,191,6,0,0,{7=5%;8=5%},,,,,
19007,191,7,0,0,{26=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
19008,191,8,0,0,{1=10%},,,,,
19009,191,9,0,0,{7=10%;8=10%},,,,,
19010,191,10,0,0,{26=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
19011,191,11,0,0,{22=1000},,,,,
19012,191,12,0,0,{23=1000},,,,,
20001,201,1,0,0,,,,,,
21001,211,1,0,0,,,,,,
22002,221,2,0,0,{7=80;8=80},,,,,
22003,221,3,0,0,{24=200},,,,,
22004,221,4,0,0,{7=5%;8=5%},,,,,
22005,221,5,0,0,{1=5%},,,,,
22006,221,6,0,0,{7=5%;8=5%},,,,,
22007,221,7,0,0,{24=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
22008,221,8,0,0,{1=10%},,,,,
22009,221,9,0,0,{7=10%;8=10%},,,,,
22010,221,10,0,0,{24=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
22011,221,11,0,0,{22=1000},,,,,
22012,221,12,0,0,{23=1000},,,,,
23002,231,2,0,0,{7=80;8=80},,,,,
23003,231,3,0,0,{24=200},,,,,
23004,231,4,0,0,{7=5%;8=5%},,,,,
23005,231,5,0,0,{1=5%},,,,,
23006,231,6,0,0,{7=5%;8=5%},,,,,
23007,231,7,0,0,{14=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
23008,231,8,0,0,{1=10%},,,,,
23009,231,9,0,0,{7=10%;8=10%},,,,,
23010,231,10,0,0,{14=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
23011,231,11,0,0,{22=1000},,,,,
23012,231,12,0,0,{23=1000},,,,,
24002,241,2,0,0,{7=80;8=80},,,,,
24003,241,3,0,0,{24=200},,,,,
24004,241,4,0,0,{7=6%;8=6%},,,,,
24005,241,5,0,0,{1=6%},,,,,
24006,241,6,0,0,{7=6%;8=6%},,,,,
24007,241,7,0,0,{15=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
24008,241,8,0,0,{1=12%},,,,,
24009,241,9,0,0,{7=12%;8=12%},,,,,
24010,241,10,0,0,{15=1200},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
24011,241,11,0,0,{22=1200},,,,,
24012,241,12,0,0,{23=1200},,,,,
25001,251,1,0,0,,,,,,
26002,261,2,0,0,{7=80;8=80},,,,,
26003,261,3,0,0,{24=200},,,,,
26004,261,4,0,0,{7=6%;8=6%},,,,,
26005,261,5,0,0,{1=6%},,,,,
26006,261,6,0,0,{9=6%;10=6%},,,,,
26007,261,7,0,0,{90=400},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
26008,261,8,0,0,{1=12%},,,,,
26009,261,9,0,0,{7=12%;8=12%},,,,,
26010,261,10,0,0,{90=800},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
26011,261,11,0,0,{22=1200},,,,,
26012,261,12,0,0,{23=1200},,,,,
27002,271,2,0,0,{7=80;8=80},,,,,
27003,271,3,0,0,{24=200},,,,,
27004,271,4,0,0,{7=5%;8=5%},,,,,
27005,271,5,0,0,{1=5%},,,,,
27006,271,6,0,0,{7=5%;8=5%},,,,,
27007,271,7,0,0,{11=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
27008,271,8,0,0,{1=10%},,,,,
27009,271,9,0,0,{7=10%;8=10%},,,,,
27010,271,10,0,0,{11=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
27011,271,11,0,0,{22=1000},,,,,
27012,271,12,0,0,{23=1000},,,,,
28002,281,2,0,0,{1=300},,,,,
28003,281,3,0,0,{25=200},,,,,
28004,281,4,0,0,{9=5%;10=5%},,,,,
28005,281,5,0,0,{1=5%},,,,,
28006,281,6,0,0,{7=5%;8=5%},,,,,
28007,281,7,0,0,{26=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
28008,281,8,0,0,{1=10%},,,,,
28009,281,9,0,0,{9=10%;10=10%},,,,,
28010,281,10,0,0,{26=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
28011,281,11,0,0,{22=1000},,,,,
28012,281,12,0,0,{23=1000},,,,,
29001,291,1,0,0,,,,,,
30002,301,2,0,0,{9=80;10=80},,,,,
30003,301,3,0,0,{25=200},,,,,
30004,301,4,0,0,{9=5%;10=5%},,,,,
30005,301,5,0,0,{1=5%},,,,,
30006,301,6,0,0,{9=5%;10=5%},,,,,
30007,301,7,0,0,{17=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
30008,301,8,0,0,{1=10%},,,,,
30009,301,9,0,0,{9=10%;10=10%},,,,,
30010,301,10,0,0,{17=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
30011,301,11,0,0,{22=1000},,,,,
30012,301,12,0,0,{23=1000},,,,,
31001,311,1,0,0,,,,,,
32001,321,1,0,0,,,,,,
33002,331,2,0,0,{7=80;8=80},,,,,
33003,331,3,0,0,{24=200},,,,,
33004,331,4,0,0,{7=6%;8=6%},,,,,
33005,331,5,0,0,{1=6%},,,,,
33006,331,6,0,0,{7=6%;8=6%},,,,,
33007,331,7,0,0,{5=400},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
33008,331,8,0,0,{1=12%},,,,,
33009,331,9,0,0,{7=12%;8=12%},,,,,
33010,331,10,0,0,{5=800},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
33011,331,11,0,0,{22=1200},,,,,
33012,331,12,0,0,{23=1200},,,,,
34002,341,2,0,0,{7=80;8=80},,,,,
34003,341,3,0,0,{24=200},,,,,
34004,341,4,0,0,{7=5%;8=5%},,,,,
34005,341,5,0,0,{1=5%},,,,,
34006,341,6,0,0,{7=5%;8=5%},,,,,
34007,341,7,0,0,{11=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
34008,341,8,0,0,{1=10%},,,,,
34009,341,9,0,0,{7=10%;8=10%},,,,,
34010,341,10,0,0,{11=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
34011,341,11,0,0,{22=1000},,,,,
34012,341,12,0,0,{23=1000},,,,,
35002,351,2,0,0,{7=80;8=80},,,,,
35003,351,3,0,0,{24=200},,,,,
35004,351,4,0,0,{7=5%;8=5%},,,,,
35005,351,5,0,0,{1=5%},,,,,
35006,351,6,0,0,{7=5%;8=5%},,,,,
35007,351,7,0,0,{14=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
35008,351,8,0,0,{1=10%},,,,,
35009,351,9,0,0,{7=10%;8=10%},,,,,
35010,351,10,0,0,{14=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
35011,351,11,0,0,{22=1000},,,,,
35012,351,12,0,0,{23=1000},,,,,
36001,361,1,0,0,,,,,,
37002,371,2,0,0,{1=300},,,,,
37003,371,3,0,0,{25=200},,,,,
37004,371,4,0,0,{9=5%;10=5%},,,,,
37005,371,5,0,0,{1=5%},,,,,
37006,371,6,0,0,{7=5%;8=5%},,,,,
37007,371,7,0,0,{27=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
37008,371,8,0,0,{1=10%},,,,,
37009,371,9,0,0,{9=10%;10=10%},,,,,
37010,371,10,0,0,{27=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
