变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010004,kill rage,Increased anger,For dungeon monsters,副本怪物用,addMp1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,<{nodeId=0;triggerPoint=11}>,,,,,,,,,,,,,,
1010005,Immune to damage,Immune to damage,For dungeon monsters,副本怪物用,immuneDamage,,,1,,,,,,,1,1,,,battle/buff_icon/logo_mysh.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010006,Universal Resurrection,Universal Resurrection,For dungeon monsters,副本怪物用,reborn,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=12};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1020002;caster=2;holder=1;lifeRound=99;value=0;bond=1}>>}>,,,0,,,,<{type=1;limit = 1}>,1,,,,,,
1010007,speed increase,speed increase,For dungeon monsters,副本怪物用,speed,,,1,,,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,
1010008,Rage increases round,Increased anger,For dungeon monsters,副本怪物用,addMp1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,
1010009,Increased control rate,Increased control rate,For dungeon monsters,副本怪物用,controlPerVal,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010010,Increased resilience,Increased resilience,For dungeon monsters,副本怪物用,block,,,1,,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,
1010011,Rage Recovery Speed,Rage Recovery Speed,For dungeon monsters,副本怪物用,mp1Recover,,,1,,,,,,,1,1,,,battle/buff_icon/logo_nqhf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqhftg.png,,,,,,,,,,,,,,,,,,,,,
1010012,Increased critical resistance,Increased critical resistance,For dungeon monsters,副本怪物用,ultimateSub,,,1,,,,,,,1,1,,,battle/buff_icon/logo_bskx_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bskxtg.png,,,,,,,,,,,,,,,,,,,,,
1010013,block anger,block anger,For dungeon monsters,副本怪物用,lockMp1Add,,,1,,,,,,,1,1,,,battle/buff_icon/logo_fn.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_fn.png,,,,,,,,,,,,,,,,,,,,,
1010014,Universal Resurrection,Universal Resurrection,For dungeon monsters,副本怪物用,reborn,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=12};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1020002;caster=2;holder=1;lifeRound=99;value=0;bond=1}>>}>,,,0,,,,<{type=1;limit = 1}>,1,,,,,,
1010015,physical attack increased,physical attack increased,For dungeon monsters,副本怪物用,damage,,,1,,,,,,,1,1,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,
1010016,Special attack increased,Special attack increased,For dungeon monsters,副本怪物用,specialDamage,,,1,,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,
1010017,Improved healing,Improved effectiveness of treatment,For dungeon monsters,副本怪物用,beHealAdd,,,1,,,,,,,1,1,,,battle/buff_icon/logo_zlxg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlxgtg.png,,,,,,,,,,,,,,,,,,,,,
1010018,Increased active healing,Increased active healing,For dungeon monsters,副本怪物用,healAdd,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010019,Heal rate increased,Healing rate increase (basic healing amount),For dungeon monsters,副本怪物用,cure,,,1,,,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlltg.png,,,,,,,,,,,,,,,,,,,,,
1010020,buff effect correction,buff effect correction,S,被动,otherBuffEnhance,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010021,Extended round - small skills,extended round,S+,S+,changeBuffLifeRound,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010022,Probabilistic Immune Control,immune control,,,immuneControlVal,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010023,Resurrection HP,recover,S+,S+,addHP,,,1,,,,,,,1,1,,,,,,,,,0,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
1010024,revive anger,Increased anger,S+,S+,addMp1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020001,regular resurrection,Universal Resurrection 1,For dungeon monsters,副本怪物用,reborn,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=12};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1020002;caster=2;holder=1;lifeRound=99;value=0;bond=1}>>}>,,,0,,,,<{type=1;limit = 1}>,1,,,,,,
1020002,turned egg,turned egg,,,egg,,,1,80005,,,,,,1,1,,,,,buff/fuhuo/fuhuo.skel,<fuhuo_loop>,,,,,,,buff/fuhuo/fuhuo.skel,fuhuo,,,,,,,,{typ=hide},battle/txt/txt_fh.png,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020011,resurrection eggs,Universal Resurrection 2,For dungeon monsters,副本怪物用,reborn,,,1,1020011,,,,,,1,,,,battle/buff_icon/logo_hnsh.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=12};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1020012;caster=2;holder=1;lifeRound=2;value=0}>>}>,,,,,,,<{type=2;limit = 1}>,1,,,,,,
1020012,main buff,main buff,S+,S+,buff10,,,1,80004,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;triggerTimes=<1;1>;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{cfgId=1020013;caster=2;holder=1;lifeRound=99;value=<5;1>}>;<{cfgId=1020014;caster=2;holder=1;lifeRound=2;value=0}>;<{cfgId=1020015;caster=2;holder=1;lifeRound=2;value=0}>>}>,,2,,,,,,,,,,,,
1020013,free from fatal injury,free from fatal injury,,,keepHpUnChanged,,,1,1020011,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
1020014,block anger,block anger,S+,S+,lockMp1Add,,,1,1020011,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=19;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1010023;caster=2;holder=1;lifeRound=1;value=self:hpMax()*0.5}>;<{cfgId=1010024;caster=2;holder=1;lifeRound=1;value=300}>>}>,,2,,,,,,,,,,,,
1020015,Display times,Display times,S+,S+,buff10,,,1,1020011,,,,,,0,1,,,,,buff/fuhuo/fuhuo.skel,<fuhuo_loop>,,,,,,,buff/fuhuo/fuhuo.skel,fuhuo,,,,,,,,{typ=hideSprite},battle/txt/txt_fh.png,,,,,,,<{nodeId=1;triggerPoint=14;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1020017;caster=2;holder=1;lifeRound=2;value=0}>>;triggerTimes=<1;6>} >,,2,,,,,,,,,,,,
1020016,Display times,mark,S+,S+,lockMp1Add,,,1,1020011,,,,,,2,6,,,battle/buff_icon/logo_lx.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
1020017,Resurrection HP,recover,S+,S+,addHP,,,1,1020011,,,,,,0,1,,,,,,,,,0,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
1020018,revive anger,Increased anger,S+,S+,addMp1,,,1,1020011,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,
1020019,clear effect,Universal Resurrection 2,For dungeon monsters,副本怪物用,buffeffects,,,,,,,,<1020011>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030001,Add buff to permission group,Add buff to permission group,really use,,pojiequanxian,,,,1030001,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050001,copy,copy,S,skill2,copyCasterBuffsToHolder,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<2>,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1050002;caster=2;holder=1;lifeRound=1;value=0}>>}>,,,,,,,,,,,,,,
1050002,copy performance,copy performance,S,skill2,copyeffect,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_fz.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050011,transfer,transfer,S,skill2,transferBuffToOther,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<2>,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1050012;caster=2;holder=1;lifeRound=1;value=0}>>}>,,,,,,,,,,,,,,
1050012,transfer performance,transfer performance,S,skill2,transfereffect,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/tat_zy.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050021,buff conversion,buff conversion,S+,被动,atOnceTransformAttrBuff,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<2>,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1050022;caster=2;holder=1;lifeRound=1;value=0}>>}>,,,,,,,,,,,,,,
1050022,buff conversion,buff conversion,S+,被动,Transeffect,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_zh2.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070000,weather,weather trigger,,,,,,1,,,,,,,0,1,,,battle/buff_icon/logo_rh.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=3;effectFuncs=<castBuff>;funcArgs=<<{cfgId=moreE(random(1,2),2)and 1070002 or 1070004;caster=2;holder={input=all;process=random(12)};lifeRound=1;value=random(3,3);prob=target:hasBuffGroup(99998) and 0 or 1}>>}>",,2,,,TRUE,,,1,,,,,,
1070001,,rainy day marker,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070111;caster=2;holder=1;lifeRound=buff:getValue();value=1}>>}>,,2,,,TRUE,,,1,,,,,,
1070002,,thunderstorm mark,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070121;caster=2;holder=1;lifeRound=buff:getValue();value=2}>>}>,,2,,,TRUE,,,1,,,,,,
1070003,,snow marker,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070131;caster=2;holder=1;lifeRound=buff:getValue();value=3}>>}>,,2,,,TRUE,,,1,,,,,,
1070004,,sandstorm mark,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070141;caster=2;holder=1;lifeRound=buff:getValue();value=4}>>}>,,2,,,TRUE,,,1,,,,,,
1070005,,turbulence mark,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070151;caster=2;holder=1;lifeRound=buff:getValue();value=5}>>}>,,2,,,TRUE,,,1,,,,,,
1070006,,Great Sunshine Mark,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070161;caster=2;holder=1;lifeRound=buff:getValue();value=6}>>}>,,2,,,TRUE,,,1,,,,,,
1070007,,fog mark,,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070171;caster=2;holder=1;lifeRound=buff:getValue();value=7}>>}>,,2,,,TRUE,,,1,,,,,,
1070008,,Mark of the Night (Immune to Special Attack),,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070181;caster=2;holder=1;lifeRound=buff:getValue();value=8}>>}>,,2,,,TRUE,,,1,,,,,,
1070009,,Mark of the Night (Immunity to Physical Attack),,,,,,1,99997,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070186;caster=2;holder=1;lifeRound=buff:getValue();value=8}>>}>,,2,,,TRUE,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070111,rain,weather,,,weather,,,2,99998,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1;};{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1070112;caster=1;holder=1;lifeRound=99;value=target2:speed()*0.1;prob=(target:nature(1)==3 or target:nature(2)==3) and 1 or 0;bond=1}>;<{cfgId=1070113;caster=1;holder=1;lifeRound=99;value=1000;prob=(target:nature(1)==2 or target:nature(2)==2) and 1 or 0;bond=1}>>; };{nodeId=2;triggerPoint=4;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070114;caster=1;holder=1;lifeRound=1;value=0;prob=target:hasBuffGroup(c.fly_oc()) and 0 or 1}>>; }>,,2,0,,TRUE,,,1,,,,,,
1070112,rain,Water system speed boost,,,speed,天气,特殊,1,1201,103,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,2,0,,TRUE,,,1,,,,,,
1070113,rain,Fire damage reduction,,,damageReduce,天气,特殊,1,1203,103,,,,,1,1,,,battle/buff_icon/logo_shjc_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjd.png,,,,,,,,,2,0,,TRUE,,,1,,,,,,
1070114,rain,dispel a negative,,,qusan,,,1,10001,,,,,<1;1>,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1241000;caster=2;holder=1;lifeRound=1;value=1}>>}>,,,,,,,,,,,,,,
,rain,Dispel all buffs,,,qusan,,,1,20005,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1241000;caster=2;holder=1;lifeRound=1;value=1}>>}>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070121,thunderstorm,weather,,,weather,,,1,99998,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=0;triggerPoint=1;};{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070122;caster=1;holder=1;lifeRound=99;value=5000;prob=1;bond=1}>>; };{nodeId=2;triggerPoint=4;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1070123;caster=1;holder={input=all;process=buffDifferExclude('group',{c.fly_oc()})|random(1)};lifeRound=1;value=0;prob=(moreE(countObjByBuff(1,{1070123}),1) or moreE(countObjByBuff(2,{1070123}),1)) and 0 or 1}>>}>",,2,0,,TRUE,,,1,,,,,,
1070122,thunderstorm,Electric skill damage increased by 50%,,,electricityDamageAdd,,,1,,,,,,,1,1,,,battle/buff_icon/logo_shjc_up.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,1,,,,,,
1070123,thunderstorm,Lightning preparation,,,,,,1,,,,,,,0,1,,,,,,,,,,,,,weather/leiyu.skel,effect,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{cfgId=1070124;caster=1;holder=1;lifeRound=1;value=target2:hpMax()*0.6;prob=(target2:nature(1)==5 or target2:nature(2)==5) and 0.8 or 1}>;<{cfgId=1070125;caster=1;holder=1;lifeRound=1;value=target2:hpMax()*0.6;prob=target2:hasBuff(1070124) and 0 or 1}>;<{cfgId=1070126;caster=1;holder=1;lifeRound=1;value=0;prob=(target2:nature(1)==5 or target2:nature(2)==5) and 0 or 0.5}>>; }>,,,,,,,,,,,,,,
1070124,thunderstorm,Thunder damage,,,buffDamage,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=4;natureType=5}>,,,,,,,,,,,,,,,,,,
1070125,thunderstorm,Electric elf absorbs lightning,,,addHP,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
1070126,thunderstorm,Lightning paralysis,,,silence,,,2,27,,,,,,1,1,,,battle/buff_icon/logo_mb.png,,buff/mabi/mabi.skel,<mabi_loop>,,,0,,,,,,,,,,,,,,battle/txt/txt_mb.png,,,<0;1>,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070131,snow day,weather,,,weather,,,2,99998,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=0;triggerPoint=1;};{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1070132;caster=1;holder=1;lifeRound=99;value=target2:defence()*0.2;prob=(target:nature(1)==6 or target:nature(2)==6) and 1 or 0;bond=1}>;<{cfgId=1070133;caster=1;holder=1;lifeRound=99;value=target2:specialDefence()*0.2;prob=(target:nature(1)==6 or target:nature(2)==6) and 1 or 0;bond=1}>>; };{nodeId=2;triggerPoint=4;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1070134;caster=1;holder=1;lifeRound=2;value=target:hpMax()*0.35;prob=(target:nature(1)==6 or target:nature(2)==6) and 0 or (target:hasBuffGroup(c.fly_oc()) and 0 or 0.23)}>;<{cfgId=1070135;caster=1;holder=1;lifeRound=1;value=self:damage()*0.5;prob=target:hasBuffGroup(26,c.fly_oc()) and  0 or ((target:nature(1)==6 or target:nature(2)==6) and 0 or 1);bond=1}>>; }>",,2,0,,TRUE,,,1,,,,,,
