变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,vipWeight_kr,vipWeight_en,vipWeight_tw,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
102,S fragment 1 - out of rare - cn out of rare,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=60;20731=60;20741=60;20881=100;21071=100;21081=60;21171=100;21221=60;21231=60;21241=60;21251=60;21291=100;21311=60;21391=100;21421=100;21501=100;21811=100;21841=100;21891=60;21901=60;22231=60;22721=100;22821=60;23001=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100;21911=60;21921=100;21931=100;22471=100;23151=100;23591=100;22241=60;22401=60;20771=60},3,{coin5=200},,100,0,0,0,,,0,,,,
,,,,,,,,,,,,,,,,
111,S Fragment 1 - Unavailable Rare,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=0;20731=0;20741=0;20881=100;21071=100;21081=0;21171=100;21221=0;21231=0;21241=0;21251=0;21291=100;21311=0;21391=100;21421=100;21501=100;21811=100;22721=100;23001=100;23021=100;23141=100;23351=0;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100},3,{coin5=200},,100,100,100,100,,,1,,,,
112,S fragment 1 - out of rare - cn out of rare,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=60;20731=60;20741=60;20881=100;21071=100;21081=60;21171=100;21221=60;21231=60;21241=60;21251=60;21291=100;21311=60;21391=100;21421=100;21501=100;21811=100;21841=100;21891=60;21901=60;22231=60;22721=100;22821=60;23001=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100;21911=60;21921=100;21931=100;22471=100;23151=100;23591=100;22241=60;22401=60;20771=60},3,{coin5=200},,100,0,0,0,,,1,,,,
,,,,,,,,,,,,,,,,
121,S Fragment 3-Out Rare,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;21891=40;21901=40;22231=40;22721=0;22821=40;23001=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100},3,{coin5=200},,0,100,100,100,,,2,,,,
122,S fragment 3-out rare-cn,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=60;20731=60;20741=60;20881=100;21071=100;21081=60;21171=100;21221=60;21231=60;21241=60;21251=60;21291=100;21311=60;21391=100;21421=100;21501=100;21811=100;21841=100;21891=60;21901=60;22231=60;22721=100;22821=60;23001=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100;21911=60;21921=100;21931=100;22471=100;23151=100;23591=100;22241=60;22401=60;20771=60},3,{coin5=200},,100,0,0,0,,,2,,,,
,,,,,,,,,,,,,,,,
126,S Fragment 3-Out Rare,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;21891=40;21901=40;22231=40;22721=0;22821=40;23001=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100},3,{coin5=200},,0,100,100,100,,,3,,,,
127,S fragment 3-out rare-cn,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=60;20731=60;20741=60;20881=100;21071=100;21081=60;21171=100;21221=60;21231=60;21241=60;21251=60;21291=100;21311=60;21391=100;21421=100;21501=100;21811=100;21841=100;21891=60;21901=60;22231=60;22721=100;22821=60;23001=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100;21911=60;21921=100;21931=100;22471=100;23151=100;23591=100;22241=60;22401=60;20771=60},3,{coin5=200},,100,0,0,0,,,3,,,,
,,,,,,,,,,,,,,,,
131,A Fragment 1,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},5,{coin5=150},,100,100,100,100,,,4,,,,
,,,,,,,,,,,,,,,,
201,A Fragment 2,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},5,{coin5=150},,100,100,100,100,,,5,,,,
202,A Fragment 3,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},5,{coin5=150},,100,100,100,100,,,6,,,,
203,B Fragment 1,{20031=100;20041=100;20061=100;20071=100;20081=100;20101=100;20111=100;20121=100;20171=0;20191=100;20231=100;20351=100;20451=100;20541=100;20891=100;21351=100;23561=100},5,{coin5=80},,100,100,100,100,,,7,,,,
204,b Fragment 2,{20031=100;20041=100;20061=100;20071=100;20081=100;20101=100;20111=100;20121=100;20171=0;20191=100;20231=100;20351=100;20451=100;20541=100;20891=100;21351=100;23561=100},5,{coin5=80},,100,100,100,100,,,8,,,,
