变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
322,_skill2_ poisoning,,,,,,,,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,,<0>,,
323,_skill2_ treatment,,,,,,,,,,,,,,,
331,_skill3,,,,,,,,,,,,,,331,
332,_skill3_spine,,,,,,,,,,,,,,332,
333,_skill3_ treatment,0,11,,,,,,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));(self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0)))*(self:flagZ3() and 2 or 1)>",,
334,_skill3_ Continuous Healing,0,11,,,,,,,,,,,,,
361,_skill3_ trigger healing,,,selfForce | nodead,random(1),,,,,<1313>,<3>,<1>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
362,_skill3_ trigger healing,0,14,,,,,,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
,_skill3_ trigger healing,,,selfForce,hpRatioMin,,,,,<1313;1315>,<3;1>,<target:hasBuff(1313) and 1 or 1;target:hasBuff(1313) and 0 or 0>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));0>",,
,,,,,,,,,,,,,,,,
411,mega frog flower,,,,,,,,,,,,,,411,
412,_skill1_ treatment,,,selfForce,hpRatioMin,,,,,<1313>,<3>,<1>,,"<self:specialDamage()*(0.3+(skillLv(46) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
421,_skill2,,,,,,,,,,,,,,421,
422,_skill2_ poisoning,,,,,,,,,<1322>,<3>,<1>,,"<min(target:hp()*0.05,self:specialDamage()*3)>",,
423,_skill2_ treatment,,,,,,,,,,,,,,,
431,_skill3,,,,,,,,,,,,,,431,
432,_skill3_spine,,,,,,,,,,,,,,432,
433,_skill3_ treatment,0,11,,,,,,,<1313;1316;1324>,<3;1;1>,"<1;1;moreE(self:star(),11) and 1 or 0>",,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));0>",,
434,_skill3_ Continuous Healing,0,11,,,,,,,,,,,,,
441,_Passive_Hit Heal,0,14,,,,,,,<1326>,<99>,<1>,,<0>,,
461,_Passive_Trigger Healing,,,selfForce,hpRatioMin,,,,,<1313;1315;1325>,<3;1;99>,"<target:hasBuff(1313) and 1 or 1;target:hasBuff(1313) and 0 or 0;moreE(self:star(),8) and 1 or 0>",,"<self:specialDamage()*(0.3+(skillLv(46) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));0;2000>",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1111,Charmander,,,,,,,,,,,,,,1111,
1112,,0,14,,,,,,,<11226>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDamage()*0.1>,,
1121,_skill2,,,,,,,,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,,<self:specialDamage()*0.3>,1121,
1122,,0,14,,,,,,,,,,,,,
1123,_skill2_ plus special attack,0,14,,,,,,,<11226;11227>,<2;2>,<1;1>,,<self:specialDamage()*0.1;self:speed()*0.1>,,
1131,_skill3,,4,,,,,,,,,,,,1131,
1132,_skill3_spine,,4,,,,,,,,,,,,1132,
1133,_skill3_burning,,4,,,,,,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,
1134,,,11,,,,,,,<11228>,<2>,<self:flagZ3() and 1 or 0>,,<self:specialDamage()*0.3>,,
1161,,0,14,,,,,,,<11225>,<99>,<1>,,<0>,,
,,,,,,,,,,,,,,,,
1211,fire dinosaur,,,,,,,,,,,,,,1211,
1212,,0,14,,,,,,,<11226>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDamage()*0.1>,,
1221,_skill2,,,,,,,,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,,<self:specialDamage()*0.3>,1221,
1222,,0,14,,,,,,,,,,,,,
1223,_skill2_ plus special attack,0,14,,,,,,,<11226;11227>,<2;2>,<1;1>,,<self:specialDamage()*0.1;self:speed()*0.1>,,
1231,_skill3,,4,,,,,,,,,,,,1231,
1232,_skill3_spine,,4,,,,,,,,,,,,1232,
1233,_skill3_burning,,4,,,,,,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",,<self:specialDamage()*0.3;self:specialDamage()*0.3>,,
1234,,,11,,,,,,,<11228>,<2>,<self:flagZ3() and 1 or 0>,,<self:specialDamage()*0.3>,,
1261,,0,14,,,,,,,<11225>,<99>,<1>,,<0>,,
,,,,,,,,,,,,,,,,
1311,Charizard,,,,,,,,,,,,,,1311,
1312,,0,14,,,,,,,<11226>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDamage()*0.1>,,
1321,_skill2,,,,,,,,,<11228>,<2>,<self:flagZ2() and 0.5 or 0>,,<self:specialDamage()*0.3>,1321,
1322,_skill_spine,,,,,,,,,,,,,,1322,
1323,,0,14,,,,,,,<11226;11227>,<2;2>,<1;1>,,<self:specialDamage()*0.1;self:speed()*0.1>,,
1324,_skill2_ plus special attack,,4,,,,,,,,,,,,,
1331,_skill3,,4,,,,,,,,,,,,1331,
1332,_skill3_spine,,4,,,,,,,<11228;11228>,<2;2>,"<1;(moreEqualThan(self:star(),11) and 1 or 0)*(self:flagZ3() and 0 or 1)>",,<self:specialDamage()*0.3;self:specialDamage()*0.3>,1332,
1333,_skill3_burning,,11,,,,,,,<11228>,<2>,<self:flagZ3() and 1 or 0>,,<self:specialDamage()*0.3>,,
1334,,0,14,,,,,,,,,,,,,
1361,,0,14,,,,,,,<11225>,<99>,<1>,,<0>,,
,,,,,,,,,,,,,,,,
1411,Charizard megaX_skill1,,,,,,,,,,,,,,1411,
1412,burn,,1,,,,,,,<11411>,<2>,<1>,,<self:damage()*0.3>,,
1421,_skill2,,,,,,,,,,,,,,1421,
1422,add attack,0,14,,,,,,,<11412>,<2>,<1>,,<self:damage()*0.2>,,
1431,_skill3,,,,,,,,,,,,,,1431,
1432,_skill3_spine,,,,,,,,,,,,,,1432,
1433,_skill__ crit star,0,14,,,,,,,<11417>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",,<1000>,,
1434,,,,enemyForce,"buffDiffer('group',{1500,1510,1520})",,,,,<11413>,<1>,<1>,,<self:curSkill():getTotalDamage()*0.48>,,
1435,Diffusion 11 stars,,,enemyForce,"buffDiffer('group',{c.groupdebuff_oc()})",,,,,<11416>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",,<self:curSkill():getTotalDamage()*0.28>,,
1461,,0,11,,,,,,,<11414>,<99>,<(target:nature(1) ==15 or target:nature(2) ==15)  and 1 or 0>,,<1>,,
1462,,0,11,,,,,,,<11414>,<99>,<(target:nature(1) ==2 or target:nature(2) ==2)  and 1 or 0>,,<1>,,
1463,plus attack,0,14,,,,,,,<11415>,<99>,<1>,,"<self:Bdamage()*(0.05+0.0005*skillLevel-0.0005)*countObjByBuff(self:force(),{11414})>",,
,,,,,,,,,,,,,,,,
1511,Charizard megay_skill1,,,,,,,,,,,,,,1511,
1512,Special forces,0,14,,,,,,,<11512>,<2>,<1>,,<self:specialDamage()*0.3>,,
1521,_skill2,,,,,,,,,,,,,,1521,
1522,_skill2_acceleration,0,14,,,,,,,<11513>,<2>,<1>,,<self:speed()*0.2>,,
1523,burn,,,,,,,,,<11511>,<2>,<1>,,<self:specialDamage()*0.3>,,
1531,_skill3,,4,,,,,,,,,,,,1531,
1532,_skill3_spine,,4,,,,,,,,,,,,1532,
1533,_skill3_burning,,4,,,,,,,<11511;11511;11514;11511>,<2;2;2;2>,"<1;1;1;moreEqualThan(self:star(),11) and 1 or 0>",,<self:specialDamage()*0.3;self:specialDamage()*0.3;1;self:specialDamage()*0.3>,,
1534,_skill3_ burn boost,,11,,,,,,,,,,,,,
1561,,,11,,,,,,,<11516>,<99>,<1>,,"<list(list(1500,1510,1520,1530),0.3+skillLevel*0.003-0.003,2)>",,
1562,,0,11,,,,,,,<11519>,<99>,<1>,,<1>,,
1563,,0,14,,,,,,,<11517>,<99>,"<moreEqualThan(self:star(),8) and 1 or 0>",,<1>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2111,Squirrel,,,,,,,,,,,,,,2111,
2112,Squirrel,0,14,,,,,,,<21230>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDefence()*0.2>,,
2121,_skill2,,,,,,,,,,,,,,2121,
2122,_skill2_ plus shield,0,14,,,,,,,<21221>,<2>,<1>,,<self:specialDefence()*2>,,
2123,_skill2_ plus shield,0,2,,,,,,,<21221>,<2>,<self:flagZ2() and 1 or 0>,,<self:specialDefence()*2>,,
2131,_skill3,,2,,,,,,,,,,,,2131,
2132,_skill3_spine,,2,,,,,,,,,,,,2132,
2133,_skill3_ plus shield,0,11,,,,,,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:nature(1)==3 or target:nature(2)==3) and 1 or 0>",,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,
2161,Halo_Add double defense,0,11,,,,,,,<21225;21226>,<99;99>,<1;1>,,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,
2162,mark,0,14,,,,,,,<21228>,<99>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,
2163,mark,0,11,,,,,,,<21228>,<99>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",,<1>,,
,,,,,,,,,,,,,,,,
2211,Cammy Turtle,,,,,,,,,,,,,,2211,
2212,Cammy Turtle,0,14,,,,,,,<21230>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDefence()*0.2>,,
2221,_skill2,,,,,,,,,,,,,,2221,
2222,_skill2_ plus shield,0,14,,,,,,,<21221>,<2>,<1>,,<self:specialDefence()*2>,,
2223,_skill3_ plus shield,0,2,,,,,,,<21221>,<2>,<self:flagZ2() and 1 or 0>,,<self:specialDefence()*2>,,
2231,_skill3,,2,,,,,,,,,,,,2231,
2232,_skill3_spine,,2,,,,,,,,,,,,2232,
2233,_skill3_ plus shield,0,11,,,,,,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:nature(1)==3 or target:nature(2)==3) and 1 or 0>",,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,
2261,Halo_Add double defense,0,11,,,,,,,<21225;21226>,<99;99>,<1;1>,,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,
2262,mark,0,14,,,,,,,<21228>,<99>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,
2263,mark,0,11,,,,,,,<21228>,<99>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",,<1>,,
,,,,,,,,,,,,,,,,
2311,Blastoise,,,,,,,,,,,,,,2311,
2312,Blastoise,0,14,,,,,,,<21230>,<2>,<self:flagZ1() and 1 or 0>,,<self:specialDefence()*0.2>,,
2321,_skill2,,,,,,,,,,,,,,2321,
2322,_skill2_ plus shield,0,14,,,,,,,<21221>,<2>,<1>,,<self:specialDefence()*2>,,
2323,_skill3_ plus shield,0,2,,,,,,,<21221>,<2>,<self:flagZ2() and 1 or 0>,,<self:specialDefence()*2>,,
2331,_skill3,,2,,,,,,,,,,,,2331,
2332,_skill3_spine,,2,,,,,,,,,,,,2332,
2333,_skill3_ plus shield,0,11,,,,,,,<21222;21227>,<2;2>,"<1;moreEqualThan(self:star(),11) and (target:nature(1)==3 or target:nature(2)==3) and 1 or 0>",,<self:specialDefence()*1.6;self:flagZ3() and 3000 or 1000>,,
2361,Halo_Add double defense,0,11,,,,,,,<21225;21226>,<99;99>,<1;1>,,<target:defence()*(0.08+skillLevel*0.0004);target:specialDefence()*(0.08+skillLevel*0.0004)>,,
2362,mark,0,14,,,,,,,<21228>,<99>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,
2363,mark,0,11,,,,,,,<21228>,<99>,"<moreE(self:star(),8) and self:flagZ4() and 1 or 0>",,<1>,,
,,,,,,,,,,,,,,,,
2411,mega water arrow turtle,,,,,,,,,,,,,,2411,
2412,_skill2_ plus double defense,0,14,,,,,,,<24121;24122>,<2;2>,<1;1>,,<self:defence()*0.2;self:specialDefence()*0.5>,,
2421,_skill2,,,,,,,,,,,,,,2421,
2422,_skill2_ plus shield,0,14,,,,,,,<24123>,<2>,<1>,,<self:specialDefence()*2>,,
2423,_skill2_ plus shield,,,selfForce|nodead,otherProcessExcept(2422)|hpRatioMin,,,,,<24123>,<2>,<1>,,<self:specialDefence()*2>,,
2431,_skill3,,2,,,,,,,,,,,,2431,
2432,_skill3_spine,,2,,,,,,,,,,,,2432,
2433,_skill3_ Dispel,,2,,,,,,,<24124>,<1>,<1>,,<0>,,
2434,_skill3_ plus shield,0,11,,,,,,,<24125>,<2>,<1>,,<self:specialDefence()*(target:frontOrBack()==1 and 3.6 or 2.4)>,,
2461,Passive Aura_Add Double Defense,0,11,,,,,,,<24128;24129>,<99;99>,<1;1>,,<self:Bdefence()*(0.18+skillLevel*0.002);self:BspecialDefence()*(0.18+skillLevel*0.002)>,,
2462,passive_mark,0,14,,,,,,,<24130>,<99>,"<moreE(self:star(),8) and 1 or 0>",,<1>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3111,green caterpillar,,,,,,,,,,,,,,3111,
3121,_skill2,,,,,,,,,,,,,,3121,
3122,_skill2_ deceleration,,,,,,,,,<31221>,<1>,<1>,,<-target:speed()*0.6>,,
3131,_skill3,,2,,,,,,,,,,,,3131,
3132,_skill3_spine,,2,,,,,,,,,,,,3132,
3133,_skill3_ deceleration,,2,,,,,,,<31221>,<1>,<1>,,"<-target:speed()*(moreEqualThan(self:star(),11) and 1 or 0.4)>",,
3161,Passive_acceleration,0,14,,,,,,,<31222;31223>,<99;1>,<1;1>,,<self:speed()*(5+skillLevel*0.05-0.05)*0.01;self:speed()*0.3>,,
,,,,,,,,,,,,,,,,
3311,Butterfly,,,,,,,,,,,,,,3311,
3321,_skill2,,,,,,,,,,,,,,3321,
3322,_skill2_ deceleration,,,,,,,,,<31221>,<1>,<1>,,<-target:speed()*0.6>,,
3331,_skill3,,2,,,,,,,,,,,,3331,
3332,_skill3_ deceleration,,2,,,,,,,<31221>,<1>,<1>,,"<-target:speed()*(moreEqualThan(self:star(),11) and 1 or 0.4)>",,
3361,Passive_acceleration,0,14,,,,,,,<31222;31223>,<99;1>,<1;1>,,<self:speed()*(5+skillLevel*0.05-0.05)*0.01;self:speed()*0.3>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4311,Big Needle Bee,,,,,,,,,,,,,,4311,
4321,_skill2,,,,,,,,,,,,,,4321,
4322,_skill2_ poisoning,1,1,,,,,,,<43221>,<2>,<0.3>,,<self:damage()*0.1>,,
4331,_skill3,,,,,,,,,,,,,,4331,
4332,_skill3_ reduction therapy,1,1,,,,,,,<43222>,<2>,<1>,,"<moreEqualThan(self:star(),11) and -6000 or -4000>",,
4361,Passive_Ignores physical defense,0,14,,,,,,,<43223>,<99>,<1>,,"<(10+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,
,,,,,,,,,,,,,,,,
4411,Big needle bee mega,,1,,,,,,,,,,,,4411,
4412,Big needle bee mega,0,14,,,,,,,<44228>,<2>,<self:flagZ1() and 1 or 0>,,<self:damage()*0.1>,,
4421,_skill2,,1,,,,,,,,,,,,4421,
4422,_skill2_ Poison Prohibition,,1,,,,,,,<44221;44223>,<3;self:flagZ2() and 3 or 2>,<1;1>,,<self:damage()*0.2;-4000>,,
4431,_skill3,,1,,,,,,,,,,,,4431,
4432,_skill3_spine,,1,,,,,,,,,,,,4432,
4433,_skill3_ reduced healing,,1,,,,,,,<44223>,<5>,<1>,,<-8000>,,
4434,_skill3_ star damage increase,,1,,,,,,,<44225>,<1>,<1>,,<1>,,
4461,passive,0,14,,,,,,,<44227>,<99>,<1>,,<1>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5111,Bobo,,,,,,,,,,,,,,5111,
5112,Bobo,0,14,,,,,,,<51225>,<2>,<self:flagZ1() and 1 or 0>,,<self:speed()*0.05>,,
5121,_skill2,,,,,,,,,,,,,,5121,
5122,_skill2_ reduce speed,,1,,,,,,,<51221>,<2>,<1>,,<-target:speed()*0.2>,,
5123,_skill2_ reduce speed,,1,,,,,,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",,<-target:speed()*0.2>,,
5131,_skill3,,,,,,,,,,,,,,5131,
5132,_skill3_spine,,,,,,,,,,,,,,5132,
5133,_skill3_ speed up,0,11,,,,,,,<51222>,<self:flagZ3() and 99 or 3>,<1>,,<target:speed()*((target:nature(1)==10 or target:nature(2)==10 ) and 0.2 or 0.1)>,,
5161,Passive_acceleration,0,14,,,,,,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,
,,,,,,,,,,,,,,,,
5211,bibi bird,,,,,,,,,,,,,,5211,
5212,bibi bird,0,14,,,,,,,<51225>,<2>,<self:flagZ1() and 1 or 0>,,<self:speed()*0.05>,,
5221,_skill2,,,,,,,,,,,,,,5221,
5222,_skill2_ reduce speed,,1,,,,,,,<51221>,<2>,<1>,,<-target:speed()*0.2>,,
5223,_skill2_ reduce speed,,1,,,,,,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",,<-target:speed()*0.2>,,
5231,_skill3,,,,,,,,,,,,,,5231,
5232,_skill3_spine,,,,,,,,,,,,,,5232,
5233,_skill3_ speed up,0,11,,,,,,,<51222>,<self:flagZ3() and 99 or 3>,<1>,,<target:speed()*((target:nature(1)==10 or target:nature(2)==10 ) and 0.2 or 0.1)>,,
5261,Passive_acceleration,0,14,,,,,,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,
,,,,,,,,,,,,,,,,
5311,Big bird,,,,,,,,,,,,,,5311,
5312,Big bird,0,14,,,,,,,<51225>,<2>,<self:flagZ1() and 1 or 0>,,<self:speed()*0.05>,,
5321,_skill2,,,,,,,,,,,,,,5321,
5322,_skill2_ reduce speed,,1,,,,,,,<51221>,<2>,<1>,,<-target:speed()*0.2>,,
5323,_skill2_ reduce speed,,1,,,,,,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",,<-target:speed()*0.2>,,
5331,_skill3,,,,,,,,,,,,,,5331,
5332,_skill3_ speed up,0,11,,,,,,,<51222>,<self:flagZ3() and 99 or 3>,<1>,,<target:speed()*((target:nature(1)==10 or target:nature(2)==10 ) and 0.2 or 0.1)>,,
5361,Passive_acceleration,0,14,,,,,,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6111,Little Lada_skill1,,,,,,,,,,,,,,6111,
6121,_skill2,,,,,,,,,,,,,,6121,
6122,_skill2_ steal attack and defense,,1,,,,,,,<61221;61223>,<99;99>,<1;1>,,"<-min(target:defence()*0.05,self:defence()*0.4);-min(target:damage()*0.05,self:damage()*0.4)>",,
6131,_skill3,,,,,,,,,,,,,,6131,
6132,_skill3_ Increase crit,0,14,,,,,,,<61225>,<1>,<1>,,<90000>,,
6133,_skill3_ Reduce critical damage,0,14,,,,,,,<61226>,<1>,<1>,,"<moreEqualThan(self:star(),11) and -2000 or -3000>",,
6161,_Passive_Lifesteal,0,14,,,,,,,<61227>,<99>,<1>,,"<(5+skillLevel*0.15-0.15+(moreEqualThan(self:star(),8) and 0.05 or 0))*100>",,
,,,,,,,,,,,,,,,,
6211,Lada_skill1,,1,,,,,,,,,,,,6211,
6221,_skill2,,1,,,,,,,,,,,,6221,
6222,_skill2_ steal attack and defense,,1,,,,,,,<61221;61223>,<99;99>,<1;1>,,"<-min(target:defence()*0.05,self:defence()*0.4);-min(target:damage()*0.05,self:damage()*0.4)>",,
6231,_skill3,,,,,,,,,,,,,,6231,
6232,_skill3_ Increase crit,0,14,,,,,,,<61225>,<1>,<1>,,<90000>,,
6233,_skill3_ Reduces critical damage,0,14,,,,,,,<61226>,<1>,<1>,,"<moreEqualThan(self:star(),11) and -2000 or -3000>",,
6261,_Passive_Lifesteal,0,14,,,,,,,<61227>,<99>,<1>,,"<(5+skillLevel*0.15-0.15+(moreEqualThan(self:star(),8) and 0.05 or 0))*100>",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7111,sparrow_skill1,,,,,,,,,,,,,,7111,
7121,_skill2,,1,,,,,,,,,,,,7121,
7122,_skill2_acceleration,0,14,,,,,,,<71221>,<2>,<1>,,<self:speed()*0.1>,,
7131,_skill3,,1,,,,,,,,,,,,7131,
7132,_skill3_ Reduce dual defense,0,14,,,,,,,<71222;71223>,<1;1>,<1;1>,,"<-self:defence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3);-self:specialDefence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3)>",,
7161,_passive_irritability,0,14,,,,,,,<71224>,<99>,<1>,,"<(20+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,
,,,,,,,,,,,,,,,,
7211,Toucan,,,,,,,,,,,,,,7211,
7221,_skill2,,1,,,,,,,,,,,,7221,
7222,_skill2_acceleration,0,14,,,,,,,<71221>,<2>,<1>,,<self:speed()*0.1>,,
7231,_skill3,,1,,,,,,,,,,,,7231,
7232,_skill3_ Reduce dual defense,0,14,,,,,,,<71222;71223>,<1;1>,<1;1>,,"<-self:defence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3);-self:specialDefence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3)>",,
7261,_passive_irritability,0,14,,,,,,,<71224>,<99>,<1>,,"<(20+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8111,Arbor snake,,,,,,,,,,,,,,8111,
8121,_skill2,,,,,,,,,,,,,,8121,
8122,_skill2_ Reduce physical attack,,,,,,,,,<81221>,<2>,<1>,,<-target:damage()*0.1>,,
8131,_skill3,,,,,,,,,,,,,,8131,
8132,_skill3_spine,,,,,,,,,,,,,,8132,
8133,_skill3_ Improve physical attack,0,14,,,,,,,<81225>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",,<self:damage()*0.2>,,
