变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
405,rmb10,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8011=5;8012=2;8014=1;8017=2},100,{8011=4;8012=3;8014=1;8017=2},100,{8011=5;8012=3;8014=1;8017=1},100,,0,,0,,0,,0,,0,,,,
406,rmb10,Regular ten companies - regular output,0,2,,,,,,,,,,{8011=5;8012=2;8013=1;8017=2},100,{8011=6;8012=1;8013=1;8017=2},50,{8011=5;8012=3;8013=1;8017=1},50,{8011=4;8012=4;8013=1;8017=1},50,{8011=4;8012=2;8013=2;8017=2},100,{8011=5;8012=1;8013=2;8017=2},50,{8011=4;8012=3;8013=2;8017=1},50,{8011=5;8012=2;8013=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,limit_up_gem_rmb1_101015,Regular Single Draw - Regular Output,0,1,,,,,,,,,,{8011=1},57,{8012=1},22,{8013=1},8,{8017=1},13,,,,0,,0,,0,,,,
1002,limit_up_gem_rmb10_101015,Regular ten companies - regular output,0,1,,,,,,,,,,{8011=5;8012=2;8013=1;8017=2},100,{8011=6;8012=1;8013=1;8017=2},50,{8011=5;8012=3;8013=1;8017=1},50,{8011=4;8012=4;8013=1;8017=1},50,{8011=4;8012=2;8013=2;8017=2},100,{8011=5;8012=1;8013=2;8017=2},50,{8011=4;8012=3;8013=2;8017=1},50,{8011=5;8012=2;8013=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301,limit_up_gem_rmb1_1802,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8105=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10302,limit_up_gem_rmb1_1802,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8104=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10303,limit_up_gem_rmb1_1802,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8104=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10304,limit_up_gem_rmb1_1802,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8104=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10305,limit_up_gem_rmb1_1802,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8103=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10306,limit_up_gem_rmb1_1802,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8101=1},57,{8102=1},22,{8103=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401,limit_up_gem_rmb10_1802,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8101=5;8102=2;8105=1;8017=2},100,{8101=4;8102=3;8105=1;8017=2},100,{8101=5;8102=3;8105=1;8017=1},100,{8101=4;8102=2;8103=1;8105=1;8017=2},50,{8101=4;8102=3;8103=1;8105=1;8017=1},50,{8101=3;8102=3;8103=1;8105=1;8017=2},50,,,,,,,,
10402,limit_up_gem_rmb10_1802,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8101=5;8102=2;8105=1;8017=2},100,{8101=4;8102=3;8105=1;8017=2},100,{8101=5;8102=3;8105=1;8017=1},100,,,,,,,,,,,,,,
10403,limit_up_gem_rmb10_1802,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8101=5;8102=2;8105=1;8017=2},100,{8101=4;8102=3;8105=1;8017=2},100,{8101=5;8102=3;8105=1;8017=1},100,,,,,,,,,,,,,,
10404,limit_up_gem_rmb10_1802,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8101=5;8102=2;8104=1;8017=2},100,{8101=4;8102=3;8104=1;8017=2},100,{8101=5;8102=3;8104=1;8017=1},100,{8101=4;8102=2;8103=1;8104=1;8017=2},50,{8101=4;8102=3;8103=1;8104=1;8017=1},50,{8101=3;8102=3;8103=1;8104=1;8017=2},50,,0,,0,,,,
10405,limit_up_gem_rmb10_1802,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8101=5;8102=2;8104=1;8017=2},100,{8101=4;8102=3;8104=1;8017=2},100,{8101=5;8102=3;8104=1;8017=1},100,,0,,0,,0,,0,,0,,,,
10406,limit_up_gem_rmb10_1802,Regular ten companies - regular output,0,2,,,,,,,,,,{8101=5;8102=2;8103=1;8017=2},100,{8101=6;8102=1;8103=1;8017=2},50,{8101=5;8102=3;8103=1;8017=1},50,{8101=4;8102=4;8103=1;8017=1},50,{8101=4;8102=2;8103=2;8017=2},100,{8101=5;8102=1;8103=2;8017=2},50,{8101=4;8102=3;8103=2;8017=1},50,{8101=5;8102=2;8103=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,limit_up_gem_rmb1_1922,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8205=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10502,limit_up_gem_rmb1_1922,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8204=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10503,limit_up_gem_rmb1_1922,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8204=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10504,limit_up_gem_rmb1_1922,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8204=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10505,limit_up_gem_rmb1_1922,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8203=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10506,limit_up_gem_rmb1_1922,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8201=1},57,{8202=1},22,{8203=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10601,limit_up_gem_rmb10_1922,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8201=5;8202=2;8205=1;8017=2},100,{8201=4;8202=3;8205=1;8017=2},100,{8201=5;8202=3;8205=1;8017=1},100,{8201=4;8202=2;8203=1;8205=1;8017=2},50,{8201=4;8202=3;8203=1;8205=1;8017=1},50,{8201=3;8202=3;8203=1;8205=1;8017=2},50,,,,,,,,
10602,limit_up_gem_rmb10_1922,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8201=5;8202=2;8205=1;8017=2},100,{8201=4;8202=3;8205=1;8017=2},100,{8201=5;8202=3;8205=1;8017=1},100,,,,,,,,,,,,,,
10603,limit_up_gem_rmb10_1922,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8201=5;8202=2;8205=1;8017=2},100,{8201=4;8202=3;8205=1;8017=2},100,{8201=5;8202=3;8205=1;8017=1},100,,,,,,,,,,,,,,
10604,limit_up_gem_rmb10_1922,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8201=5;8202=2;8204=1;8017=2},100,{8201=4;8202=3;8204=1;8017=2},100,{8201=5;8202=3;8204=1;8017=1},100,{8201=4;8202=2;8203=1;8204=1;8017=2},50,{8201=4;8202=3;8203=1;8204=1;8017=1},50,{8201=3;8202=3;8203=1;8204=1;8017=2},50,,0,,0,,,,
10605,limit_up_gem_rmb10_1922,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8201=5;8202=2;8204=1;8017=2},100,{8201=4;8202=3;8204=1;8017=2},100,{8201=5;8202=3;8204=1;8017=1},100,,0,,0,,0,,0,,0,,,,
10606,limit_up_gem_rmb10_1922,Regular ten companies - regular output,0,2,,,,,,,,,,{8201=5;8202=2;8203=1;8017=2},100,{8201=6;8202=1;8203=1;8017=2},50,{8201=5;8202=3;8203=1;8017=1},50,{8201=4;8202=4;8203=1;8017=1},50,{8201=4;8202=2;8203=2;8017=2},100,{8201=5;8202=1;8203=2;8017=2},50,{8201=4;8202=3;8203=2;8017=1},50,{8201=5;8202=2;8203=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701,limit_up_gem_rmb1_2012,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8305=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10702,limit_up_gem_rmb1_2012,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8304=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10703,limit_up_gem_rmb1_2012,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8304=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10704,limit_up_gem_rmb1_2012,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8304=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10705,limit_up_gem_rmb1_2012,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8303=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10706,limit_up_gem_rmb1_2012,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8301=1},57,{8302=1},22,{8303=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10801,limit_up_gem_rmb10_2012,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8301=5;8302=2;8305=1;8017=2},100,{8301=4;8302=3;8305=1;8017=2},100,{8301=5;8302=3;8305=1;8017=1},100,{8301=4;8302=2;8303=1;8305=1;8017=2},50,{8301=4;8302=3;8303=1;8305=1;8017=1},50,{8301=3;8302=3;8303=1;8305=1;8017=2},50,,,,,,,,
10802,limit_up_gem_rmb10_2012,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8301=5;8302=2;8305=1;8017=2},100,{8301=4;8302=3;8305=1;8017=2},100,{8301=5;8302=3;8305=1;8017=1},100,,,,,,,,,,,,,,
10803,limit_up_gem_rmb10_2012,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8301=5;8302=2;8305=1;8017=2},100,{8301=4;8302=3;8305=1;8017=2},100,{8301=5;8302=3;8305=1;8017=1},100,,,,,,,,,,,,,,
10804,limit_up_gem_rmb10_2012,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8301=5;8302=2;8304=1;8017=2},100,{8301=4;8302=3;8304=1;8017=2},100,{8301=5;8302=3;8304=1;8017=1},100,{8301=4;8302=2;8303=1;8304=1;8017=2},50,{8301=4;8302=3;8303=1;8304=1;8017=1},50,{8301=3;8302=3;8303=1;8304=1;8017=2},50,,0,,0,,,,
10805,limit_up_gem_rmb10_2012,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8301=5;8302=2;8304=1;8017=2},100,{8301=4;8302=3;8304=1;8017=2},100,{8301=5;8302=3;8304=1;8017=1},100,,0,,0,,0,,0,,0,,,,
10806,limit_up_gem_rmb10_2012,Regular ten companies - regular output,0,2,,,,,,,,,,{8301=5;8302=2;8303=1;8017=2},100,{8301=6;8302=1;8303=1;8017=2},50,{8301=5;8302=3;8303=1;8017=1},50,{8301=4;8302=4;8303=1;8017=1},50,{8301=4;8302=2;8303=2;8017=2},100,{8301=5;8302=1;8303=2;8017=2},50,{8301=4;8302=3;8303=2;8017=1},50,{8301=5;8302=2;8303=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10901,limit_up_gem_rmb1_2112,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8105=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10902,limit_up_gem_rmb1_2112,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8104=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10903,limit_up_gem_rmb1_2112,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8104=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10904,limit_up_gem_rmb1_2112,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8104=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10905,limit_up_gem_rmb1_2112,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8103=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
10906,limit_up_gem_rmb1_2112,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8101=1},57,{8102=1},22,{8103=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,limit_up_gem_rmb10_2112,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8101=5;8102=2;8105=1;8017=2},100,{8101=4;8102=3;8105=1;8017=2},100,{8101=5;8102=3;8105=1;8017=1},100,{8101=4;8102=2;8103=1;8105=1;8017=2},50,{8101=4;8102=3;8103=1;8105=1;8017=1},50,{8101=3;8102=3;8103=1;8105=1;8017=2},50,,,,,,,,
11002,limit_up_gem_rmb10_2112,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8101=5;8102=2;8105=1;8017=2},100,{8101=4;8102=3;8105=1;8017=2},100,{8101=5;8102=3;8105=1;8017=1},100,,,,,,,,,,,,,,
11003,limit_up_gem_rmb10_2112,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8101=5;8102=2;8105=1;8017=2},100,{8101=4;8102=3;8105=1;8017=2},100,{8101=5;8102=3;8105=1;8017=1},100,,,,,,,,,,,,,,
11004,limit_up_gem_rmb10_2112,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8101=5;8102=2;8104=1;8017=2},100,{8101=4;8102=3;8104=1;8017=2},100,{8101=5;8102=3;8104=1;8017=1},100,{8101=4;8102=2;8103=1;8104=1;8017=2},50,{8101=4;8102=3;8103=1;8104=1;8017=1},50,{8101=3;8102=3;8103=1;8104=1;8017=2},50,,0,,0,,,,
11005,limit_up_gem_rmb10_2112,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8101=5;8102=2;8104=1;8017=2},100,{8101=4;8102=3;8104=1;8017=2},100,{8101=5;8102=3;8104=1;8017=1},100,,0,,0,,0,,0,,0,,,,
11006,limit_up_gem_rmb10_2112,Regular ten companies - regular output,0,2,,,,,,,,,,{8101=5;8102=2;8103=1;8017=2},100,{8101=6;8102=1;8103=1;8017=2},50,{8101=5;8102=3;8103=1;8017=1},50,{8101=4;8102=4;8103=1;8017=1},50,{8101=4;8102=2;8103=2;8017=2},100,{8101=5;8102=1;8103=2;8017=2},50,{8101=4;8102=3;8103=2;8017=1},50,{8101=5;8102=2;8103=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11101,limit_up_gem_rmb1_2222,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8205=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11102,limit_up_gem_rmb1_2222,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8204=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11103,limit_up_gem_rmb1_2222,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8204=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11104,limit_up_gem_rmb1_2222,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8204=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11105,limit_up_gem_rmb1_2222,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8203=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11106,limit_up_gem_rmb1_2222,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8201=1},57,{8202=1},22,{8203=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11201,limit_up_gem_rmb10_2222,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8201=5;8202=2;8205=1;8017=2},100,{8201=4;8202=3;8205=1;8017=2},100,{8201=5;8202=3;8205=1;8017=1},100,{8201=4;8202=2;8203=1;8205=1;8017=2},50,{8201=4;8202=3;8203=1;8205=1;8017=1},50,{8201=3;8202=3;8203=1;8205=1;8017=2},50,,,,,,,,
11202,limit_up_gem_rmb10_2222,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8201=5;8202=2;8205=1;8017=2},100,{8201=4;8202=3;8205=1;8017=2},100,{8201=5;8202=3;8205=1;8017=1},100,,,,,,,,,,,,,,
11203,limit_up_gem_rmb10_2222,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8201=5;8202=2;8205=1;8017=2},100,{8201=4;8202=3;8205=1;8017=2},100,{8201=5;8202=3;8205=1;8017=1},100,,,,,,,,,,,,,,
11204,limit_up_gem_rmb10_2222,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8201=5;8202=2;8204=1;8017=2},100,{8201=4;8202=3;8204=1;8017=2},100,{8201=5;8202=3;8204=1;8017=1},100,{8201=4;8202=2;8203=1;8204=1;8017=2},50,{8201=4;8202=3;8203=1;8204=1;8017=1},50,{8201=3;8202=3;8203=1;8204=1;8017=2},50,,0,,0,,,,
11205,limit_up_gem_rmb10_2222,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8201=5;8202=2;8204=1;8017=2},100,{8201=4;8202=3;8204=1;8017=2},100,{8201=5;8202=3;8204=1;8017=1},100,,0,,0,,0,,0,,0,,,,
11206,limit_up_gem_rmb10_2222,Regular ten companies - regular output,0,2,,,,,,,,,,{8201=5;8202=2;8203=1;8017=2},100,{8201=6;8202=1;8203=1;8017=2},50,{8201=5;8202=3;8203=1;8017=1},50,{8201=4;8202=4;8203=1;8017=1},50,{8201=4;8202=2;8203=2;8017=2},100,{8201=5;8202=1;8203=2;8017=2},50,{8201=4;8202=3;8203=2;8017=1},50,{8201=5;8202=2;8203=2;8017=1},50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11301,limit_up_gem_rmb1_2292,Conventional single draw - the weight is about 140 times red on average,1,60,0.0045,0.0102,,60,,,,,,{8305=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11302,limit_up_gem_rmb1_2292,Conventional single draw - about 60 times red,1,40,0.02,0.08,1,40,,,,,,{8304=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11303,limit_up_gem_rmb1_2292,Conventional single draw - the average value of orange is about 50 times,1,20,0.015,0.025,,20,,,,,,{8304=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11304,limit_up_gem_rmb1_2292,Conventional single draw - about 20 times to get orange,1,10,0.06,0.14,1,10,,,,,,{8304=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11305,limit_up_gem_rmb1_2292,Regular Single Draw - Purple for the first time,3,1,,,1,,,,,,,{8303=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
11306,limit_up_gem_rmb1_2292,Regular Single Draw - Regular Output,0,2,,,,,,,,,,{8301=1},57,{8302=1},22,{8303=1},8,{8017=1},13,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401,limit_up_gem_rmb10_2292,Regular ten consecutive rounds - the follow-up weight is red - an average of 12 times,1,11,0.054,0.113,,10,,,,,,{8301=5;8302=2;8305=1;8017=2},100,{8301=4;8302=3;8305=1;8017=2},100,{8301=5;8302=3;8305=1;8017=1},100,{8301=4;8302=2;8303=1;8305=1;8017=2},50,{8301=4;8302=3;8303=1;8305=1;8017=1},50,{8301=3;8302=3;8303=1;8305=1;8017=2},50,,,,,,,,
11402,limit_up_gem_rmb10_2292,Regular ten consecutive - the first 10 red,1,6,0.05,0.45,1,6,,,,,,{8301=5;8302=2;8305=1;8017=2},100,{8301=4;8302=3;8305=1;8017=2},100,{8301=5;8302=3;8305=1;8017=1},100,,,,,,,,,,,,,,
11403,limit_up_gem_rmb10_2292,Regular 10 consecutive rounds - red around the 4th time,1,1,0.3,0.4,1,1,,,,,,{8301=5;8302=2;8305=1;8017=2},100,{8301=4;8302=3;8305=1;8017=2},100,{8301=5;8302=3;8305=1;8017=1},100,,,,,,,,,,,,,,
11404,limit_up_gem_rmb10_2292,Regular ten consecutive rounds - the follow-up weight is orange - an average of 4 times,1,1,0.05,0.45,,1,,,,,,{8301=5;8302=2;8304=1;8017=2},100,{8301=4;8302=3;8304=1;8017=2},100,{8301=5;8302=3;8304=1;8017=1},100,{8301=4;8302=2;8303=1;8304=1;8017=2},50,{8301=4;8302=3;8303=1;8304=1;8017=1},50,{8301=3;8302=3;8303=1;8304=1;8017=2},50,,0,,0,,,,
11405,limit_up_gem_rmb10_2292,Regular ten consecutive - the first orange,3,1,,,1,,,,,,,{8301=5;8302=2;8304=1;8017=2},100,{8301=4;8302=3;8304=1;8017=2},100,{8301=5;8302=3;8304=1;8017=1},100,,0,,0,,0,,0,,0,,,,
