变量名,name,_desc,value,valueArray
94,gymAutoRecoverPoints,Talent points automatically obtained by gymnasiums every day,50,
95,gymTalentResetCost,Gym challenge bonus reset consumption,100,
96,megaCommonBuyAddTimes,The number of keystone conversions is increased by one chance purchase,5,
97,megaCommonBuyChanceLimit,Keystone Transformation Opportunity Purchase Restrictions,2,
98,megaBuyAddTimes,The number of evolutionary stone conversions is a chance to buy a fixed increase,5,
99,megaBuyChanceLimit,Evolution Stone Transformation Opportunity Purchase Restrictions,2,
100,megaCommonRecoveryFirst,The key stone is launched for the first time to restore a fixed amount,20,
101,megaRecoveryFirst,The Evolution Stone is launched for the first time to restore a fixed quantity,20,
102,cardCommentWordCount,Sprite Comment Word Count,300,
103,cardSwitchBranchCostRMB,Fixed consumption of diamonds for elves switching evolutionary branches,500,
104,cardCommentDailyMarkNum,Elf Comments Daily Comments Number of Different Evolution Chains,10,
105,cardCommentDailyMarkSendTimes,The number of comments on the same evolutionary chain per day for elf comments,5,
106,cardScoreDailyChangeTimes,Number of Daily Modifications of Genie Score,1,
107,cardCommentHotNum,Genie Reviews Popular Number,10,
108,gymPwCD,Gym Challenge Success Cooling Time (seconds),300,
109,gymRecoverFirst,Gym challenge bonus initial points,50,
110,gymTalentPointBuyCount,Gym challenge bonus purchase points,10,
111,cloneCanKickTime,How long before a player in an elemental challenge room can be kicked,180,
112,cloneCanKickFinishNum,Elemental challenge how many players can kick after completing,3,
113,cloneDailyBeKickedMax,You can no longer participate in the elemental challenge after being kicked many times a day,3,
114,dropEquipAbilityNeedRmb,Jewelry reduces potential consumption of diamonds,30,
115,dropEquipSignetNeedRmb,Jewelry engraving consumes diamonds,30,
116,seniorRoleLevel,Senior Trainer Level Requirements,55,
117,seniorRoleOffline,Requirements for offline days of senior trainers,3,
118,seniorRoleFightingPoint,Veteran Trainer Combat Strength Requirements,150000,
119,longBindCD,Long Bind Cooldown,30,
120,shortBindCD,Short Bind Cooldown,15,
121,reunionLoginDays,Returning players cumulative login days limit,4,
122,gymFubenMaxDamageMultiple,Gym dungeon maximum damage multiplier,100,
123,dailyStaminaCostMax,Daily physical exertion upper limit,12000,
124,figureSkillLimit,Image Skill Slot Restrictions,3,
125,figureSkill2,No. 2 skill unlock image limit,8,
126,figureSkill3,No. 3 skill unlock image limit,16,
127,halloweenSpriteNum1,Halloween Trick or Treat quantity,3,
128,halloweenSpriteNum2,Number of Halloween Wanderers,2,
129,huoDongBossMaxDamageMultiple,Event Boss maximum damage multiplier,100,
130,huodongBossCrossServerSize,The number of active Boss cross-server groups,5,
131,huodongBossCrossServerLimit,Event Boss cross-service group number threshold,8,
132,unionFubenDeadlyTimesLimit,Guild dungeon kill reward times limit,1,
133,talentResetAllCost,Talent page all reset consumption,200,
134,gymLogLimit,Gymnasium limit on the number of logs this week,500,
135,crossMineBossMaxDamageMultiple,Cross-server resource battle boss battle maximum damage multiplier,200,
136,citySpriteTimesMax,The number of times the elves of the main city can be claimed within the regular reward period,3,
137,unionQABuyCost,Guild question and answer purchase consumption,50,
138,unionQABuyTimes,Guild Questions & Answers Daily Purchases,1,
139,unionQATimes,Guild Q&A daily answer times,1,
140,crossMineBossAgentCheckDamageFix,Cross-server resource battle boss battle anti-cheat damage floating percentage,50,
141,crossMineBossMaxTime,Cross-server resource battle boss battle maximum challenge duration in seconds,300,
142,redPacketCrossGroupSize,The number of cross-server red envelope grouping regional servers,10,
143,skyscraperCrossGroupSize,The number of regional servers for the operation of high-rise buildings,20,
144,horseRaceBetCost,Horse Racing Betting Consumption,50,
145,braveChallengeGroupSize,Braves challenge the number of regional servers,50,
146,horseRaceGroupSize,Number of regional servers for horse racing divisions,20,
147,zawakeResetOneKeyCost,Z Awakening one-click reset consumption,500,
148,zawakeResetOneKeyRatio,Z awakening one-click reset percentage,1,
149,zawakeResetAutoRatio,Z awakening auto reset percentage,1,
150,drawChipCostPrice,Chip diamond single draw consumption,98,
151,draw10ChipCostPrice,Ten consecutive consumption of chip diamonds,880,
152,drawChipItemCostPrice,Single draw consumption of chip props,10,
153,draw10ChipItemCostPrice,Ten consecutive consumption of chip props,100,
154,chipUpLimit,Chip up limit,3,
155,chipExpNeedGold,Gold coins needed for every point of experience in learning chips,50,
156,chipResetCost,Chip reset costs diamonds,1000,
157,chipRebirthRMBCostLimit,Chip rebirth diamond consumption limit,100,
158,chipRebirthRMBCostMin,Chip rebirth diamond consumption minimum,10,
159,chipRebirthRetrunProportion,Chip respawn return ratio,1,
160,huntingMaxDamageMultiple,Expedition maximum damage multiplier,200,
161,drawCardUpChangeLimit,Optional limit draw card switching times limit,4,
162,drawCardUp1CostPrice,Optional limited draw card single draw consumes diamonds,220,
163,drawCardUp10CostPrice,Optional limited card draw 10 consecutive draws consume diamonds,2000,
164,volleyballGroupSize,Number of beach volleyball team divisions,20,
165,endlessCheatSilentTimes,Adventure Road cheat limit,3,
166,buildingCompletionInterval,The billing interval time of the fast completion function of the hut building (minutes),30,
167,buildingCompletionCost,Fixed billing for each interval of quick completion of the cabin building function (rmb),25,
168,buildingHomeRenameCost,Cottage building name modification cost (rmb),100,
169,townHomeEnergyRecovery,Homeland Card Energy Natural Restoration,10,
170,crossMineDisablenBattleProtectBeforeOver,How long before the end of the resource war to cancel the five-minute protection of the battle (unit minute),15,
,,,,
5000,client_test,"Before 5000, it was shared by the client and the server, and dedicated to the client",,
5001,slayAddMp,Combat kills reward rage,300,
5002,lostOnePercentHpAddMp,Every 1% of blood loss in battle rewards rage,7,
5003,saodang50RoleLevel,The required character level to raid 50 times,60,
5004,cityBgStartTime,Main city background switching start time (minutes),360,
5005,cityBgDayDuration,Main city background switching day interval (minutes),720,
5006,cityBgNightDuration,Main city background switching interval (minutes),720,
5007,signinItemRate,Check-in eye-catching items display magnification,4,
5008,signinCardRate,Check-in attention card display magnification,1.6,
5009,levelBoxDelayTime,Delayed appearance time of level chests,1.6,
5010,"pvpBattleItemID ",Arena tokens,517,
5011,pvpCardShowScale,Arena card vertical painting zoom,2.4,
5012,citySpecialTimeMin,Main city character special action time,60,
5013,showCardRarityMin,The lowest displayed rarity on the card acquisition interface,3,
5014,attrHp,Effort value training life fixed value modifier,0.4,
5015,attrDamage,Effort Points Cultivate Attack Fixed Value Modifier,1,
5016,attrSpecialDamage,Effort value training special attack fixed value modifier,1,
5017,attrDefence,Effort value culture anti-fixed value modifier,3,
5018,attrSpecialDefence,Effort value training special defense fixed value correction,3,
5019,attrSpeed,Effort value training speed fixed value modifier,4.5,
5020,endlessTowerJumpCD,Endless Tower's Cooldown Skip,30,
5021,randomTowerJumpCD,Random tower skip cooldown,15,
5022,feedBackDayCount,The number of daily feedback from a single player,10,
5023,randomTowerBattleHp,The HP recovered after the trial tower battle (%),10,
5024,randomTowerBattleMp,The rage recovered after the trial tower battle,200,
5025,captureSprite,Capturing the size of a sprite in a sprite,1.5,
5026,rechargeVip,Distinguished VIP experience points,15000,
5027,marqueeMax,The maximum number of plays of the marquee,3,
5028,personalSignShowLevel,View the level of other people's personalized signature (greater than the configuration level display),27,
5029,worldBossJumpCD,World boss skip CD,25,
5030,worldBossDamageLimitRate,World boss single buff damage upper limit ratio,0.6,
5031,preCheckFailAttrFix,Battle report inconsistent attribute correction factor,1.2,
5032,craftHpRatioBorder,The blood limit for comparing blood volume percentages in the Quartz gameplay,0.9,
5033,onlineFightAwardLimit,Restrictions on receiving real-time matching rewards,5,
5034,onlineFightFleeRoundLimit,Real-time match escape round limit,5,
5035,onlineFightLateSpeedUpTime,Real-time matching backward speedup,20,
5036,onlineFightLateFrameLimit,Real-time matching behind accelerated time-frame interpolation,3,
5037,gymMapScale,Gym map zoom,0.8,
5038,crossMapScale,Cross server Gym map zoom,0.5,
5039,onlineFightWdfRecordRound,Real-time matching wonderful battle report round limit,4,
5040,onlineFightWdfRecordLimit,Real-time matching wonderful battle report blood volume limit,0.5,
5041,gymGateJumpCD,Gym pve copy includes NPC skip CD,0,
5042,huodongbossNewTimes,Halloween NEW mark judgment,15,
5043,huodongbossMaxNumber,The maximum number displayed in the Halloween BOSS field,50,
5044,embattleReadyMax,Maximum preset number of teams,5,
5045,loadingBgTotal,The total number of random background images on load,21,<1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;22;23;24;25>
5046,signinPassportTipDays,Deluxe login prompt showing time,7,
5047,antiFraudPosterAppearsCD,Anti-fraud poster appearance interval (hours),1,
5048,huntingJumpCD,Expedition battle skip countdown,15,
5049,reboundFix,Anti-injury modifier,0.3,
5050,messageIsFull,Mail full reminder cooldown (days),7,
5051,crossUnionFight,Cross-server guild battle banner floating word speed,8.5,
5052,crossUnionBattleReportTime,Cross server guild battle battle report countdown,20,
