变量名,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
8,Cracking seat crit real damage,,,,,,,"multiply|max(sum2(1),0.05)",,,,multiply,,,,,,,,,,,,,,,,,jump,jump,,,,,,,jump,,,,,,
9,spike,,,,,,,,,,,,,,,,,,,,,,,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,
10,self harm,班基拉斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,jump,,,,,,
11,self-harm,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,jump,,,,,jump,,,,,,
12,Regis Chilloo,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,jump,,jump,jump,jump,jump,jump,,,,,
13,HP limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,jump,jump,jump,jump,jump,,,,,
14,Mewtwo direct damage,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,multiply,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
15,real damage,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,freeze penetration,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,jump,,,,,
17,True damage that does not trigger Hoopa's passive,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Precomputed hit crit resistance,,,multiply,multiply,,,,,,,multiply,,,,,,,,,,,,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump
19,life link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Primordial Gulardo fire attribute anti-injury,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Split the damage and dodge,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,For delayed damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"{strike=<setValue(""strike"",ifelse(reduce>1,1,0))>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,Damage in the second half of the skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,Skill damage minimum limit,,,,multiply,,,,,,,,multiply|0.05,,,,,,,multiply,,,out,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,skill damage,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+3500,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
10002,Buzzer 11 stars,,"{shield=<setValue(list(""shieldHp""),list(ifElse( more(attacker:star() , 10),0,target:shieldHp() )))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,skill damage,"{reduce=<setValue(<""specialDefenceIgnore"">,<ifElse(attacker:star() > 7 and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()+1000,attacker:specialDefenceIgnore())>)>}","{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(116,126,136) or 0)*10-10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
112,Charmander 8 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,skill damage,"{reduce=<setValue(<""defenceIgnore"">,<ifElse(target:hasBuffGroup(1500,1510,1520),attacker:defenceIgnore()+2000,attacker:defenceIgnore())>)>}","{reduce=<setValue(list(""defenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:defenceIgnore()*10000+2000,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
142,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,skill damage,"{reduce=<setValue(<""specialDefenceIgnore"">,<ifElse(target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()+2000,attacker:specialDefenceIgnore())>)>}","{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse( target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(156) or 0)*10-10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
152,the y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7611,skill damage,"{reduce=<setValue(<""specialDefenceIgnore"">,<ifElse(  (attacker:star() > 10) and (attacker:speed()>target:speed()),attacker:specialDefenceIgnore()+1800,attacker:specialDefenceIgnore() )>)>}","{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000 )))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),7) and more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
7612,Mew-two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19811,skill damage,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
19812,Rift seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,skill damage,"{buffAdd=<setValue(<""damageRateAdd"">,<ifElse(target:hasBuffGroup(1301,1311,1321),attacker:damageRateAdd()+0.3,attacker:damageRateAdd())>)>}","{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(1301,1311,1321),attacker:damageRateAdd()+0.3,attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
8012,Little Saw Alligator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24811,skill damage,"{buffAdd=<setValue(<""damageRateAdd"">,<ifElse(target:hasBuffGroup(11),attacker:damageRateAdd()+0.3+(skillLv(24816,24826,24836) or 0)*0.002-0.002+ifElse(moreEqualThan(self:star(), 8),0.2,0),attacker:damageRateAdd())>)>}","{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(11),attacker:damageRateAdd()+0.3+(attacker:skillLv(24816,24826,24836) or 0)*0.002-0.002+ifElse(moreEqualThan(attacker:star(), 8),0.2,0),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
24812,warm pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30111,skill damage,"{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(attacker:speed()>target:speed(),attacker:strike()+(self:flagZ3() and 5000 or 3000),attacker:strike()),ifElse(attacker:speed()>target:speed(),attacker:strikeDamage()+3000,attacker:strikeDamage()))))>}","{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:speed(),target:speed()),attacker:strike()*10000+(self:flagZ3() and 5000 or 3000),attacker:strike()*10000),ifElse(more(attacker:speed(),target:speed()),attacker:strikeDamage()*10000+3000,attacker:strikeDamage()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
30112,sneezing bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33011,skill damage,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33012,croaking frog,普攻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33021,skill damage,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33022,croaking frog,小技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33031,skill damage,,"{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:star() , 10) and target:hasBuffGroup(1301,1311,1321),attacker:strike()*10000+1000,attacker:strike()*10000),ifElse(more(attacker:star() , 10) and target:hasBuffGroup(1301,1311,1321),attacker:strikeDamage()*10000+1500,attacker:strikeDamage()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33032,croaking frog,大招,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22411,skill damage,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
22412,Riolu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22421,skill damage,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>;strike=<setValue(list(""strike""),list((arg.natureFlag==""strong"" and attacker:strike()*10000+2000 or attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
22422,Riolu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35111,skill damage,"{reduce=<setValue(<""specialDefenceIgnore"">,<ifElse(attacker:star() > 7 and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()+1000,attacker:specialDefenceIgnore())>)>}","{reduce=<setValue(list(""defenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:defenceIgnore()*10000+(30+(attacker:skillLv(35116) or 0)*0.2-0.2)*100,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
35112,Wrestling Hawkman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29911,skill damage,,"{strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),11) and target:hasBuff(2991127),attacker:strike()*10000+2000,attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
29912,Candle Spirit's Big Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36311,skill damage,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+(6000-attacker:level()*60)))>;damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*(5000+attacker:level()*50),target:damageSub()*10000)))>;damageDeepen=<setValue(list(""damageReduce""),list(ifElse(less(target:damageDeepen(),attacker:damageReduce()),attacker:damageReduce()*(5000+attacker:level()*50),attacker:damageReduce()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
36312,Tianxi's big move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414,skill damage,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,jump,jump,
19415,Fusion technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19611,skill damage,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
19612,Kyoka's big move,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 0.8*0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23511,skill damage,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:specialDefenceIgnore()*10000+300+attacker:level()*3-3,attacker:specialDefenceIgnore()*10000 )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
23512,Dialga Guaranteed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,skill damage,"{reduce=<setValue(<""specialDefenceIgnore"">,<ifElse(attacker:star() > 7 and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()+1000,attacker:specialDefenceIgnore())>)>}","{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
13012,Fire Chicken 8 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23611,skill damage,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:specialDefence(),target:specialDefence()),attacker:damageRateAdd()+(moreThan(div((attacker:specialDefence()-target:specialDefence()),attacker:specialDefence(),attacker:specialDefence()/1000)*1,0.03) and 0.03 or div((attacker:specialDefence()-target:specialDefence()),attacker:specialDefence(),attacker:specialDefence()/1000)*1),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
23612,Palkia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24421,skill damage,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+1000))>;damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*10000-1000,target:damageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
24422,shemi sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32611,basic attack damage,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32612,Meloetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32613,small skill damage,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32614,Meloetta singing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
