变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2
712,Snorlax,712,,,<2.1;460>,,<cn;tw;kr;en>,1,0.28%,,
721,frozen bird,721,,,<1.7;55.4>,,,13,0.80%,,
731,lightning bird,731,,,<1.6;52.6>,,,8,0.80%,,
741,flame bird,741,,,<2;60>,,,8,0.80%,,
751,mini dragon,751,,,<1.8;3.3>,,,7,0.27%,,
752,hackron,752,,,<4;16.5>,,,7,0.27%,,
753,fast dragon,753,,TRUE,<2.2;210>,,,7,0.27%,,
761,Mew-two,761,,,<2;122>,,,8,1.00%,,
,Super Mewtwo X,,,,,,,,,,
,Super Mewtwo Y,,,,,,,,,,
771,dream,771,,,<0.4;4>,,,13,0.80%,,
781,Chrysanthemum leaves,781,,,<0.9;6.4>,,,1,0.13%,,
782,bay leaf,782,,,<1.2;15.8>,,,1,0.13%,,
783,Geranium,783,,,<1.8;100.5>,,,1,0.13%,,
791,fireball mouse,791,,,<0.5;7.9>,,,8,0.20%,,
792,Fire Rock Rat,792,,,<0.9;19>,,,8,0.20%,,
793,Pyrobeast,793,,,<1.7;79.5>,,,8,0.20%,,
801,Little Saw Alligator,801,,,<0.6;9.5>,,,7,0.20%,,
802,blue crocodile,802,,,<1.1;25>,,,7,0.20%,,
803,big crocodile,803,,,<2.3;88.8>,,,7,0.20%,,
,Odachi,,,,<0.8;6>,,,,,,
,Oo Tachi,,,,<1.8;32.5>,,,,,,
,cuckoo,,,,<0.7;21.2>,,,,,,
,owl,,,,<1.6;40.8>,,,,,,
,ladybug,,,,<1;10.8>,,,,,,
,Ann ladybug,,,,<1.4;35.6>,,,,,,
,Orb silk spider,,,,,,,,,,
,Alidos,,,,<1.1;33.5>,,,,,,
,lantern fish,,,,<0.5;12>,,,,,,
,lamp monster,,,,<1.2;22.5>,,,,,,
861,Bobbi,861,,,<0.3;1.5>,,<cn;kr>,10,0.27%,,
862,Poke Kigu,862,,,<0.6;3.2>,,<cn;kr>,10,0.27%,,
863,Pokkiss,863,,,<1.5;38>,,<cn;kr>,10,0.27%,,
,natural tit,,,,<0.2;2>,,,,,,
,natural bird,,,,<1.5;15>,,,,,,
881,Mare sheep,881,,,<0.6;7.8>,,,10,0.27%,,
882,wooly sheep,882,,,<0.8;13.3>,,,10,0.27%,,
883,Dianlong,883,,,<1.4;61.5>,,,10,0.27%,,
884,super electric dragon,884,,,<1.4;61.5>,,<cn>,10,0.27%,,
891,Lu Lili,891,,,<0.2;2>,,,8,0.13%,,
892,Mary Lou,892,,,<0.4;8.5>,,,8,0.13%,,
893,Mary Luli,893,,,<0.8;28.5>,,,8,0.13%,,
,Basin,,,,,,,,,,
,tree is strange,,,,<1.2;38>,,,,,,
,Shuttlecock grass,,,,<0.4;0.5>,,,,,,
,shuttlecock flower,,,,<0.6;1>,,,,,,
,Shuttlecock cotton,,,,,,,,,,
,long tail monster,,,,<0.8;11.5>,,,,,,
,Two-Tailed Hand,,,,<1.2;20.3>,,,,,,
,sun seeds,,,,<0.3;1.8>,,,,,,
,sun flower monster,,,,<0.8;8.5>,,,,,,
,dragonfly,,,,,,,,,,
,Ancient Giant Fly,,,,,,,,,,
,Upo,,,,<0.4;8.5>,,,,,,
,marsh king,,,,<1.4;75>,,,,,,
,dark crow,,,,<0.5;2.1>,,,,,,
,crow head,,,,<0.9;27.3>,,,,,,
971,dream monster,971,,,<0.7;1>,,<cn>,8,0.40%,,
972,dream monster,972,,,<0.9;4.4>,,<cn>,8,0.40%,,
,unknown totem,,,,<0.5;5>,,,,,,
,Small really,,,,<0.6;14>,,,,,,
,Sure enough Weng,,,,<1.3;28.5>,,,,,,
,Qilin Qi,,,,<1.5;41.5>,,,,,,
,hazelnut balls,,,,<0.6;7.2>,,,,,,
,Fritos,,,,<1.2;125.8>,,,,,,
,Brother Earth Dragon,,,,<1.5;14>,,,,,,
1031,scorpio,1031,,,<1.1;64.8>,,<cn;kr>,1,0.28%,,
1032,scorpio king,1032,,,<2;42.5>,,<cn;kr>,1,0.28%,,
,blue,,,,,,,,,,
,blue king,,,,,,,,,,
,Thousand needle fish,,,,<0.5;3.9>,,,,,,
,pot pot,,,,<0.6;20.5>,,,,,,
1071,Hercules,1071,,,<1.5;54>,,,9,0.80%,,
,super heracross,,,,,,,,,,
1081,Huanla,1081,,,<0.9;28>,,,8,0.40%,,
1082,Mala,1082,,,<1.1;34>,,,8,0.40%,,
,baby bear,,,,<0.6;8.8>,,,,,,
,circle bear,,,,<1.8;125.8>,,,,,,
,lava worm,,,,<0.7;35>,,,,,,
,lava snail,,,,<0.8;55>,,,,,,
,small boar,,,,<0.4;6.5>,,,,,,
,long haired pig,,,,<1.1;55.8>,,,,,,
,ivory pig,,,,<2.5;291>,,,,,,
,sun coral,,,,<0.6;5>,,,,,,
,Iron gunfish,,,,<0.6;12>,,,,,,
,octopus bucket,,,,<0.9;28.5>,,,,,,
,messenger bird,,,,<0.9;16>,,,,,,
,Small ball flying fish,,,,<1;65>,,,,,,
,giant fin flying fish,,,,<2.1;220>,,,,,,
,armor bird,,,,<1.7;50.5>,,,,,,
1171,Dai Ruby,1171,,,<0.6;10.8>,,,1,0.28%,,
1172,Heluga,1172,,,<1.4;35>,,,1,0.28%,,
,super black luga,,,,,,,,,,
,little elephant,,,,<0.5;33.5>,,,,,,
,Daytona,,,,<1.1;120>,,,,,,
,frightened deer,,,,<1.4;71.2>,,,,,,
,tutu dog,,,,<1.2;58>,,,,,,
,big milk jug,,,,<1.2;75.5>,,,,,,
1221,Thunder God,1221,,,<1.9;178>,,,13,0.80%,,
1231,Yandi,1231,,,<2.1;198>,,,7,0.80%,,
1241,Suicune,1241,,,<2;187>,,,10,0.80%,,
1251,Young Kiras,1251,,,<0.6;72.0>,,,9,0.27%,,
1252,Shakiras,1252,,,<1.2;152>,,,9,0.27%,,
1253,Bangeras,1253,,,<2.0;202>,,,9,0.27%,,
,super classy lass,,,,,,,,,,
1261,Rogia,1261,,,<5.2;216>,,,10,1.00%,,
1271,Phoenix King,1271,,,<3.8;199>,,,7,1.00%,,
1281,rabbi,1281,,,<0.6;5>,,<cn>,1,0.70%,,
1291,Mu Shou Gong,1291,,,<0.5;5>,,,8,0.27%,,
1292,forest lizard,1292,,,<0.9;21.6>,,,8,0.27%,,
1293,lizard king,1293,,,<1.7;52.2>,,,8,0.27%,,
,Super Lizard King,,,,,,,,,,
1301,fire chicken,1301,,,<0.4;2.5>,,,7,0.27%,,
1302,Strong Chicken,1302,,,<0.9;19.5>,,,7,0.27%,,
1303,flame chicken,1303,,TRUE,<1.9;52>,,,7,0.27%,,
,Super Flame Chicken,,,,,,,,,,
1311,water jump fish,1311,,,<0.4;7.6>,,,1,0.18%,,
1312,Marsh jumping fish,1312,,,<0.7;28>,,,1,0.18%,,
1313,marsh monster,1313,,,<1.5;81.9>,,,1,0.18%,,
1314,super marsh monster,1314,,,<1.5;81.9>,,<cn>,1,0.18%,,
,Coyote,,,,<0.5;13.6>,,,,,,
,great wolfhound,,,,<1;37>,,,,,,
,snake bear,,,,<0.4;17.5>,,,,,,
,straight to the bear,,,,<0.5;32.5>,,,,,,
,spiny worm,,,,<0.3;3.6>,,,,,,
,carapace cocoon,,,,,,,,,,
,Shield Cocoon,,,,<0.7;11.5>,,,,,,
,hunting swallowtail,,,,<1;28.4>,,,,,,
,Poison mealworm,,,,,,,,,,
1351,Lotus leaf boy,1351,,,<0.5;2.6>,,,1,0.10%,,
1352,lotus hat boy,1352,,,<1.2;32.5>,,,1,0.10%,,
1353,Lotte Kappa,1353,,,<1.5;55>,,,1,0.10%,,
,acorn fruit,,,,<0.5;4>,,,,,,
,Proboscis,,,,<1;28>,,,,,,
,cunning tengu,,,,<1.3;59.6>,,,,,,
,proud swallow,,,,<0.3;2.3>,,,,,,
,King Yan,,,,<0.7;19.8>,,,,,,
,long-winged gull,,,,<0.6;9.5>,,,,,,
,large billed gull,,,,<1.2;28>,,,,,,
1391,Lalulas,1391,,,<0.4;6.6>,,,1,0.14%,,
1392,Kirulian,1392,,,<0.8;20.2>,,,1,0.14%,,
1393,Xanadu,1393,,,<1.6;48.4>,,,1,0.14%,,
1394,Already,1394,,,<1.6;52>,,,1,0.14%,,
1396,Super Xanadus,1396,,,<1.6;48.4>,,<cn>,1,0.14%,,
1397,Super Already,1397,,,<1.6;56.4>,FALSE,<>,1,0.14%,,
,yo-yo ball,,,,<0.5;1.7>,,,,,,
,Rainwing moth,,,,<0.8;3.6>,,,,,,
,Mushrooms,,,,<0.4;4.5>,,,,,,
,hat mushroom,,,,<1.2;39.2>,,,,,,
1421,lazy otter,1421,,,<0.8;24.0>,,,7,0.27%,,
1422,hyperactive ape,1422,,,<1.4;46.5>,,,7,0.27%,,
1423,leave king,1423,,,<2;130.5>,,,7,0.27%,,
,Ninja,,,,<0.5;5.5>,,,,,,
,ninja,,,,<0.8;12>,,,,,,
,Shell ninja,,,,<0.8;1.2>,,,,,,
1441,goo niu niu,1441,,,<0.6;16.3>,,,1,0.13%,,
1442,roar bomb,1442,,,<1;40.5>,,,1,0.13%,,
1443,Boom,1443,,,<1.5;84>,,,1,0.13%,,
,makushita wrestlers,,,,<1;86.4>,,,,,,
,iron hand wrestler,,,,,,,,,,
,north facing nose,,,,<1;97>,,,,,,
,North facing nose,,,,<1.4;340>,,,,,,
,Meow to the tail,,,,<0.6;11>,,,,,,
,elegant cat,,,,<1.1;32.6>,,,,,,
,Ecstasy,,,,<0.5;11>,,,,,,
,super ecstasy eye,,,,,,,,,,
,big mouth baby,,,,<0.6;11.5>,,,,,,
,super big mouth baby,,,,,,,,,,
1501,cocoa dora,1501,,,<0.4;60>,,,9,0.27%,,
1502,Cordora,1502,,,<0.9;120>,,,9,0.27%,,
1503,Boss Cordora,1503,,,<2.1;360>,,,9,0.27%,,
1504,Super Boss Cordora,1504,,,<2.2;395>,,<cn>,9,0.27%,,
,masana,,,,<0.6;11.2>,,,,,,
,charem,,,,<1.3;31.5>,,,,,,
,Super Charem,,,,,,,,,,
,Thunderbolt,,,,<0.6;15.2>,,,,,,
,Raiden,,,,<1.5;40.2>,,,,,,
,Super Raiden,,,,,,,,,,
,Positive beat,,,,<0.4;4.2>,,,,,,
,Negative beat,,,,<0.4;4.2>,,,,,,
,electric firefly,,,,<0.7;17.7>,,,,,,
,sweet firefly,,,,<0.6;17.7>,,,,,,
,mimosa,,,,<0.2;1.2>,,,,,,
,poison rose,,,,<0.3;2>,,,,,,
,Rose Redo,,,,<0.9;14.5>,,,,,,
,Melting Beast,,,,<0.4;10.3>,,,,,,
,Devourer,,,,<1.7;80>,,,,,,
,Toothfish,,,,<0.8;20.8>,,,,,,
,Megalodon,,,,<1.8;88.8>,,,,,,
,Megalodon,,,,,,,,,,
,roaring whale,,,,<2;130>,,,,,,
,Howler Whale King,,,,<14.5;398>,,,,,,
1611,dumbfounded,1611,,,<0.7;24>,,,10,0.30%,,
1612,fire camel,1612,,,<1.9;220>,,,10,0.30%,,
,super fire camel,,,,,,,,,,
,coal turtle,,,,<0.5;80.4>,,,,,,
,Hopping Pig,,,,<0.7;30.6>,,,,,,
,Pooh pig,,,,<0.9;71.5>,,,,,,
1641,Shaking spots,1641,,,<1.1;5>,FALSE,<cn>,9,0.20%,,
,mandible ants,,,,<0.7;15>,,,,,,
,Ultrasonic Larva,,,,<1.1;15.3>,,,,,,
,desert dragonfly,,,,<2;82>,,,,,,
,spiny ball cactus,,,,,,,,,,
,dream song cactus,,,,,,,,,,
,Green Mongol,,,,<0.4;1.2>,,,,,,
,Tanabata blue bird,,,,<1.1;20.6>,,,,,,
,Super Tanabata blue bird,,,,,,,,,,
,mongoose chop,,,,<1.3;40.3>,,,,,,
,rice spoon snake,,,,<2.7;52.5>,,,,,,
,Moonstone,,,,<1;168>,,,,,,
,sun rock,,,,<1.2;154>,,,,,,
,Loach,,,,<0.4;1.9>,,,,,,
,catfish king,,,,<0.9;23.6>,,,,,,
,Lobster Minions,,,,<0.6;11.5>,,,,,,
,Iron claw lobster,,,,<1.1;32.8>,,,,,,
,Libra couple,,,,<0.5;21.5>,,,,,,
,Psychic puppets,,,,<1.5;108>,,,,,,
,tentacle lily,,,,<1;23.8>,,,,,,
,cradle lily,,,,<1.5;60.4>,,,,,,
,Primordial Feather Worm,,,,<0.7;12.5>,,,,,,
,ancient armor,,,,<1.5;68.2>,,,,,,
1771,Ugly fish,1771,,,<0.6;7.4>,,<cn;tw;kr;en>,10,0.27%,,
1772,Menus,1772,,,<6.2;162>,,<cn;tw;kr;en>,10,0.27%,,
,floating bubbles,,,,,,,,,,
,Floating Bubble·Sun's Appearance,,,,,,,,,,
,Floating Bubbles Rainwater,,,,,,,,,,
,Floating Bubble·Snow Cloud Appearance,,,,,,,,,,
,Chameleon,,,,<1;22>,,,,,,
1801,Shadow Doll,1801,,,<0.6;2.3>,,<cn;kr;en>,13,0.30%,,
1802,curse doll,1802,,,<1.1;12.5>,,<cn;kr;en>,13,0.30%,,
,super cursed doll,,,,,,,,,,
1811,night watch,1811,,,<0.8;15>,,,1,0.18%,,
1812,Wandering Eidolon,1812,,,<1.6;30.6>,,,1,0.18%,,
1813,night genie,1813,,,<2.2;106>,,,1,0.18%,,
,tropical dragon,,,,<2;100>,,,,,,
,the bell rings,,,,<0.2;0.6>,,,,,,
,wind chimes,,,,<0.6;1>,,,,,,
1841,Absolu,1841,,,<1.2;47>,,,1,0.55%,,
,Super Absolu,,,,,,,,,,
1851,snow boy,1851,,,<0.7;16.8>,,,8,0.20%,,
1852,ice ghost guard,1852,,,<1.5;256.5>,,,8,0.20%,,
1853,Snow Fairy,1853,,,<1.3;26.6>,,,8,0.20%,,
,Super Ice Ghost,,,,,,,,,,
1861,seal ball,1861,,,<0.8;39.5>,,,10,0.20%,,
1862,sea magic lion,1862,,,<1.1;87.6>,,,10,0.20%,,
1863,Diya sea lion,1863,,,<1.4;150.6>,,,10,0.20%,,
,pearl oyster,,,,<0.4;52.5>,,,,,,
,Spotted Fish,,,,<1.7;27>,,,,,,
,Sakura fish,,,,<1.8;22.6>,,,,,,
,ancient coelacanth,,,,<1;23.4>,,,,,,
,love fish,,,,<0.6;8.7>,,,,,,
1891,baby dragon,1891,,,<0.6;42.1>,,,8,0.27%,,
1892,Crustosaurus,1892,,,<1.1;110.5>,,,8,0.27%,,
1893,Tyrannosaurus,1893,,,<1.5;102.6>,,,8,0.27%,,
,Super Raptor,,,,,,,,,,
1901,iron dumbbell,1901,,,<0.6;95.2>,,,9,0.27%,,
1902,metal monster,1902,,TRUE,<1.2;202.5>,,,9,0.27%,,
1903,Metagros,1903,,TRUE,<1.6;550>,,,9,0.27%,,
,super golden monster,1904,,,<1.6;550>,,<cn>,9,0.27%,,
1911,reggie lock,1911,,,<1.7;230>,,<cn;kr;en;tw>,9,0.80%,,
1921,Regis,1921,,,<1.8;175>,,<cn;kr;en;tw>,10,0.80%,,
1931,Regis Chilloo,1931,,,<1.9;205>,,<cn;kr;en;tw>,9,0.80%,,
1941,Ladias,1941,,,<1.4;40>,,<cn;kr>,10,0.80%,,
,Super Latias,,,,,,,,,,
1951,Latios,1951,,,<2;60>,,<cn;kr>,8,0.80%,,
,Super Latios,,,,,,,,,,
1961,Gayoka,1961,,,<4.5;352>,,,8,1.00%,,
,Kioka Primal Return Appearance,,,,,,,,,,
1971,Gulardo,1971,,,<3.5;950>,,,9,1.00%,,
1972,Original Gulardo,1972,,,<5;999.7>,,<cn>,9,1.00%,,
1981,Rayquaza,1981,,,<7;206.5>,,,13,1.00%,,
1982,Super Rayquaza,1982,,,<7;206.5>,,<cn>,13,1.00%,,
1991,Kiraqi,1991,,,<0.3;1.1>,,<cn>,13,1.00%,,
,Deoxys Normal Form,,,,,,,,,,
,Deoxys Attack Form,,,,,,,,,,
,Deoxys Defense Appearance,,,,,,,,,,
,Deoxys Speed Appearance,,,,,,,,,,
